Date,High,Low,Close,Open,Volume
2020-01-02,0.39,0.35,0.371,0.35,287155
2020-01-03,0.4,0.371,0.382,0.371,134273
2020-01-06,0.4,0.351,0.397,0.39,276872
2020-01-07,0.397,0.35,0.38,0.397,148866
2020-01-08,0.389,0.355,0.38,0.389,55328
2020-01-09,0.38,0.354,0.37,0.354,85679
2020-01-10,0.389,0.36,0.38,0.36,78392
2020-01-13,0.38,0.364,0.378,0.38,69875
2020-01-14,0.439,0.38,0.389,0.381,828817
2020-01-15,0.399,0.36,0.388,0.38,86674
2020-01-16,0.386,0.34,0.348,0.385,868363
2020-01-17,0.35,0.32,0.348,0.348,207459
2020-01-20,0.348,0.345,0.345,0.348,233275
2020-01-21,0.347,0.32,0.322,0.347,330250
2020-01-22,0.347,0.32,0.345,0.32,165526
2020-01-23,0.43,0.352,0.395,0.43,794323
2020-01-24,0.4,0.374,0.4,0.395,452059
2020-01-27,0.419,0.38,0.39,0.4,284464
2020-01-28,0.418,0.38,0.418,0.39,456748
2020-01-29,0.46,0.418,0.45,0.42,1277474
2020-01-30,0.448,0.4,0.42,0.448,205407
2020-01-31,0.438,0.41,0.431,0.438,197016
2020-02-03,0.428,0.415,0.42,0.428,191853
2020-02-04,0.42,0.415,0.415,0.42,173765
2020-02-05,0.42,0.364,0.381,0.42,171377
2020-02-06,0.402,0.371,0.399,0.395,164605
2020-02-07,0.402,0.38,0.4,0.381,105790
2020-02-10,0.402,0.378,0.381,0.402,113931
2020-02-11,0.429,0.387,0.416,0.387,309265
2020-02-12,0.416,0.36,0.398,0.416,279956
2020-02-13,0.399,0.375,0.399,0.398,156765
2020-02-14,0.399,0.34,0.346,0.399,373910
2020-02-17,0.399,0.351,0.398,0.364,148096
2020-02-18,0.414,0.361,0.398,0.398,269087
2020-02-19,0.414,0.38,0.406,0.38,107723
2020-02-20,0.413,0.4,0.412,0.411,148724
2020-02-21,0.412,0.391,0.406,0.391,87032
2020-02-24,0.4,0.38,0.389,0.38,57974
2020-02-25,0.429,0.382,0.419,0.389,18029
2020-02-26,0.418,0.38,0.382,0.418,118899
2020-02-27,0.39,0.365,0.366,0.382,160691
2020-02-28,0.389,0.36,0.361,0.366,144554
2020-03-02,0.377,0.312,0.325,0.36,661143
2020-03-03,0.369,0.31,0.356,0.319,411070
2020-03-04,0.357,0.333,0.35,0.35,81096
2020-03-05,0.379,0.331,0.369,0.357,334143
2020-03-06,0.39,0.321,0.359,0.35,133934
2020-03-09,0.39,0.25,0.34,0.355,426136
2020-03-10,0.37,0.339,0.339,0.37,343199
2020-03-11,0.365,0.302,0.31,0.365,156961
2020-03-12,0.327,0.28,0.315,0.31,96630
2020-03-13,0.348,0.291,0.345,0.328,79632
2020-03-16,0.34,0.299,0.31,0.34,156358
2020-03-17,0.419,0.312,0.329,0.312,609550
2020-03-18,0.378,0.315,0.35,0.378,273350
2020-03-19,0.36,0.35,0.36,0.358,159739
2020-03-20,0.401,0.37,0.37,0.37,356501
2020-03-23,0.38,0.34,0.372,0.36,403410
2020-03-24,0.388,0.34,0.379,0.388,333189
2020-03-25,0.37,0.342,0.355,0.367,322049
2020-03-26,0.37,0.33,0.35,0.33,224748
2020-03-27,0.373,0.346,0.362,0.353,95667
2020-03-30,0.358,0.313,0.34,0.348,317478
2020-03-31,0.36,0.333,0.35,0.348,198064
2020-04-01,0.354,0.332,0.343,0.354,265137
2020-04-02,0.39,0.343,0.389,0.345,488689
2020-04-03,0.438,0.39,0.41,0.41,608607
2020-04-06,0.439,0.402,0.434,0.42,384399
2020-04-07,0.43,0.411,0.421,0.43,353592
2020-04-08,0.43,0.42,0.43,0.422,167402
2020-04-09,0.43,0.43,0.43,0.43,0
2020-04-14,0.45,0.342,0.42,0.45,438433
2020-04-15,0.46,0.392,0.45,0.428,722047
2020-04-16,0.906,0.451,0.6,0.46,7695046
2020-04-17,0.98,0.66,0.924,0.66,6183227
2020-04-20,1.35,0.86,1.02,0.98,12726861
2020-04-21,1.025,0.65,0.78,1.02,7468337
2020-04-22,0.778,0.602,0.61,0.778,5776180
2020-04-23,0.7,0.499,0.688,0.61,5037306
2020-04-24,0.88,0.68,0.75,0.69,11651900
2020-04-27,0.896,0.764,0.82,0.85,6669318
2020-04-28,1.14,0.824,1.1,0.83,14798061
2020-04-29,1.43,1.015,1.15,1.15,15042141
2020-04-30,1.2,0.922,1.02,1.19,6990199
2020-05-04,1.11,0.996,1.045,1.02,4824286
