Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,3.94,3.71,3.94,3.905,120027
2018-06-07,3.9,3.725,3.83,3.9,90106
2018-06-08,3.82,3.6,3.815,3.82,79519
2018-06-11,3.81,3.55,3.65,3.81,92341
2018-06-12,3.685,3.56,3.645,3.645,120850
2018-06-13,3.65,3.5,3.595,3.65,71348
2018-06-14,4.15,3.36,3.9,3.68,255482
2018-06-15,4.24,3.9,4.08,4.0,97478
2018-06-18,3.58,3.375,3.555,3.58,198191
2018-06-19,3.8,3.55,3.64,3.55,25172
2018-06-20,3.7,3.45,3.555,3.7,23942
2018-06-21,3.8,3.405,3.5,3.8,16282
2018-06-25,3.575,3.4,3.465,3.5,25666
2018-06-26,3.465,3.38,3.4,3.465,29380
2018-06-27,3.485,3.4,3.42,3.4,15189
2018-06-28,3.775,3.405,3.6,3.42,25090
2018-06-29,3.6,3.3,3.3,3.6,53869
2018-07-02,3.345,3.195,3.21,3.345,63161
2018-07-03,3.3,3.0,3.3,3.3,106275
2018-07-04,3.3,3.1,3.195,3.3,54755
2018-07-05,3.285,3.0,3.175,3.24,80232
2018-07-06,3.295,3.01,3.245,3.295,28088
2018-07-09,3.29,3.025,3.23,3.28,25463
2018-07-10,3.25,3.125,3.235,3.23,25374
2018-07-11,3.3,3.105,3.3,3.25,11477
2018-07-12,3.485,3.295,3.48,3.3,33901
2018-07-13,4.0,3.48,3.74,3.49,72315
2018-07-16,3.98,3.555,3.885,3.785,145940
2018-07-17,3.98,3.665,3.85,3.86,78085
2018-07-18,3.975,3.71,3.88,3.825,45295
2018-07-19,3.88,3.84,3.875,3.88,7447
2018-07-20,3.875,3.705,3.835,3.86,45960
2018-07-23,5.51,4.29,5.2,4.29,1293585
2018-07-24,5.45,4.86,5.1,5.11,517909
2018-07-25,5.25,4.88,4.88,5.15,149108
2018-07-26,5.07,4.5,4.795,4.88,168005
2018-07-27,4.79,4.51,4.6,4.7,73563
2018-07-30,4.65,4.35,4.45,4.61,81568
2018-07-31,4.45,4.27,4.435,4.45,49964
2018-08-01,4.45,4.25,4.385,4.27,28860
2018-08-02,5.09,4.2,4.895,4.4,73298
2018-08-03,4.935,4.515,4.64,4.935,69455
2018-08-06,4.9,4.64,4.795,4.9,26105
2018-08-07,4.8,4.455,4.68,4.8,48977
2018-08-08,4.8,4.5,4.765,4.68,19335
2018-08-09,4.76,4.565,4.69,4.6,34395
2018-08-10,5.55,4.465,5.25,4.69,545446
2018-08-13,5.31,4.925,5.07,5.31,113463
2018-08-14,5.07,4.7,4.99,5.07,58799
2018-08-15,5.14,4.65,4.9,4.83,105065
2018-08-16,5.07,4.75,5.01,5.07,23024
2018-08-17,5.08,4.81,5.04,5.08,20155
2018-08-20,5.1,5.0,5.04,5.1,55805
2018-08-21,5.1,4.85,4.85,5.09,145530
2018-08-22,4.995,4.4,4.595,4.86,198497
2018-08-23,4.85,4.455,4.8,4.455,133438
2018-08-24,4.82,4.53,4.77,4.8,143664
2018-08-27,4.945,4.77,4.94,4.8,141874
2018-08-28,4.98,4.645,4.75,4.945,79690
2018-08-29,4.75,4.45,4.58,4.75,56556
2018-08-30,4.7,4.5,4.6,4.7,7974
2018-08-31,4.65,4.455,4.6,4.6,26995
2018-09-03,4.75,4.4,4.41,4.57,45090
2018-09-04,4.5,4.115,4.3,4.41,21677
2018-09-05,4.45,4.29,4.35,4.3,13360
2018-09-06,4.405,4.3,4.375,4.405,9380
2018-09-07,4.45,4.305,4.45,4.37,7881
2018-09-10,4.45,4.3,4.425,4.45,71535
2018-09-11,4.395,4.25,4.39,4.395,20673
2018-09-12,4.45,4.105,4.295,4.45,40798
2018-09-13,4.28,4.0,4.19,4.28,82949
2018-09-14,4.23,4.005,4.08,4.2,68771
2018-09-17,4.08,3.795,3.9,4.08,99000
2018-09-18,3.845,3.53,3.8,3.845,172253
2018-09-19,3.83,3.605,3.795,3.72,54505
2018-09-20,4.29,3.655,4.0,3.795,247373
2018-09-21,4.4,4.0,4.265,4.055,85706
2018-09-24,4.36,4.15,4.225,4.36,47716
2018-09-25,4.23,4.0,4.175,4.23,19442
2018-09-26,4.44,4.03,4.44,4.14,77107
2018-09-27,4.75,4.4,4.72,4.44,216919
2018-09-28,4.935,4.61,4.78,4.75,71270
2018-10-01,4.9,4.46,4.54,4.9,66211
2018-10-02,4.8,4.545,4.8,4.78,60532
2018-10-03,4.895,4.73,4.73,4.8,61026
2018-10-04,4.92,4.52,4.655,4.88,84485
2018-10-05,4.795,4.54,4.795,4.66,62851
2018-10-08,5.2,4.585,4.885,4.91,108000
2018-10-09,5.03,4.4,4.63,5.03,33043
2018-10-10,4.75,4.6,4.6,4.65,39858
2018-10-11,4.63,4.265,4.5,4.63,98542
2018-10-12,4.495,4.21,4.46,4.21,21739
2018-10-15,4.5,4.08,4.38,4.3,31096
2018-10-16,4.38,4.05,4.38,4.085,18485
2018-10-17,4.4,4.125,4.35,4.4,14174
2018-10-18,4.475,4.15,4.325,4.4,28410
2018-10-19,4.5,4.18,4.315,4.5,11972
2018-10-22,4.315,4.0,4.18,4.315,45035
2018-10-23,4.13,3.98,4.0,4.1,9104
2018-10-24,4.25,3.99,4.2,4.005,56278
2018-10-25,4.35,4.2,4.34,4.25,35493
2018-10-26,4.4,4.05,4.28,4.4,28054
2018-10-29,4.275,4.005,4.07,4.005,68952
2018-10-30,4.245,3.815,4.1,4.0,107492
2018-10-31,4.3,4.0,4.21,4.095,34880
2018-11-01,4.495,4.05,4.275,4.3,144803
2018-11-02,4.4,4.05,4.4,4.2,98177
