Date,High,Low,Close,Open,Volume
2020-01-02,1.04,0.985,1.04,1.04,325
2020-01-03,0.985,0.985,0.985,0.985,500
2020-01-07,0.985,0.985,0.985,0.985,0
2020-01-08,0.985,0.985,0.985,0.985,0
2020-01-09,0.985,0.985,0.985,0.985,0
2020-01-10,1.04,0.985,0.985,1.04,1948
2020-01-13,1.04,0.98,0.98,1.04,4958
2020-01-14,0.98,0.975,0.975,0.98,5075
2020-01-15,0.995,0.93,0.935,0.975,9700
2020-01-16,0.935,0.935,0.935,0.935,0
2020-01-17,0.935,0.935,0.935,0.935,0
2020-01-20,0.995,0.935,0.935,0.935,1576
2020-01-21,1.0,1.0,1.0,1.0,10500
2020-01-22,1.07,1.03,1.03,1.07,1140
2020-01-23,1.03,1.03,1.03,1.03,1000
2020-01-24,1.03,1.03,1.03,1.03,0
2020-01-27,1.08,1.06,1.08,1.07,3870
2020-01-28,1.08,1.08,1.08,1.08,0
2020-01-29,1.0,1.0,1.0,1.0,3520
2020-01-30,1.0,1.0,1.0,1.0,0
2020-01-31,1.02,1.02,1.02,1.02,1
2020-02-03,1.08,1.01,1.08,1.01,2008
2020-02-04,1.08,1.0,1.08,1.0,1623
2020-02-05,1.08,1.0,1.08,1.0,950
2020-02-06,1.0,1.0,1.0,1.0,6
2020-02-07,1.0,1.0,1.0,1.0,0
2020-02-10,1.0,1.0,1.0,1.0,0
2020-02-11,1.08,1.0,1.08,1.0,5000
2020-02-12,1.08,1.08,1.08,1.08,440
2020-02-13,1.08,1.08,1.08,1.08,0
2020-02-14,1.01,1.01,1.01,1.01,3600
2020-02-17,1.01,1.01,1.01,1.01,2026
2020-02-18,1.01,1.01,1.01,1.01,0
2020-02-19,1.01,1.01,1.01,1.01,0
2020-02-20,1.14,1.04,1.14,1.07,17700
2020-02-21,1.16,1.08,1.16,1.16,2850
2020-02-24,1.09,1.08,1.08,1.09,4800
2020-02-25,1.16,1.11,1.11,1.11,5680
2020-02-26,1.11,1.11,1.11,1.11,900
2020-02-27,1.11,1.11,1.11,1.11,0
2020-02-28,1.08,1.08,1.08,1.08,200
2020-03-02,1.16,1.16,1.16,1.16,8
2020-03-03,1.16,1.08,1.08,1.08,858
2020-03-04,1.08,1.08,1.08,1.08,0
2020-03-05,1.4,1.1,1.12,1.16,182255
2020-03-06,1.28,1.0,1.0,1.14,42386
2020-03-09,1.47,1.0,1.12,1.0,46375
2020-03-10,1.18,1.18,1.18,1.18,594
2020-03-11,1.19,1.0,1.14,1.19,7098
2020-03-12,1.09,0.9,1.09,1.09,6100
2020-03-13,1.09,0.8,1.09,1.08,2158
2020-03-16,1.04,0.8,1.04,0.8,612
2020-03-17,1.04,1.04,1.04,1.04,0
2020-03-18,1.04,1.04,1.04,1.04,0
2020-03-19,1.0,1.0,1.0,1.0,5
2020-03-20,0.99,0.805,0.99,0.805,2890
2020-03-23,0.92,0.92,0.92,0.92,890
2020-03-24,0.92,0.92,0.92,0.92,650
2020-03-25,1.0,0.8,1.0,0.8,27375
2020-03-26,0.98,0.81,0.98,0.81,350
2020-03-27,0.98,0.98,0.98,0.98,0
2020-03-30,0.98,0.81,0.98,0.81,54
2020-03-31,0.98,0.905,0.96,0.905,6510
2020-04-01,0.99,0.835,0.835,0.99,1100
2020-04-02,0.835,0.835,0.835,0.835,0
2020-04-03,0.99,0.83,0.98,0.99,4140
2020-04-06,1.44,0.98,1.4,0.98,173806
2020-04-07,1.99,1.41,1.52,1.45,180047
2020-04-08,1.7,1.52,1.52,1.52,51139
2020-04-09,1.8,1.55,1.8,1.69,94928
2020-04-14,2.1,1.83,1.97,1.84,157225
2020-04-15,2.1,1.8,1.8,2.0,62919
2020-04-16,2.1,1.8,2.08,1.81,162644
2020-04-17,2.08,1.95,1.98,2.08,53475
2020-04-20,1.96,1.85,1.88,1.96,64939
2020-04-21,2.2,1.9,2.1,1.9,92200
2020-04-22,2.24,1.84,1.98,2.16,78806
2020-04-23,2.0,1.8,1.91,1.9,45227
2020-04-24,2.0,1.75,1.84,2.0,18274
2020-04-27,1.85,1.6,1.69,1.85,57723
2020-04-28,1.75,1.6,1.7,1.7,25840
2020-04-29,1.8,1.7,1.79,1.72,9148
2020-04-30,1.79,1.7,1.75,1.7,7752
2020-05-04,1.75,1.39,1.45,1.75,87106
2020-05-05,1.72,1.35,1.6,1.44,34661
2020-05-06,1.73,1.5,1.6,1.6,101890
2020-05-07,1.79,1.5,1.69,1.6,109811
2020-05-08,1.79,1.7,1.71,1.7,39236
2020-05-11,1.99,1.75,1.99,1.75,42575
2020-05-12,2.2,2.0,2.18,2.0,103780
2020-05-13,2.2,2.0,2.12,2.18,38345
2020-05-14,2.16,2.1,2.14,2.16,20047
2020-05-15,2.14,2.0,2.1,2.14,14552
2020-05-18,2.16,1.9,2.0,2.16,27329
2020-05-19,1.91,1.62,1.9,1.9,54013
2020-05-20,1.99,1.9,1.99,1.9,1317
2020-05-22,1.98,1.8,1.8,1.9,21076
2020-05-25,2.02,1.81,1.92,1.81,113654
2020-05-26,1.97,1.6,1.87,1.97,23296
2020-05-27,1.87,1.67,1.76,1.87,32530
2020-05-28,1.76,1.7,1.76,1.72,12865
2020-05-29,1.77,1.65,1.72,1.7,27329
2020-06-01,1.67,1.22,1.55,1.67,150189
