Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,74.4,74.0,74.2,74.4,8092
2018-06-06,74.4,73.0,74.2,74.2,12175
2018-06-07,74.2,73.2,73.2,74.2,1606
2018-06-08,74.0,73.2,74.0,73.2,1370
2018-06-11,74.2,73.4,74.2,74.0,6783
2018-06-12,74.4,73.8,74.2,74.4,7301
2018-06-13,74.2,74.2,74.2,74.2,1096
2018-06-14,74.4,73.8,74.4,74.4,4487
2018-06-15,74.4,74.0,74.2,74.4,2025
2018-06-18,74.0,74.0,74.0,74.0,1078
2018-06-19,73.6,73.4,73.4,73.6,275
2018-06-20,73.8,73.4,73.8,73.6,566
2018-06-21,74.4,73.8,73.8,73.8,1455
2018-06-22,74.6,74.0,74.6,74.0,32982
2018-06-25,74.6,74.0,74.0,74.6,3280
2018-06-26,74.6,74.0,74.6,74.0,14609
2018-06-27,74.6,74.2,74.4,74.6,2094
2018-06-28,74.6,74.2,74.2,74.4,9005
2018-06-29,74.2,74.2,74.2,74.2,2860
2018-07-02,76.0,76.0,76.0,76.0,89
2018-07-03,76.0,75.4,75.4,76.0,282
2018-07-04,76.0,75.8,76.0,75.8,1422
2018-07-05,76.0,75.0,76.0,76.0,8080
2018-07-06,75.6,75.2,75.6,75.6,1298
2018-07-09,75.2,75.0,75.0,75.2,3088
2018-07-10,74.4,72.6,74.0,74.4,8954
2018-07-11,74.0,72.0,73.6,74.0,1800
2018-07-12,73.0,72.6,73.0,72.6,234
2018-07-13,72.0,71.0,72.0,71.0,262
2018-07-16,72.6,72.0,72.2,72.2,389
2018-07-17,72.0,71.4,71.4,72.0,1393
2018-07-18,71.4,71.4,71.4,71.4,10
2018-07-19,71.4,71.0,71.4,71.2,2275
2018-07-20,71.8,71.4,71.8,71.4,153
2018-07-23,71.8,71.8,71.8,71.8,220
2018-07-24,71.8,71.8,71.8,71.8,70
2018-07-25,71.6,71.6,71.6,71.6,2878
2018-07-26,71.6,70.6,71.0,71.6,1200
2018-07-27,70.8,70.0,70.0,70.2,1025
2018-07-30,71.0,71.0,71.0,71.0,7940
2018-07-31,71.2,71.0,71.0,71.2,1616
2018-08-01,74.0,71.0,74.0,71.0,25195
2018-08-02,74.8,74.0,74.8,74.0,6451
2018-08-03,74.4,73.0,73.4,74.4,7048
2018-08-06,73.2,72.0,72.2,73.2,2161
2018-08-07,73.0,72.2,72.4,72.2,1691
2018-08-08,73.0,72.6,73.0,72.6,7662
2018-08-09,75.8,73.0,75.0,73.0,116122
2018-08-10,75.8,75.2,75.4,75.8,345
2018-08-13,76.0,75.6,75.6,76.0,33339
2018-08-14,77.6,75.6,77.4,76.0,7869
2018-08-15,76.6,71.8,71.8,76.6,26804
2018-08-16,73.6,71.0,73.0,72.0,41740
2018-08-17,73.2,72.2,72.8,73.2,3983
2018-08-20,72.8,72.0,72.8,72.8,4354
2018-08-21,74.6,72.8,72.8,74.6,4751
