Date,High,Low,Close,Open,Volume
2020-01-02,108.0,106.0,107.5,107.0,23824
2020-01-03,108.0,107.5,108.0,108.0,35523
2020-01-07,108.0,107.0,108.0,108.0,38701
2020-01-08,109.0,107.5,108.5,107.5,27423
2020-01-09,110.0,108.0,110.0,108.5,35572
2020-01-10,112.0,109.5,112.0,110.0,32449
2020-01-13,113.0,111.5,112.0,112.0,28428
2020-01-14,112.5,111.0,111.5,112.0,31479
2020-01-15,111.5,110.0,110.5,111.5,24642
2020-01-16,111.0,110.5,110.5,110.5,12042
2020-01-17,111.5,110.5,111.0,111.0,26468
2020-01-20,112.0,111.0,112.0,111.5,23710
2020-01-21,112.0,111.0,112.0,111.5,10430
2020-01-22,112.0,111.0,112.0,112.0,18287
2020-01-23,112.0,111.0,111.5,111.5,9255
2020-01-24,112.0,111.0,112.0,112.0,12073
2020-01-27,112.0,110.5,111.0,111.5,53756
2020-01-28,111.5,111.0,111.5,111.0,14682
2020-01-29,111.5,111.0,111.5,111.5,13794
2020-01-30,111.5,110.5,111.5,111.5,29492
2020-01-31,113.5,111.5,111.5,111.5,74868
2020-02-03,112.5,111.5,112.0,111.5,15976
2020-02-04,113.5,112.0,113.0,112.5,77884
2020-02-05,113.5,112.5,113.0,113.0,12371
2020-02-06,113.5,113.0,113.5,113.0,17897
2020-02-07,113.5,113.0,113.5,113.5,15333
2020-02-10,115.0,112.5,113.5,113.0,39193
2020-02-11,114.5,113.5,114.0,113.5,33365
2020-02-12,114.5,113.0,114.5,114.5,14424
2020-02-13,115.0,113.5,115.0,114.0,47608
2020-02-14,115.0,114.0,114.5,114.5,35961
2020-02-17,115.5,114.0,115.5,114.5,37504
2020-02-18,115.5,114.5,115.0,115.5,22649
2020-02-19,115.0,114.5,114.5,115.0,16217
2020-02-20,115.5,114.5,115.5,114.5,17438
2020-02-21,115.5,114.5,115.5,115.5,23449
2020-02-24,115.5,112.0,112.5,115.5,58327
2020-02-25,113.5,111.5,111.5,112.5,30558
2020-02-26,111.5,109.5,110.5,111.5,106862
2020-02-27,113.0,109.0,112.0,109.5,74697
2020-02-28,111.5,107.5,108.0,111.5,162125
2020-03-02,110.5,108.0,109.0,109.0,67656
2020-03-03,112.0,109.5,111.5,109.5,37107
2020-03-04,113.5,111.5,112.5,112.0,31338
2020-03-05,113.0,111.5,111.5,112.5,13053
2020-03-06,111.0,108.5,110.0,110.5,22448
2020-03-09,107.5,106.0,107.5,107.5,63002
2020-03-10,109.0,105.5,107.5,108.5,53987
2020-03-11,108.0,104.0,104.0,108.0,78652
2020-03-12,100.0,95.0,97.0,100.0,113539
2020-03-13,101.5,94.2,99.0,97.0,43392
2020-03-16,98.6,90.4,92.6,98.6,73502
2020-03-17,96.4,84.4,86.0,91.2,59846
2020-03-18,89.4,82.2,82.4,86.0,66856
2020-03-19,87.8,82.0,86.0,82.0,102568
2020-03-20,93.8,86.6,91.0,86.6,23220
2020-03-23,90.8,85.0,85.8,90.8,23348
2020-03-24,91.4,88.0,90.0,90.0,31923
2020-03-25,93.0,88.6,90.0,91.2,30902
2020-03-26,91.6,89.6,91.2,91.6,37427
2020-03-27,93.0,91.4,92.0,91.6,16618
2020-03-30,91.4,89.4,90.2,90.2,11045
2020-03-31,91.8,90.4,91.4,90.4,27321
2020-04-01,92.0,89.2,89.2,92.0,4064
2020-04-02,91.6,89.0,90.6,89.2,9813
2020-04-03,92.4,89.6,91.2,91.0,16153
2020-04-06,92.8,89.0,92.0,91.6,17509
2020-04-07,95.0,92.2,93.8,92.2,20331
2020-04-08,96.4,94.4,96.0,95.6,12678
2020-04-09,99.6,96.4,98.8,96.4,11404
2020-04-14,101.5,99.0,100.0,100.0,14709
2020-04-15,100.5,95.2,96.6,100.5,9516
2020-04-16,96.8,94.0,95.4,96.6,4148
2020-04-17,97.2,95.8,96.4,95.8,4153
2020-04-20,97.0,94.0,95.2,97.0,6152
2020-04-21,97.2,94.8,95.8,96.2,12017
2020-04-22,97.0,95.0,95.8,97.0,4090
2020-04-23,95.8,93.4,94.4,95.8,7923
