Date,Closing price,50,200
2018-06-04,206.0,,
2018-06-05,210.0,,
2018-06-07,206.0,,
2018-06-08,206.0,,
2018-06-11,214.0,,
2018-06-12,200.0,,
2018-06-13,200.0,,
2018-06-14,204.0,,
2018-06-15,206.0,,
2018-06-18,204.0,,
2018-06-19,208.0,,
2018-06-20,210.0,,
2018-06-21,210.0,,
2018-06-25,208.0,,
2018-06-26,206.0,,
2018-06-27,206.0,,
2018-06-28,206.0,,
2018-06-29,206.0,,
2018-07-02,206.0,,
2018-07-03,206.0,,
2018-07-04,206.0,,
2018-07-05,208.0,,
2018-07-06,210.0,,
2018-07-09,206.0,,
2018-07-10,206.0,,
2018-07-11,204.0,,
2018-07-12,204.0,,
2018-07-13,206.0,,
2018-07-16,208.0,,
2018-07-17,214.0,,
2018-07-18,206.0,,
2018-07-19,206.0,,
2018-07-20,206.0,,
2018-07-23,206.0,,
2018-07-24,204.0,,
2018-07-25,202.0,,
2018-07-26,198.0,,
2018-07-27,198.0,,
2018-07-30,202.0,,
2018-07-31,202.0,,
2018-08-01,200.0,,
2018-08-02,204.0,,
2018-08-03,206.0,,
2018-08-06,206.0,,
2018-08-07,210.0,,
2018-08-08,206.0,,
2018-08-09,206.0,,
2018-08-10,202.0,,
2018-08-13,210.0,,
2018-08-14,202.0,,
2018-08-15,204.0,,
2018-08-16,206.0,,
2018-08-17,204.0,,
2018-08-20,206.0,,
2018-08-21,204.0,,
2018-08-22,204.0,,
2018-08-23,206.0,,
2018-08-24,218.0,,
2018-08-27,218.0,,
2018-08-28,212.0,,
2018-08-29,218.0,,
2018-08-30,218.0,,
2018-08-31,220.0,,
2018-09-03,220.0,,
2018-09-04,218.0,,
2018-09-05,218.0,,
2018-09-06,206.0,,
2018-09-07,216.0,,
2018-09-10,202.0,,
2018-09-11,206.0,,
2018-09-12,202.0,,
2018-09-13,202.0,,
2018-09-14,202.0,,
2018-09-17,198.0,,
2018-09-18,198.0,,
2018-09-19,200.0,,
2018-09-20,198.0,,
2018-09-21,192.0,,
2018-09-24,197.0,,
2018-09-25,198.0,,
2018-09-26,195.0,,
2018-09-27,200.0,,
2018-09-28,206.0,,
2018-10-01,212.0,,
2018-10-02,210.0,,
2018-10-03,202.0,,
2018-10-04,206.0,,
2018-10-05,206.0,,
2018-10-08,206.0,,
2018-10-09,206.0,,
2018-10-10,206.0,,
2018-10-11,196.0,,
2018-10-12,196.0,,
2018-10-15,192.0,,
2018-10-16,200.0,,
2018-10-17,200.0,,
2018-10-18,195.0,,
2018-10-19,195.0,,
2018-10-22,200.0,,
2018-10-23,200.0,,
2018-10-24,196.0,,
2018-10-25,197.0,,
2018-10-26,193.0,,
2018-10-29,192.0,,
2018-10-30,192.0,,
2018-10-31,196.0,,
2018-11-01,194.0,,
2018-11-02,194.0,,
2018-11-02,196.0,,
2018-11-05,196.0,,
2018-11-06,196.0,,
2018-11-07,196.0,,
2018-11-08,196.0,,
2018-11-09,195.0,,
2018-11-12,189.0,,
2018-11-13,192.0,,
2018-11-14,192.0,,
2018-11-15,193.0,,
2018-11-16,193.0,,
2018-11-19,192.0,,
2018-11-20,189.0,,
2018-11-21,190.0,,
2018-11-22,188.0,,
2018-11-23,191.0,,
2018-11-26,195.0,,
2018-11-27,198.0,,
2018-11-28,190.0,,
2018-11-29,193.0,,
2018-11-30,193.0,,
2018-12-03,190.0,,
2018-12-04,188.0,,
2018-12-05,183.0,,
2018-12-06,171.0,,
2018-12-07,171.0,,
2018-12-10,174.0,,
2018-12-11,174.0,,
2018-12-12,176.0,,
2018-12-13,176.0,,
2018-12-14,176.0,,
2018-12-17,176.0,,
2018-12-18,176.0,,
2018-12-19,176.0,,
2018-12-20,176.0,,
2018-12-21,172.0,,
2018-12-27,170.0,,
2018-12-28,175.0,,
2019-01-02,179.0,,
2019-01-03,184.0,,
2019-01-04,184.0,,
2019-01-07,184.0,,
2019-01-08,185.0,,
2019-01-09,185.0,,
2019-01-10,185.0,,
2019-01-11,185.0,,
2019-01-14,185.0,,
2019-01-15,185.0,,
2019-01-16,189.0,,
2019-01-17,189.0,,
2019-01-18,193.0,,
2019-01-21,193.0,,
2019-01-22,193.0,,
2019-01-23,193.0,,
2019-01-24,193.0,,
2019-01-25,193.0,,
2019-01-28,192.0,,
2019-01-29,192.0,,
2019-01-30,190.0,,
2019-01-31,190.0,,
2019-02-01,190.0,,
2019-02-04,184.0,,
2019-02-05,183.0,,
2019-02-06,183.0,,
2019-02-07,183.0,,
2019-02-08,183.0,,
2019-02-11,180.0,,
2019-02-12,180.0,,
2019-02-13,176.0,,
2019-02-14,170.0,,
2019-02-15,172.0,,
2019-02-18,168.0,,
2019-02-19,170.0,,
2019-02-20,170.0,,
2019-02-21,165.0,,
2019-02-22,162.0,,
2019-02-25,159.0,,
2019-02-26,170.0,,
2019-02-27,170.0,,
2019-02-28,174.0,,
2019-03-01,176.0,,
2019-03-04,173.0,,
2019-03-05,173.0,,
2019-03-06,176.0,,
2019-03-07,182.0,,
