Date,Closing price,50,200
2018-06-04,202.0,,
2018-06-05,204.0,,
2018-06-07,208.0,,
2018-06-08,192.0,,
2018-06-11,181.0,,
2018-06-12,176.0,,
2018-06-13,176.0,,
2018-06-14,181.0,,
2018-06-15,178.0,,
2018-06-18,176.0,,
2018-06-19,176.0,,
2018-06-20,182.0,,
2018-06-21,184.0,,
2018-06-25,180.0,,
2018-06-26,181.0,,
2018-06-27,185.0,,
2018-06-28,178.0,,
2018-06-29,186.0,,
2018-07-02,187.0,,
2018-07-03,186.0,,
2018-07-04,191.0,,
2018-07-05,190.0,,
2018-07-06,190.0,,
2018-07-09,190.0,,
2018-07-10,193.0,,
2018-07-11,191.0,,
2018-07-12,186.0,,
2018-07-13,185.0,,
2018-07-16,187.0,,
2018-07-17,192.0,,
2018-07-18,191.0,,
2018-07-19,192.0,,
2018-07-20,195.0,,
2018-07-23,202.0,,
2018-07-24,199.0,,
2018-07-25,200.0,,
2018-07-26,196.0,,
2018-07-27,212.0,,
2018-07-30,236.0,,
2018-07-31,234.0,,
2018-08-01,222.0,,
2018-08-02,220.0,,
2018-08-03,216.0,,
2018-08-06,218.0,,
2018-08-07,218.0,,
2018-08-08,218.0,,
2018-08-09,220.0,,
2018-08-10,230.0,,
2018-08-13,228.0,,
2018-08-14,230.0,,
2018-08-15,230.0,,
2018-08-16,232.0,,
2018-08-17,248.0,,
2018-08-20,254.0,,
2018-08-21,268.0,,
2018-08-22,262.0,,
2018-08-23,264.0,,
2018-08-24,286.0,,
2018-08-27,288.0,,
2018-08-28,298.0,,
2018-08-29,318.0,,
2018-08-30,292.0,,
2018-08-31,298.0,,
2018-09-03,298.0,,
2018-09-04,298.0,,
2018-09-05,286.0,,
2018-09-06,280.0,,
2018-09-07,276.0,,
2018-09-10,286.0,,
2018-09-11,278.0,,
2018-09-12,278.0,,
2018-09-13,270.0,,
2018-09-14,276.0,,
2018-09-17,280.0,,
2018-09-18,280.0,,
2018-09-19,268.0,,
2018-09-20,246.0,,
2018-09-21,256.0,,
2018-09-24,260.0,,
2018-09-25,260.0,,
2018-09-26,254.0,,
2018-09-27,252.0,,
2018-09-28,250.0,,
2018-10-01,252.0,,
2018-10-02,254.0,,
2018-10-03,256.0,,
2018-10-04,256.0,,
2018-10-05,256.0,,
2018-10-08,250.0,,
2018-10-09,250.0,,
2018-10-10,248.0,,
2018-10-11,248.0,,
2018-10-12,242.0,,
2018-10-15,242.0,,
2018-10-16,254.0,,
2018-10-17,254.0,,
2018-10-18,250.0,,
2018-10-19,250.0,,
2018-10-22,238.0,,
2018-10-23,246.0,,
2018-10-24,240.0,,
2018-10-25,230.0,,
2018-10-26,220.0,,
2018-10-29,228.0,,
2018-10-30,230.0,,
2018-10-31,240.0,,
2018-11-01,224.0,,
2018-11-02,226.0,,
2018-11-05,220.0,,
2018-11-06,236.0,,
2018-11-07,234.0,,
2018-11-08,242.0,,
2018-11-09,280.0,,
2018-11-12,264.0,,
2018-11-13,228.0,,
2018-11-14,220.0,,
2018-11-15,226.0,,
2018-11-16,222.0,,
2018-11-19,228.0,,
2018-11-20,222.0,,
2018-11-21,220.0,,
2018-11-22,220.0,,
2018-11-23,226.0,,
2018-11-26,248.0,,
2018-11-27,230.0,,
2018-11-28,238.0,,
2018-11-29,238.0,,
2018-11-30,230.0,,
2018-12-03,232.0,,
