Date,High,Low,Close,Open,Volume
2020-01-02,2.495,2.275,2.465,2.305,431845
2020-01-03,2.85,2.505,2.85,2.505,653604
2020-01-07,3.0,2.655,2.79,2.935,699819
2020-01-08,2.95,2.605,2.835,2.79,538560
2020-01-09,2.94,2.625,2.775,2.9,122590
2020-01-10,2.835,2.725,2.76,2.8,72722
2020-01-13,2.77,2.65,2.7,2.765,160810
2020-01-14,2.7,2.58,2.66,2.7,154776
2020-01-15,2.7,2.65,2.7,2.7,101485
2020-01-16,2.895,2.45,2.67,2.7,367319
2020-01-17,2.745,2.675,2.72,2.675,59972
2020-01-20,2.72,2.585,2.615,2.715,98073
2020-01-21,2.9,2.61,2.8,2.62,234628
2020-01-22,2.89,2.745,2.81,2.82,138850
2020-01-23,2.965,2.815,2.9,2.815,337333
2020-01-24,2.99,2.815,2.895,2.9,328851
2020-01-27,2.945,2.68,2.78,2.9,154341
2020-01-28,3.005,2.785,2.88,2.9,437191
2020-01-29,2.975,2.85,2.905,2.87,134063
2020-01-30,2.945,2.81,2.88,2.94,63557
2020-01-31,4.2,2.74,3.645,2.8,1679240
2020-02-03,3.59,3.185,3.285,3.59,671160
2020-02-04,3.4,3.05,3.21,3.285,182101
2020-02-05,3.96,3.305,3.68,3.305,1926091
2020-02-06,3.85,3.335,3.5,3.71,633384
2020-02-07,3.495,3.2,3.245,3.495,372553
2020-02-10,3.245,2.985,3.065,3.245,299290
2020-02-11,3.065,2.9,2.94,3.065,353376
2020-02-12,3.27,2.9,3.155,2.935,442907
2020-02-13,3.405,2.95,3.05,3.19,297861
2020-02-14,3.07,2.97,3.06,3.05,135140
2020-02-17,3.12,3.0,3.0,3.06,233570
2020-02-18,3.11,2.95,3.045,3.005,205277
2020-02-19,3.05,2.97,3.015,3.045,120882
2020-02-20,3.075,3.0,3.055,3.0,77250
2020-02-21,3.08,3.01,3.025,3.055,48364
2020-02-24,3.06,2.905,3.05,3.0,287901
2020-02-25,3.055,2.965,3.0,3.05,112857
2020-02-26,2.96,2.85,2.925,2.96,134252
2020-02-27,3.09,2.77,2.895,3.0,209571
2020-02-28,2.825,2.55,2.6,2.75,419403
2020-03-02,3.0,2.62,2.79,2.68,168932
2020-03-03,2.85,2.79,2.83,2.85,120306
2020-03-04,3.6,2.845,3.45,2.85,1079955
2020-03-05,3.445,3.22,3.24,3.445,517575
2020-03-06,3.2,2.955,3.16,3.2,248113
2020-03-09,3.08,2.8,2.8,2.945,368409
2020-03-10,2.96,2.83,2.925,2.83,219111
2020-03-11,2.98,2.62,2.7,2.955,257320
2020-03-12,2.59,2.28,2.3,2.59,392570
2020-03-13,2.795,2.23,2.32,2.3,681864
2020-03-16,2.32,2.015,2.19,2.32,235690
2020-03-17,2.885,2.3,2.51,2.3,399177
2020-03-18,3.0,2.555,2.825,2.71,835730
2020-03-19,3.25,2.95,3.05,3.0,938612
2020-03-20,3.25,3.0,3.055,3.06,691266
2020-03-23,3.055,2.78,2.78,3.055,331973
2020-03-24,2.985,2.68,2.73,2.68,294626
2020-03-25,2.9,2.68,2.685,2.9,291754
2020-03-26,2.71,2.66,2.68,2.68,71737
2020-03-27,2.785,2.68,2.68,2.69,59675
2020-03-30,2.775,2.55,2.73,2.66,137845
2020-03-31,2.8,2.73,2.77,2.73,110455
2020-04-01,2.78,2.7,2.715,2.78,96158
2020-04-02,2.71,2.64,2.71,2.71,68331
2020-04-03,2.71,2.62,2.65,2.71,176370
2020-04-06,2.77,2.6,2.6,2.65,305396
2020-04-07,2.81,2.7,2.8,2.7,173958
2020-04-08,2.84,2.6,2.6,2.815,242296
2020-04-09,2.8,2.725,2.765,2.725,125325
2020-04-14,2.84,2.7,2.8,2.8,156792
2020-04-15,2.865,2.705,2.76,2.855,181998
2020-04-16,2.8,2.68,2.74,2.77,58809
2020-04-17,2.8,2.64,2.695,2.74,184251
2020-04-20,2.785,2.695,2.7,2.7,116931
2020-04-21,2.99,2.7,2.815,2.7,363385
2020-04-22,2.9,2.78,2.86,2.815,231054
2020-04-23,2.86,2.735,2.8,2.825,221320
2020-04-24,2.79,2.715,2.73,2.715,69336
2020-04-27,2.845,2.625,2.695,2.83,247971
2020-04-28,2.795,2.69,2.7,2.705,383841
2020-04-29,2.7,2.6,2.7,2.69,137050
2020-04-30,2.73,2.61,2.73,2.7,65059
2020-05-04,2.75,2.64,2.65,2.75,130893
2020-05-05,2.75,2.64,2.69,2.645,163643
2020-05-06,2.715,2.6,2.68,2.715,60628
2020-05-07,2.69,2.62,2.64,2.68,70790
2020-05-08,2.67,2.625,2.67,2.64,40861
2020-05-11,2.725,2.53,2.605,2.675,204173
2020-05-12,2.68,2.54,2.65,2.54,68021
2020-05-13,2.675,2.605,2.65,2.65,62150
2020-05-14,2.65,2.4,2.52,2.6,349429
2020-05-15,2.56,2.4,2.51,2.55,134928
2020-05-18,2.585,2.5,2.56,2.51,90157
2020-05-19,2.62,2.425,2.6,2.6,111202
2020-05-20,2.62,2.53,2.58,2.555,18923
2020-05-22,2.6,2.52,2.59,2.565,87782
2020-05-25,2.62,2.465,2.57,2.585,95902
2020-05-26,2.595,2.52,2.59,2.57,83711
2020-05-27,2.62,2.525,2.525,2.595,106131
2020-05-28,2.615,2.545,2.6,2.545,53509
2020-05-29,2.6,2.52,2.595,2.6,55886
2020-06-01,2.6,2.48,2.545,2.59,94842
2020-06-02,2.585,2.52,2.52,2.545,104185
2020-06-03,2.59,2.45,2.55,2.52,278827
2020-06-04,2.6,2.48,2.51,2.54,453204
2020-06-05,2.62,2.475,2.52,2.52,409367
2020-06-08,2.575,2.5,2.51,2.545,151012
2020-06-09,2.535,2.455,2.505,2.51,230921
2020-06-10,2.955,2.48,2.87,2.505,1047386
2020-06-11,2.995,2.66,2.8,2.895,728917
