Date,High,Low,Close,Open,Volume
2020-01-02,30.5,28.0,29.5,30.5,2365
2020-01-03,29.9,29.4,29.9,29.5,2306
2020-01-06,35.5,30.4,34.2,30.4,5458
2020-01-07,43.0,36.0,38.0,36.0,30928
2020-01-08,38.0,36.2,36.9,38.0,2089
2020-01-09,38.3,37.0,37.0,37.3,4403
2020-01-10,36.9,35.4,36.0,36.9,5650
2020-01-13,35.8,35.5,35.6,35.5,215
2020-01-14,37.0,35.8,36.5,35.8,4895
2020-01-15,37.0,35.4,36.9,35.4,9144
2020-01-16,36.7,36.1,36.1,36.7,1273
2020-01-17,36.9,36.0,36.7,36.2,3201
2020-01-20,37.0,36.0,36.5,36.5,4580
2020-01-21,37.0,36.7,37.0,36.7,11810
2020-01-22,37.5,36.7,37.0,37.5,6194
2020-01-23,36.9,34.7,34.7,36.9,2056
2020-01-24,36.4,35.7,36.4,35.7,752
2020-01-27,36.3,35.7,36.3,36.3,1480
2020-01-28,36.3,35.9,36.1,35.9,2627
2020-01-29,36.7,36.0,36.0,36.4,2500
2020-01-30,37.1,36.2,36.4,36.2,3081
2020-01-31,37.0,34.5,35.5,36.8,12840
2020-02-03,35.5,34.8,34.8,35.5,1875
2020-02-04,34.9,34.3,34.3,34.9,3561
2020-02-05,35.5,34.8,35.0,35.3,3455
2020-02-06,34.7,34.6,34.6,34.7,110
2020-02-07,34.6,34.0,34.0,34.6,2315
2020-02-10,34.0,33.8,33.8,33.8,2119
2020-02-11,33.5,33.4,33.4,33.5,898
2020-02-12,34.0,33.2,33.4,33.2,2247
2020-02-13,33.8,33.2,33.8,33.3,300
2020-02-14,33.3,33.2,33.2,33.3,560
2020-02-17,33.7,33.3,33.7,33.3,496
2020-02-18,33.8,33.2,33.2,33.7,1470
2020-02-19,34.0,32.8,33.2,33.6,2777
2020-02-20,32.8,30.3,31.1,32.8,5942
2020-02-21,31.2,29.5,29.5,31.2,8185
2020-02-24,30.6,29.6,30.6,29.6,1370
2020-02-25,31.4,30.6,30.6,30.6,1411
2020-02-26,30.6,29.5,30.1,30.6,803
2020-02-27,29.5,27.5,28.4,29.2,3692
2020-02-28,27.7,22.8,23.7,27.7,8570
2020-03-02,25.9,23.7,25.9,23.7,4694
2020-03-03,30.7,25.9,30.7,25.9,6886
2020-03-04,30.7,29.5,29.5,30.7,2115
2020-03-05,29.3,29.3,29.3,29.3,867
2020-03-06,28.4,28.0,28.0,28.4,3496
2020-03-09,28.0,23.5,24.0,28.0,10049
2020-03-10,24.9,24.0,24.7,24.0,403
2020-03-11,25.0,24.1,24.9,24.1,185
2020-03-12,21.0,17.0,18.0,20.0,12295
2020-03-13,19.6,18.3,19.2,18.3,7039
2020-03-16,19.0,18.5,18.95,18.8,3881
2020-03-17,19.0,18.95,18.95,19.0,1095
2020-03-18,18.95,18.85,18.9,18.95,7982
2020-03-19,18.9,18.85,18.9,18.85,1250
2020-03-20,19.6,18.9,18.9,19.1,3400
2020-03-23,18.4,18.4,18.4,18.4,87
2020-03-24,18.7,18.0,18.7,18.2,3039
2020-03-25,18.7,18.0,18.7,18.7,3270
2020-03-26,18.8,18.8,18.8,18.8,10
2020-03-27,18.8,18.8,18.8,18.8,850
2020-03-30,19.5,18.85,19.5,18.85,2906
2020-03-31,19.9,19.0,19.9,19.6,5181
2020-04-01,19.9,19.0,19.1,19.9,1179
2020-04-02,19.7,19.6,19.7,19.6,1160
2020-04-03,19.9,19.9,19.9,19.9,10
2020-04-06,19.7,19.1,19.1,19.7,2138
2020-04-07,19.4,18.7,19.0,19.4,384
2020-04-08,19.0,18.8,18.8,19.0,1042
2020-04-09,18.8,18.8,18.8,18.8,0
2020-04-14,19.4,18.9,19.4,19.4,2578
2020-04-15,19.4,18.9,18.9,19.4,1690
2020-04-16,19.2,18.5,19.0,19.2,4965
2020-04-17,19.1,18.9,19.1,19.0,3060
2020-04-20,19.4,19.1,19.4,19.1,311
2020-04-21,19.5,19.1,19.5,19.1,353
2020-04-22,19.4,19.4,19.4,19.4,153
2020-04-23,20.0,19.1,19.5,19.1,2061
2020-04-24,19.5,19.5,19.5,19.5,0
2020-04-27,19.5,19.5,19.5,19.5,0
2020-04-28,20.8,19.8,19.9,19.8,17144
2020-04-29,20.0,19.7,20.0,19.8,2406
2020-04-30,20.2,19.8,20.0,19.8,2559
2020-05-01,20.0,20.0,20.0,20.0,1177
2020-05-04,20.0,19.5,19.5,20.0,531
2020-05-05,19.5,19.5,19.5,19.5,0
2020-05-06,20.0,19.8,20.0,19.8,2000
2020-05-07,19.7,19.7,19.7,19.7,1615
2020-05-11,20.0,19.4,20.0,19.5,3118
2020-05-12,20.0,19.8,20.0,20.0,1038
2020-05-13,20.0,19.8,19.8,20.0,829
2020-05-14,20.0,19.7,19.7,20.0,272
2020-05-15,19.6,19.0,19.0,19.5,1575
2020-05-18,19.7,19.0,19.6,19.7,2629
2020-05-19,19.0,18.9,18.9,19.0,2309
2020-05-20,19.9,19.1,19.9,19.5,4610
2020-05-25,20.0,19.9,19.9,20.0,8563
2020-05-26,20.0,19.4,19.7,19.5,4437
2020-05-27,20.2,19.8,20.2,19.9,13408
2020-05-28,22.0,20.2,21.4,20.2,14631
2020-05-29,21.6,21.0,21.2,21.6,1389
2020-06-02,24.4,21.4,24.0,21.4,20297
2020-06-03,24.0,23.2,23.2,24.0,7596
2020-06-04,22.8,21.6,22.8,22.6,13467
2020-06-08,22.8,20.2,22.2,22.6,27034
2020-06-09,22.0,21.2,21.2,22.0,3979
2020-06-10,21.8,20.6,21.0,21.8,2808
2020-06-11,21.0,20.0,20.8,21.0,256921
2020-06-12,20.4,19.8,20.4,20.0,3816
2020-06-15,20.2,20.0,20.0,20.2,349
2020-06-16,21.0,20.2,21.0,20.2,4629
2020-06-17,21.4,21.0,21.0,21.0,2546
2020-06-18,21.2,21.0,21.0,21.2,95
2020-06-19,20.8,20.8,20.8,20.8,2387
2020-06-22,20.6,20.0,20.0,20.6,3703
2020-06-23,20.2,19.7,20.2,20.0,1514
2020-06-24,20.2,20.0,20.2,20.2,1195
2020-06-25,20.2,19.7,19.7,19.7,4407
