Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,13.2,13.05,13.2,13.05,2166
2018-06-07,13.8,13.0,13.45,13.0,10515
2018-06-08,13.5,13.1,13.5,13.1,8132
2018-06-11,13.4,13.25,13.3,13.3,15120
2018-06-12,13.7,13.45,13.6,13.55,18240
2018-06-13,13.7,13.6,13.6,13.6,8533
2018-06-14,13.8,13.35,13.8,13.35,947
2018-06-15,13.8,13.55,13.6,13.8,16794
2018-06-18,13.65,13.6,13.6,13.6,12539
2018-06-19,13.7,13.5,13.6,13.5,7950
2018-06-20,13.75,13.5,13.75,13.5,29132
2018-06-21,13.75,13.6,13.75,13.6,11739
2018-06-25,14.0,13.55,13.55,14.0,194
2018-06-26,13.55,13.55,13.55,13.55,485
2018-06-27,13.6,13.6,13.6,13.6,30
2018-06-28,13.8,13.6,13.8,13.6,1459
2018-06-29,14.0,13.55,13.65,14.0,5622
2018-07-02,14.0,13.55,14.0,14.0,2541
2018-07-03,14.25,13.8,14.25,14.0,16042
2018-07-04,14.05,14.0,14.0,14.05,11040
2018-07-05,14.45,14.0,14.35,14.0,34012
2018-07-06,14.35,14.3,14.35,14.35,6099
2018-07-09,15.1,14.1,15.05,14.1,22190
2018-07-10,15.8,15.05,15.75,15.05,32118
2018-07-11,15.75,14.95,15.55,15.75,4589
2018-07-12,15.6,15.45,15.5,15.55,12259
2018-07-13,15.55,15.4,15.4,15.5,7097
2018-07-16,15.8,15.1,15.8,15.1,4200
2018-07-17,15.95,15.6,15.95,15.6,2451
2018-07-18,15.75,15.05,15.05,15.6,16010
2018-07-19,15.65,15.15,15.5,15.15,5031
2018-07-20,16.2,15.25,16.2,15.25,11488
2018-07-23,16.2,16.2,16.2,16.2,3
2018-07-24,16.4,16.0,16.4,16.0,2202
2018-07-25,17.5,16.4,17.25,16.4,8506
2018-07-26,17.25,16.7,16.95,17.25,13369
2018-07-27,17.35,16.6,17.35,16.75,30602
2018-07-30,17.35,16.9,16.9,17.35,2000
2018-07-31,17.5,16.8,17.2,16.8,8241
2018-08-01,17.15,16.9,17.15,16.9,140
2018-08-02,17.0,17.0,17.0,17.0,1500
2018-08-03,17.4,16.65,16.8,17.0,48952
2018-08-06,17.05,16.8,17.0,16.8,7070
2018-08-07,17.05,17.05,17.05,17.05,60
2018-08-08,17.2,16.75,17.2,16.75,25132
2018-08-09,17.15,16.5,16.95,16.9,16357
2018-08-10,17.05,16.7,17.0,16.95,4403
2018-08-13,16.8,16.25,16.6,16.5,17800
2018-08-14,16.45,16.15,16.45,16.15,344
2018-08-15,16.65,16.5,16.65,16.65,1182
2018-08-16,16.15,16.15,16.15,16.15,2
2018-08-17,16.65,16.15,16.5,16.15,83818
2018-08-20,16.7,16.3,16.3,16.7,20
2018-08-21,16.5,16.3,16.35,16.5,1236
2018-08-22,16.6,16.2,16.6,16.2,1571
2018-08-23,16.5,16.5,16.5,16.5,274
2018-08-24,16.8,16.1,16.1,16.8,3362
2018-08-27,16.65,16.0,16.0,16.65,6465
2018-08-28,16.0,15.45,15.7,16.0,6971
2018-08-29,15.95,15.65,15.95,15.65,1964
2018-08-30,15.6,15.35,15.35,15.6,166
2018-08-31,15.6,15.25,15.6,15.55,20238
2018-09-03,16.5,16.05,16.5,16.05,28597
2018-09-04,16.75,16.5,16.6,16.5,14322
2018-09-05,16.6,16.5,16.5,16.6,4001
2018-09-06,16.55,16.3,16.55,16.3,516
2018-09-07,16.7,16.35,16.4,16.35,732
2018-09-10,16.55,16.35,16.55,16.35,12404
2018-09-11,16.65,16.55,16.65,16.6,10096
2018-09-12,16.6,16.35,16.35,16.4,35524
2018-09-13,16.6,16.4,16.6,16.4,7748
2018-09-14,16.8,16.6,16.8,16.6,16312
2018-09-17,17.0,16.9,17.0,16.9,158
2018-09-18,17.0,16.65,17.0,16.65,30496
2018-09-19,17.2,16.7,17.2,16.7,2127
2018-09-20,17.3,17.0,17.25,17.0,243
2018-09-21,17.25,16.9,17.1,17.25,2533
2018-09-24,17.0,16.85,17.0,16.85,13260
2018-09-25,16.9,16.75,16.85,16.75,1538
2018-09-26,17.1,16.8,16.8,17.0,24377
2018-09-27,16.85,16.8,16.85,16.8,1300
2018-09-28,17.0,16.8,17.0,16.9,437
2018-10-01,17.0,16.95,17.0,16.95,37242
2018-10-02,17.0,16.8,17.0,16.8,4848
2018-10-03,17.0,16.7,17.0,17.0,15125
2018-10-04,17.15,16.75,16.75,17.15,1834
2018-10-05,16.95,16.55,16.75,16.75,9851
2018-10-08,16.75,16.6,16.75,16.6,73
2018-10-09,16.75,16.75,16.75,16.75,0
2018-10-10,16.9,16.4,16.9,16.55,4104
2018-10-11,16.65,16.1,16.25,16.1,2816
2018-10-12,16.6,16.2,16.45,16.2,24846
2018-10-15,16.45,16.4,16.4,16.4,2570
2018-10-16,16.4,16.4,16.4,16.4,4
2018-10-17,16.7,16.4,16.7,16.4,2735
2018-10-18,16.65,16.45,16.65,16.45,20
2018-10-19,16.5,16.4,16.5,16.4,5000
2018-10-22,16.4,16.4,16.4,16.4,10
2018-10-23,16.45,16.2,16.2,16.45,4143
2018-10-24,16.05,16.05,16.05,16.05,20
2018-10-25,16.2,15.75,16.2,16.0,23736
2018-10-26,16.3,15.75,16.3,16.2,5066
2018-10-29,16.3,16.3,16.3,16.3,1
2018-10-30,16.3,16.3,16.3,16.3,0
2018-10-31,16.2,15.75,16.15,16.2,2952
2018-11-01,16.15,16.15,16.15,16.15,355
2018-11-02,16.15,16.15,16.15,16.15,0
2018-11-02,16.3,16.3,16.3,16.3,0
2018-11-05,16.3,15.5,16.3,16.0,31370
2018-11-06,16.3,15.9,16.3,15.95,17230
2018-11-07,16.05,16.0,16.0,16.05,2053
2018-11-08,16.05,16.05,16.05,16.05,3000
2018-11-09,16.2,16.0,16.2,16.0,7078
2018-11-12,16.25,16.0,16.0,16.0,390
2018-11-13,16.2,16.2,16.2,16.2,3000
2018-11-14,16.0,15.9,16.0,16.0,4115
2018-11-15,16.0,16.0,16.0,16.0,0
2018-11-16,16.1,15.9,15.9,16.1,531
2018-11-19,16.0,15.8,15.8,16.0,2600
2018-11-20,15.9,15.65,15.9,15.65,2132
2018-11-21,15.9,15.55,15.9,15.65,1706
2018-11-22,18.0,16.0,18.0,16.0,16895
2018-11-23,18.0,16.85,17.1,18.0,7083
2018-11-26,16.85,16.7,16.85,16.85,5330
2018-11-27,17.0,16.6,16.6,16.85,3040
2018-11-28,16.6,16.6,16.6,16.6,0
2018-11-29,16.7,16.3,16.6,16.7,16981
2018-11-30,16.65,16.6,16.6,16.6,474
2018-12-03,16.9,16.8,16.8,16.8,3430
2018-12-04,16.6,16.6,16.6,16.6,28
2018-12-05,16.6,16.6,16.6,16.6,976
2018-12-06,16.6,16.6,16.6,16.6,1417
2018-12-07,16.6,16.6,16.6,16.6,1500
2018-12-10,16.6,16.5,16.6,16.5,2037
2018-12-11,16.6,16.0,16.55,16.5,14526
2018-12-12,16.5,16.05,16.5,16.5,2371
2018-12-13,16.5,16.3,16.3,16.5,783933
2018-12-14,16.35,16.35,16.35,16.35,12870
2018-12-17,16.35,16.3,16.35,16.3,40
2018-12-18,16.35,16.35,16.35,16.35,411
2018-12-19,16.4,16.35,16.4,16.35,695
2018-12-20,16.8,16.45,16.75,16.45,12542
2018-12-21,16.8,16.6,16.6,16.75,27928
2018-12-27,16.7,16.6,16.7,16.6,3509
2018-12-28,16.9,16.7,16.9,16.7,14287
2019-01-02,17.0,16.75,16.95,17.0,698
2019-01-03,16.85,16.75,16.75,16.85,15020
2019-01-04,16.85,16.75,16.85,16.75,8608
2019-01-07,17.0,16.7,16.7,16.85,5988
2019-01-08,17.0,16.85,16.85,16.85,7410
2019-01-09,17.0,16.75,17.0,16.75,19727
