Date,High,Low,Close,Open,Volume
2020-01-02,26.18,24.9,26.0,24.99,1651834
2020-01-03,26.15,25.48,25.65,26.02,786624
2020-01-06,25.8,24.85,25.47,25.8,1001407
2020-01-07,25.67,25.11,25.5,25.45,471470
2020-01-08,25.58,25.09,25.23,25.2,564499
2020-01-09,25.02,24.16,24.4,25.01,1070319
2020-01-10,24.46,23.64,24.14,24.42,2863002
2020-01-13,24.2,23.29,23.45,24.15,915134
2020-01-14,23.0,21.64,22.26,22.95,2429033
2020-01-15,23.46,21.65,22.13,22.97,2945956
2020-01-16,22.31,21.65,22.09,22.13,1447917
2020-01-17,22.49,21.94,22.08,22.15,865833
2020-01-20,22.16,21.79,22.13,22.1,360759
2020-01-21,22.07,21.65,21.95,21.87,507061
2020-01-22,21.9,20.74,20.99,21.9,1457762
2020-01-23,20.97,20.15,20.52,20.5,1656056
2020-01-24,21.0,20.4,20.9,20.55,878664
2020-01-27,20.75,19.77,20.41,20.75,687857
2020-01-28,20.35,19.625,20.16,20.3,831352
2020-01-29,20.05,19.2,19.2,20.0,915050
2020-01-30,19.145,18.65,18.895,19.145,753864
2020-01-31,19.1,18.47,18.615,19.045,730440
2020-02-03,18.94,18.175,18.52,18.61,601987
2020-02-04,18.76,18.31,18.47,18.7,507891
2020-02-05,18.825,18.18,18.825,18.715,912166
2020-02-06,19.3,18.635,18.86,18.91,1073411
2020-02-07,18.0,14.11,14.11,18.0,8974004
2020-02-10,14.445,12.59,13.39,14.12,6421579
2020-02-11,14.45,13.785,14.25,13.79,4202485
2020-02-12,14.93,14.34,14.51,14.465,2864897
2020-02-13,15.36,14.51,15.36,14.645,2799963
2020-02-14,15.5,14.705,15.13,15.5,1968307
2020-02-17,15.2,14.66,15.15,15.15,1230669
2020-02-18,15.085,14.45,14.88,15.085,1847438
2020-02-19,15.25,14.605,14.7,15.15,1169138
2020-02-20,15.075,14.69,14.89,14.85,905199
2020-02-21,14.895,14.355,14.525,14.89,1363944
2020-02-24,14.29,12.93,13.17,14.29,1543341
2020-02-25,13.46,12.75,13.0,13.2,1220414
2020-02-26,13.165,12.5,13.1,12.5,1284340
2020-02-27,12.91,12.0,12.305,12.9,1518224
2020-02-28,13.165,11.745,13.005,11.9,1925685
2020-03-02,13.745,12.5,12.625,13.35,1798502
2020-03-03,13.205,12.645,12.69,13.0,1345859
2020-03-04,12.865,12.065,12.1,12.7,10084197
2020-03-05,12.4,11.54,11.65,12.4,3008559
2020-03-06,11.5,10.9,10.9,11.5,1344292
2020-03-09,8.728,7.0,7.418,7.0,4752950
2020-03-10,8.136,6.924,6.924,8.068,5034091
2020-03-11,7.336,6.41,6.424,7.336,3394430
2020-03-12,6.3,5.728,6.006,6.3,3718421
2020-03-13,6.952,6.03,6.476,6.1,2471733
2020-03-16,6.072,4.75,5.232,6.0,5173469
2020-03-17,5.676,4.95,5.092,5.478,4511412
2020-03-18,5.234,4.721,4.73,5.2,3360252
2020-03-19,4.99,4.51,4.597,4.889,4408808
2020-03-20,5.176,4.651,4.884,5.1,6527621
2020-03-23,4.92,4.362,4.379,4.9,6040588
2020-03-24,5.248,4.611,5.05,4.949,5722959
2020-03-25,7.2,5.382,5.794,5.6,16501447
2020-03-26,6.106,5.35,5.7,5.7,8558009
2020-03-27,5.76,5.226,5.48,5.75,5149300
2020-03-30,5.472,5.0,5.304,5.3,4551982
2020-03-31,6.0,5.45,5.516,5.55,6921722
2020-04-01,5.63,5.21,5.56,5.495,4591632
2020-04-02,6.24,5.715,5.965,5.75,7425206
2020-04-03,6.685,5.93,6.51,6.205,8753109
2020-04-06,6.595,6.23,6.4,6.5,4279710
2020-04-07,7.7,6.6,7.44,6.68,7037218
2020-04-08,7.44,6.74,7.095,7.44,6298208
2020-04-09,7.095,7.095,7.095,7.095,0
2020-04-14,8.105,6.985,7.29,7.51,10728609
2020-04-15,7.195,6.575,6.77,7.195,6012156
2020-04-16,7.125,6.5,6.62,6.7,4764162
2020-04-17,7.145,6.6,6.925,6.75,3538973
