Date,High,Low,Close,Open,Volume
2020-01-02,0.33,0.28,0.294,0.33,111245
2020-01-03,0.3,0.28,0.29,0.3,201289
2020-01-07,0.38,0.284,0.3,0.38,72219
2020-01-08,0.386,0.304,0.304,0.324,87526
2020-01-09,0.376,0.3,0.302,0.376,33614
2020-01-10,0.3,0.284,0.3,0.284,11250
2020-01-13,0.376,0.3,0.304,0.3,2098
2020-01-14,0.33,0.3,0.3,0.304,81135
2020-01-15,0.382,0.32,0.32,0.382,1779
2020-01-16,0.386,0.31,0.31,0.38,35470
2020-01-17,0.3,0.3,0.3,0.3,4000
2020-01-20,0.3,0.3,0.3,0.3,5000
2020-01-21,0.302,0.3,0.302,0.3,5494
2020-01-22,0.302,0.262,0.262,0.302,99905
2020-01-23,0.4,0.276,0.394,0.276,111030
2020-01-24,0.426,0.356,0.4,0.394,80663
2020-01-27,0.4,0.314,0.38,0.4,17463
2020-01-28,0.36,0.36,0.36,0.36,88675
2020-01-29,1.15,0.332,0.87,0.332,3259122
2020-01-30,1.04,0.615,0.74,0.87,1610298
2020-01-31,1.55,0.625,1.23,0.705,4357535
2020-02-03,1.26,0.95,1.11,1.26,874231
2020-02-04,1.11,0.92,1.06,1.11,368425
2020-02-05,1.06,0.81,0.9,1.06,1283439
2020-02-06,0.98,0.81,0.815,0.98,129292
2020-02-07,0.86,0.78,0.82,0.82,275979
2020-02-10,0.85,0.75,0.78,0.82,147488
2020-02-11,0.84,0.75,0.815,0.75,144141
2020-02-12,0.86,0.755,0.8,0.86,141979
2020-02-13,0.83,0.75,0.8,0.76,61561
2020-02-14,0.8,0.7,0.795,0.77,177558
2020-02-17,0.8,0.66,0.745,0.795,329812
2020-02-18,0.745,0.66,0.695,0.745,138957
2020-02-19,0.69,0.61,0.62,0.61,62872
2020-02-20,0.755,0.62,0.74,0.62,156290
2020-02-21,0.76,0.705,0.74,0.76,31729
2020-02-24,0.78,0.62,0.78,0.72,233275
2020-02-25,0.78,0.67,0.71,0.78,61202
2020-02-26,0.75,0.6,0.66,0.71,125078
2020-02-27,0.745,0.66,0.67,0.66,98445
2020-02-28,0.74,0.62,0.735,0.67,123843
2020-03-02,0.735,0.7,0.7,0.735,41399
2020-03-03,0.73,0.63,0.73,0.7,54190
2020-03-04,0.73,0.67,0.67,0.67,48993
2020-03-05,0.7,0.65,0.65,0.67,55900
2020-03-06,0.65,0.65,0.65,0.65,10670
2020-03-09,0.65,0.61,0.65,0.65,203290
2020-03-10,0.74,0.74,0.74,0.74,13006
2020-03-11,1.0,0.66,0.865,0.66,509555
2020-03-12,0.94,0.675,0.675,0.89,194808
2020-03-13,0.89,0.765,0.8,0.885,117288
2020-03-16,0.875,0.75,0.75,0.875,93125
2020-03-17,0.875,0.675,0.755,0.73,27477
2020-03-18,1.1,0.86,0.93,0.95,487543
2020-03-19,1.12,0.945,1.1,0.945,148424
2020-03-20,1.1,0.99,1.06,1.1,125576
2020-03-23,1.09,0.96,1.06,1.09,91177
2020-03-24,1.07,0.96,1.05,1.07,50134
2020-03-25,1.05,0.935,1.02,1.05,55135
2020-03-26,1.02,0.85,0.92,1.02,155373
2020-03-27,1.07,0.9,0.935,0.92,217389
2020-03-30,1.0,0.87,0.91,0.935,69410
2020-03-31,1.01,0.86,1.01,0.9,78504
2020-04-01,1.0,0.93,0.94,1.0,40694
2020-04-02,0.985,0.91,0.985,0.915,81395
2020-04-03,2.16,1.47,2.12,1.47,8676525
2020-04-06,2.9,2.1,2.3,2.26,9288329
2020-04-07,2.6,2.06,2.3,2.6,2371673
2020-04-08,2.34,1.95,2.12,2.32,1385478
2020-04-09,2.18,2.0,2.12,2.1,409523
2020-04-14,2.5,2.12,2.34,2.12,1433739
2020-04-15,2.42,2.16,2.3,2.36,631579
2020-04-16,2.28,2.16,2.26,2.28,304581
2020-04-17,2.38,2.12,2.12,2.3,652604
2020-04-20,2.4,2.2,2.36,2.36,912969
