Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,68.0,65.8,66.0,68.0,43141
2018-06-07,69.5,67.3,68.2,69.5,60157
2018-06-08,70.5,68.5,69.6,69.0,35374
2018-06-11,70.9,67.7,68.0,70.0,64297
2018-06-12,68.0,65.4,66.5,68.0,74294
2018-06-13,67.3,64.1,65.1,66.5,57582
2018-06-14,66.2,65.0,65.0,66.2,8414
2018-06-15,65.4,63.9,64.4,65.1,28144
2018-06-18,66.9,64.1,64.8,64.2,6707
2018-06-19,66.5,64.6,66.0,64.9,21660
2018-06-20,67.6,65.1,66.5,67.5,17524
2018-06-21,67.8,65.0,67.0,66.6,91749
2018-06-25,68.7,66.3,66.5,68.7,11049
2018-06-26,67.4,61.0,67.3,61.0,13729
2018-06-27,70.2,67.1,69.7,67.3,30136
2018-06-28,72.1,68.6,72.0,69.0,15997
2018-06-29,73.7,72.0,72.0,72.9,23409
2018-07-02,73.8,68.8,71.9,73.8,44098
2018-07-03,76.6,64.9,74.0,64.9,19984
2018-07-04,73.7,71.9,71.9,72.0,19309
2018-07-05,74.0,72.1,72.5,72.1,5751
2018-07-06,74.8,73.0,74.2,73.1,11554
2018-07-09,75.9,74.6,75.3,75.0,9751
2018-07-10,77.0,74.5,76.1,77.0,31646
2018-07-11,75.8,75.2,75.7,75.2,3932
2018-07-12,77.4,75.5,76.3,76.6,16807
2018-07-13,76.8,74.6,76.8,75.6,11614
2018-07-16,76.9,75.7,76.0,76.9,5434
2018-07-17,75.9,75.0,75.3,75.9,13376
2018-07-18,75.7,73.8,75.4,75.7,36354
2018-07-19,75.0,73.3,74.2,75.0,6974
2018-07-20,74.3,73.7,74.3,73.8,2101
2018-07-23,74.4,73.7,74.2,74.2,3406
2018-07-24,75.2,73.2,75.2,74.2,4799
2018-07-25,75.2,72.9,73.5,75.2,7831
2018-07-26,76.0,74.0,76.0,74.1,9793
2018-07-27,76.0,74.3,75.7,76.0,3413
2018-07-30,75.7,73.7,75.5,75.7,13836
2018-07-31,75.4,73.8,74.7,75.4,9973
2018-08-01,75.4,72.5,74.5,75.4,9673
2018-08-02,74.3,72.5,73.8,73.0,12632
2018-08-03,75.0,72.5,75.0,72.8,9025
2018-08-06,76.0,74.3,75.0,75.0,6599
2018-08-07,75.9,72.8,74.0,73.5,20276
2018-08-08,75.0,73.0,73.1,73.0,12381
2018-08-09,73.5,73.3,73.4,73.5,3169
2018-08-10,73.5,72.7,73.0,73.3,5384
2018-08-13,72.9,70.2,71.9,72.8,18003
2018-08-14,72.5,71.1,71.5,72.5,2094
2018-08-15,72.7,69.7,71.1,71.5,485305
2018-08-16,73.7,71.2,73.7,71.2,9059
2018-08-17,75.0,74.0,74.9,74.0,3835
2018-08-20,76.6,74.6,76.5,74.6,25188
2018-08-21,81.8,77.1,79.7,77.3,24234
2018-08-22,81.0,78.5,79.4,80.0,53689
2018-08-23,81.3,79.7,80.7,79.9,20135
2018-08-24,80.5,78.7,80.0,80.5,15478
2018-08-27,81.8,78.3,78.6,80.0,39938
2018-08-28,80.1,78.3,79.8,78.7,19078
2018-08-29,82.5,80.0,81.4,80.9,470212
2018-08-30,82.0,79.4,80.0,81.9,242376
2018-08-31,81.0,79.0,80.0,79.5,68650
2018-09-03,82.0,80.2,80.8,81.1,78204
2018-09-04,82.0,79.2,79.5,82.0,108240
2018-09-05,79.8,78.1,79.6,79.5,58166
2018-09-06,80.8,79.3,79.7,79.4,21668
2018-09-07,80.6,79.0,80.0,79.0,4798
2018-09-10,81.2,78.5,81.0,80.0,46250
2018-09-11,82.0,80.4,81.8,80.4,88887
2018-09-12,83.4,81.2,82.8,81.2,59220
2018-09-13,85.7,83.1,84.1,83.1,29476
2018-09-14,88.5,84.1,88.5,84.1,106980
2018-09-17,89.8,86.4,87.8,88.5,60218
2018-09-18,89.0,84.2,84.8,89.0,166051
2018-09-19,87.5,84.5,85.7,84.8,54034
2018-09-20,86.0,83.6,84.8,85.7,24835
2018-09-21,87.0,84.0,85.0,85.4,59738
2018-09-24,85.5,83.0,83.5,85.1,59992
2018-09-25,84.3,82.6,83.9,84.3,139801
2018-09-26,85.0,83.9,84.8,83.9,14768
2018-09-27,85.6,82.9,84.3,85.1,26002
2018-09-28,85.0,82.6,84.9,84.5,11534
2018-10-01,85.0,83.4,84.5,84.8,16084
2018-10-02,85.6,83.7,83.7,84.5,10652
2018-10-03,84.5,83.0,83.5,83.3,7038
2018-10-04,82.6,80.5,81.4,82.6,92565
2018-10-05,82.2,81.0,81.8,81.4,40388
2018-10-08,81.6,79.8,80.3,81.6,29867
2018-10-09,82.0,78.0,82.0,79.6,21668
2018-10-10,82.2,79.6,81.5,82.2,152254
2018-10-11,81.4,76.1,80.8,80.0,18795
2018-10-12,82.8,78.9,79.9,78.9,21443
2018-10-15,80.5,76.6,78.6,80.3,36298
2018-10-16,87.1,83.3,87.1,83.3,226687
2018-10-17,89.0,86.1,86.5,88.0,1357642
2018-10-18,87.6,85.3,86.3,86.4,57084
2018-10-19,87.5,85.5,86.0,87.1,38734
2018-10-22,88.4,86.5,86.5,88.0,58981
2018-10-23,87.3,84.0,84.9,86.5,57458
2018-10-24,86.9,83.4,84.4,86.9,48332
2018-10-25,84.1,80.7,81.7,84.1,45433
2018-10-26,82.1,80.1,81.0,82.1,20018
2018-10-29,85.0,83.0,85.0,83.0,52731
2018-10-30,85.5,83.8,85.4,85.0,259513
2018-10-31,86.2,84.0,85.0,85.0,43793
2018-11-01,85.6,83.3,84.3,84.4,20165
2018-11-02,86.0,83.1,83.3,85.8,21301
2018-11-05,85.4,83.8,85.3,84.4,37309
2018-11-06,85.3,84.3,84.7,85.3,222484
2018-11-07,85.6,84.4,84.7,85.6,374469
2018-11-08,85.3,84.2,85.0,85.0,35817
2018-11-09,86.0,84.0,84.7,85.0,21033
2018-11-12,84.7,81.8,82.0,84.7,40718
2018-11-13,85.5,82.7,83.2,85.0,88409
2018-11-14,85.3,81.5,85.0,83.6,1963244
2018-11-15,86.1,83.8,86.1,85.9,191077
2018-11-16,87.8,86.1,86.7,86.1,270599
2018-11-19,89.5,86.7,88.0,86.7,47522
2018-11-20,88.7,85.6,88.3,88.3,92167
2018-11-21,90.0,86.0,87.0,90.0,76866
2018-11-22,86.9,85.0,85.0,86.9,41350
2018-11-23,87.5,85.1,86.7,85.1,98914
2018-11-26,88.5,85.6,87.0,86.7,30778
2018-11-27,87.6,85.8,86.7,87.2,53070
2018-11-28,87.2,85.7,86.6,86.5,26577
2018-11-29,87.1,86.1,86.6,86.7,36340
2018-11-30,91.2,85.9,89.5,87.5,101209
2018-12-03,91.5,89.5,90.5,90.0,56714
2018-12-04,90.7,88.1,89.6,90.5,68239
2018-12-05,90.5,89.0,90.0,89.6,51216
2018-12-06,89.9,88.0,88.2,89.9,48403
2018-12-07,89.8,87.6,88.2,88.6,19625
2018-12-10,88.0,85.0,87.0,87.2,39838
2018-12-11,88.4,86.4,87.2,86.7,58038
2018-12-12,88.9,87.2,87.6,87.2,81405
2018-12-13,89.8,87.2,87.4,88.0,86132
2018-12-14,87.8,85.5,87.0,86.7,100582
2018-12-17,89.2,85.0,88.5,86.2,51892
2018-12-18,89.9,85.4,85.7,88.6,58027
2018-12-19,87.0,84.6,85.8,85.0,111556
2018-12-20,85.3,83.2,85.0,85.0,65495
2018-12-21,85.2,83.3,83.3,83.8,96947
2018-12-27,84.2,82.4,83.3,83.3,30152
2018-12-28,86.9,83.3,86.9,83.3,84673
2019-01-02,86.5,85.4,86.0,86.4,62534
2019-01-03,87.5,85.4,85.7,86.0,46690
2019-01-04,86.7,84.4,86.0,85.7,23561
2019-01-07,86.3,84.7,85.5,86.0,36183
2019-01-08,90.6,84.3,89.0,84.3,41714
2019-01-09,90.5,88.3,88.7,88.7,20785
2019-01-10,89.7,87.1,87.3,89.5,30144
2019-01-11,88.7,87.2,87.5,88.0,13667
2019-01-14,86.6,84.2,85.7,86.0,22582
2019-01-15,87.7,85.3,87.0,85.7,20791
2019-01-16,86.9,84.9,85.3,86.2,29706
2019-01-17,85.6,84.6,84.8,85.0,9163
2019-01-18,86.4,84.1,86.1,84.1,34996
2019-01-21,86.5,84.8,85.3,86.5,13762
2019-01-22,86.5,84.2,86.5,85.2,17284
2019-01-23,88.5,85.4,87.8,86.9,23297
2019-01-24,88.2,87.0,87.2,87.8,13545
2019-01-25,88.5,86.5,87.4,86.5,12193
2019-01-28,87.1,85.7,86.1,87.0,15250
2019-01-29,86.5,84.5,85.0,86.1,20392
2019-01-30,86.5,81.3,82.0,84.9,90710
2019-01-31,83.1,81.2,82.1,81.7,30498
2019-02-01,83.0,81.0,82.0,82.3,22322
2019-02-04,82.0,80.3,81.2,81.2,53477
2019-02-05,81.5,79.5,79.7,81.1,65624
2019-02-06,81.8,79.6,81.7,79.6,38442
2019-02-07,81.7,80.6,81.0,81.7,11684
2019-02-08,81.0,79.6,80.9,81.0,34655
2019-02-11,82.0,80.0,81.5,80.9,20322
2019-02-12,82.1,80.6,82.0,81.9,24537
2019-02-13,83.5,81.0,82.0,81.5,125716
2019-02-14,84.4,81.2,82.0,82.0,1063993
2019-02-15,83.3,81.5,83.0,81.9,1776242
2019-02-18,85.2,82.9,85.1,83.0,40366
2019-02-19,86.2,85.4,85.6,85.4,54758
2019-02-20,86.3,84.0,84.0,86.3,35503
2019-02-21,85.4,82.8,83.7,85.4,16758
2019-02-22,85.7,83.2,85.7,83.3,82157
2019-02-25,85.7,85.1,85.5,85.7,78740
2019-02-26,86.1,84.5,85.5,85.0,22563
2019-02-27,85.7,82.6,84.8,84.8,26189
2019-02-28,85.6,83.2,85.5,84.2,33137
2019-03-01,85.6,84.8,85.2,85.4,29503
2019-03-04,85.7,83.9,85.5,85.2,11323
2019-03-05,86.3,84.7,85.5,85.5,23837
2019-03-06,85.3,84.0,84.0,85.1,12389
2019-03-07,84.2,81.1,82.0,84.0,29757
2019-03-08,83.2,80.1,82.9,81.4,23301
2019-03-11,84.8,82.0,83.2,82.0,31802
2019-03-12,83.4,82.0,82.6,83.2,11754
2019-03-13,82.7,81.0,81.9,81.0,18050
2019-03-14,82.7,80.8,82.6,81.5,8079
2019-03-15,83.5,81.5,83.2,82.7,39836
2019-03-18,83.7,80.2,83.2,80.2,25398
2019-03-19,83.5,82.3,83.2,82.8,9160
2019-03-20,85.1,83.5,84.7,83.5,15700
2019-03-21,84.0,81.7,82.5,84.0,64982
2019-03-22,82.5,81.3,82.1,82.4,163720
2019-03-25,82.6,81.4,82.0,82.6,25127
2019-03-26,85.0,80.6,81.8,85.0,37280
2019-03-27,83.0,81.1,82.7,81.1,8021
2019-03-28,82.8,79.8,80.2,82.7,23796
2019-03-29,81.3,78.9,79.5,78.9,59435
2019-04-01,81.3,79.5,80.5,79.5,94261
2019-04-02,81.3,79.6,79.8,80.9,21083
2019-04-03,80.9,80.0,80.0,80.1,271340
2019-04-04,80.4,78.3,78.6,80.4,43721
2019-04-05,79.0,77.5,77.5,78.8,56862
2019-04-08,78.3,77.5,77.8,77.5,140747
2019-04-09,78.0,76.4,76.7,77.8,16059
2019-04-10,77.0,74.6,74.7,77.0,64717
2019-04-11,74.7,72.0,73.4,73.5,116433
2019-04-12,74.5,73.1,74.0,73.1,32744
2019-04-15,75.3,74.1,75.3,74.2,695433
2019-04-16,79.0,76.4,76.9,78.0,34672
2019-04-17,77.6,73.0,73.9,77.5,30929
2019-04-18,74.0,72.9,73.2,73.9,20492
2019-04-23,73.4,72.2,72.3,73.3,27534
2019-04-24,75.0,70.5,75.0,72.0,106630
2019-04-25,75.8,74.3,74.6,74.3,42437
2019-04-26,76.0,74.3,75.0,74.3,18216
2019-04-29,75.0,73.5,74.8,74.8,17823
2019-04-30,77.4,74.3,77.1,74.3,131137
2019-05-02,78.9,77.4,78.5,78.0,120438
2019-05-03,80.4,77.1,78.5,78.7,50197
2019-05-06,79.1,77.1,78.0,78.6,30540
2019-05-07,79.9,78.2,78.6,79.0,129837
2019-05-08,78.5,71.7,72.4,78.5,75550
2019-05-09,74.1,72.4,73.0,72.4,90752
2019-05-10,72.8,69.5,70.4,72.8,83468
2019-05-13,72.4,69.6,69.6,70.4,20297
2019-05-14,70.4,68.4,68.7,69.6,44108
2019-05-15,69.0,67.0,68.7,68.7,139637
2019-05-16,70.4,67.4,68.1,69.5,35996
2019-05-17,63.0,60.1,61.3,63.0,71454
2019-05-20,62.6,60.2,61.5,61.4,39934
2019-05-21,65.6,61.1,62.6,61.5,34885
2019-05-22,64.1,61.9,63.2,62.2,48414
2019-05-23,63.6,60.8,61.2,63.4,117661
2019-05-24,61.8,60.5,60.5,60.5,211277
2019-05-27,61.4,59.8,61.0,60.5,72342
2019-05-28,61.4,60.6,60.7,61.0,213812
2019-05-29,61.4,60.5,60.7,60.8,141467
2019-05-31,63.6,59.5,63.6,60.5,161066
2019-06-03,63.0,61.0,63.0,62.7,354870
2019-06-04,66.5,62.4,66.5,63.0,75931
2019-06-05,66.5,64.0,65.9,66.5,73239
