Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,4.35,3.99,4.27,4.022,1063075
2018-06-07,4.35,4.05,4.194,4.27,671160
2018-06-08,4.29,4.14,4.17,4.18,264528
2018-06-11,4.246,4.06,4.08,4.168,213610
2018-06-12,4.1,3.94,3.98,4.072,620814
2018-06-13,3.98,3.8,3.85,3.934,572586
2018-06-14,4.0,3.754,3.908,3.8,328951
2018-06-15,3.948,3.852,3.862,3.908,176211
2018-06-18,3.988,3.802,3.95,3.802,147120
2018-06-19,3.95,3.814,3.894,3.902,181446
2018-06-20,3.892,3.82,3.82,3.892,142897
2018-06-21,3.86,3.802,3.81,3.82,146822
2018-06-25,3.88,3.68,3.756,3.81,300215
2018-06-26,3.838,3.75,3.772,3.76,206411
2018-06-27,3.848,3.772,3.792,3.772,73918
2018-06-28,3.818,3.704,3.764,3.77,179342
2018-06-29,3.8,3.736,3.8,3.8,135421
2018-07-02,3.74,3.66,3.728,3.714,356316
2018-07-03,3.79,3.69,3.736,3.69,189123
2018-07-04,3.84,3.71,3.762,3.736,110810
2018-07-05,3.76,3.65,3.742,3.76,376296
2018-07-06,3.762,3.662,3.736,3.742,335026
2018-07-09,3.746,3.7,3.734,3.734,262971
2018-07-10,3.75,3.7,3.726,3.7,141890
2018-07-11,3.722,3.602,3.716,3.71,169469
2018-07-12,3.698,3.62,3.67,3.65,170603
2018-07-13,3.758,3.652,3.758,3.652,192420
2018-07-16,4.3,3.802,4.22,3.802,1588344
2018-07-17,4.012,3.65,3.73,4.012,1475030
2018-07-18,3.75,3.676,3.71,3.728,654625
2018-07-19,3.708,3.61,3.62,3.708,464338
2018-07-20,3.648,3.556,3.598,3.648,336403
2018-07-23,3.648,3.576,3.608,3.648,242801
2018-07-24,3.96,3.58,3.78,3.638,488206
2018-07-25,3.784,3.602,3.636,3.782,403475
2018-07-26,3.718,3.6,3.6,3.638,422804
2018-07-27,3.658,3.6,3.632,3.658,404092
2018-07-30,3.67,3.6,3.63,3.668,244299
2018-07-31,3.66,3.578,3.61,3.6,375512
2018-08-01,3.64,3.55,3.554,3.582,254281
2018-08-02,3.618,3.558,3.616,3.598,160067
2018-08-03,3.644,3.562,3.574,3.616,190852
2018-08-06,3.624,3.51,3.57,3.572,312076
2018-08-07,3.61,3.55,3.572,3.608,387676
2018-08-08,3.618,3.558,3.608,3.572,249909
2018-08-09,3.64,3.56,3.61,3.574,279305
2018-08-10,3.636,3.562,3.6,3.626,265539
2018-08-13,3.7,3.584,3.6,3.7,331028
2018-08-14,3.66,3.57,3.58,3.628,641757
2018-08-15,3.6,3.55,3.6,3.58,154265
2018-08-16,3.598,3.55,3.588,3.56,132691
2018-08-17,3.6,3.55,3.586,3.574,207555
2018-08-20,3.59,3.5,3.542,3.59,500967
2018-08-21,3.6,3.53,3.568,3.54,362466
2018-08-22,3.686,3.51,3.63,3.512,764613
2018-08-23,3.686,3.58,3.632,3.604,282493
2018-08-24,3.65,3.572,3.646,3.572,259361
2018-08-27,3.65,3.602,3.65,3.646,161040
2018-08-28,3.648,3.572,3.584,3.646,283087
2018-08-29,3.618,3.562,3.59,3.582,306442
2018-08-30,3.588,3.54,3.552,3.588,234645
2018-08-31,3.564,3.514,3.562,3.552,238711
2018-09-03,3.576,3.51,3.552,3.56,205933
2018-09-04,3.548,3.502,3.532,3.546,178924
2018-09-05,3.536,3.422,3.532,3.502,385378
2018-09-06,3.248,3.1,3.184,3.248,1862226
2018-09-07,3.29,3.102,3.134,3.21,512737
2018-09-10,3.27,3.11,3.15,3.132,295299
2018-09-11,3.168,3.112,3.138,3.16,229216
2018-09-12,3.152,3.014,3.032,3.152,469081
2018-09-13,3.082,3.01,3.044,3.076,313515
2018-09-14,3.218,3.052,3.184,3.052,432275
2018-09-17,3.178,3.11,3.15,3.178,251380
2018-09-18,3.18,3.11,3.17,3.138,363499
2018-09-19,3.168,3.054,3.136,3.168,370472
2018-09-20,3.16,3.062,3.08,3.136,149226
2018-09-21,3.148,3.068,3.08,3.082,163108
2018-09-24,3.148,3.016,3.076,3.09,250521
2018-09-25,3.098,3.04,3.04,3.098,302132
2018-09-26,3.07,2.932,3.0,3.052,539353
2018-09-27,3.0,2.912,2.982,2.99,406709
2018-09-28,2.996,2.942,2.984,2.98,125961
2018-10-01,2.978,2.66,2.68,2.978,968239
2018-10-02,2.98,2.702,2.98,2.702,930630
2018-10-03,3.0,2.81,2.82,2.982,423198
2018-10-04,2.998,2.8,2.806,2.822,300189
2018-10-05,2.84,2.752,2.752,2.802,255797
2018-10-08,3.304,2.95,2.98,3.218,1103974
2018-10-09,2.988,2.8,2.85,2.982,602531
2018-10-10,2.878,2.78,2.8,2.848,400492
2018-10-11,2.796,2.68,2.69,2.796,606997
2018-10-12,2.948,2.68,2.712,2.688,427512
2018-10-15,2.7,2.616,2.676,2.698,180827
2018-10-16,2.9,2.6,2.88,2.7,266712
2018-10-17,2.92,2.802,2.908,2.902,182704
2018-10-18,3.04,2.908,2.98,2.908,447490
2018-10-19,3.04,2.9,3.0,2.97,269402
2018-10-22,3.2,3.0,3.15,3.05,395785
2018-10-23,3.126,2.9,2.948,3.072,384784
2018-10-24,3.0,2.812,2.822,2.962,330792
2018-10-25,2.9,2.736,2.736,2.83,247253
2018-10-26,2.948,2.752,2.822,2.84,232674
2018-10-29,3.05,2.9,2.972,2.9,582585
2018-10-30,3.2,3.0,3.188,3.0,603859
2018-10-31,3.28,3.2,3.27,3.2,554816
2018-11-01,3.39,3.206,3.32,3.288,587955
2018-11-02,3.378,3.188,3.25,3.33,208650
2018-11-05,3.306,3.122,3.198,3.306,207174
2018-11-06,3.2,3.1,3.15,3.2,206595
2018-11-07,3.136,3.022,3.082,3.082,191336
2018-11-08,3.15,3.08,3.148,3.084,141487
2018-11-09,3.198,3.05,3.1,3.146,284628
2018-11-12,3.188,3.02,3.088,3.07,148474
2018-11-13,3.5,3.14,3.49,3.14,1585583
2018-11-14,3.578,3.2,3.248,3.552,593506
2018-11-15,3.338,3.2,3.298,3.23,319973
2018-11-16,3.428,3.302,3.39,3.302,372751
2018-11-19,3.8,3.3,3.768,3.392,1013606
2018-11-20,3.8,3.3,3.33,3.8,1138482
2018-11-21,3.598,3.26,3.31,3.34,767142
2018-11-22,3.294,2.984,3.0,3.294,835319
2018-11-23,3.11,2.6,2.838,2.69,1363799
2018-11-26,2.95,2.73,2.73,2.802,515498
2018-11-27,2.858,2.75,2.8,2.858,201373
2018-11-28,2.81,2.73,2.764,2.804,229398
2018-11-29,2.778,2.7,2.748,2.768,299741
2018-11-30,2.762,2.7,2.754,2.748,153015
2018-12-03,2.85,2.71,2.734,2.754,607819
2018-12-04,2.85,2.652,2.682,2.728,474206
2018-12-05,2.748,2.62,2.714,2.684,349564
2018-12-06,2.762,2.6,2.644,2.746,447082
2018-12-07,2.698,2.602,2.64,2.652,300484
2018-12-10,2.664,2.592,2.62,2.652,228307
2018-12-11,2.618,2.5,2.522,2.6,467533
2018-12-12,2.57,2.522,2.548,2.524,232701
2018-12-13,2.592,2.524,2.54,2.544,229322
2018-12-14,2.638,2.524,2.53,2.54,217937
2018-12-17,2.532,2.41,2.42,2.526,653800
2018-12-18,2.468,2.312,2.374,2.418,628858
2018-12-19,2.464,2.312,2.434,2.374,517810
2018-12-20,2.47,2.344,2.46,2.434,207646
2018-12-21,2.448,2.362,2.4,2.448,348290
2018-12-27,2.38,2.2,2.23,2.352,921314
2018-12-28,2.358,2.224,2.338,2.224,775407
2019-01-02,2.568,2.246,2.54,2.342,252670
2019-01-03,2.604,2.5,2.604,2.546,417682
2019-01-04,2.78,2.564,2.76,2.604,500327
2019-01-07,2.94,2.762,2.91,2.762,507617
2019-01-08,2.988,2.632,2.78,2.988,1129927
2019-01-09,2.838,2.776,2.776,2.78,101672
2019-01-10,2.802,2.668,2.722,2.776,166507
2019-01-11,2.798,2.658,2.69,2.798,194138
2019-01-14,2.728,2.62,2.676,2.692,174430
2019-01-15,2.676,2.592,2.648,2.676,237763
2019-01-16,2.658,2.57,2.582,2.612,228570
2019-01-17,2.63,2.56,2.62,2.61,190591
2019-01-18,2.7,2.582,2.7,2.62,360572
2019-01-21,2.734,2.66,2.672,2.698,142787
2019-01-22,2.67,2.58,2.642,2.67,149143
2019-01-23,2.64,2.528,2.618,2.64,221860
2019-01-24,2.79,2.594,2.7,2.6,313525
2019-01-25,2.9,2.702,2.824,2.702,523994
2019-01-28,2.824,2.824,2.824,2.824,0
2019-01-29,2.868,2.76,2.838,2.792,178760
2019-01-30,2.888,2.752,2.81,2.846,224883
2019-01-31,2.83,2.76,2.83,2.83,129656
2019-02-01,2.85,2.74,2.8,2.83,281341
2019-02-04,2.796,2.602,2.728,2.796,354047
2019-02-05,2.788,2.67,2.782,2.702,235906
