Date,High,Low,Close,Open,Volume
2020-01-02,6.78,6.57,6.66,6.71,81939
2020-01-03,6.69,6.44,6.44,6.69,227895
2020-01-07,6.6,6.31,6.43,6.45,288621
2020-01-08,6.43,6.33,6.38,6.43,265927
2020-01-09,6.4,6.22,6.29,6.39,289102
2020-01-10,6.48,6.29,6.42,6.29,363908
2020-01-13,6.5,6.36,6.37,6.42,272868
2020-01-14,6.43,6.35,6.35,6.37,185279
2020-01-15,6.35,6.25,6.29,6.35,206789
2020-01-16,6.36,6.26,6.3,6.3,355798
2020-01-17,6.42,6.3,6.4,6.3,58301
2020-01-20,6.47,6.22,6.29,6.4,171410
2020-01-21,6.35,6.2,6.27,6.29,194063
2020-01-22,6.36,6.12,6.22,6.27,188042
2020-01-23,6.32,6.02,6.21,6.22,112151
2020-01-24,6.17,5.81,6.13,5.98,405513
2020-01-27,6.33,6.13,6.3,6.13,155530
2020-01-28,6.4,6.22,6.3,6.3,119459
2020-01-29,6.39,6.3,6.3,6.3,17782
2020-01-30,6.39,6.2,6.34,6.34,51770
2020-01-31,6.5,6.36,6.42,6.49,393399
2020-02-03,6.44,6.24,6.37,6.44,88943
2020-02-04,6.39,6.21,6.38,6.37,17170
2020-02-05,6.4,6.27,6.27,6.38,166133
2020-02-06,6.4,6.27,6.39,6.37,127365
2020-02-07,6.39,6.24,6.35,6.39,182813
2020-02-10,6.4,6.3,6.38,6.34,73603
2020-02-11,6.46,6.35,6.46,6.38,129132
2020-02-12,6.57,6.45,6.53,6.46,188261
2020-02-13,6.55,6.3,6.47,6.53,139054
2020-02-14,6.49,6.28,6.44,6.3,141662
2020-02-17,6.52,6.44,6.49,6.44,185751
2020-02-18,6.55,6.48,6.54,6.51,140909
2020-02-19,6.74,6.54,6.65,6.55,193797
2020-02-20,6.79,6.6,6.77,6.78,149128
2020-02-21,6.85,6.7,6.72,6.8,160914
2020-02-24,6.69,6.39,6.45,6.69,238202
2020-02-25,6.59,6.23,6.28,6.55,236657
2020-02-26,6.41,6.02,6.21,6.28,223942
