Date,Closing price,50,200
2018-06-04,28.05,,
2018-06-05,27.4,,
2018-06-07,27.6,,
2018-06-08,28.0,,
2018-06-11,28.0,,
2018-06-12,28.0,,
2018-06-13,28.2,,
2018-06-14,29.95,,
2018-06-15,30.5,,
2018-06-18,31.35,,
2018-06-19,30.8,,
2018-06-20,29.8,,
2018-06-21,30.05,,
2018-06-25,29.8,,
2018-06-26,30.5,,
2018-06-27,30.1,,
2018-06-28,29.85,,
2018-06-29,29.0,,
2018-07-02,28.2,,
2018-07-03,29.05,,
2018-07-04,30.0,,
2018-07-05,29.8,,
2018-07-06,29.4,,
2018-07-09,29.5,,
2018-07-10,29.75,,
2018-07-11,29.5,,
2018-07-12,29.3,,
2018-07-13,29.5,,
2018-07-16,28.95,,
2018-07-17,28.6,,
2018-07-18,29.45,,
2018-07-19,31.95,,
2018-07-20,31.5,,
2018-07-23,30.8,,
2018-07-24,31.8,,
2018-07-25,32.95,,
2018-07-26,33.35,,
2018-07-27,32.9,,
2018-07-30,32.4,,
2018-07-31,31.7,,
2018-08-01,31.5,,
2018-08-02,31.85,,
2018-08-03,31.75,,
2018-08-06,31.7,,
2018-08-07,30.55,,
2018-08-08,30.2,,
2018-08-09,30.7,,
2018-08-10,30.2,,
2018-08-13,31.35,,
2018-08-14,38.75,,
2018-08-15,35.65,,
2018-08-16,38.1,,
2018-08-17,37.55,,
2018-08-20,36.3,,
2018-08-21,36.0,,
2018-08-22,35.0,,
2018-08-23,35.45,,
2018-08-24,34.6,,
2018-08-27,34.8,,
2018-08-28,35.45,,
2018-08-29,34.75,,
2018-08-30,35.15,,
2018-08-31,35.0,,
2018-09-03,35.95,,
2018-09-04,35.1,,
2018-09-05,35.9,,
2018-09-06,35.8,,
2018-09-07,34.8,,
2018-09-10,35.0,,
2018-09-11,35.85,,
2018-09-12,36.85,,
2018-09-13,36.0,,
2018-09-14,35.1,,
2018-09-17,34.7,,
2018-09-18,34.2,,
2018-09-19,34.7,,
2018-09-20,33.95,,
2018-09-21,34.45,,
2018-09-24,34.15,,
2018-09-25,33.85,,
2018-09-26,34.55,,
2018-09-27,34.2,,
2018-09-28,34.8,,
2018-10-01,34.3,,
2018-10-02,34.25,,
2018-10-03,34.75,,
2018-10-04,33.55,,
2018-10-05,33.9,,
2018-10-08,32.25,,
2018-10-09,33.0,,
