Date,High,Low,Close,Open,Volume
2020-01-02,3.98,3.73,3.95,3.73,45852
2020-01-03,4.0,3.75,3.77,3.99,145716
2020-01-06,3.93,3.78,3.87,3.79,22128
2020-01-07,3.95,3.82,3.95,3.94,66328
2020-01-08,3.95,3.89,3.94,3.9,19311
2020-01-09,3.95,3.9,3.95,3.94,170122
2020-01-10,3.95,3.92,3.95,3.95,50702
2020-01-13,4.25,3.95,3.95,4.25,43718
2020-01-14,4.1,3.9,3.93,3.96,77527
2020-01-15,4.08,3.91,4.06,4.08,17110
2020-01-16,4.3,4.01,4.3,4.06,79310
2020-01-17,4.76,4.46,4.75,4.49,184268
2020-01-20,4.75,4.6,4.73,4.75,148154
2020-01-21,4.75,4.62,4.62,4.75,38175
2020-01-22,4.74,4.51,4.59,4.65,72722
2020-01-23,4.72,4.56,4.61,4.56,26494
2020-01-24,4.72,4.57,4.69,4.72,56017
2020-01-27,4.72,4.58,4.58,4.72,35581
2020-01-28,4.73,4.6,4.62,4.73,52677
2020-01-29,4.7,4.55,4.6,4.7,39275
2020-01-30,4.7,4.5,4.55,4.57,64180
2020-01-31,4.7,4.56,4.7,4.69,30859
2020-02-03,4.66,4.5,4.64,4.66,24671
2020-02-04,4.6,4.42,4.5,4.6,23937
2020-02-05,4.6,4.5,4.5,4.56,40500
2020-02-06,4.6,4.5,4.56,4.6,13236
2020-02-07,4.56,4.43,4.52,4.55,14091
2020-02-10,4.56,4.43,4.46,4.55,37047
2020-02-11,4.53,4.4,4.46,4.5,40875
2020-02-12,4.6,4.3,4.59,4.46,71833
2020-02-13,4.59,4.33,4.35,4.59,22588
2020-02-14,4.69,4.49,4.6,4.52,79750
2020-02-17,4.7,4.5,4.57,4.7,116898
2020-02-18,4.7,4.54,4.67,4.58,42775
2020-02-19,4.7,4.56,4.65,4.69,56739
2020-02-20,4.7,4.6,4.66,4.65,42657
2020-02-21,4.7,4.52,4.65,4.7,52858
2020-02-24,4.58,4.3,4.35,4.57,55588
2020-02-25,4.6,4.3,4.5,4.36,47718
2020-02-26,4.5,4.35,4.49,4.36,22106
2020-02-27,4.59,4.32,4.32,4.59,20793
2020-02-28,4.48,4.3,4.31,4.31,32372
2020-03-02,4.51,4.01,4.01,4.3,67889
2020-03-03,4.48,4.17,4.3,4.17,38244
2020-03-04,4.49,4.2,4.4,4.48,39798
2020-03-05,4.6,4.2,4.4,4.57,11181
2020-03-06,4.4,4.21,4.3,4.25,12740
2020-03-09,4.31,4.08,4.08,4.24,79668
2020-03-10,4.39,4.0,4.26,4.02,26385
2020-03-11,4.39,4.0,4.36,4.39,16259
2020-03-12,4.27,3.8,4.0,3.97,43765
2020-03-13,4.09,3.58,3.9,4.09,104765
2020-03-16,3.7,3.45,3.6,3.7,56608
2020-03-17,3.98,3.48,3.69,3.7,34242
2020-03-18,3.9,3.68,3.71,3.69,11987
2020-03-19,3.85,3.57,3.57,3.73,27516
2020-03-20,3.9,3.5,3.7,3.51,16865
2020-03-23,3.88,3.5,3.56,3.7,16131
2020-03-24,3.88,3.49,3.56,3.6,10101
2020-03-25,4.1,3.73,3.9,3.85,43765
2020-03-26,4.09,4.0,4.05,4.0,26956
2020-03-27,4.11,4.03,4.03,4.06,12243
2020-03-30,4.22,3.61,3.61,4.11,106031
2020-03-31,3.79,3.61,3.68,3.61,34497
2020-04-01,3.78,3.55,3.65,3.62,18920
2020-04-02,3.67,3.4,3.65,3.65,34320
2020-04-03,3.67,3.41,3.65,3.51,23759
2020-04-06,3.65,3.51,3.6,3.65,8559
2020-04-07,3.64,3.5,3.5,3.61,42043
2020-04-08,3.63,3.3,3.5,3.5,33689
2020-04-09,3.5,3.5,3.5,3.5,0
2020-04-14,3.6,3.36,3.41,3.51,40919
2020-04-15,3.59,3.4,3.41,3.4,19392
2020-04-16,3.44,3.4,3.4,3.42,13191
2020-04-17,3.49,3.31,3.45,3.47,49767
2020-04-20,3.49,3.4,3.4,3.49,9039
2020-04-21,3.49,3.4,3.45,3.41,13651
2020-04-22,3.58,3.41,3.49,3.49,4535
2020-04-23,3.55,3.31,3.5,3.48,45592
2020-04-24,3.49,3.38,3.44,3.49,13794
