Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-04-30,9.0,9.0,9.0,9.0,0
2018-06-06,9.2,8.45,9.15,9.0,14143
2018-06-07,9.15,9.15,9.15,9.15,1075
2018-06-08,8.9,8.5,8.9,8.5,1500
2018-06-11,8.9,8.9,8.9,8.9,946
2018-06-12,8.6,8.6,8.6,8.6,200
2018-06-13,8.6,8.45,8.6,8.45,2974
2018-06-14,8.6,8.6,8.6,8.6,0
2018-06-15,8.6,8.6,8.6,8.6,0
2018-06-18,8.2,8.2,8.2,8.2,32
2018-06-19,8.05,8.05,8.05,8.05,675
2018-06-20,8.9,8.2,8.9,8.2,3706
2018-06-21,8.9,8.9,8.9,8.9,0
2018-06-22,8.9,8.9,8.9,8.9,0
2018-06-25,9.4,8.1,9.4,8.1,1754
2018-06-26,9.4,9.4,9.4,9.4,0
2018-06-27,9.4,9.4,9.4,9.4,0
2018-06-28,9.4,9.4,9.4,9.4,8
2018-06-29,9.4,9.4,9.4,9.4,0
2018-07-02,9.4,9.4,9.4,9.4,0
2018-07-03,9.4,9.4,9.4,9.4,0
2018-07-04,9.4,9.4,9.4,9.4,8
2018-07-05,9.4,9.4,9.4,9.4,0
2018-07-06,9.4,9.4,9.4,9.4,0
2018-07-09,9.4,9.4,9.4,9.4,0
2018-07-10,10.0,9.4,10.0,9.4,160
2018-07-11,10.0,10.0,10.0,10.0,0
2018-07-12,10.0,10.0,10.0,10.0,0
2018-07-13,9.5,9.5,9.5,9.5,125
2018-07-16,9.5,9.5,9.5,9.5,0
2018-07-17,9.5,9.5,9.5,9.5,0
2018-07-18,9.5,9.5,9.5,9.5,0
2018-07-19,9.5,9.5,9.5,9.5,0
2018-07-20,9.5,9.5,9.5,9.5,0
2018-07-23,9.5,9.5,9.5,9.5,0
2018-07-24,9.5,9.5,9.5,9.5,0
2018-07-25,9.5,9.5,9.5,9.5,0
2018-07-26,9.5,9.5,9.5,9.5,0
2018-07-27,9.4,8.15,9.4,8.15,223
2018-07-30,9.4,9.4,9.4,9.4,0
2018-07-31,9.4,9.4,9.4,9.4,0
2018-08-01,9.4,9.4,9.4,9.4,5400
2018-08-02,9.4,9.4,9.4,9.4,0
2018-08-03,9.4,9.4,9.4,9.4,0
2018-08-06,9.4,9.4,9.4,9.4,0
2018-08-07,8.6,8.6,8.6,8.6,500
2018-08-08,8.6,8.6,8.6,8.6,0
2018-08-09,8.6,8.6,8.6,8.6,0
2018-08-10,8.6,8.6,8.6,8.6,0
2018-08-13,8.6,8.6,8.6,8.6,0
2018-08-14,8.6,8.45,8.45,8.6,1400
2018-08-15,8.6,8.6,8.6,8.6,150
2018-08-16,8.6,8.3,8.3,8.6,718
2018-08-17,8.45,8.25,8.25,8.45,1000
2018-08-20,8.25,8.25,8.25,8.25,213
2018-08-21,8.25,8.25,8.25,8.25,794
2018-08-22,10.1,10.1,10.1,10.1,37
2018-08-23,10.1,10.1,10.1,10.1,0
2018-08-24,9.95,9.95,9.95,9.95,40
2018-08-27,9.95,9.95,9.95,9.95,0
2018-08-28,9.95,9.95,9.95,9.95,0
2018-08-29,9.95,9.95,9.95,9.95,0
2018-08-30,9.95,9.95,9.95,9.95,0
2018-08-31,9.4,8.5,8.6,8.55,5002
2018-09-03,8.7,8.65,8.7,8.65,2674
2018-09-04,8.7,8.7,8.7,8.7,0
2018-09-05,8.7,8.7,8.7,8.7,0
2018-09-06,8.65,8.45,8.65,8.45,843
2018-09-07,8.45,8.45,8.45,8.45,120
2018-09-10,9.4,9.4,9.4,9.4,415
2018-09-11,9.4,9.4,9.4,9.4,0
2018-09-12,9.4,9.4,9.4,9.4,0
2018-09-13,9.4,9.4,9.4,9.4,0
2018-09-14,9.0,8.4,9.0,8.4,159
2018-09-17,8.95,8.95,8.95,8.95,100
2018-09-18,8.5,8.5,8.5,8.5,1155
2018-09-19,8.5,8.5,8.5,8.5,0
2018-09-20,8.5,8.5,8.5,8.5,0
2018-09-21,8.75,8.25,8.75,8.5,599
2018-09-24,9.4,9.0,9.0,9.4,1830
2018-09-25,9.0,9.0,9.0,9.0,1000
2018-09-26,9.0,9.0,9.0,9.0,0
2018-09-27,9.0,9.0,9.0,9.0,198
2018-09-28,9.0,9.0,9.0,9.0,250
2018-10-01,9.0,9.0,9.0,9.0,0
2018-10-02,9.0,9.0,9.0,9.0,0
2018-10-03,8.0,8.0,8.0,8.0,1249
2018-10-04,8.0,8.0,8.0,8.0,0
2018-10-05,8.1,8.1,8.1,8.1,180
2018-10-08,8.4,8.4,8.4,8.4,235
2018-10-09,8.4,8.4,8.4,8.4,0
2018-10-10,9.4,8.95,9.4,8.95,2450
2018-10-11,9.4,9.4,9.4,9.4,30
2018-10-12,9.4,9.4,9.4,9.4,0
2018-10-15,9.4,9.4,9.4,9.4,0
2018-10-16,8.6,8.55,8.55,8.6,1541
2018-10-17,9.05,9.0,9.0,9.05,760
2018-10-18,9.0,8.7,9.0,8.7,1837
2018-10-19,9.0,9.0,9.0,9.0,0
2018-10-22,9.0,9.0,9.0,9.0,0
2018-10-23,9.0,9.0,9.0,9.0,0
2018-10-24,9.0,9.0,9.0,9.0,0
2018-10-25,8.45,8.0,8.0,8.45,1479
2018-10-26,7.3,7.3,7.3,7.3,11
2018-10-29,9.0,8.15,9.0,8.15,1302
2018-10-30,9.55,8.15,9.5,9.55,2039
2018-10-31,8.7,8.7,8.7,8.7,3307
2018-11-01,9.25,8.7,9.25,8.7,1803
2018-11-02,9.25,9.25,9.25,9.25,0
2018-11-02,9.25,9.25,9.25,9.25,0
2018-11-05,9.25,9.25,9.25,9.25,0
2018-11-06,9.25,9.25,9.25,9.25,0
2018-11-07,9.25,9.25,9.25,9.25,0
2018-11-08,9.25,9.25,9.25,9.25,0
2018-11-09,9.25,9.25,9.25,9.25,0
2018-11-12,8.7,8.4,8.7,8.4,311
2018-11-13,8.7,8.7,8.7,8.7,0
2018-11-14,9.7,9.7,9.7,9.7,8
2018-11-15,9.7,9.7,9.7,9.7,0
2018-11-16,9.7,9.7,9.7,9.7,0
2018-11-19,8.7,8.7,8.7,8.7,4396
2018-11-20,8.7,8.7,8.7,8.7,0
2018-11-21,8.7,8.7,8.7,8.7,0
2018-11-22,9.0,9.0,9.0,9.0,1000
2018-11-23,9.0,9.0,9.0,9.0,0
2018-11-26,8.6,8.5,8.6,8.55,1705
2018-11-27,8.85,8.45,8.85,8.45,4275
2018-11-28,8.85,8.85,8.85,8.85,45
2018-11-29,8.7,8.65,8.7,8.65,1305
2018-11-30,8.7,8.7,8.7,8.7,0
2018-12-03,8.7,8.7,8.7,8.7,0
2018-12-04,8.7,8.7,8.7,8.7,0
2018-12-05,8.7,8.7,8.7,8.7,0
2018-12-06,8.7,8.7,8.7,8.7,0
2018-12-07,8.3,8.3,8.3,8.3,8
2018-12-10,8.3,8.3,8.3,8.3,292
2018-12-11,8.5,7.85,8.5,7.85,2548
2018-12-12,8.4,7.95,8.4,7.95,450
2018-12-13,8.4,8.4,8.4,8.4,0
2018-12-14,7.95,7.9,7.9,7.95,608
2018-12-17,8.95,7.85,8.95,7.85,4319
2018-12-18,8.95,7.5,7.5,8.95,3639
2018-12-19,7.5,7.5,7.5,7.5,0
2018-12-20,7.8,7.5,7.5,7.6,6584
2018-12-21,8.5,8.5,8.5,8.5,1970
2018-12-27,8.45,7.5,7.5,8.45,1866
2018-12-28,6.8,6.8,6.8,6.8,1020
2019-01-02,6.8,6.8,6.8,6.8,0
2019-01-03,6.8,6.8,6.8,6.8,0
2019-01-04,6.8,6.8,6.8,6.8,0
2019-01-07,6.8,6.8,6.8,6.8,0
2019-01-08,7.15,7.15,7.15,7.15,300
2019-01-09,7.9,7.1,7.9,7.1,700
2019-01-10,7.9,7.9,7.9,7.9,0
2019-01-11,7.9,7.9,7.9,7.9,0
2019-01-14,7.9,7.9,7.9,7.9,0
2019-01-15,7.9,7.9,7.9,7.9,0
2019-01-16,7.9,7.9,7.9,7.9,0
2019-01-17,7.9,7.9,7.9,7.9,0
2019-01-18,7.4,7.2,7.4,7.2,914
2019-01-21,8.7,7.75,8.65,7.75,7303
2019-01-22,8.7,8.65,8.65,8.7,550
2019-01-23,8.55,7.5,8.55,8.55,1204
2019-01-24,8.55,8.55,8.55,8.55,0
2019-01-25,8.55,8.55,8.55,8.55,0
2019-01-28,8.55,8.55,8.55,8.55,0
2019-01-29,8.8,8.8,8.8,8.8,200
2019-01-30,8.8,8.8,8.8,8.8,0
2019-01-31,8.9,8.9,8.9,8.9,295
2019-02-01,8.9,8.9,8.9,8.9,0
2019-02-04,8.9,8.9,8.9,8.9,0
2019-02-05,9.5,9.5,9.5,9.5,1000
2019-02-06,9.4,8.0,9.4,8.0,17
2019-02-07,9.4,9.4,9.4,9.4,750
2019-02-08,9.0,9.0,9.0,9.0,60
2019-02-11,9.0,9.0,9.0,9.0,4
2019-02-12,9.0,9.0,9.0,9.0,0
2019-02-13,11.0,10.8,10.8,11.0,206
2019-02-14,10.5,9.0,10.1,10.5,594
2019-02-15,10.1,10.1,10.1,10.1,0
2019-02-18,11.0,9.9,10.4,10.1,3939
2019-02-19,12.9,10.3,12.4,10.4,14196
2019-02-20,12.0,12.0,12.0,12.0,785
2019-02-21,11.9,10.4,11.5,11.8,4201
2019-02-22,10.3,9.65,10.3,9.65,540
2019-02-25,10.3,10.3,10.3,10.3,100
2019-02-26,10.3,10.3,10.3,10.3,0
2019-02-27,10.2,10.2,10.2,10.2,20
2019-02-28,10.2,10.2,10.2,10.2,0
2019-03-01,10.2,10.2,10.2,10.2,0
2019-03-04,12.0,11.0,12.0,11.0,638
2019-03-05,12.1,12.0,12.0,12.1,1349
2019-03-06,12.0,12.0,12.0,12.0,0
