Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,142.0,140.2,140.8,141.0,70317
2018-06-07,142.4,140.6,140.6,141.0,69226
2018-06-08,141.2,139.8,140.6,140.4,102821
2018-06-11,141.4,140.8,140.8,141.0,29141
2018-06-12,141.0,139.2,140.0,141.0,31420
2018-06-13,141.2,139.6,141.2,140.0,71725
2018-06-14,143.8,140.0,143.8,140.8,43494
2018-06-15,144.2,141.4,142.0,143.8,46609
2018-06-18,143.4,141.4,143.4,141.8,27110
2018-06-19,145.0,142.2,143.8,142.8,64002
2018-06-20,144.2,141.4,141.8,144.2,81277
2018-06-21,144.0,140.4,144.0,142.0,254434
2018-06-25,143.8,140.8,142.0,143.6,36091
2018-06-26,143.0,141.2,142.8,142.0,28107
2018-06-27,143.2,140.6,142.8,143.0,93588
2018-06-28,143.0,140.4,141.6,142.4,41591
2018-06-29,144.6,141.0,144.6,142.2,37210
2018-07-02,145.2,142.6,143.6,145.2,25505
2018-07-03,143.6,142.0,142.0,142.8,34287
2018-07-04,146.2,142.0,143.6,142.4,63867
2018-07-05,145.6,143.6,145.0,143.6,20980
2018-07-06,147.2,144.8,146.0,144.8,91651
2018-07-09,148.8,146.0,148.6,146.0,53084
2018-07-10,149.6,146.2,146.8,147.8,58188
2018-07-11,150.0,145.8,147.2,146.8,61194
2018-07-12,148.6,145.2,148.2,147.0,193038
2018-07-13,150.0,148.0,149.6,148.0,36417
2018-07-16,151.4,149.8,151.0,150.0,19386
2018-07-17,151.8,149.6,149.6,151.6,25684
2018-07-18,150.2,149.4,150.0,150.0,24697
2018-07-19,153.2,149.8,151.8,150.0,89457
2018-07-20,152.0,150.4,151.8,151.8,19691
2018-07-23,153.0,151.4,151.8,152.0,25658
2018-07-24,152.6,151.6,152.0,151.6,57098
2018-07-25,152.6,151.6,152.0,152.2,24076
2018-07-26,152.6,151.4,151.8,152.0,30686
2018-07-27,153.0,151.8,153.0,151.8,21760
2018-07-30,153.8,152.2,152.8,153.2,39827
2018-07-31,153.6,152.4,152.8,153.0,37055
2018-08-01,153.4,152.0,152.8,153.4,20479
2018-08-02,152.8,151.2,152.8,152.8,22915
2018-08-03,153.4,152.4,153.0,152.6,20307
2018-08-06,153.8,150.6,151.4,152.8,31868
2018-08-07,151.2,150.4,151.2,151.2,15131
2018-08-08,152.2,148.8,152.0,151.6,24043
2018-08-09,152.0,149.4,150.8,152.0,28530
2018-08-10,151.0,149.6,150.2,151.0,23683
2018-08-13,150.2,146.6,147.2,150.2,36122
2018-08-14,147.6,145.4,147.0,147.4,24865
2018-08-15,147.4,145.8,147.0,147.0,19357
2018-08-16,148.6,146.6,148.4,147.0,121492
2018-08-17,152.8,148.4,152.0,148.4,420694
2018-08-20,153.2,151.8,153.2,152.0,33112
2018-08-21,154.8,152.4,153.2,152.8,34979
2018-08-22,154.0,152.4,152.6,154.0,23060
2018-08-23,153.0,151.0,152.0,153.0,27967
2018-08-24,152.0,150.8,152.0,152.0,17904
2018-08-27,152.4,150.6,150.8,152.0,17041
2018-08-28,152.8,150.4,152.0,150.8,35211
2018-08-29,153.0,151.4,152.0,152.0,34803
2018-08-30,158.6,151.2,158.0,152.0,259281
2018-08-31,162.0,158.2,160.6,160.8,77392
2018-09-03,161.6,157.8,159.2,160.6,34332
2018-09-04,159.8,156.8,158.8,159.2,231081
2018-09-05,160.0,156.8,159.6,158.8,386973
2018-09-06,163.0,159.6,162.2,159.6,82305
2018-09-07,163.4,159.8,161.2,163.0,58376
2018-09-10,162.8,160.2,162.2,162.0,30051
2018-09-11,163.0,161.8,162.8,162.8,20440
2018-09-12,164.4,162.8,163.0,163.0,48422
2018-09-13,163.6,162.0,163.0,163.4,74465
2018-09-14,166.8,162.8,165.0,163.0,140499
2018-09-17,164.6,162.4,162.8,164.6,34709
2018-09-18,163.6,158.6,159.8,162.8,52487
2018-09-19,162.6,158.6,160.8,159.8,52743
2018-09-20,162.2,160.4,162.0,160.8,22969
2018-09-21,163.2,162.4,163.0,162.6,50807
2018-09-24,163.6,159.8,160.4,163.6,21291
2018-09-25,162.0,159.2,160.6,160.2,206677
2018-09-26,162.6,160.4,162.0,160.4,15098
2018-09-27,161.8,160.0,160.4,161.2,20567
2018-09-28,161.6,160.0,161.2,160.0,33844
2018-10-01,163.2,161.4,163.2,161.6,28527
2018-10-02,162.8,158.0,160.4,162.8,76641
2018-10-03,162.6,159.2,162.6,160.4,49786
2018-10-04,162.4,159.2,160.8,162.4,44468
2018-10-05,157.0,151.4,156.0,156.8,127456
2018-10-08,156.4,153.4,153.8,155.4,47600
2018-10-09,155.8,153.8,155.8,154.0,64908
2018-10-10,156.4,154.0,154.8,155.8,45675
2018-10-11,154.4,152.0,153.2,154.4,64714
2018-10-12,154.4,149.2,150.0,153.0,117299
2018-10-15,151.2,146.8,150.2,151.2,57112
2018-10-16,152.8,149.2,152.2,149.4,25892
2018-10-17,154.0,152.4,153.6,152.4,16741
2018-10-18,155.2,153.4,154.8,153.8,25547
2018-10-19,157.0,151.6,153.8,157.0,59999
2018-10-22,155.4,152.2,153.0,154.0,44506
2018-10-23,155.2,150.2,151.0,152.2,102752
2018-10-24,154.2,151.0,152.0,151.0,50664
2018-10-25,152.4,150.0,151.2,152.0,47433
2018-10-26,153.8,150.2,152.8,151.2,60967
2018-10-29,155.6,152.0,153.8,152.0,38443
2018-10-30,154.8,152.8,153.8,154.2,51540
2018-10-31,155.6,154.0,155.2,154.0,56579
2018-11-01,156.0,152.8,156.0,155.2,95003
2018-11-02,157.0,155.2,155.6,155.2,43708
2018-11-05,156.0,152.6,153.4,155.6,60410
2018-11-06,154.6,153.0,153.0,153.6,91910
2018-11-07,156.0,153.6,153.8,156.0,64330
2018-11-08,156.8,154.4,156.2,154.4,32716
2018-11-09,157.0,155.2,156.4,157.0,60388
2018-11-12,158.4,156.2,157.2,157.4,47330
2018-11-13,157.8,154.6,155.4,157.2,37358
2018-11-14,156.8,154.2,156.8,155.6,42140
2018-11-15,157.0,154.6,155.0,157.0,152676
2018-11-16,156.0,154.2,155.6,155.0,55410
2018-11-19,156.8,153.8,154.4,156.0,48366
2018-11-20,154.8,150.4,151.0,154.4,81136
2018-11-21,154.0,150.2,152.6,150.4,80983
2018-11-22,153.0,150.0,151.4,152.6,54086
2018-11-23,152.0,148.2,150.2,152.0,582098
2018-11-26,154.0,150.2,153.4,150.2,40507
2018-11-27,154.8,153.2,154.2,153.4,75871
2018-11-28,155.8,153.8,155.4,154.2,67888
2018-11-29,156.4,155.0,155.4,155.6,97376
2018-11-30,156.8,154.2,156.0,156.0,125399
2018-12-03,157.4,153.0,154.0,157.2,92524
2018-12-04,155.2,152.6,153.0,153.8,99944
2018-12-05,155.0,152.0,154.2,152.2,66177
2018-12-06,155.2,152.0,154.2,155.0,81409
2018-12-07,156.0,153.8,155.0,155.0,83902
2018-12-10,156.6,152.4,153.2,155.0,75622
2018-12-11,156.8,153.8,155.2,154.0,86424
2018-12-12,157.0,153.8,157.0,154.0,90506
2018-12-13,158.8,156.0,158.4,157.6,67300
2018-12-14,160.0,155.0,156.6,160.0,80486
2018-12-17,157.0,155.2,155.4,155.8,33185
2018-12-18,156.6,153.2,156.2,156.0,70088
2018-12-19,156.6,154.0,155.0,156.2,62486
2018-12-20,155.4,152.6,154.8,153.2,57845
2018-12-21,154.8,151.2,154.0,154.8,84757
2018-12-27,153.6,149.8,149.8,153.6,37612
2018-12-28,153.4,150.0,152.0,150.0,35256
2019-01-02,152.4,140.6,151.0,140.8,46764
2019-01-03,152.8,149.0,152.2,149.4,32655
2019-01-04,154.4,151.8,154.2,152.0,14177
2019-01-07,156.6,154.0,156.2,154.8,52230
2019-01-08,159.0,156.0,158.8,156.0,21127
2019-01-09,158.4,155.8,156.6,157.4,33278
2019-01-10,157.0,155.8,156.4,156.4,22930
2019-01-11,159.4,156.4,159.2,156.4,59131
2019-01-14,159.2,156.6,157.8,159.2,27647
2019-01-15,158.2,157.2,157.6,157.4,19827
2019-01-16,158.8,157.2,158.8,157.2,42283
2019-01-17,158.8,158.0,158.6,158.4,27586
2019-01-18,159.2,157.8,159.2,158.0,42815
2019-01-21,159.2,157.4,158.8,159.2,25540
2019-01-22,160.4,157.6,160.2,158.4,94049
2019-01-23,166.2,161.0,165.0,161.0,244489
2019-01-24,166.0,163.8,165.0,166.0,32686
2019-01-25,165.4,163.8,164.6,165.2,259988
2019-01-28,168.0,164.2,166.4,164.6,87502
2019-01-29,169.6,167.0,167.8,167.0,43234
2019-01-30,169.4,165.4,165.8,167.8,331532
2019-01-31,169.0,164.4,165.4,166.0,115891
2019-02-01,169.0,164.4,166.4,169.0,42254
2019-02-04,166.8,164.0,164.0,166.4,57156
2019-02-05,165.6,162.4,162.6,164.0,66088
2019-02-06,163.4,161.2,162.0,162.6,64846
2019-02-07,162.8,159.4,160.2,161.8,63498
2019-02-08,161.8,159.6,160.8,161.2,32534
2019-02-11,168.6,158.2,159.0,168.6,29846
2019-02-12,161.8,158.8,159.6,161.8,24764
2019-02-13,159.8,157.6,158.2,158.8,35030
2019-02-14,164.4,156.8,164.0,156.8,117117
2019-02-15,166.2,154.8,154.8,166.0,155475
2019-02-18,161.2,156.8,159.0,158.2,130931
