Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,0.616,0.572,0.588,0.6,645301
2018-06-07,0.59,0.566,0.582,0.59,661660
2018-06-08,0.65,0.554,0.618,0.57,1245694
2018-06-11,0.59,0.55,0.57,0.584,651656
2018-06-12,0.596,0.562,0.594,0.57,368236
2018-06-13,0.72,0.56,0.614,0.58,3436864
2018-06-14,0.654,0.59,0.6,0.654,947153
2018-06-15,0.62,0.58,0.6,0.6,539686
2018-06-18,0.62,0.57,0.618,0.6,553921
2018-06-19,0.62,0.59,0.594,0.62,460747
2018-06-20,0.618,0.592,0.594,0.594,591916
2018-06-21,0.616,0.562,0.604,0.592,910339
2018-06-25,0.596,0.5,0.58,0.596,884177
2018-06-26,0.564,0.53,0.562,0.56,1627126
2018-06-27,0.562,0.524,0.554,0.562,1192623
2018-06-28,0.554,0.528,0.54,0.552,416969
2018-06-29,0.55,0.524,0.55,0.53,256029
2018-07-02,0.6,0.534,0.546,0.554,450413
2018-07-03,0.588,0.522,0.536,0.55,348439
2018-07-04,0.552,0.52,0.542,0.536,428213
2018-07-05,0.548,0.52,0.53,0.52,321310
2018-07-06,0.548,0.5,0.548,0.52,281010
2018-07-09,0.548,0.51,0.528,0.548,463052
2018-07-10,0.538,0.52,0.528,0.526,266522
2018-07-11,0.526,0.504,0.516,0.524,290288
2018-07-12,0.53,0.492,0.506,0.506,443440
2018-07-13,0.512,0.494,0.506,0.5,696603
2018-07-16,0.506,0.463,0.49,0.506,603398
2018-07-17,0.5,0.44,0.457,0.49,959639
2018-07-18,0.478,0.43,0.44,0.478,688282
2018-07-19,0.54,0.464,0.466,0.5,1235996
2018-07-20,0.5,0.455,0.47,0.466,306152
2018-07-23,0.47,0.43,0.446,0.47,306806
2018-07-24,0.48,0.435,0.455,0.446,353802
2018-07-25,0.46,0.437,0.459,0.46,190455
2018-07-26,0.466,0.44,0.445,0.459,267490
2018-07-27,0.46,0.435,0.46,0.46,323320
2018-07-30,0.47,0.436,0.459,0.46,315884
2018-07-31,0.47,0.439,0.439,0.459,379121
2018-08-01,0.459,0.441,0.451,0.459,132286
2018-08-02,0.451,0.433,0.448,0.451,251932
2018-08-03,0.478,0.436,0.45,0.436,205953
2018-08-06,0.478,0.442,0.446,0.45,220222
2018-08-07,0.48,0.42,0.47,0.47,557120
2018-08-08,0.47,0.43,0.46,0.47,271128
2018-08-09,0.465,0.434,0.459,0.465,238719
2018-08-10,0.465,0.435,0.444,0.45,369652
2018-08-13,0.454,0.421,0.45,0.45,650875
2018-08-14,0.449,0.435,0.449,0.449,204596
2018-08-15,0.448,0.43,0.448,0.435,247296
2018-08-16,0.54,0.43,0.471,0.442,3707498
2018-08-17,0.49,0.433,0.469,0.48,1343227
2018-08-20,0.487,0.455,0.487,0.469,389692
2018-08-21,0.488,0.455,0.487,0.46,307168
2018-08-22,0.485,0.453,0.469,0.453,600898
2018-08-23,0.469,0.435,0.469,0.456,919199
2018-08-24,0.464,0.445,0.45,0.464,365489
2018-08-27,0.472,0.445,0.468,0.45,653594
2018-08-28,0.47,0.444,0.45,0.47,407012
2018-08-29,0.476,0.45,0.46,0.452,458840
2018-08-30,0.462,0.442,0.444,0.462,378659
2018-08-31,0.454,0.41,0.454,0.444,573820
2018-09-03,0.455,0.42,0.449,0.454,175337
2018-09-04,0.444,0.421,0.438,0.44,277288
2018-09-05,0.54,0.415,0.45,0.426,1494189
2018-09-06,0.455,0.435,0.455,0.45,397040
2018-09-07,0.51,0.431,0.452,0.455,894423
2018-09-10,0.468,0.43,0.465,0.446,789678
2018-09-11,0.465,0.425,0.445,0.465,191672
2018-09-12,0.445,0.422,0.436,0.445,166748
2018-09-13,0.536,0.44,0.466,0.44,1337650
2018-09-14,0.47,0.44,0.47,0.466,335931
2018-09-17,0.502,0.454,0.478,0.47,156372
2018-09-18,0.483,0.455,0.465,0.478,170246
2018-09-19,0.48,0.45,0.472,0.455,436204
2018-09-20,0.479,0.443,0.448,0.472,215644
2018-09-21,0.452,0.442,0.45,0.448,131393
2018-09-24,0.445,0.432,0.443,0.432,101216
2018-09-25,0.45,0.435,0.449,0.45,147481
2018-09-26,0.47,0.43,0.449,0.44,896651
2018-09-27,0.46,0.44,0.449,0.46,319916
2018-09-28,0.458,0.442,0.45,0.45,156481
2018-10-01,0.488,0.432,0.46,0.456,1198390
2018-10-02,0.47,0.44,0.442,0.46,368353
2018-10-03,0.455,0.431,0.431,0.442,461469
2018-10-04,0.449,0.422,0.437,0.431,474959
2018-10-05,0.44,0.422,0.43,0.44,92592
2018-10-08,0.458,0.42,0.444,0.43,144252
2018-10-09,0.465,0.42,0.42,0.435,545258
2018-10-10,0.438,0.411,0.416,0.42,321109
2018-10-11,0.43,0.393,0.41,0.416,812043
2018-10-12,0.418,0.394,0.415,0.394,180230
2018-10-15,0.415,0.37,0.4,0.415,218052
2018-10-16,0.41,0.38,0.399,0.38,179467
2018-10-17,0.42,0.399,0.4,0.4,106970
2018-10-18,0.43,0.376,0.405,0.399,197649
2018-10-19,0.409,0.39,0.409,0.405,101156
2018-10-22,0.415,0.39,0.39,0.409,176523
2018-10-23,0.408,0.37,0.398,0.4,118506
2018-10-24,0.398,0.376,0.378,0.376,143084
2018-10-25,0.42,0.378,0.4,0.38,59269
2018-10-26,0.417,0.35,0.371,0.417,166610
2018-10-29,0.395,0.371,0.39,0.371,155946
2018-10-30,0.395,0.372,0.385,0.39,33451
2018-10-31,0.44,0.35,0.42,0.385,1022623
2018-11-01,0.419,0.36,0.395,0.4,847324
2018-11-02,0.431,0.383,0.414,0.395,215157
2018-11-05,0.414,0.386,0.394,0.4,95539
2018-11-06,0.396,0.372,0.395,0.394,68995
2018-11-07,0.455,0.39,0.44,0.397,638774
2018-11-08,0.518,0.415,0.51,0.44,1726451
2018-11-09,0.52,0.47,0.494,0.51,470956
2018-11-12,0.52,0.47,0.51,0.49,507150
2018-11-13,0.51,0.48,0.48,0.51,197817
2018-11-14,0.5,0.46,0.49,0.48,446207
2018-11-15,0.522,0.47,0.48,0.49,475253
2018-11-16,0.495,0.45,0.45,0.481,224032
2018-11-19,0.5,0.447,0.469,0.5,272989
2018-11-20,0.47,0.412,0.448,0.47,234505
2018-11-21,0.469,0.423,0.459,0.44,82471
2018-11-22,0.459,0.44,0.458,0.45,194391
2018-11-23,0.46,0.42,0.46,0.45,94695
2018-11-26,0.485,0.426,0.46,0.46,70431
2018-11-27,0.45,0.42,0.448,0.431,213763
2018-11-28,0.46,0.416,0.44,0.448,322013
2018-11-29,0.444,0.415,0.439,0.43,185104
2018-11-30,0.449,0.41,0.43,0.439,266374
2018-12-03,0.43,0.369,0.42,0.43,405685
2018-12-04,0.429,0.389,0.41,0.42,181786
2018-12-05,0.401,0.377,0.388,0.39,383617
2018-12-06,0.39,0.37,0.38,0.39,135039
2018-12-07,0.418,0.37,0.38,0.38,219506
2018-12-10,0.418,0.357,0.37,0.418,160601
2018-12-11,0.45,0.37,0.44,0.37,511108
2018-12-12,0.48,0.391,0.47,0.44,811856
2018-12-13,0.47,0.403,0.438,0.47,210474
2018-12-14,0.46,0.409,0.44,0.46,79829
2018-12-17,0.46,0.408,0.44,0.44,81379
2018-12-18,0.43,0.416,0.43,0.416,100507
2018-12-19,0.42,0.4,0.42,0.416,210238
2018-12-20,0.465,0.4,0.42,0.41,254294
2018-12-21,0.452,0.4,0.429,0.42,251184
2018-12-27,0.436,0.395,0.417,0.436,273137
2018-12-28,0.417,0.359,0.41,0.417,775826
2019-01-02,0.41,0.38,0.409,0.41,129606
2019-01-03,0.426,0.4,0.419,0.4,234601
2019-01-04,0.44,0.4,0.439,0.425,1753423
2019-01-07,0.46,0.408,0.43,0.448,181799
2019-01-08,0.448,0.4,0.428,0.43,2377836
2019-01-09,0.435,0.415,0.424,0.428,368622
2019-01-10,0.434,0.4,0.428,0.433,868896
2019-01-11,0.431,0.4,0.424,0.431,682301
2019-01-14,0.424,0.39,0.409,0.424,93630
2019-01-15,0.409,0.384,0.405,0.409,272406
2019-01-16,0.405,0.384,0.401,0.384,53873
2019-01-17,0.403,0.383,0.399,0.391,95354
2019-01-18,0.399,0.365,0.395,0.383,482637
2019-01-21,0.398,0.368,0.379,0.395,275980
2019-01-22,0.388,0.348,0.374,0.38,786282
2019-01-23,0.382,0.36,0.382,0.377,315483
2019-01-24,0.385,0.35,0.367,0.385,942828
2019-01-25,0.387,0.35,0.384,0.367,490656
2019-01-28,0.383,0.36,0.379,0.36,116166
2019-01-29,0.381,0.365,0.378,0.381,44596
2019-01-30,0.378,0.356,0.37,0.37,425161
2019-01-31,0.375,0.341,0.359,0.37,402537
2019-02-01,0.368,0.353,0.36,0.359,188089
2019-02-04,0.37,0.353,0.353,0.36,102926
2019-02-05,0.37,0.351,0.365,0.351,120549
2019-02-06,0.367,0.351,0.366,0.36,148386
2019-02-07,0.369,0.35,0.368,0.369,254947
2019-02-08,0.364,0.35,0.359,0.36,745336
2019-02-11,0.37,0.35,0.37,0.35,642847
2019-02-12,0.397,0.351,0.367,0.36,1129114
2019-02-13,0.378,0.354,0.354,0.367,639716
2019-02-14,0.376,0.35,0.351,0.356,270750
2019-02-15,0.363,0.35,0.357,0.351,153631
2019-02-18,0.357,0.351,0.353,0.357,42553
2019-02-19,0.353,0.328,0.348,0.353,246731
2019-02-20,0.346,0.331,0.34,0.344,156197
2019-02-21,0.36,0.305,0.358,0.305,236457
2019-02-22,0.358,0.326,0.35,0.358,192506
2019-02-25,0.355,0.327,0.345,0.34,185501
2019-02-26,0.361,0.334,0.354,0.34,442485
2019-02-27,0.354,0.322,0.344,0.354,174859
2019-02-28,0.34,0.321,0.34,0.334,283920
2019-03-01,0.34,0.321,0.321,0.34,334847
2019-03-04,0.339,0.32,0.32,0.321,215903
2019-03-05,0.329,0.31,0.329,0.32,309727
2019-03-06,0.33,0.282,0.33,0.313,538320
2019-03-07,0.33,0.306,0.314,0.33,189481
2019-03-08,0.314,0.29,0.298,0.303,765134
2019-03-11,0.315,0.285,0.295,0.298,569942
2019-03-12,0.309,0.29,0.309,0.309,230756
2019-03-13,0.31,0.29,0.295,0.3,82411
2019-03-14,0.31,0.286,0.299,0.295,235304
2019-03-15,0.308,0.29,0.298,0.29,77350
2019-03-18,0.298,0.285,0.298,0.298,44729
2019-03-19,0.298,0.28,0.297,0.298,191581
2019-03-20,0.384,0.28,0.313,0.295,487785
2019-03-21,0.32,0.29,0.3,0.32,179237
2019-03-22,0.312,0.29,0.29,0.292,121149
2019-03-25,0.304,0.28,0.3,0.29,34949
2019-03-26,0.295,0.281,0.29,0.285,71935
2019-03-27,0.3,0.283,0.292,0.3,60985
2019-03-28,0.299,0.283,0.299,0.292,194772
2019-03-29,0.3,0.284,0.291,0.299,262730
2019-04-01,0.29,0.26,0.29,0.26,45736
2019-04-02,0.3,0.281,0.292,0.29,293300
2019-04-03,0.292,0.286,0.29,0.292,204539
2019-04-04,0.357,0.286,0.344,0.292,938657
2019-04-05,0.342,0.304,0.32,0.341,152721
2019-04-08,0.33,0.286,0.31,0.31,214550
2019-04-09,0.329,0.3,0.327,0.32,236451
2019-04-10,0.398,0.32,0.344,0.327,554949
2019-04-11,0.37,0.331,0.37,0.344,202597
2019-04-12,0.395,0.331,0.385,0.37,384130
2019-04-15,0.392,0.351,0.377,0.39,169115
2019-04-16,0.378,0.351,0.368,0.377,98903
2019-04-17,0.395,0.37,0.394,0.38,455800
2019-04-18,0.392,0.38,0.385,0.38,56930
2019-04-23,0.38,0.355,0.362,0.38,55301
2019-04-24,0.36,0.35,0.35,0.36,116894
2019-04-25,0.37,0.32,0.35,0.37,117754
2019-04-26,0.37,0.35,0.355,0.35,18300
2019-04-29,0.39,0.34,0.37,0.34,262380
2019-04-30,0.37,0.351,0.37,0.37,27733
2019-05-02,0.355,0.352,0.355,0.352,16210
2019-05-03,0.385,0.35,0.382,0.385,233143
2019-05-06,0.385,0.352,0.37,0.382,288610
2019-05-07,0.37,0.322,0.35,0.366,326649
2019-05-08,0.37,0.333,0.333,0.368,242342
2019-05-09,0.34,0.303,0.316,0.34,255072
2019-05-10,0.367,0.312,0.335,0.367,157995
2019-05-13,0.359,0.316,0.35,0.34,133591
2019-05-14,0.34,0.32,0.339,0.34,65800
2019-05-15,0.339,0.318,0.33,0.339,122953
2019-05-16,0.36,0.315,0.354,0.315,219493
2019-05-17,0.359,0.32,0.32,0.359,128818
2019-05-20,0.315,0.296,0.301,0.315,289560
2019-05-21,0.315,0.304,0.315,0.308,129267
2019-05-22,0.33,0.299,0.305,0.309,461512
2019-05-23,0.37,0.31,0.345,0.315,1203800
2019-05-24,0.6,0.365,0.519,0.365,18011974
2019-05-27,0.519,0.422,0.478,0.519,6921656
2019-05-28,0.478,0.4,0.405,0.478,3280223
