Date,High,Low,Close,Open,Volume
2020-01-02,99.9,98.0,99.0,98.1,176868
2020-01-03,99.8,97.3,99.2,99.6,115424
2020-01-07,101.0,98.7,100.0,99.2,219650
2020-01-08,104.4,99.7,103.0,100.2,332050
2020-01-09,107.8,103.8,106.2,107.0,393376
2020-01-10,108.2,106.4,107.0,106.6,186943
2020-01-13,107.2,104.2,104.4,107.0,138103
2020-01-14,105.4,103.0,104.2,104.4,122351
2020-01-15,104.4,102.6,103.8,104.2,213422
2020-01-16,105.8,103.2,105.6,104.6,122032
2020-01-17,106.4,102.0,104.4,103.4,290810
2020-01-20,106.6,104.0,106.6,104.4,233141
2020-01-21,109.8,100.8,107.2,106.8,509941
2020-01-22,106.6,100.0,100.8,104.6,957204
2020-01-23,100.6,95.9,95.9,100.2,464584
2020-01-24,98.7,95.8,95.9,97.0,314243
2020-01-27,96.2,93.3,93.3,95.8,294158
2020-01-28,95.3,93.0,93.0,93.3,205810
2020-01-29,94.0,92.5,92.8,93.5,227639
2020-01-30,93.5,91.3,92.4,92.9,209938
2020-01-31,96.6,91.5,94.4,91.5,348019
2020-02-03,95.4,92.4,94.6,93.9,266761
2020-02-04,98.1,95.0,97.4,96.5,251730
2020-02-05,99.78,96.7,98.85,97.6,274799
2020-02-06,101.4,98.7,98.8,99.9,211002
2020-02-07,99.2,97.6,98.5,98.8,187982
2020-02-10,100.0,98.6,99.6,98.6,211351
2020-02-11,101.0,99.2,101.0,100.0,154372
2020-02-12,103.8,101.0,103.4,101.0,203561
2020-02-13,106.4,102.2,106.0,103.4,301933
2020-02-14,105.8,103.8,104.0,105.0,149800
2020-02-17,105.4,104.0,104.4,104.2,104281
2020-02-18,104.6,101.8,104.2,104.2,114822
2020-02-19,105.0,103.8,104.6,104.2,162365
2020-02-20,110.8,104.8,109.0,105.0,401753
2020-02-21,109.0,105.8,106.2,109.0,171401
2020-02-24,103.8,99.8,99.8,103.8,429865
2020-02-25,102.2,98.7,99.1,99.8,298846
2020-02-26,101.0,94.9,101.0,98.7,368879
2020-02-27,99.9,96.6,97.8,99.9,317285
