Date,High,Low,Close,Open,Volume
2020-01-02,10.4,9.56,10.1,9.56,3272
2020-01-03,10.4,9.9,10.1,9.9,5655
2020-01-07,10.8,9.6,10.0,10.1,20156
2020-01-08,10.6,9.6,10.35,9.8,6252
2020-01-09,10.5,10.05,10.4,10.05,17248
2020-01-10,10.4,10.0,10.1,10.4,5347
2020-01-13,10.4,9.94,10.15,10.4,11251
2020-01-14,10.1,9.82,10.1,9.92,7509
2020-01-15,10.35,9.96,10.35,9.96,4471
2020-01-16,10.3,9.8,9.94,9.8,427
2020-01-17,10.3,9.94,10.25,9.94,1184
2020-01-20,10.25,9.8,10.15,10.25,4034
2020-01-21,10.0,9.2,9.66,10.0,28869
2020-01-22,9.88,9.66,9.7,9.66,9185
2020-01-23,9.94,9.62,9.94,9.66,18392
2020-01-24,9.94,9.7,9.92,9.94,3860
2020-01-27,11.25,9.8,10.8,9.82,79864
2020-01-28,11.45,10.0,10.1,11.05,22332
2020-01-29,10.6,9.94,10.0,10.0,10049
2020-01-30,12.95,9.9,11.45,9.9,152197
2020-01-31,12.1,11.25,11.5,11.6,26033
2020-02-03,12.3,10.5,11.1,11.5,14640
2020-02-04,11.45,10.8,11.25,11.45,7438
2020-02-05,11.5,10.15,10.2,11.5,38652
2020-02-06,10.6,10.3,10.45,10.3,5550
2020-02-07,11.3,10.4,10.9,10.65,17281
2020-02-10,12.45,10.3,11.25,10.9,10409
2020-02-11,11.35,10.85,11.15,11.35,5045
2020-02-12,11.4,10.75,11.25,10.95,3987
2020-02-13,11.25,10.9,11.25,11.25,2912
2020-02-14,13.25,11.25,11.8,11.25,26011
2020-02-17,12.75,11.8,12.1,11.8,20131
2020-02-18,12.95,11.75,12.05,12.95,43724
2020-02-19,12.05,11.0,11.55,12.05,24040
2020-02-20,12.7,10.95,11.8,12.7,49569
2020-02-21,11.95,10.85,11.4,11.8,13279
2020-02-24,11.95,10.6,11.0,11.4,7763
2020-02-25,11.25,10.45,11.15,10.6,11383
2020-02-26,11.1,10.4,11.1,10.65,10424
2020-02-27,10.7,10.4,10.65,10.7,4218
2020-02-28,10.45,9.5,10.1,10.0,22680
2020-03-02,10.95,10.1,10.1,10.6,11503
2020-03-03,10.85,9.9,10.65,10.1,7603
2020-03-04,10.85,10.0,10.35,10.85,10026
2020-03-05,10.6,9.3,10.2,10.6,35089
2020-03-06,10.0,9.7,9.8,9.9,4974
2020-03-09,9.22,8.42,8.86,8.42,11823
2020-03-10,9.92,8.82,9.04,8.86,18548
2020-03-11,10.85,9.06,9.46,9.3,7438
2020-03-12,9.14,7.08,7.86,9.06,14764
2020-03-13,8.88,7.18,8.68,7.86,30783
2020-03-16,7.88,6.54,7.12,7.88,26143
2020-03-17,7.34,6.54,6.8,7.34,2519
2020-03-18,7.4,5.04,7.4,7.22,12055
2020-03-19,7.48,7.0,7.48,7.46,12227
2020-03-20,8.28,7.42,7.7,7.5,17173
2020-03-23,7.66,7.0,7.38,7.0,2780
2020-03-24,8.0,7.16,8.0,7.9,4143
2020-03-25,8.96,8.0,8.3,8.64,4993
2020-03-26,8.46,7.8,8.2,8.46,7094
2020-03-27,8.7,7.74,8.44,8.0,4395
2020-03-30,8.38,7.66,8.36,7.66,2211
2020-03-31,8.46,8.2,8.2,8.34,1995
2020-04-01,8.48,7.3,7.98,7.94,19495
2020-04-02,7.7,7.3,7.6,7.34,8435
2020-04-03,8.04,7.62,7.96,7.94,97
2020-04-06,8.4,7.48,7.58,7.92,8964
2020-04-07,7.5,7.0,7.2,7.4,18516
2020-04-08,7.88,7.02,7.48,7.88,4599
2020-04-09,7.56,7.0,7.1,7.08,14191
2020-04-14,8.48,6.82,8.44,7.1,31496
2020-04-15,8.0,7.24,7.72,7.24,5949
2020-04-16,7.72,7.22,7.22,7.22,2017
2020-04-17,7.58,6.66,7.4,7.22,13668
2020-04-20,7.52,6.78,7.52,6.8,4899
2020-04-21,7.54,7.2,7.5,7.54,900
2020-04-22,7.98,7.06,7.98,7.52,874
2020-04-23,8.48,7.3,8.14,7.98,8251
2020-04-24,8.48,7.72,8.2,8.48,2538
2020-04-27,9.36,7.72,8.26,8.3,95561
2020-04-28,8.48,8.02,8.1,8.4,7736
2020-04-29,8.5,7.84,8.34,8.0,8563
2020-04-30,8.48,7.9,8.04,7.9,2472
2020-05-04,8.12,7.64,8.0,8.04,15480
2020-05-05,8.38,7.94,8.38,8.3,6783
2020-05-06,8.98,8.26,8.98,8.26,1632
2020-05-07,9.28,8.3,9.28,8.98,4440
2020-05-08,9.18,8.6,8.7,9.18,555
2020-05-11,8.98,8.36,8.58,8.7,1170
2020-05-12,8.82,7.94,8.12,8.82,5115
2020-05-13,8.7,7.8,7.8,8.7,17052
2020-05-14,8.94,8.1,8.16,8.56,15410
2020-05-15,8.46,8.0,8.46,8.02,4375
2020-05-18,8.98,8.1,8.4,8.54,4684
2020-05-19,8.92,8.18,8.84,8.26,3358
2020-05-20,8.9,8.38,8.6,8.38,6011
2020-05-22,8.94,8.0,8.08,8.74,6838
2020-05-25,8.36,7.62,7.66,8.36,13365
2020-05-26,7.88,7.4,7.64,7.6,23232
2020-05-27,7.98,7.36,7.4,7.38,6456
2020-05-28,7.84,7.0,7.76,7.84,6129
2020-05-29,7.72,7.26,7.5,7.3,1265
2020-06-01,7.5,7.08,7.28,7.5,9612
2020-06-02,7.38,7.06,7.26,7.14,9588
2020-06-03,7.54,7.16,7.54,7.2,15862
2020-06-04,8.08,7.4,7.98,7.54,15505
2020-06-05,8.44,8.0,8.22,8.08,14481
2020-06-08,8.46,7.5,8.4,8.22,10401
2020-06-09,8.48,8.28,8.48,8.4,10614
2020-06-10,8.48,7.88,8.34,8.48,10473
2020-06-11,8.34,8.0,8.28,8.26,20555
2020-06-12,8.76,8.02,8.74,8.02,30670
2020-06-15,8.74,8.22,8.58,8.74,3404
2020-06-16,8.56,8.24,8.56,8.56,1867
2020-06-17,8.72,8.22,8.44,8.72,3523
2020-06-18,8.72,8.1,8.24,8.44,13020
2020-06-22,8.42,8.0,8.0,8.24,6422
2020-06-23,8.34,7.92,8.3,8.34,14166
2020-06-24,8.28,8.28,8.28,8.28,181
2020-06-25,8.28,8.12,8.28,8.12,4106
2020-06-26,8.5,8.04,8.5,8.3,893
2020-06-29,8.5,8.06,8.06,8.5,292
2020-06-30,8.74,8.02,8.74,8.46,21660
2020-07-01,8.82,8.14,8.8,8.14,8223
2020-07-02,8.96,8.5,8.9,8.8,13045
2020-07-03,8.84,8.44,8.84,8.68,850
2020-07-06,8.58,8.3,8.48,8.32,4847
2020-07-07,8.84,8.1,8.76,8.7,20466
2020-07-08,8.52,8.44,8.52,8.44,8663
2020-07-09,8.3,8.16,8.3,8.24,1680
2020-07-10,8.16,8.1,8.16,8.1,2519
2020-07-13,9.9,8.1,9.86,8.16,147380
2020-07-14,10.2,9.0,9.98,10.05,60248
2020-07-15,10.0,9.32,9.62,10.0,16215
2020-07-16,9.74,9.16,9.6,9.42,9545
2020-07-17,9.72,9.26,9.58,9.72,11316
2020-07-20,9.58,9.08,9.12,9.58,2676
2020-07-21,9.42,9.12,9.16,9.12,16761
