Date,Closing price,50,200
2018-06-04,195.55,,
2018-06-06,201.8,,
2018-06-07,197.35,,
2018-06-08,199.1,,
2018-06-11,201.0,,
2018-06-12,204.9,,
2018-06-13,206.0,,
2018-06-14,208.7,,
2018-06-15,205.5,,
2018-06-18,201.4,,
2018-06-19,198.45,,
2018-06-20,196.35,,
2018-06-21,196.8,,
2018-06-22,198.9,,
2018-06-25,189.4,,
2018-06-26,185.55,,
2018-06-27,181.75,,
2018-06-28,183.0,,
2018-06-29,188.2,,
2018-07-02,187.9,,
2018-07-03,192.45,,
2018-07-04,192.05,,
2018-07-05,192.35,,
2018-07-06,189.35,,
2018-07-09,193.0,,
2018-07-10,196.0,,
2018-07-11,193.8,,
2018-07-12,194.15,,
2018-07-13,192.5,,
2018-07-16,193.6,,
2018-07-17,196.85,,
2018-07-18,194.55,,
2018-07-19,197.25,,
2018-07-20,198.6,,
2018-07-23,196.0,,
2018-07-24,195.3,,
2018-07-25,196.3,,
2018-07-26,194.0,,
2018-07-27,195.85,,
2018-07-30,195.5,,
2018-07-31,194.5,,
2018-08-01,193.0,,
2018-08-02,190.35,,
2018-08-03,189.75,,
2018-08-06,181.25,,
2018-08-07,181.0,,
2018-08-08,188.65,,
2018-08-09,191.8,,
2018-08-10,192.15,,
2018-08-13,192.2,,
2018-08-14,189.25,,
2018-08-15,181.95,,
2018-08-16,177.0,,
2018-08-17,170.05,,
2018-08-20,164.6,,
2018-08-21,175.5,,
2018-08-22,175.2,,
2018-08-23,176.75,,
2018-08-24,178.85,,
2018-08-27,179.9,,
2018-08-28,179.25,,
2018-08-29,181.2,,
2018-08-30,185.9,,
2018-08-31,184.2,,
2018-09-03,194.0,,
2018-09-04,190.6,,
2018-09-05,185.5,,
2018-09-06,180.35,,
2018-09-07,185.2,,
2018-09-10,184.0,,
2018-09-11,185.0,,
2018-09-12,186.3,,
2018-09-13,185.45,,
2018-09-14,174.5,,
2018-09-17,168.15,,
2018-09-18,168.0,,
2018-09-19,168.55,,
2018-09-20,173.8,,
2018-09-21,173.7,,
2018-09-24,176.15,,
2018-09-25,176.4,,
2018-09-26,171.4,,
2018-09-27,169.55,,
2018-09-28,169.3,,
2018-10-01,170.4,,
2018-10-02,170.75,,
2018-10-03,173.1,,
2018-10-04,166.5,,
2018-10-05,163.95,,
2018-10-08,160.7,,
2018-10-09,162.0,,
2018-10-10,155.5,,
2018-10-11,149.2,,
2018-10-12,154.75,,
2018-10-15,154.45,,
2018-10-16,164.2,,
2018-10-17,162.5,,
2018-10-18,167.7,,
2018-10-19,163.4,,
2018-10-22,159.8,,
2018-10-23,157.05,,
2018-10-24,154.35,,
2018-10-25,152.75,,
2018-10-26,149.85,,
2018-10-29,150.85,,
2018-10-30,149.45,,
2018-10-31,152.45,,
2018-11-01,159.35,,
2018-11-02,158.0,,
2018-11-05,157.1,,
2018-11-06,156.7,,
2018-11-07,162.45,,
2018-11-08,159.0,,
2018-11-09,156.75,,
2018-11-12,150.65,,
2018-11-13,138.9,,
2018-11-14,136.3,,
2018-11-15,133.35,,
2018-11-16,129.5,,
2018-11-19,126.2,,
2018-11-20,123.4,,
2018-11-21,124.4,,
2018-11-22,126.15,,
2018-11-23,131.7,,
2018-11-26,136.5,,
2018-11-27,131.3,,
2018-11-28,138.95,,
2018-11-29,138.0,,
2018-11-30,137.7,,
2018-12-03,138.1,,
2018-12-04,141.05,,
2018-12-05,136.4,,
2018-12-06,131.45,,
2018-12-07,134.9,,
2018-12-10,133.9,,
2018-12-11,135.15,,
2018-12-12,138.3,,
2018-12-13,136.75,,
2018-12-14,137.9,,
2018-12-17,131.3,,
2018-12-18,127.0,,
2018-12-19,125.4,,
2018-12-20,122.0,,
2018-12-21,120.5,,
2018-12-27,123.05,,
2018-12-28,127.45,,
2019-01-02,133.1,,
2019-01-03,130.75,,
2019-01-04,138.45,,
2019-01-07,140.7,,
2019-01-08,147.35,,
2019-01-09,147.35,,
2019-01-10,146.55,,
2019-01-11,149.0,,
2019-01-14,147.5,,
2019-01-15,147.0,,
2019-01-16,153.25,,
2019-01-17,150.0,,
2019-01-18,150.35,,
2019-01-21,154.0,,
2019-01-22,150.25,,
2019-01-23,150.55,,
2019-01-24,150.4,,
2019-01-25,150.0,,
2019-01-28,148.65,,
2019-01-29,147.35,,
2019-01-30,148.65,,
2019-01-31,151.25,,
2019-02-01,147.85,,
2019-02-04,145.15,,
2019-02-05,146.95,,
2019-02-06,143.45,,
2019-02-07,141.7,,
2019-02-08,138.5,,
2019-02-11,145.05,,
2019-02-12,152.1,,
2019-02-13,152.0,,
2019-02-14,150.75,,
2019-02-15,151.95,,
2019-02-18,151.8,,
2019-02-19,149.05,,
2019-02-20,150.05,,
2019-02-21,146.6,,
2019-02-22,149.25,,
2019-02-25,151.0,,
2019-02-26,148.0,,
2019-02-27,147.95,,
2019-02-28,148.3,,
2019-03-01,152.0,,
2019-03-04,149.55,,
2019-03-05,153.95,,
2019-03-06,150.65,,
2019-03-07,147.75,,
2019-03-08,146.5,,
2019-03-11,139.3,,
2019-03-12,143.2,,
2019-03-13,141.7,,
2019-03-14,138.0,,
2019-03-15,135.75,,
2019-03-18,135.55,,
2019-03-19,136.7,,
2019-03-20,138.0,,
2019-03-21,138.0,,
