Date,High,Low,Close,Open,Volume
2020-01-02,161.0,153.4,161.0,153.8,51050
2020-01-03,162.2,159.4,161.2,161.0,32594
2020-01-07,159.6,153.8,159.6,159.0,106999
2020-01-08,159.4,156.2,159.4,158.4,9748
2020-01-09,159.4,154.6,157.6,159.4,40381
2020-01-10,159.0,156.4,156.4,159.0,6030
2020-01-13,158.2,154.8,155.8,156.6,44764
2020-01-14,157.2,154.4,155.2,155.8,9580
2020-01-15,156.0,151.6,153.4,155.2,10808
2020-01-16,156.0,152.4,155.8,153.2,11364
2020-01-17,158.2,154.6,156.0,155.8,15743
2020-01-20,158.6,153.6,154.4,157.4,17768
2020-01-21,155.0,151.6,152.8,155.0,18213
2020-01-22,153.6,149.2,150.0,153.0,22761
2020-01-23,150.6,145.8,150.0,150.0,12109
2020-01-24,151.8,149.2,150.4,150.2,7935
2020-01-27,150.0,145.0,148.0,150.0,26405
2020-01-28,150.0,146.0,147.6,148.0,65199
2020-01-29,148.4,145.8,147.6,147.6,22540
2020-01-30,147.6,145.6,146.8,147.6,31641
2020-01-31,146.8,145.6,146.0,146.8,12077
2020-02-03,146.0,143.4,144.6,146.0,9211
2020-02-04,147.0,145.0,146.2,145.0,12144
2020-02-05,148.8,147.0,147.8,147.0,15769
2020-02-06,150.0,146.0,146.4,147.8,22037
2020-02-07,149.4,144.4,144.8,149.4,13276
2020-02-10,148.6,144.6,144.6,147.0,16447
2020-02-11,145.0,143.0,144.0,144.6,18637
2020-02-12,145.8,143.8,144.6,144.0,101247
2020-02-13,147.4,144.2,145.4,144.6,78233
2020-02-14,146.6,139.0,142.8,146.0,48050
2020-02-17,142.8,141.6,142.4,142.8,47708
2020-02-18,142.4,138.2,138.4,142.4,20096
2020-02-19,138.4,134.0,136.6,138.4,50272
2020-02-20,136.2,134.2,135.8,136.2,36395
2020-02-21,136.2,133.4,133.8,135.8,24053
2020-02-24,131.8,127.0,127.6,131.2,35513
2020-02-25,129.6,125.6,126.2,127.6,21698
2020-02-26,126.0,120.2,125.8,125.4,31609
2020-02-27,125.8,119.0,119.6,125.8,28167
2020-02-28,119.6,113.8,117.0,118.0,747893
2020-03-02,121.0,117.0,117.6,117.0,60940
2020-03-03,122.2,119.8,119.8,121.0,45044
2020-03-04,121.4,118.2,118.2,119.8,12642
2020-03-05,121.0,116.2,116.2,120.0,24919
2020-03-06,116.4,115.0,115.2,116.4,20683
2020-03-09,114.6,107.2,107.2,112.0,61924
2020-03-10,113.4,106.4,106.6,107.4,36265
2020-03-11,111.8,101.2,101.2,106.6,51365
2020-03-12,99.8,92.0,92.2,99.8,91143
2020-03-13,98.1,90.5,91.1,93.0,77237
2020-03-16,90.0,81.0,85.4,90.0,74283
2020-03-17,90.0,80.4,80.5,85.0,79362
2020-03-18,82.0,76.1,76.3,80.6,51396
2020-03-19,77.6,75.0,75.7,76.9,130530
2020-03-20,81.7,77.0,79.0,77.0,86095
2020-03-23,78.0,72.2,74.8,77.9,82805
2020-03-24,78.0,76.0,77.0,78.0,52425
2020-03-25,83.0,77.3,80.0,83.0,67329
2020-03-26,79.0,75.1,78.7,75.1,304084
2020-03-27,79.7,77.8,78.4,78.5,48946
2020-03-30,79.4,75.8,79.4,78.0,41370
2020-03-31,82.9,80.0,82.7,80.2,46416
2020-04-01,82.7,80.5,81.9,82.6,27916
2020-04-02,84.5,80.8,82.9,82.4,24782
2020-04-03,84.0,81.5,82.8,83.0,21486
2020-04-06,88.9,83.7,85.2,88.9,28351
2020-04-07,91.0,86.2,87.5,89.2,49453
2020-04-08,99.3,91.0,93.2,94.8,79634
2020-04-09,100.0,95.3,97.3,96.9,40234
2020-04-14,101.2,98.0,98.8,100.2,46485
2020-04-15,98.9,90.0,90.7,98.9,72312
2020-04-16,92.4,85.6,88.7,92.4,51673
2020-04-17,93.7,91.2,92.0,93.7,68238
2020-04-20,94.6,89.8,91.9,94.0,56847
2020-04-21,92.8,89.6,89.9,92.8,46081
2020-04-22,90.7,88.5,89.3,90.2,47979
2020-04-23,92.4,89.3,89.5,91.1,71757
2020-04-24,91.2,89.3,89.5,89.6,56910
2020-04-27,93.2,89.9,91.0,92.6,83524
2020-04-28,93.5,90.3,91.9,92.7,87754
2020-04-29,93.4,91.3,93.1,92.8,392157
2020-04-30,94.8,93.3,94.2,93.4,29439
2020-05-04,94.0,89.8,90.3,94.0,85809
2020-05-05,92.0,89.5,91.4,91.3,30525
2020-05-06,91.9,89.8,91.1,91.5,75182
2020-05-07,91.0,89.7,90.0,90.7,60873
2020-05-08,91.0,89.7,90.2,90.0,54791
2020-05-11,91.5,89.5,90.0,90.0,64405
2020-05-12,91.2,89.8,90.3,90.0,36240
2020-05-13,90.1,87.5,89.1,90.1,19572
2020-05-14,89.5,85.5,89.4,88.9,69988
2020-05-15,90.9,86.0,86.5,89.9,25898
2020-05-18,90.5,87.6,90.5,88.0,21411
2020-05-19,92.0,89.7,90.3,91.0,652416
2020-05-20,90.5,89.5,90.5,90.3,180747
2020-05-22,93.5,90.0,92.3,90.5,116714
2020-05-25,93.8,93.1,93.7,93.1,108123
2020-05-26,97.3,93.7,95.8,93.7,246569
2020-05-27,98.9,95.1,97.9,95.5,439262
2020-05-28,101.6,97.1,99.3,99.4,340375
2020-05-29,100.6,97.5,98.1,99.3,136834
2020-06-01,101.0,98.2,100.6,98.4,228145
2020-06-02,103.6,100.8,101.2,101.0,56998
2020-06-03,103.4,101.4,103.0,102.0,150922
2020-06-04,108.6,103.0,105.0,103.8,57595
2020-06-05,108.0,105.2,106.6,105.2,63259
2020-06-08,108.0,103.6,105.2,106.6,48557
2020-06-09,106.6,99.6,103.0,105.2,31452
2020-06-10,103.8,99.1,101.0,103.0,31898
2020-06-11,100.0,94.8,96.9,100.0,59852
2020-06-12,98.8,93.4,95.9,95.0,176641
2020-06-15,95.9,91.8,93.7,95.9,106682
2020-06-16,98.9,95.1,97.1,95.1,63697
2020-06-17,98.3,94.2,97.0,98.0,38479
2020-06-18,99.8,95.5,97.2,99.0,43142
2020-06-22,99.2,96.2,97.3,97.8,55775
2020-06-23,99.5,96.6,98.8,98.5,42202
2020-06-24,100.6,95.4,95.4,99.1,46856
2020-06-25,96.5,94.1,96.5,95.5,30788
2020-06-26,99.4,95.2,95.7,99.4,36687
2020-06-29,96.7,94.3,96.2,95.7,41868
2020-06-30,97.0,94.6,95.1,96.3,79279
2020-07-01,96.6,94.5,96.1,95.9,38391
2020-07-02,99.3,95.9,98.5,96.7,107964
2020-07-03,102.2,98.5,99.9,98.5,40866
2020-07-06,104.0,101.0,101.6,102.4,63965
2020-07-07,102.8,100.6,102.4,102.4,77127
2020-07-08,105.0,100.6,104.0,101.8,38562
2020-07-09,104.6,102.2,103.0,104.6,39018
2020-07-10,105.8,102.2,105.0,102.4,24189
2020-07-13,105.8,104.0,105.4,105.6,57075
2020-07-14,107.8,104.4,107.8,105.2,40067
2020-07-15,110.0,107.4,109.6,108.8,50648
2020-07-16,110.6,108.4,110.0,110.2,38219
2020-07-17,112.6,110.0,111.8,110.2,49609
2020-07-20,112.8,110.4,111.2,112.8,36584
2020-07-21,111.6,110.4,111.2,111.4,41652
2020-07-22,113.2,110.8,112.6,111.2,31525
2020-07-23,113.8,111.6,111.6,113.4,26642
2020-07-24,112.2,110.8,111.2,111.6,47728
2020-07-27,111.4,109.0,109.6,111.2,29534
2020-07-28,110.4,109.0,109.4,110.0,18634
2020-07-29,109.6,107.0,109.4,109.4,26410
2020-07-30,110.4,107.2,108.2,110.4,35916
2020-07-31,108.4,104.4,104.8,108.0,20334
2020-08-03,119.8,110.6,119.0,110.6,135612
2020-08-04,122.8,119.0,120.8,119.2,53372
2020-08-05,122.4,116.0,120.0,121.2,51309
2020-08-06,121.0,118.0,118.4,120.2,74228
2020-08-07,123.2,118.0,121.4,119.6,30213
2020-08-10,123.0,120.8,122.8,122.0,32470
2020-08-11,126.8,122.2,126.6,123.0,44764
2020-08-12,129.2,125.6,125.6,126.8,47607
2020-08-13,128.8,125.2,126.2,125.6,23652
2020-08-14,127.8,124.8,127.2,125.6,33970
2020-08-17,127.4,124.0,124.0,127.2,30086
2020-08-18,125.4,122.2,124.4,123.8,8974
2020-08-19,126.0,123.2,124.4,125.0,14712
2020-08-20,124.8,121.0,122.0,121.8,25453
2020-08-21,125.2,116.0,120.4,123.0,93572
2020-08-24,128.0,119.2,127.6,120.0,125035
