Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,47.5,45.0,45.2,46.6,318428
2018-06-06,45.5,41.9,42.6,45.5,345419
2018-06-07,43.6,42.0,43.5,42.9,203923
2018-06-08,44.7,42.4,43.5,43.7,199030
2018-06-11,44.2,42.6,42.8,44.2,70635
2018-06-12,42.8,42.0,42.3,42.8,77942
2018-06-13,42.9,41.0,42.2,42.9,222757
2018-06-14,42.2,40.3,40.9,42.2,118560
2018-06-15,41.4,40.5,41.1,40.7,80193
2018-06-18,43.1,40.6,42.8,41.1,228180
2018-06-19,42.8,40.7,41.5,42.8,81198
2018-06-20,41.9,41.0,41.4,41.4,46231
2018-06-21,41.5,40.5,41.3,41.4,44036
2018-06-22,40.8,39.6,39.9,40.8,116738
2018-06-25,39.9,39.5,39.7,39.9,29852
2018-06-26,43.4,39.6,39.9,42.8,225333
2018-06-27,39.9,38.5,39.7,39.9,81290
2018-06-28,40.0,37.6,37.8,39.7,117573
2018-06-29,38.5,37.5,37.5,38.2,95132
2018-07-02,37.8,35.1,35.1,37.8,122752
2018-07-03,36.9,33.0,36.9,34.9,207584
2018-07-04,36.0,34.9,35.1,36.0,51963
2018-07-05,36.1,35.0,35.8,35.0,40330
2018-07-06,36.0,35.0,35.1,36.0,32268
2018-07-09,35.9,35.1,35.7,35.1,10106
2018-07-10,35.9,35.2,35.2,35.5,17457
2018-07-11,35.7,34.5,35.0,35.2,33014
2018-07-12,35.4,34.8,34.8,34.8,24528
2018-07-13,35.0,34.7,34.8,34.8,24274
2018-07-16,35.3,34.0,34.7,35.3,29507
2018-07-17,34.3,33.2,33.6,34.2,79005
2018-07-18,33.8,32.6,32.6,33.2,128732
2018-07-19,33.1,31.7,32.5,32.6,82946
2018-07-20,35.0,31.4,34.5,32.0,131304
2018-07-23,35.3,31.7,32.1,35.0,181487
2018-07-24,33.7,32.3,33.4,32.3,67354
2018-07-25,34.3,32.6,33.8,33.5,64301
2018-07-26,33.9,33.2,33.3,33.8,32683
2018-07-27,33.9,33.3,33.5,33.3,42008
2018-07-30,34.2,33.3,33.3,33.5,34033
2018-07-31,34.1,33.6,33.6,34.0,30251
2018-08-01,34.9,33.5,33.5,34.9,16675
2018-08-02,33.9,33.4,33.6,33.5,39870
2018-08-03,33.5,32.5,32.6,33.4,36273
2018-08-06,33.2,32.0,32.1,32.6,35805
2018-08-07,32.6,32.0,32.6,32.0,42336
2018-08-08,35.5,32.8,33.6,32.9,128701
2018-08-09,34.1,33.1,33.2,33.6,22447
2018-08-10,33.4,32.2,32.5,33.2,75385
2018-08-13,33.2,32.4,33.2,33.0,26840
2018-08-14,33.2,32.5,32.9,33.2,29580
2018-08-15,34.6,32.5,33.8,32.5,68423
2018-08-16,34.5,33.6,33.7,33.6,39608
2018-08-17,35.7,33.8,34.4,33.8,100393
2018-08-20,35.8,34.3,34.3,34.8,32605
2018-08-21,36.5,33.7,36.0,34.8,200652
2018-08-22,38.5,35.5,36.5,36.4,168941
2018-08-23,36.8,35.2,35.4,36.7,41922
2018-08-24,35.9,34.9,35.5,35.4,66753
2018-08-27,36.6,34.8,35.9,35.5,43832
2018-08-28,36.1,34.3,36.0,35.8,81733
2018-08-29,36.2,35.5,35.7,36.0,36607
2018-08-30,36.1,35.0,35.6,35.9,32482
2018-08-31,36.5,35.1,36.5,35.5,77465
2018-09-03,37.3,35.9,37.0,36.4,39732
2018-09-04,37.9,36.0,37.0,37.0,80749
2018-09-05,38.0,36.5,37.7,37.4,105680
2018-09-06,37.8,36.5,37.8,37.3,80868
2018-09-07,37.7,34.3,36.3,37.7,116979
2018-09-10,36.3,32.8,34.5,36.3,181147
2018-09-11,34.8,33.6,34.2,33.6,86297
2018-09-12,34.9,33.5,34.4,34.0,62176
2018-09-13,34.5,33.6,34.0,34.0,29669
2018-09-14,34.6,32.3,34.0,32.7,101709
2018-09-17,34.1,33.5,34.1,34.0,11703
2018-09-18,33.7,33.0,33.3,33.5,31221
2018-09-19,34.2,32.7,33.0,33.6,44678
2018-09-20,33.4,32.5,33.3,32.5,28384
2018-09-21,34.2,33.0,34.2,33.1,42461
2018-09-24,35.2,34.0,34.6,34.0,66505
2018-09-25,40.0,34.2,39.7,34.6,319166
2018-09-26,39.6,35.7,35.8,39.6,504814
2018-09-27,37.0,34.6,36.0,35.8,198520
2018-09-28,36.1,34.2,35.0,36.1,122317
2018-10-01,35.0,32.5,33.3,34.2,187661
2018-10-02,33.5,32.5,32.9,33.4,117611
2018-10-03,33.2,32.2,32.2,33.1,62152
2018-10-04,33.2,31.2,33.0,32.2,171526
2018-10-05,35.3,31.7,32.2,32.5,194231
2018-10-08,32.9,32.3,32.6,32.5,79847
2018-10-09,33.3,32.4,32.6,33.2,63671
2018-10-10,32.6,31.8,32.0,32.1,55591
2018-10-11,31.4,29.8,30.8,30.5,212987
2018-10-12,31.2,30.0,30.7,30.5,78704
2018-10-15,31.3,29.7,30.8,30.0,35229
2018-10-16,31.6,30.4,30.6,30.5,46546
2018-10-17,31.9,30.6,30.7,30.8,41819
2018-10-18,31.1,30.4,30.5,30.4,16157
2018-10-19,31.2,30.2,30.8,31.0,24939
2018-10-22,31.9,28.1,28.8,31.9,165323
2018-10-23,28.5,25.4,27.5,28.5,197838
2018-10-24,27.5,26.9,27.2,27.5,44033
2018-10-25,28.8,25.0,28.8,25.0,83667
2018-10-26,28.8,27.3,28.0,28.8,56784
2018-10-29,29.8,27.2,28.7,28.0,27982
2018-10-30,29.0,28.2,28.2,28.7,10591
2018-10-31,29.2,28.2,28.5,28.7,66780
2018-11-01,30.8,28.5,30.0,29.5,43125
2018-11-02,33.7,32.0,32.8,32.1,114767
2018-11-05,33.9,32.5,33.1,33.6,55458
2018-11-06,34.5,30.3,32.6,33.7,298182
2018-11-07,33.4,31.9,32.0,33.0,58188
2018-11-08,32.9,31.1,32.9,32.0,73872
2018-11-09,32.2,31.7,31.8,32.2,8176
2018-11-12,31.8,30.6,30.6,31.8,18750
2018-11-13,31.7,30.0,30.7,30.0,133128
2018-11-14,32.5,31.1,31.5,32.5,23403
2018-11-15,32.2,30.7,31.7,32.2,10501
2018-11-16,32.0,30.4,30.9,32.0,74746
2018-11-19,31.5,30.8,30.9,30.9,57650
2018-11-20,30.5,27.9,28.4,30.5,107750
2018-11-21,29.2,27.6,28.4,28.3,83476
2018-11-22,28.4,27.0,27.6,28.4,61968
2018-11-23,27.5,26.2,26.9,27.5,100114
2018-11-26,28.3,26.4,27.9,28.2,77077
2018-11-27,27.9,27.9,27.9,27.9,0
2018-11-28,29.0,28.6,28.8,29.0,11885
2018-11-29,30.5,28.9,29.0,29.1,45650
2018-11-30,30.9,29.0,30.6,29.0,67209
2018-12-03,32.8,28.7,29.9,32.6,82517
2018-12-04,29.8,29.2,29.5,29.6,12470
2018-12-05,30.5,28.7,30.0,29.0,14120
2018-12-06,29.9,28.4,28.7,29.9,45259
2018-12-07,29.9,28.0,29.2,28.0,64453
2018-12-10,28.8,25.7,26.6,28.8,85888
2018-12-11,28.3,26.6,27.8,26.6,31745
2018-12-12,30.5,29.0,29.2,29.8,129415
2018-12-13,29.8,29.0,29.8,29.6,19914
2018-12-14,29.5,28.0,28.9,29.0,39715
2018-12-17,28.5,27.0,27.7,28.0,45078
2018-12-18,27.9,26.9,27.0,27.9,35616
2018-12-19,28.8,27.0,27.3,27.0,14138
2018-12-20,27.6,26.2,26.2,27.3,30694
2018-12-21,27.4,25.8,26.2,26.2,29567
2018-12-27,27.0,25.0,25.7,26.5,33133
2018-12-28,26.8,25.7,26.7,25.7,20360
2019-01-02,29.5,26.9,27.8,28.9,142672
2019-01-03,28.0,26.6,27.6,28.0,205158
2019-01-04,29.5,28.0,29.0,28.2,34492
2019-01-07,29.5,27.7,27.7,29.0,36994
2019-01-08,28.6,26.5,28.5,27.7,13811
