Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,75.35,73.35,73.35,73.75,513547
2018-06-07,75.45,73.75,74.2,73.75,433538
2018-06-08,75.1,73.25,74.85,74.2,241441
2018-06-11,75.2,73.75,74.4,74.75,211758
2018-06-12,74.75,73.05,74.15,74.4,207362
2018-06-13,74.8,72.25,72.35,74.1,280061
2018-06-14,72.75,71.1,72.3,72.05,305120
2018-06-15,72.5,71.35,71.65,72.45,320156
2018-06-18,72.5,71.6,72.4,71.65,136632
2018-06-19,72.75,71.55,72.35,72.15,171328
2018-06-20,73.25,72.35,72.4,72.4,204518
2018-06-21,73.4,71.6,71.75,72.3,279857
2018-06-25,72.2,71.25,71.4,71.8,212339
2018-06-26,71.75,70.55,70.8,71.4,142299
2018-06-27,70.8,69.55,69.9,70.7,252611
2018-06-28,70.5,69.1,69.35,69.35,165359
2018-06-29,70.4,69.45,69.95,69.55,130827
2018-07-02,69.9,68.85,69.6,69.9,138651
2018-07-03,69.6,69.0,69.0,69.4,121252
2018-07-04,69.5,68.1,68.4,69.45,136402
2018-07-05,69.5,68.4,69.35,68.45,121893
2018-07-06,69.8,68.8,69.05,69.35,69240
2018-07-09,70.55,68.9,70.35,68.9,101921
2018-07-10,70.5,69.8,70.4,70.2,63483
2018-07-11,70.05,69.15,69.55,69.95,110404
2018-07-12,73.65,69.45,73.35,69.45,301725
2018-07-13,73.55,72.05,72.35,73.5,118084
2018-07-16,72.7,72.05,72.45,72.15,83542
2018-07-17,73.15,71.9,72.95,72.05,106247
2018-07-18,73.45,72.7,72.85,72.95,87411
2018-07-19,74.2,72.65,73.0,72.8,166288
2018-07-20,73.2,72.3,72.65,73.0,87372
2018-07-23,73.2,72.3,72.75,72.3,78455
2018-07-24,74.9,73.0,74.7,73.0,192978
2018-07-25,75.3,73.6,74.0,74.7,204034
2018-07-26,77.5,69.65,69.9,76.35,862456
2018-07-27,71.45,69.7,71.25,70.0,431684
2018-07-30,74.05,71.25,73.95,71.25,304330
2018-07-31,76.3,73.85,75.1,73.85,354572
2018-08-01,75.5,74.35,74.8,75.1,192862
2018-08-02,74.9,73.85,74.0,74.6,146973
2018-08-03,74.75,73.75,74.2,73.95,117663
2018-08-06,74.45,73.2,73.85,74.15,126590
2018-08-07,74.0,72.8,73.2,73.85,137023
