Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,137.6,136.1,136.1,137.35,683324
2018-06-07,137.9,136.3,136.55,137.1,985513
2018-06-08,138.4,135.55,137.95,136.05,924619
2018-06-11,140.0,137.1,139.55,138.3,1020049
2018-06-12,139.95,133.45,134.75,139.65,1766426
2018-06-13,135.25,133.15,134.5,134.5,1135086
2018-06-14,134.0,132.05,132.8,134.0,1038295
2018-06-15,134.0,130.6,130.6,132.25,1598038
2018-06-18,131.55,128.95,130.0,130.35,768523
2018-06-19,129.4,127.65,128.7,128.65,663354
2018-06-20,130.35,128.65,129.6,128.65,756284
2018-06-21,129.7,124.85,125.25,129.7,1434387
2018-06-25,126.0,123.5,123.7,125.25,872820
2018-06-26,125.8,122.75,125.6,123.35,1151759
2018-06-27,126.75,124.15,126.0,125.45,970456
2018-06-28,126.55,123.4,124.55,125.65,761170
2018-06-29,127.2,125.0,126.75,125.4,600479
2018-07-02,126.55,125.0,125.75,126.05,427092
2018-07-03,126.9,125.65,126.0,125.85,729346
2018-07-04,126.55,124.35,124.9,126.1,540536
2018-07-05,126.5,124.8,125.5,124.8,483287
2018-07-06,126.1,123.35,124.4,125.9,889966
2018-07-09,127.4,124.4,126.9,124.4,631438
2018-07-10,127.8,126.75,127.25,127.2,400600
2018-07-11,126.2,121.7,122.9,126.2,1038254
2018-07-12,123.35,122.25,123.05,123.15,628649
2018-07-13,124.55,122.8,123.4,124.0,600331
2018-07-16,124.45,123.3,123.95,124.2,482634
2018-07-17,125.25,123.1,123.4,124.0,620861
2018-07-18,114.8,100.0,104.0,114.8,8232725
2018-07-19,104.0,100.35,102.0,104.0,3420946
2018-07-20,102.25,100.0,100.05,102.1,2273299
2018-07-23,100.45,97.1,97.72,100.3,1872378
2018-07-24,100.4,97.36,100.25,98.1,1560983
2018-07-25,100.6,99.04,99.82,100.05,1312746
2018-07-26,102.4,99.52,102.05,100.3,1127984
2018-07-27,103.4,102.0,103.05,102.05,809512
2018-07-30,104.1,101.95,103.95,103.1,737470
2018-07-31,105.5,103.55,104.85,104.0,1136580
2018-08-01,106.45,104.3,105.4,104.7,1447630
2018-08-02,105.05,103.65,104.4,105.05,857456
2018-08-03,105.3,104.1,104.55,104.9,687870
2018-08-06,104.55,103.2,104.35,104.55,674518
2018-08-07,107.7,104.0,105.7,104.35,730842
2018-08-08,106.75,105.15,106.2,105.7,927888
2018-08-09,106.7,104.85,106.35,106.35,639942
2018-08-10,105.5,103.45,103.5,105.5,692009
2018-08-13,103.4,102.0,102.8,103.2,657098
2018-08-14,103.5,101.55,102.2,102.85,851811
2018-08-15,103.05,101.1,101.2,102.2,685742
2018-08-16,103.4,101.5,102.9,101.5,452244
2018-08-17,104.4,102.45,103.15,102.95,503609
2018-08-20,105.8,103.4,104.7,103.75,801800
2018-08-21,106.05,104.65,105.2,104.75,701507
2018-08-22,107.25,104.75,106.95,105.2,754412
2018-08-23,108.9,107.0,108.9,107.0,843711
2018-08-24,110.0,106.6,107.0,109.1,934722
2018-08-27,107.7,106.45,107.5,107.4,476939
2018-08-28,111.0,107.6,110.95,107.6,1014764
2018-08-29,110.8,106.75,107.7,110.8,1408890
2018-08-30,108.05,106.35,107.35,107.6,594544
2018-08-31,109.6,107.15,108.0,107.15,880219
2018-09-03,108.45,106.0,106.65,108.0,759972
2018-09-04,107.4,101.95,103.5,107.1,1469568
2018-09-05,104.95,102.6,102.6,103.4,952743
2018-09-06,103.15,102.1,102.15,102.75,965471
2018-09-07,102.65,100.8,101.25,102.1,975701
2018-09-10,102.35,101.0,101.25,101.25,830572
2018-09-11,102.15,100.15,100.65,101.25,1093889
2018-09-12,103.95,100.95,101.85,101.0,2823662
2018-09-13,104.6,101.95,104.0,102.05,1937102
2018-09-14,108.05,104.3,107.4,104.4,1498587
2018-09-17,108.2,101.5,107.5,107.05,2618956
2018-09-18,115.2,110.15,111.75,110.15,4069539
2018-09-19,112.95,111.35,112.35,112.5,1248564
2018-09-20,113.4,111.6,113.0,112.35,1130328
2018-09-21,113.2,112.0,112.95,113.0,2455595
2018-09-24,113.0,110.55,113.0,112.9,1327204
2018-09-25,115.4,112.6,114.55,113.0,972690
2018-09-26,116.6,114.55,115.55,114.6,779277
2018-09-27,117.65,114.75,115.6,115.95,848822
2018-09-28,115.7,113.05,114.8,115.65,881022
2018-10-01,116.25,113.75,114.2,115.05,470247
2018-10-02,121.2,116.65,119.65,116.65,1781892
2018-10-03,123.55,116.65,123.25,118.0,1755177
2018-10-04,124.95,122.0,124.4,124.95,1256376
2018-10-05,124.9,123.0,123.45,124.4,582484
2018-10-08,124.2,122.55,123.95,123.8,443586
2018-10-09,124.5,120.05,121.55,124.0,853177
2018-10-10,121.85,114.65,115.4,121.8,1221368
2018-10-11,117.95,111.9,115.6,112.85,1152719
2018-10-12,118.8,115.6,115.85,116.3,878432
2018-10-15,117.8,114.35,116.3,115.85,1092427
2018-10-16,116.9,105.7,106.2,115.85,2829731
2018-10-17,108.0,102.65,102.85,107.95,2496826
2018-10-18,103.35,100.0,100.45,102.15,1532018
2018-10-19,102.75,99.12,101.65,100.15,1572385
2018-10-22,103.85,101.95,102.55,101.95,925402
2018-10-23,102.35,99.9,101.85,101.85,948521
2018-10-24,102.55,99.88,100.2,101.95,811150
2018-10-25,101.75,99.52,101.6,99.52,750985
2018-10-26,102.55,99.92,102.3,101.7,581584
2018-10-29,105.15,101.8,103.75,102.25,614080
2018-10-30,105.15,102.15,104.9,103.55,559771
2018-10-31,109.75,105.3,108.5,105.3,859433
2018-11-01,129.7,120.1,122.8,121.9,3882404
2018-11-02,126.75,123.15,124.5,124.0,838052
2018-11-05,123.9,120.0,120.6,123.55,851393
2018-11-06,122.55,120.25,121.35,120.55,643156
2018-11-07,123.3,120.25,122.4,121.3,1026454
2018-11-08,123.7,120.05,120.9,122.95,562172
2018-11-09,119.15,116.3,118.35,119.0,1048141
2018-11-12,119.2,114.05,114.4,118.4,526792
2018-11-13,117.55,112.55,116.0,114.1,771626
2018-11-14,120.3,114.35,119.5,114.95,599175
2018-11-15,120.95,118.0,119.25,119.9,575029
2018-11-16,120.95,118.7,119.95,119.0,437380
2018-11-19,123.35,118.05,118.7,119.95,659686
2018-11-20,119.65,113.4,115.7,117.25,1060432
2018-11-21,118.95,114.6,118.5,115.6,578846
2018-11-22,118.45,113.7,114.4,118.2,854148
2018-11-23,114.75,111.3,113.0,114.1,527467
2018-11-26,118.05,113.0,118.0,113.0,772268
2018-11-27,120.1,116.6,119.1,117.8,1156690
2018-11-28,120.3,117.15,120.1,119.75,852238
2018-11-29,124.35,120.1,124.15,120.5,867076
2018-11-30,126.0,119.75,121.6,124.2,1249803
2018-12-03,121.65,115.2,118.9,121.65,1295869
2018-12-04,118.65,117.3,118.2,118.4,615421
2018-12-05,117.5,115.4,115.8,116.3,576014
2018-12-06,114.55,107.6,108.25,114.55,951017
2018-12-07,111.0,107.7,107.95,109.05,566486
2018-12-10,110.15,106.0,109.6,106.95,619769
2018-12-11,112.75,110.0,111.8,110.0,685750
2018-12-12,117.05,110.95,116.75,111.3,829756
2018-12-13,116.15,113.1,114.05,113.1,558160
2018-12-14,114.95,112.0,113.45,113.65,644971
2018-12-17,113.75,111.6,112.9,112.75,282671
2018-12-18,113.9,111.2,113.2,111.7,455737
2018-12-19,113.4,110.5,111.8,113.0,586000
2018-12-20,110.0,106.3,106.3,110.0,558901
2018-12-21,107.45,105.3,106.1,106.05,533173
2018-12-27,106.95,103.6,104.3,106.0,361560
2018-12-28,107.0,103.9,105.5,104.5,446791
2019-01-02,110.0,104.9,108.3,105.0,661122
2019-01-03,108.4,104.15,104.8,108.4,552414
2019-01-04,107.7,104.5,107.45,104.5,437530
2019-01-07,109.9,108.05,108.95,108.5,382034
2019-01-08,111.15,108.85,110.1,108.95,397657
2019-01-09,111.1,108.6,109.4,110.3,655232
2019-01-10,111.45,109.0,110.65,109.0,528565
2019-01-11,112.0,110.4,110.5,110.5,369024
2019-01-14,110.75,109.4,110.2,110.55,172209
2019-01-15,111.45,109.6,110.4,110.3,590207
2019-01-16,114.9,110.25,113.3,110.35,521698
2019-01-17,116.35,112.3,115.25,112.3,379148
2019-01-18,117.6,115.45,117.6,115.45,374323
2019-01-21,118.7,115.05,116.15,117.5,431729
2019-01-22,116.15,111.05,111.4,114.0,1143469
2019-01-23,112.6,109.95,111.0,111.0,811726
2019-01-24,111.0,106.3,106.55,111.0,1291167
2019-01-25,110.0,106.3,109.4,106.45,770657
2019-01-28,110.0,107.5,107.8,109.4,898688
2019-01-29,114.45,106.0,112.25,106.0,2573657
2019-01-30,116.9,112.8,114.1,112.85,1808768
2019-01-31,114.95,112.0,114.15,114.55,945896
2019-02-01,117.45,113.65,116.9,114.15,963626
2019-02-04,117.25,115.15,115.9,116.7,572705
2019-02-05,117.45,115.15,116.3,115.9,425242
2019-02-06,117.7,115.8,116.0,116.3,622095
2019-02-07,116.4,113.3,113.55,116.0,564250
2019-02-08,113.65,111.4,112.0,113.05,476187
2019-02-11,112.9,111.75,111.9,112.5,467482
2019-02-12,113.15,111.75,112.4,112.1,550704
2019-02-13,113.5,110.1,111.05,112.9,902911
2019-02-14,115.7,111.45,114.95,111.5,963678
2019-02-15,116.65,113.45,116.2,114.1,568965
2019-02-18,119.4,115.8,119.15,115.95,545199
2019-02-19,120.25,118.05,119.75,119.0,733384
2019-02-20,121.75,120.0,121.35,120.0,531374
2019-02-21,122.35,120.5,121.4,121.8,365579
2019-02-22,124.0,120.8,123.9,121.0,477361
2019-02-25,124.2,121.5,122.7,123.25,389249
2019-02-26,125.15,121.3,124.1,122.3,617135
2019-02-27,124.0,122.15,122.7,124.0,436725
2019-02-28,123.5,119.0,120.3,123.0,445308
2019-03-01,123.0,120.2,122.25,120.75,466154
2019-03-04,124.15,121.8,122.8,123.2,608636
2019-03-05,122.8,119.7,120.35,122.7,556813
2019-03-06,120.95,118.6,118.6,120.35,422439
2019-03-07,119.5,116.45,116.45,118.95,767907
2019-03-08,115.65,112.6,113.2,115.65,857157
2019-03-11,115.5,113.7,114.65,114.0,551887
2019-03-12,117.2,115.0,116.35,115.0,650777
2019-03-13,118.5,116.0,117.95,116.35,645041
2019-03-14,118.65,117.2,117.45,118.0,356519
2019-03-15,118.9,117.0,118.8,117.9,753439
2019-03-18,121.85,118.8,120.9,119.05,623290
2019-03-19,123.55,120.3,123.45,120.9,678994
2019-03-20,123.05,119.7,119.8,123.0,971379
2019-03-21,124.4,121.05,122.1,121.15,717197
2019-03-22,123.5,119.5,119.65,122.45,445178
2019-03-25,119.75,116.05,116.5,119.75,463024
2019-03-26,117.1,115.45,117.0,116.5,291401
2019-03-27,119.45,117.05,118.25,117.55,357164
2019-03-28,121.05,117.1,120.6,117.95,540972
2019-03-29,123.35,120.25,123.35,120.5,520549
2019-04-01,126.85,123.95,126.85,124.0,477333
2019-04-02,130.0,125.35,129.4,126.85,944593
2019-04-03,132.6,129.95,131.4,130.0,548548
2019-04-04,131.5,126.55,127.8,131.4,632328
2019-04-05,129.5,127.6,128.15,127.8,444914
2019-04-08,128.9,127.25,128.05,128.35,421970
2019-04-09,129.25,125.5,126.45,128.0,468326
2019-04-10,128.4,126.0,127.1,126.7,303133
2019-04-11,127.35,125.65,125.7,127.35,297773
2019-04-12,127.95,125.15,127.6,125.7,401277
2019-04-15,128.45,127.0,128.15,127.6,440749
2019-04-16,129.5,126.45,126.9,128.0,492661
2019-04-17,126.9,121.55,124.5,126.2,1108394
2019-04-18,125.05,122.25,125.0,124.05,373321
2019-04-23,125.7,120.95,125.65,123.0,801346
2019-04-24,127.0,124.45,125.8,124.45,319607
2019-04-25,128.55,124.15,127.6,125.5,484407
2019-04-26,129.85,127.05,129.85,128.2,449862
2019-04-29,131.5,128.85,130.7,129.85,500655
2019-04-30,130.95,128.1,129.1,130.0,271588
2019-05-02,129.75,127.6,129.35,128.75,393993
2019-05-03,130.65,128.7,129.05,129.0,422208
2019-05-06,128.6,124.3,127.4,127.9,378545
2019-05-07,128.55,124.65,125.1,127.3,378535
2019-05-08,125.95,123.15,124.8,125.0,559262
2019-05-09,124.75,121.25,122.1,124.75,598571
2019-05-10,122.4,119.7,120.5,120.7,492110
2019-05-13,120.6,116.65,117.5,120.45,533750
2019-05-14,120.3,118.2,119.4,118.5,547589
2019-05-15,120.9,117.65,120.05,119.7,472921
2019-05-16,121.4,118.05,121.1,120.05,553797
2019-05-17,122.35,119.05,122.2,120.65,469114
2019-05-20,121.75,118.2,118.6,121.5,959066
2019-05-21,120.2,116.8,118.0,119.45,639692
2019-05-22,120.05,117.6,118.9,118.0,390333
2019-05-23,118.25,115.15,115.35,118.0,530637
2019-05-24,117.5,115.5,115.5,117.0,457710
2019-05-27,117.3,114.8,114.8,117.3,244709
2019-05-28,116.5,114.05,115.35,114.8,397750
2019-05-29,114.6,112.4,113.7,114.4,462383
2019-05-31,114.4,111.9,113.9,113.95,529256
2019-06-03,115.1,111.7,114.75,113.5,445403
2019-06-04,116.4,113.2,115.3,114.75,516621
2019-06-05,117.7,114.9,116.2,115.3,394848
