Date,High,Low,Close,Open,Volume
2020-01-02,3.0,2.87,2.975,2.925,268845
2020-01-03,3.015,2.93,2.95,3.005,76313
2020-01-06,3.0,2.88,2.945,3.0,79225
2020-01-07,2.99,2.9,2.99,2.95,119696
2020-01-08,2.99,2.91,2.95,2.99,88664
2020-01-09,2.95,2.91,2.93,2.95,160819
2020-01-10,2.97,2.905,2.93,2.905,132441
2020-01-13,2.96,2.86,2.89,2.92,188808
2020-01-14,2.925,2.87,2.91,2.92,219830
2020-01-15,2.905,2.86,2.86,2.895,319502
2020-01-16,2.9,2.86,2.88,2.865,294189
2020-01-17,2.91,2.85,2.87,2.855,261582
2020-01-20,2.92,2.85,2.92,2.865,195278
2020-01-21,2.925,2.885,2.925,2.915,102499
2020-01-22,2.95,2.895,2.91,2.905,159599
2020-01-23,2.94,2.89,2.935,2.905,173359
2020-01-24,2.935,2.89,2.92,2.9,191059
2020-01-27,2.925,2.87,2.87,2.895,150070
2020-01-28,2.915,2.87,2.895,2.875,73153
2020-01-29,2.915,2.88,2.91,2.88,67188
2020-01-30,2.925,2.88,2.89,2.88,79104
2020-01-31,2.92,2.88,2.915,2.9,200648
2020-02-03,2.895,2.85,2.86,2.895,157424
2020-02-04,2.95,2.86,2.885,2.875,218273
2020-02-05,2.89,2.83,2.875,2.83,362747
2020-02-06,2.895,2.865,2.885,2.895,109840
2020-02-07,2.91,2.88,2.89,2.885,160631
2020-02-10,2.96,2.89,2.955,2.925,288101
2020-02-11,2.98,2.915,2.93,2.96,133726
2020-02-12,2.98,2.91,2.955,2.93,186069
2020-02-13,2.96,2.9,2.9,2.955,218873
2020-02-14,3.35,2.89,3.235,2.89,992750
2020-02-17,3.3,3.0,3.14,3.295,429445
2020-02-18,3.145,3.045,3.085,3.145,234472
2020-02-19,3.135,3.03,3.07,3.05,179908
2020-02-20,3.09,2.96,2.995,3.025,241217
2020-02-21,3.095,2.995,3.035,3.08,161478
2020-02-24,3.19,2.83,2.92,3.155,897685
2020-02-25,3.03,2.83,2.9,2.865,404614
2020-02-26,2.9,2.52,2.805,2.895,689001
2020-02-27,2.81,2.7,2.7,2.805,499969
2020-02-28,2.7,2.56,2.6,2.6,579402
2020-03-02,2.8,2.55,2.67,2.55,312345
2020-03-03,2.805,2.67,2.805,2.795,423264
2020-03-04,2.875,2.815,2.85,2.85,161773
2020-03-05,3.02,2.765,2.835,2.96,497570
2020-03-06,2.99,2.71,2.71,2.795,415617
2020-03-09,2.71,2.55,2.605,2.705,349181
2020-03-10,2.69,2.45,2.53,2.555,541988
2020-03-11,2.52,2.25,2.29,2.46,663118
2020-03-12,2.1,1.6,1.968,2.095,1177028
2020-03-13,2.17,1.758,2.0,1.758,624787
2020-03-16,2.18,1.75,1.95,2.18,696527
2020-03-17,1.95,1.71,1.71,1.93,541970
2020-03-18,1.92,1.72,1.85,1.8,189861
2020-03-19,1.85,1.734,1.848,1.85,160259
2020-03-20,2.09,1.75,1.95,1.85,524423
2020-03-23,1.92,1.802,1.92,1.918,186121
2020-03-24,1.94,1.86,1.89,1.862,156537
2020-03-25,1.95,1.89,1.89,1.9,113481
2020-03-26,1.996,1.89,1.95,1.892,269756
2020-03-27,2.195,1.98,2.05,2.0,303834
2020-03-30,2.06,1.85,1.85,2.055,490513
2020-03-31,2.035,1.864,1.968,1.864,717911
2020-04-01,2.4,1.84,2.28,1.97,2971765
2020-04-02,3.4,2.37,3.15,2.51,5062045
2020-04-03,3.75,2.77,3.05,3.4,5778591
2020-04-06,3.3,2.99,3.05,3.01,1661880
2020-04-07,3.12,2.85,3.02,3.11,1221102
2020-04-08,3.02,2.9,2.93,3.02,466586
2020-04-09,2.93,2.93,2.93,2.93,0
2020-04-14,3.04,2.85,2.95,2.85,820690
2020-04-15,2.95,2.75,2.75,2.95,1006712
2020-04-16,2.67,2.14,2.58,2.3,1693199
2020-04-17,2.75,2.55,2.68,2.59,756348
2020-04-20,2.67,2.55,2.57,2.61,597163
2020-04-21,2.55,2.5,2.52,2.54,227715
2020-04-22,2.53,2.47,2.5,2.51,292145
2020-04-23,2.51,2.42,2.44,2.51,382714
2020-04-24,2.48,2.4,2.47,2.42,262978
2020-04-27,2.75,2.5,2.75,2.59,867831
2020-04-28,2.95,2.82,2.82,2.92,769112
2020-04-29,2.9,2.62,2.67,2.83,535165
2020-04-30,2.8,2.63,2.72,2.77,348799
2020-05-01,2.75,2.65,2.67,2.75,231140
2020-05-04,2.75,2.57,2.67,2.65,341911
2020-05-05,2.72,2.68,2.71,2.69,127823
2020-05-06,2.8,2.71,2.77,2.72,398587
2020-05-07,2.78,2.68,2.73,2.78,325006
2020-05-11,2.76,2.69,2.71,2.7,321138
2020-05-12,2.74,2.67,2.73,2.74,275224
2020-05-13,2.74,2.67,2.71,2.73,240824
2020-05-14,2.9,2.64,2.8,2.69,838616
2020-05-15,2.88,2.67,2.7,2.85,566138
2020-05-18,2.77,2.69,2.77,2.7,356913
2020-05-19,2.79,2.72,2.75,2.73,157138
2020-05-20,2.77,2.67,2.69,2.77,293221
2020-05-25,2.79,2.71,2.79,2.73,251394
2020-05-26,2.84,2.76,2.79,2.82,232387
2020-05-27,2.83,2.7,2.7,2.79,433930
2020-05-28,2.79,2.73,2.75,2.74,131510
2020-05-29,2.75,2.69,2.74,2.75,152460
2020-06-02,2.75,2.7,2.75,2.75,242788
2020-06-03,2.75,2.72,2.74,2.74,110997
2020-06-04,2.77,2.67,2.71,2.76,289255
2020-06-08,2.71,2.66,2.69,2.71,234691
2020-06-09,2.7,2.65,2.68,2.69,225551
2020-06-10,2.7,2.64,2.65,2.69,165991
2020-06-11,2.67,2.51,2.55,2.65,362063
2020-06-12,2.68,2.5,2.6,2.5,309202
2020-06-15,2.66,2.52,2.59,2.58,143695
2020-06-16,2.69,2.56,2.6,2.56,306261
2020-06-17,2.68,2.59,2.61,2.59,102114
2020-06-18,2.67,2.6,2.6,2.61,116713
2020-06-19,2.67,2.6,2.61,2.6,176665
2020-06-22,2.64,2.54,2.54,2.63,243980
2020-06-23,2.61,2.5,2.54,2.6,327481
2020-06-24,2.56,2.51,2.51,2.56,106843
2020-06-25,2.63,2.53,2.6,2.59,410366
2020-06-26,2.62,2.54,2.57,2.6,218775
2020-06-29,2.62,2.55,2.6,2.6,279093
2020-06-30,2.61,2.53,2.58,2.61,130383
2020-07-01,2.62,2.55,2.59,2.57,186190
2020-07-02,2.62,2.52,2.6,2.6,230076
2020-07-03,2.63,2.55,2.6,2.55,100070
2020-07-06,2.63,2.56,2.6,2.63,313917
2020-07-07,2.61,2.56,2.6,2.61,108423
2020-07-08,2.65,2.57,2.61,2.57,165303
2020-07-09,2.65,2.62,2.63,2.63,107472
2020-07-10,2.69,2.59,2.68,2.63,232549
2020-07-13,2.7,2.62,2.68,2.69,169221
2020-07-14,2.7,2.62,2.65,2.7,114826
2020-07-15,2.65,2.6,2.65,2.62,75674
2020-07-16,2.65,2.6,2.62,2.64,150680
2020-07-17,2.65,2.6,2.63,2.6,67306
2020-07-20,2.64,2.57,2.63,2.64,402187
2020-07-21,2.64,2.57,2.6,2.63,131175
2020-07-22,2.62,2.57,2.61,2.6,113808
2020-07-23,2.62,2.56,2.61,2.61,289316
2020-07-24,2.6,2.56,2.57,2.56,184238
2020-07-27,2.6,2.54,2.59,2.56,153394
2020-07-28,2.6,2.55,2.58,2.55,158006
2020-07-29,2.61,2.55,2.59,2.59,225256
2020-07-30,2.61,2.52,2.54,2.61,207506
2020-07-31,2.58,2.51,2.55,2.52,152644
2020-08-03,2.57,2.5,2.54,2.54,220549
2020-08-04,2.58,2.52,2.57,2.58,195021
2020-08-05,2.56,2.52,2.54,2.52,115224
2020-08-06,2.57,2.52,2.57,2.55,194513
2020-08-07,2.56,2.51,2.55,2.52,81014
2020-08-10,2.56,2.51,2.52,2.56,175230
2020-08-11,2.55,2.5,2.51,2.5,135897
2020-08-12,2.55,2.5,2.54,2.53,136808
2020-08-13,2.55,2.5,2.53,2.52,92492
2020-08-14,2.68,2.53,2.68,2.53,564977
2020-08-17,2.7,2.61,2.61,2.69,153861
2020-08-18,2.65,2.5,2.6,2.6,570848
2020-08-19,2.55,2.5,2.52,2.54,563121
2020-08-20,2.55,2.49,2.49,2.51,353231
2020-08-21,2.51,2.48,2.49,2.49,201020
2020-08-24,2.54,2.46,2.5,2.48,136945
2020-08-25,2.52,2.47,2.48,2.51,171579
2020-08-26,2.5,2.4,2.4,2.49,440277
2020-08-27,2.48,2.42,2.47,2.48,278837
2020-08-28,2.5,2.43,2.44,2.5,103101
2020-08-31,2.47,2.41,2.46,2.47,215912
2020-09-01,2.49,2.43,2.45,2.46,236629
2020-09-02,2.47,2.42,2.46,2.42,68214
2020-09-03,2.47,2.45,2.47,2.45,71907
2020-09-04,2.46,2.4,2.4,2.46,326418
2020-09-07,2.45,2.36,2.42,2.4,201268
2020-09-08,2.4,2.35,2.39,2.4,140880
2020-09-09,2.36,2.27,2.36,2.35,437091
2020-09-10,2.39,2.27,2.35,2.35,102269
2020-09-11,2.37,2.26,2.26,2.37,153332
2020-09-14,2.35,2.27,2.32,2.27,154398
2020-09-15,2.34,2.28,2.29,2.31,118220
2020-09-16,2.33,2.25,2.29,2.33,268738
2020-09-17,3.4,2.27,3.12,2.3,8935245
2020-09-18,3.3,3.12,3.17,3.2,3379961
2020-09-21,3.24,2.9,2.95,3.23,1515677
2020-09-22,3.25,2.93,3.15,2.93,1968063
2020-09-23,3.55,3.3,3.4,3.3,2175354
2020-09-24,3.94,3.3,3.87,3.4,4306375
2020-09-25,4.95,3.9,4.45,3.98,12338852
2020-09-28,4.38,3.8,4.2,4.2,4740814
2020-09-29,4.65,4.05,4.23,4.45,4250316
2020-09-30,4.2,3.85,4.01,4.2,3061328
2020-10-01,4.04,3.51,3.51,4.04,1801102
2020-10-02,3.55,3.15,3.37,3.5,1758018
2020-10-05,3.85,3.52,3.62,3.52,1483587
2020-10-06,3.65,3.41,3.5,3.65,912448
2020-10-07,3.59,3.42,3.55,3.57,734469
2020-10-08,3.65,3.39,3.39,3.59,1354783
2020-10-09,3.64,3.13,3.59,3.39,2927143
2020-10-12,3.7,3.41,3.69,3.59,1419034
2020-10-13,3.89,3.66,3.66,3.7,1078146
2020-10-14,3.79,3.5,3.64,3.79,841730
2020-10-15,3.64,3.53,3.57,3.59,531620
2020-10-16,3.58,3.38,3.4,3.58,1452249
2020-10-19,3.4,3.24,3.26,3.4,771224
2020-10-20,3.55,3.25,3.55,3.25,877811
2020-10-21,3.8,3.55,3.58,3.6,1854205
2020-10-22,3.49,3.1,3.34,3.31,2719730
2020-10-23,3.55,3.4,3.48,3.4,1090816
2020-10-26,3.51,3.3,3.32,3.49,1042328
2020-10-27,3.39,3.13,3.27,3.36,1138853
2020-10-28,3.33,3.04,3.1,3.29,1282118
2020-10-29,3.15,2.81,2.96,3.01,1582004
2020-10-30,3.2,3.01,3.19,3.01,931647
2020-11-02,3.26,3.1,3.21,3.26,673576
2020-11-03,3.32,3.2,3.29,3.22,918164
2020-11-04,3.46,3.25,3.4,3.3,483606
2020-11-05,3.5,3.41,3.45,3.5,598532
2020-11-06,3.49,3.33,3.35,3.45,426082
2020-11-09,3.47,2.98,3.07,3.43,2623491
2020-11-10,3.2,3.1,3.16,3.1,862201
2020-11-11,3.19,3.09,3.11,3.17,432577
2020-11-12,3.11,3.01,3.02,3.06,804131
2020-11-13,3.12,3.01,3.07,3.02,815807
2020-11-16,3.18,3.05,3.05,3.18,407646
2020-11-17,3.11,3.02,3.04,3.09,416125
2020-11-18,3.18,3.04,3.05,3.11,734911
2020-11-19,3.07,2.98,3.03,3.04,991112
2020-11-20,3.2,3.05,3.19,3.08,1354681
2020-11-23,3.29,3.1,3.1,3.22,894021
2020-11-24,3.3,3.14,3.2,3.28,1666363
2020-11-25,3.26,3.16,3.19,3.22,600020
2020-11-26,3.2,3.14,3.17,3.2,400622
2020-11-27,3.2,3.17,3.2,3.18,234687
2020-11-30,3.23,3.16,3.17,3.2,497864
2020-12-01,3.22,3.15,3.16,3.18,332705
2020-12-02,3.16,3.04,3.09,3.14,738438
2020-12-03,3.14,3.01,3.01,3.04,510663
2020-12-04,3.14,3.01,3.08,3.01,454683
2020-12-07,3.16,3.09,3.13,3.15,386908
2020-12-08,3.14,3.05,3.07,3.1,433704
2020-12-09,3.1,3.03,3.09,3.03,444648
2020-12-10,3.1,3.01,3.04,3.09,1772052
2020-12-11,3.09,3.04,3.04,3.04,417607
2020-12-14,4.05,3.03,3.78,3.07,5745218
2020-12-15,3.96,3.55,3.57,3.93,3257219
2020-12-16,3.78,3.58,3.6,3.66,1475796
2020-12-17,3.65,3.53,3.58,3.64,709259
2020-12-18,3.64,3.59,3.61,3.63,565463
2020-12-21,3.75,3.61,3.65,3.69,954781
2020-12-22,3.76,3.66,3.71,3.66,946861
2020-12-23,3.77,3.67,3.71,3.75,657481
2020-12-28,3.77,3.55,3.57,3.74,1037834
2020-12-29,3.66,3.55,3.61,3.59,627505
2020-12-30,4.07,3.53,4.04,3.62,3907100
