Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,2.005,1.97,2.005,1.986,342925
2018-06-07,2.0,1.95,1.998,2.0,150277
2018-06-08,1.998,1.88,1.94,1.998,606797
2018-06-11,1.99,1.94,1.952,1.95,333914
2018-06-12,1.986,1.906,1.918,1.952,185333
2018-06-13,1.94,1.87,1.938,1.92,170531
2018-06-14,1.96,1.908,1.924,1.95,409247
2018-06-15,1.934,1.852,1.912,1.904,273621
2018-06-18,1.938,1.9,1.91,1.938,132477
2018-06-19,1.92,1.82,1.878,1.92,146073
2018-06-20,1.986,1.82,1.854,1.954,568467
2018-06-21,1.926,1.86,1.91,1.87,349615
2018-06-25,1.94,1.83,1.87,1.91,176901
2018-06-26,1.948,1.842,1.89,1.87,525474
2018-06-27,1.92,1.85,1.894,1.872,236415
2018-06-28,1.918,1.85,1.87,1.914,169624
2018-06-29,1.92,1.85,1.908,1.892,369856
2018-07-02,1.908,1.872,1.896,1.904,258703
2018-07-03,1.92,1.896,1.914,1.896,215873
2018-07-04,1.94,1.902,1.928,1.914,187972
2018-07-05,1.932,1.91,1.928,1.932,74772
2018-07-06,1.95,1.904,1.948,1.914,158766
2018-07-09,2.115,1.916,1.97,1.95,821275
2018-07-10,2.05,1.94,1.982,1.97,426974
2018-07-11,2.025,1.956,2.015,2.025,157941
2018-07-12,2.47,2.155,2.4,2.155,11205003
2018-07-13,2.45,2.255,2.29,2.435,3256602
2018-07-16,2.29,2.22,2.25,2.275,843069
2018-07-17,2.275,2.23,2.255,2.245,492368
2018-07-18,2.32,2.23,2.27,2.3,752038
2018-07-19,2.305,2.245,2.265,2.305,448226
2018-07-20,2.35,2.29,2.295,2.325,1216177
2018-07-23,2.445,2.35,2.43,2.385,2154310
2018-07-24,2.4,2.255,2.33,2.4,1157400
2018-07-25,2.325,2.21,2.29,2.325,471653
2018-07-26,2.285,2.22,2.26,2.285,383919
2018-07-27,2.275,2.2,2.22,2.255,383446
2018-07-30,2.27,2.22,2.26,2.225,209082
2018-07-31,2.295,2.22,2.25,2.255,216802
2018-08-01,2.255,2.225,2.255,2.25,160498
2018-08-02,2.265,2.22,2.255,2.255,206538
2018-08-03,2.28,2.22,2.26,2.255,87409
2018-08-06,2.285,2.245,2.26,2.275,125131
2018-08-07,2.33,2.18,2.28,2.28,894720
2018-08-08,2.335,2.285,2.31,2.33,118497
2018-08-09,2.4,2.31,2.35,2.315,763780
2018-08-10,2.37,2.285,2.315,2.325,430962
2018-08-13,2.38,2.28,2.36,2.315,624421
2018-08-14,2.38,2.3,2.37,2.36,511028
2018-08-15,2.455,2.345,2.42,2.35,1103893
2018-08-16,2.585,2.36,2.46,2.435,1418165
2018-08-17,2.5,2.375,2.47,2.44,521497
2018-08-20,2.54,2.465,2.505,2.465,660327
2018-08-21,2.555,2.505,2.54,2.515,575508
2018-08-22,2.55,2.46,2.52,2.51,622987
2018-08-23,2.525,2.475,2.51,2.52,357191
2018-08-24,2.5,2.41,2.47,2.495,545750
2018-08-27,2.475,2.4,2.4,2.47,320187
2018-08-28,2.42,2.375,2.38,2.4,353853
2018-08-29,2.445,2.35,2.375,2.375,487513
2018-08-30,2.375,2.3,2.34,2.33,417425
2018-08-31,2.405,2.32,2.405,2.32,422282
2018-09-03,2.55,2.41,2.5,2.41,1525055
2018-09-04,2.6,2.48,2.535,2.495,719168
2018-09-05,2.565,2.48,2.505,2.56,542469
2018-09-06,2.54,2.42,2.45,2.515,351161
2018-09-07,2.485,2.4,2.43,2.445,236422
2018-09-10,2.495,2.39,2.47,2.425,236498
2018-09-11,2.47,2.39,2.43,2.455,301448
2018-09-12,2.45,2.395,2.445,2.43,499590
2018-09-13,2.515,2.4,2.46,2.44,600714
2018-09-14,2.57,2.445,2.56,2.47,1270541
2018-09-17,2.58,2.51,2.535,2.57,304769
2018-09-18,2.545,2.45,2.495,2.545,351498
2018-09-19,2.545,2.49,2.52,2.51,530875
2018-09-20,2.65,2.545,2.62,2.55,1496866
2018-09-21,2.65,2.58,2.62,2.625,379184
2018-09-24,2.65,2.53,2.58,2.645,551382
2018-09-25,2.64,2.54,2.61,2.565,815042
2018-09-26,2.77,2.55,2.64,2.62,2563989
2018-09-27,2.75,2.66,2.735,2.7,2087911
2018-09-28,2.78,2.64,2.71,2.745,1242822
