Date,High,Low,Close,Open,Volume
2020-01-02,15.0,13.75,14.85,14.25,41245
2020-01-03,14.8,14.4,14.55,14.8,11543
2020-01-07,14.5,13.75,13.8,14.5,40067
2020-01-08,14.45,13.3,13.95,13.5,38182
2020-01-09,14.35,13.7,14.25,13.95,23693
2020-01-10,14.6,14.0,14.4,14.45,38269
2020-01-13,14.75,14.1,14.35,14.4,34866
2020-01-14,14.6,14.1,14.15,14.35,12319
2020-01-15,14.0,13.55,13.9,14.0,30167
2020-01-16,14.0,13.55,13.85,14.0,30580
2020-01-17,14.15,13.55,14.15,13.95,16426
2020-01-20,14.45,13.7,13.8,13.95,19255
2020-01-21,13.9,13.45,13.5,13.8,32578
2020-01-22,14.25,13.3,14.0,13.4,29049
2020-01-23,14.3,13.55,14.1,14.0,26560
2020-01-24,14.75,13.9,14.15,14.15,25704
2020-01-27,14.6,13.8,14.25,14.2,20091
2020-01-28,14.6,14.15,14.2,14.3,18011
2020-01-29,14.4,13.65,13.8,14.1,85277
2020-01-30,14.0,13.35,13.8,13.8,24433
2020-01-31,13.9,13.5,13.8,13.8,42300
2020-02-03,16.05,13.75,15.4,13.8,240465
2020-02-04,17.4,15.55,16.75,15.55,160390
2020-02-05,17.4,16.6,16.6,17.35,43321
2020-02-06,17.0,16.05,16.2,16.85,31800
2020-02-07,18.0,17.05,17.6,17.9,130764
2020-02-10,19.35,17.5,17.8,19.35,40820
2020-02-11,18.4,16.55,17.3,18.4,73307
2020-02-12,17.35,16.1,17.35,17.3,69501
2020-02-13,17.3,16.75,17.0,17.1,16115
2020-02-14,17.5,16.7,17.15,17.0,34661
2020-02-17,17.4,16.45,16.6,16.95,19817
2020-02-18,16.6,15.7,15.75,16.55,60956
2020-02-19,16.55,15.15,16.55,15.7,37377
2020-02-20,16.7,15.7,16.05,16.7,34624
2020-02-21,16.05,15.1,16.0,15.65,28352
2020-02-24,15.65,14.35,14.5,15.05,88057
2020-02-25,14.8,13.85,14.25,14.55,59080
2020-02-26,14.25,13.5,13.85,14.25,42174
2020-02-27,14.05,13.45,14.05,13.75,42401
2020-02-28,13.55,12.75,13.1,13.45,85781
2020-03-02,14.15,13.0,13.4,13.6,46378
2020-03-03,14.5,13.25,13.75,13.25,37651
2020-03-04,14.5,13.5,14.0,13.75,22110
2020-03-05,14.35,13.2,13.7,14.35,19927
2020-03-06,13.5,13.0,13.3,13.05,22056
2020-03-09,12.4,11.5,12.05,12.0,107492
2020-03-10,13.0,11.4,11.4,12.05,62320
2020-03-11,12.1,9.86,10.0,12.1,160238
2020-03-12,9.68,8.0,8.7,9.66,100852
2020-03-13,9.18,7.8,8.5,9.0,190297
2020-03-16,8.5,6.72,7.4,8.5,131555
2020-03-17,7.88,6.8,7.6,7.48,66058
2020-03-18,7.6,7.12,7.22,7.6,41161
2020-03-19,7.68,7.2,7.36,7.3,39636
2020-03-20,8.42,7.46,7.6,7.46,64819
2020-03-23,7.5,7.0,7.2,7.5,35138
2020-03-24,7.92,7.2,7.74,7.2,39565
2020-03-25,8.14,7.08,7.16,7.94,54166
2020-03-26,7.24,6.82,6.98,7.16,40405
2020-03-27,7.0,6.4,6.88,6.96,117698
2020-03-30,7.0,6.52,7.0,6.86,39649
2020-03-31,7.88,6.98,7.36,7.0,40298
2020-04-01,7.9,7.42,7.62,7.5,11328
2020-04-02,7.68,7.4,7.68,7.4,17365
2020-04-03,7.98,7.2,7.2,7.82,30624
2020-04-06,8.48,7.2,8.3,7.2,41091
2020-04-07,9.38,8.46,8.92,8.5,45758
2020-04-08,9.9,9.0,9.8,9.02,51310
2020-04-09,9.9,8.82,9.48,9.62,22545
2020-04-14,10.25,9.92,10.15,10.25,35526
2020-04-15,10.5,8.94,9.1,10.5,108636
2020-04-16,9.36,8.66,8.82,9.28,42361
2020-04-17,9.4,8.62,9.16,9.28,18396
2020-04-20,9.54,9.0,9.1,9.16,22669
2020-04-21,9.1,8.76,8.8,9.1,18077
2020-04-22,9.0,8.5,9.0,8.8,17374
2020-04-23,9.0,8.78,8.92,9.0,12471
2020-04-24,8.98,8.5,8.7,8.88,31523
2020-04-27,8.92,8.3,8.76,8.88,25004
2020-04-28,9.42,8.62,8.9,8.76,21405
2020-04-29,9.04,8.58,8.98,8.9,24923
2020-04-30,9.04,8.7,8.88,8.94,2315
2020-05-04,8.6,8.2,8.5,8.5,12275
2020-05-05,8.82,7.9,8.18,8.32,30422
2020-05-06,9.18,7.86,9.12,8.0,19434
2020-05-07,10.0,9.22,9.6,9.98,67781
2020-05-08,9.9,9.72,9.86,9.88,3791
2020-05-11,9.98,9.46,9.6,9.86,7490
2020-05-12,9.6,8.92,9.36,9.6,19961
2020-05-13,9.44,8.9,9.0,9.44,14445
2020-05-14,9.02,8.5,9.02,8.84,58047
2020-05-15,9.1,8.7,9.1,9.02,12558
2020-05-18,9.1,8.54,8.8,9.1,26696
2020-05-19,9.12,8.62,9.08,8.8,17873
2020-05-20,9.48,9.08,9.08,9.48,7787
2020-05-22,9.3,8.92,9.18,9.08,5557
2020-05-25,9.48,9.1,9.2,9.48,21435
2020-05-26,9.3,8.94,9.16,9.2,18281
2020-05-27,9.18,8.72,9.1,9.18,12394
2020-05-28,9.3,9.02,9.14,9.1,7020
2020-05-29,9.14,8.92,9.04,9.0,10217
2020-06-01,9.04,8.64,8.7,9.04,17448
2020-06-02,8.7,8.46,8.62,8.7,23081
2020-06-03,11.5,8.6,10.25,8.78,61605
2020-06-04,10.45,9.88,10.3,10.25,29552
2020-06-05,10.3,9.76,10.3,10.3,18871
2020-06-08,10.5,9.72,10.25,10.0,37110
2020-06-09,10.5,10.05,10.2,10.35,9446
2020-06-10,10.25,10.0,10.2,10.2,16080
2020-06-11,10.5,9.26,9.76,10.5,13706
2020-06-12,9.96,9.34,9.96,9.76,23556
2020-06-15,9.68,9.0,9.68,9.0,34951
2020-06-16,9.78,9.24,9.7,9.6,34120
2020-06-17,11.15,9.66,10.9,9.66,65203
2020-06-18,11.25,10.15,10.4,11.0,36291
2020-06-22,10.85,10.25,10.25,10.4,16615
2020-06-23,13.5,10.25,13.45,10.25,241502
2020-06-24,13.8,12.4,12.4,13.8,81985
2020-06-25,12.7,11.3,11.65,12.4,35949
2020-06-26,12.2,11.6,11.85,12.0,23876
2020-06-29,11.85,11.2,11.45,11.85,21110
2020-06-30,11.45,10.55,11.15,11.45,27973
2020-07-01,11.35,10.6,10.7,11.35,11710
2020-07-02,11.1,10.55,10.75,10.55,10659
2020-07-03,11.55,10.75,11.2,10.75,8472
2020-07-06,11.5,10.45,10.9,11.2,50518
2020-07-07,11.3,10.0,10.4,10.9,31545
2020-07-08,11.75,10.4,11.7,10.4,72464
2020-07-09,12.75,11.05,11.85,11.5,119350
2020-07-10,12.6,11.85,12.0,11.85,36595
2020-07-13,12.15,11.5,12.0,12.0,18186
2020-07-14,12.15,11.75,12.15,11.95,11864
2020-07-15,12.4,11.5,12.4,12.15,9954
2020-07-16,12.85,12.4,12.85,12.4,18360
2020-07-17,14.7,12.9,14.1,12.9,175177
2020-07-20,14.8,13.1,13.4,14.1,58743
2020-07-21,13.4,12.5,13.0,13.0,51782
2020-07-22,13.2,12.4,13.0,13.1,12051
2020-07-23,13.15,12.65,12.7,13.0,17695
2020-07-24,13.1,12.55,13.0,12.7,20208
2020-07-27,13.55,11.2,13.0,13.0,48474
2020-07-28,13.15,12.3,12.5,13.15,20375
2020-07-29,13.2,12.2,13.15,12.5,30079
2020-07-30,13.15,12.4,12.4,13.15,10317
2020-07-31,12.9,12.4,12.55,12.6,7346
2020-08-03,13.55,12.65,13.45,12.65,19666
2020-08-04,14.1,13.2,14.0,13.7,23126
2020-08-05,14.5,13.8,13.8,14.1,8962
2020-08-06,13.95,13.45,13.95,13.75,13251
2020-08-07,14.45,13.75,14.0,14.25,29309
2020-08-10,14.6,13.5,14.55,13.9,78538
2020-08-11,14.9,14.5,14.5,14.9,17010
2020-08-12,14.5,14.35,14.5,14.35,1640
2020-08-13,14.6,13.7,14.05,14.6,33076
2020-08-14,14.1,13.05,13.5,14.05,13641
2020-08-17,13.8,13.15,13.75,13.5,13182
2020-08-18,14.0,12.7,14.0,13.75,32420
2020-08-19,13.95,13.3,13.4,13.95,22577
2020-08-20,13.95,13.3,13.55,13.65,27070
2020-08-21,14.75,13.0,14.1,13.0,69379
2020-08-24,14.1,13.05,13.45,14.1,40717
2020-08-25,13.9,13.4,13.6,13.4,11166
2020-08-26,14.55,13.2,13.35,13.55,63544
2020-08-27,13.85,12.9,13.65,13.6,21920
2020-08-28,13.65,13.15,13.4,13.65,23619
2020-08-31,13.9,12.4,13.4,13.9,62724
2020-09-01,13.4,12.4,12.85,13.4,34136
2020-09-02,12.9,11.95,12.65,12.75,44501
2020-09-03,12.95,12.0,12.2,12.65,17865
2020-09-04,12.65,11.8,12.35,12.15,10124
2020-09-07,12.5,12.05,12.3,12.35,15300
2020-09-08,12.95,12.0,12.6,12.45,25775
2020-09-09,12.8,11.8,12.15,12.6,60390
2020-09-10,12.3,11.25,11.45,12.15,64957
2020-09-11,11.65,11.15,11.6,11.4,19385
2020-09-14,12.0,11.2,11.75,12.0,41535
2020-09-15,12.0,11.45,11.7,11.9,22189
2020-09-16,12.95,11.65,12.7,11.7,46830
2020-09-17,13.85,12.5,12.9,12.85,113383
2020-09-18,13.65,12.45,12.75,13.65,12281
2020-09-21,12.85,12.15,12.35,12.8,11578
2020-09-22,12.35,11.9,12.15,12.35,37321
2020-09-23,13.0,12.15,12.7,12.15,15874
2020-09-24,12.9,12.25,12.55,12.7,3825
2020-09-25,13.0,12.0,12.35,12.55,72926
2020-09-28,12.85,12.15,12.4,12.75,6892
2020-09-29,12.4,12.1,12.4,12.4,5663
2020-09-30,12.35,12.0,12.3,12.2,8552
2020-10-01,13.5,12.0,12.25,12.3,75010
2020-10-02,12.6,11.7,12.3,12.25,14101
2020-10-05,12.45,11.85,12.0,12.3,26582
2020-10-06,12.0,11.5,12.0,12.0,11055
2020-10-07,12.25,11.65,11.8,12.25,15017
2020-10-08,12.0,11.6,11.9,11.8,43303
2020-10-09,11.9,11.4,11.75,11.85,28630
