Date,High,Low,Close,Open,Volume
2020-01-02,4.96,4.68,4.86,4.96,4172
2020-01-03,4.86,4.86,4.86,4.86,0
2020-01-06,4.86,4.86,4.86,4.86,0
2020-01-07,4.9,4.7,4.9,4.84,15802
2020-01-08,4.7,4.7,4.7,4.7,275
2020-01-09,4.76,4.76,4.76,4.76,1000
2020-01-10,4.76,4.76,4.76,4.76,0
2020-01-13,4.76,4.76,4.76,4.76,1500
2020-01-14,4.76,4.76,4.76,4.76,0
2020-01-15,4.62,4.62,4.62,4.62,500
2020-01-16,4.64,4.64,4.64,4.64,300
2020-01-17,4.62,4.62,4.62,4.62,1046
2020-01-20,4.76,4.62,4.76,4.62,1050
2020-01-21,4.76,4.72,4.72,4.76,6900
2020-01-22,4.76,4.76,4.76,4.76,28671
2020-01-23,4.76,4.76,4.76,4.76,0
2020-01-24,4.64,4.62,4.62,4.64,523
2020-01-27,4.64,4.64,4.64,4.64,262
2020-01-28,4.64,4.64,4.64,4.64,0
2020-01-29,4.74,4.7,4.74,4.7,700
2020-01-30,4.74,4.62,4.74,4.62,215
2020-01-31,4.74,4.44,4.74,4.62,2200
2020-02-03,4.74,4.74,4.74,4.74,0
2020-02-04,4.74,4.64,4.74,4.64,839
2020-02-05,5.2,5.0,5.15,5.0,3550
2020-02-06,5.15,4.64,5.15,4.64,2200
2020-02-07,5.1,4.74,4.74,5.1,3210
2020-02-10,4.74,4.56,4.6,4.68,12954
2020-02-11,4.6,4.6,4.6,4.6,0
2020-02-12,4.58,4.58,4.58,4.58,362
2020-02-13,4.76,4.58,4.58,4.76,1450
2020-02-14,4.58,4.58,4.58,4.58,0
2020-02-17,4.9,4.56,4.9,4.58,10795
2020-02-18,5.1,4.72,4.72,4.9,6001
2020-02-19,4.72,4.72,4.72,4.72,0
2020-02-20,4.72,4.72,4.72,4.72,0
2020-02-21,4.72,4.72,4.72,4.72,0
2020-02-24,4.72,4.72,4.72,4.72,0
2020-02-25,4.56,4.22,4.44,4.56,11406
2020-02-26,4.7,4.34,4.7,4.5,764
2020-02-27,5.1,4.36,4.8,5.1,2491
2020-02-28,4.9,4.2,4.78,4.9,15308
2020-03-02,4.58,4.32,4.56,4.32,2784
2020-03-03,4.56,4.56,4.56,4.56,0
2020-03-04,4.76,4.42,4.42,4.42,2097
2020-03-05,4.76,4.76,4.76,4.76,10
2020-03-06,4.78,4.78,4.78,4.78,2109
2020-03-09,4.78,4.78,4.78,4.78,0
2020-03-10,4.98,4.98,4.98,4.98,13
2020-03-11,4.8,4.2,4.2,4.8,10230
2020-03-12,4.48,4.48,4.48,4.48,2000
2020-03-13,4.48,4.48,4.48,4.48,80
2020-03-16,4.1,3.52,4.1,3.52,880
2020-03-17,4.08,4.08,4.08,4.08,1231
2020-03-18,3.9,3.22,3.82,3.9,11592
2020-03-19,3.8,3.8,3.8,3.8,23
2020-03-20,3.48,3.2,3.4,3.42,34277
2020-03-23,3.4,2.82,2.82,3.4,4734
2020-03-24,3.36,2.7,3.36,2.7,5894
2020-03-25,3.48,3.28,3.28,3.38,9839
2020-03-26,3.1,3.1,3.1,3.1,1000
2020-03-27,3.46,3.12,3.46,3.12,3424
2020-03-30,4.06,3.22,4.04,3.46,26081
2020-03-31,4.68,4.02,4.5,4.02,22111
2020-04-01,4.48,3.8,4.42,4.48,5100
2020-04-02,4.32,4.32,4.32,4.32,1336
2020-04-03,4.42,4.32,4.42,4.32,4235
2020-04-06,4.36,4.14,4.36,4.14,4368
2020-04-07,4.34,4.26,4.34,4.26,65848
2020-04-08,4.6,4.38,4.6,4.38,14021
2020-04-09,4.6,4.6,4.6,4.6,0
2020-04-14,5.1,4.6,4.9,4.6,18104
2020-04-15,5.2,5.05,5.05,5.1,8021
2020-04-16,5.05,4.5,4.5,5.05,523
2020-04-17,4.94,4.24,4.76,4.24,9563
2020-04-20,5.1,4.5,4.52,4.7,12041
2020-04-21,4.76,4.76,4.76,4.76,500
2020-04-22,4.76,4.76,4.76,4.76,0
2020-04-23,4.76,4.06,4.3,4.76,11950
2020-04-24,4.88,4.32,4.32,4.34,2175
2020-04-27,4.68,4.22,4.48,4.26,10153
2020-04-28,4.48,4.48,4.48,4.48,0
2020-04-29,4.5,4.24,4.5,4.24,3000
2020-04-30,4.4,4.38,4.4,4.38,8630
2020-05-01,4.2,4.2,4.2,4.2,201
2020-05-04,4.68,4.04,4.14,4.04,2875
2020-05-05,4.14,4.04,4.08,4.04,1908
2020-05-06,4.4,3.9,4.4,4.34,4321
2020-05-07,4.52,4.14,4.14,4.52,1636
2020-05-11,4.32,4.32,4.32,4.32,500
2020-05-12,4.44,4.14,4.22,4.14,3436
2020-05-13,4.22,4.22,4.22,4.22,2500
2020-05-14,4.62,4.3,4.56,4.3,235
2020-05-15,4.56,4.56,4.56,4.56,0
2020-05-18,4.64,4.64,4.64,4.64,99
2020-05-19,4.76,4.58,4.68,4.58,31523
2020-05-20,4.92,4.7,4.7,4.92,999
2020-05-25,4.74,4.34,4.74,4.4,1526
2020-05-26,4.92,4.26,4.66,4.26,13416
2020-05-27,5.15,4.9,4.9,4.9,38246
2020-05-28,5.1,4.54,4.9,4.9,3405
2020-05-29,5.05,4.56,4.88,5.05,3638
2020-06-02,4.88,4.88,4.88,4.88,0
2020-06-03,5.0,4.58,4.66,5.0,33475
2020-06-04,4.98,4.8,4.8,4.96,7766
