Date,Closing price,50,200
2018-06-04,111.0,,
2018-06-05,113.0,,
2018-06-07,107.5,,
2018-06-08,109.5,,
2018-06-11,109.0,,
2018-06-12,107.0,,
2018-06-13,104.5,,
2018-06-14,106.0,,
2018-06-15,109.5,,
2018-06-18,107.0,,
2018-06-19,106.0,,
2018-06-20,106.5,,
2018-06-21,110.5,,
2018-06-25,106.0,,
2018-06-26,106.0,,
2018-06-27,105.5,,
2018-06-28,105.0,,
2018-06-29,108.5,,
2018-07-02,105.0,,
2018-07-03,105.0,,
2018-07-04,103.0,,
2018-07-05,104.5,,
2018-07-06,104.5,,
2018-07-09,104.0,,
2018-07-10,104.0,,
2018-07-11,104.5,,
2018-07-12,105.5,,
2018-07-13,108.5,,
2018-07-16,109.0,,
2018-07-17,116.5,,
2018-07-18,116.0,,
2018-07-19,114.0,,
2018-07-20,112.0,,
2018-07-23,112.5,,
2018-07-24,113.5,,
2018-07-25,114.0,,
2018-07-26,115.0,,
2018-07-27,114.5,,
2018-07-30,115.0,,
2018-07-31,115.5,,
2018-08-01,104.0,,
2018-08-02,115.0,,
2018-08-03,116.0,,
2018-08-06,117.5,,
2018-08-07,119.0,,
2018-08-08,119.5,,
2018-08-09,118.0,,
2018-08-10,117.0,,
2018-08-13,119.0,,
2018-08-14,117.5,,
2018-08-15,118.0,,
2018-08-16,116.0,,
2018-08-17,117.0,,
2018-08-20,117.5,,
2018-08-21,118.5,,
2018-08-22,119.0,,
2018-08-23,120.0,,
2018-08-24,119.0,,
2018-08-27,120.0,,
2018-08-28,118.5,,
2018-08-29,116.0,,
2018-08-30,118.5,,
2018-08-31,120.5,,
2018-09-03,120.5,,
2018-09-04,124.5,,
2018-09-05,116.0,,
2018-09-06,123.5,,
2018-09-07,123.5,,
2018-09-10,127.0,,
2018-09-11,127.5,,
2018-09-12,130.0,,
2018-09-13,131.5,,
2018-09-14,132.5,,
2018-09-17,132.0,,
2018-09-18,129.0,,
2018-09-19,125.5,,
2018-09-20,128.0,,
2018-09-21,125.0,,
2018-09-24,128.0,,
2018-09-25,126.0,,
2018-09-26,126.0,,
2018-09-27,129.0,,
2018-09-28,127.0,,
2018-10-01,126.0,,
2018-10-02,125.0,,
2018-10-03,124.0,,
2018-10-04,123.5,,
2018-10-05,122.5,,
2018-10-08,120.5,,
2018-10-09,122.0,,
2018-10-10,120.0,,
2018-10-11,114.5,,
2018-10-12,112.5,,
2018-10-15,110.0,,
2018-10-16,109.5,,
2018-10-17,109.0,,
2018-10-18,110.5,,
2018-10-19,108.0,,
2018-10-22,108.0,,
2018-10-23,108.0,,
2018-10-24,118.5,,
2018-10-25,107.0,,
2018-10-26,107.5,,
2018-10-29,105.0,,
2018-10-30,106.0,,
2018-10-31,102.0,,
2018-11-01,105.0,,
2018-11-02,107.5,,
2018-11-05,106.0,,
2018-11-06,107.0,,
2018-11-07,108.5,,
2018-11-08,106.0,,
2018-11-09,105.0,,
2018-11-12,108.0,,
2018-11-13,110.0,,
2018-11-14,110.0,,
2018-11-15,109.0,,
2018-11-16,109.0,,
2018-11-19,110.5,,
2018-11-20,106.5,,
2018-11-21,107.5,,
2018-11-22,108.5,,
2018-11-23,110.5,,
2018-11-26,104.0,,
2018-11-27,105.0,,
2018-11-28,110.0,,
2018-11-29,110.5,,
2018-11-30,110.5,,
2018-12-03,110.5,,
2018-12-04,106.0,,
2018-12-05,104.0,,
2018-12-06,103.5,,
2018-12-07,103.5,,
2018-12-10,98.2,,
2018-12-11,108.0,,
2018-12-12,113.0,,
2018-12-13,112.5,,
2018-12-14,109.0,,
2018-12-17,108.0,,
2018-12-18,104.5,,
2018-12-19,104.5,,
2018-12-20,110.0,,
2018-12-21,108.0,,
2018-12-27,109.0,,
2018-12-28,109.0,,
2019-01-02,115.5,,
2019-01-03,114.5,,
2019-01-04,116.5,,
2019-01-07,115.5,,
2019-01-08,117.0,,
2019-01-09,119.5,,
2019-01-10,119.0,,
2019-01-11,118.5,,
2019-01-14,117.5,,
2019-01-15,119.0,,
2019-01-16,119.5,,
2019-01-17,117.5,,
2019-01-18,119.0,,
2019-01-21,120.0,,
2019-01-22,120.0,,
2019-01-23,117.0,,
2019-01-24,117.0,,
2019-01-25,116.5,,
2019-01-28,116.5,,
2019-01-29,111.5,,
2019-01-30,115.5,,
2019-01-31,112.5,,
2019-02-01,114.5,,
2019-02-04,113.0,,
2019-02-05,114.0,,
2019-02-06,115.0,,
2019-02-07,113.5,,
2019-02-08,110.5,,
2019-02-11,114.0,,
2019-02-12,115.0,,
2019-02-13,115.0,,
2019-02-14,115.5,,
2019-02-15,120.0,,
2019-02-18,115.5,,
2019-02-19,113.0,,
2019-02-20,114.5,,
2019-02-21,116.5,,
2019-02-22,118.5,,
2019-02-25,117.0,,
2019-02-26,118.0,,
2019-02-27,116.5,,
2019-02-28,117.0,,
2019-03-01,113.0,,
2019-03-04,115.0,,
2019-03-05,114.5,,
2019-03-06,117.0,,
2019-03-07,113.5,,
2019-03-08,111.5,,
2019-03-11,113.5,,
2019-03-12,114.5,,
2019-03-13,117.0,,
2019-03-14,120.0,,
2019-03-15,116.0,,
2019-03-18,116.0,,
2019-03-19,116.0,,
2019-03-20,116.5,,
2019-03-21,115.0,,
2019-03-22,116.0,,
2019-03-25,115.0,,
2019-03-26,112.0,,
2019-03-27,115.0,,
2019-03-28,117.0,,
2019-03-29,117.5,,
2019-04-01,120.5,,
2019-04-02,121.0,,
2019-04-03,121.0,,
2019-04-04,120.0,,
2019-04-05,120.5,,
2019-04-08,123.5,,
2019-04-09,121.5,,
