Date,Closing price,50,200
2018-06-04,128.5,,
2018-06-05,128.5,,
2018-06-07,129.5,,
2018-06-08,131.0,,
2018-06-11,130.5,,
2018-06-12,130.0,,
2018-06-13,131.0,,
2018-06-14,130.0,,
2018-06-15,129.5,,
2018-06-18,129.0,,
2018-06-19,128.0,,
2018-06-20,128.0,,
2018-06-21,128.0,,
2018-06-25,127.0,,
2018-06-26,130.0,,
2018-06-27,131.0,,
2018-06-28,129.5,,
2018-06-29,130.0,,
2018-07-02,130.5,,
2018-07-03,129.5,,
2018-07-04,130.0,,
2018-07-05,129.0,,
2018-07-06,130.0,,
2018-07-09,130.5,,
2018-07-10,131.0,,
2018-07-11,130.5,,
2018-07-12,131.5,,
2018-07-13,132.0,,
2018-07-16,132.0,,
2018-07-17,131.5,,
2018-07-18,131.5,,
2018-07-19,132.0,,
2018-07-20,132.5,,
2018-07-23,131.5,,
2018-07-24,132.0,,
2018-07-25,132.0,,
2018-07-26,131.0,,
2018-07-27,132.5,,
2018-07-30,131.5,,
2018-07-31,131.0,,
2018-08-01,132.0,,
2018-08-02,131.5,,
2018-08-03,132.5,,
2018-08-06,133.0,,
2018-08-07,133.5,,
2018-08-08,133.0,,
2018-08-09,133.0,,
2018-08-10,135.0,,
2018-08-13,135.5,,
2018-08-14,134.0,,
2018-08-15,134.0,,
2018-08-16,135.0,,
2018-08-17,134.0,,
2018-08-20,131.5,,
2018-08-21,134.5,,
2018-08-22,133.5,,
2018-08-23,134.0,,
2018-08-24,132.5,,
2018-08-27,134.0,,
2018-08-28,134.0,,
2018-08-29,133.5,,
2018-08-30,131.0,,
2018-08-31,132.5,,
2018-09-03,131.5,,
2018-09-04,133.0,,
2018-09-05,133.0,,
2018-09-06,132.0,,
2018-09-07,131.0,,
2018-09-10,133.0,,
2018-09-11,133.0,,
2018-09-12,133.0,,
2018-09-13,130.0,,
2018-09-14,130.0,,
2018-09-17,128.5,,
2018-09-18,128.0,,
2018-09-19,132.0,,
2018-09-20,129.0,,
2018-09-21,129.5,,
2018-09-24,128.5,,
2018-09-25,130.5,,
2018-09-26,130.5,,
2018-09-27,131.5,,
2018-09-28,131.0,,
2018-10-01,133.0,,
2018-10-02,134.0,,
2018-10-03,134.0,,
2018-10-04,134.0,,
2018-10-05,132.0,,
2018-10-08,130.5,,
2018-10-09,128.0,,
2018-10-10,125.0,,
2018-10-11,122.0,,
2018-10-12,123.5,,
2018-10-15,122.0,,
2018-10-16,122.5,,
2018-10-17,122.0,,
2018-10-18,120.0,,
2018-10-19,120.0,,
2018-10-22,118.5,,
2018-10-23,118.0,,
2018-10-24,118.0,,
2018-10-25,119.5,,
2018-10-26,116.5,,
2018-10-29,121.0,,
2018-10-30,121.0,,
2018-10-31,121.0,,
2018-11-01,122.0,,
2018-11-02,120.5,,
2018-11-05,121.0,,
2018-11-06,121.5,,
2018-11-07,122.0,,
2018-11-08,122.0,,
2018-11-09,121.0,,
2018-11-12,120.0,,
2018-11-13,123.0,,
2018-11-14,122.0,,
2018-11-15,121.0,,
2018-11-16,120.0,,
2018-11-19,121.0,,
2018-11-20,118.0,,
2018-11-21,118.5,,
2018-11-22,117.0,,
2018-11-23,118.0,,
2018-11-26,120.0,,
2018-11-27,119.0,,
2018-11-28,118.0,,
2018-11-29,118.0,,
2018-11-30,120.0,,
2018-12-03,120.0,,
2018-12-04,120.0,,
2018-12-05,120.0,,
2018-12-06,120.0,,
2018-12-07,120.0,,
2018-12-10,119.0,,
2018-12-11,120.5,,
2018-12-12,122.0,,
2018-12-13,124.0,,
2018-12-14,126.0,,
2018-12-17,127.0,,
2018-12-18,127.0,,
2018-12-19,127.0,,
2018-12-20,127.0,,
2018-12-21,127.0,,
2018-12-27,125.0,,
2018-12-28,127.0,,
2019-01-02,127.0,,
2019-01-03,127.0,,
2019-01-04,127.0,,
2019-01-07,128.0,,
2019-01-08,127.0,,
2019-01-09,128.0,,
2019-01-10,130.0,,
2019-01-11,129.5,,
2019-01-14,127.0,,
2019-01-15,126.0,,
2019-01-16,127.0,,
2019-01-17,129.0,,
2019-01-18,130.0,,
2019-01-21,128.0,,
2019-01-22,128.0,,
2019-01-23,130.0,,
2019-01-24,129.5,,
2019-01-25,130.0,,
2019-01-28,130.0,,
2019-01-29,130.0,,
2019-01-30,131.0,,
2019-01-31,128.0,,
2019-02-01,131.0,,
2019-02-04,130.5,,
2019-02-05,131.0,,
2019-02-06,130.5,,
2019-02-07,130.5,,
2019-02-08,129.0,,
2019-02-11,130.0,,
2019-02-12,130.0,,
2019-02-13,130.0,,
2019-02-14,131.0,,
2019-02-15,131.0,,
2019-02-18,130.0,,
2019-02-19,131.0,,
2019-02-20,131.5,,
2019-02-21,129.0,,
2019-02-22,130.5,,
2019-02-25,132.0,,
2019-02-26,131.5,,
2019-02-27,133.5,,
2019-02-28,132.0,,
2019-03-01,129.0,,
2019-03-04,132.5,,
2019-03-05,130.0,,
2019-03-06,133.0,,
2019-03-07,133.0,,
2019-03-08,133.0,,
2019-03-11,134.0,,
2019-03-12,132.0,,
2019-03-13,133.0,,
2019-03-14,133.0,,
2019-03-15,131.5,,
2019-03-18,133.0,,
2019-03-19,133.0,,
2019-03-20,133.0,,
2019-03-21,133.0,,
2019-03-22,133.0,,
2019-03-25,131.5,,
2019-03-26,133.0,,
2019-03-27,133.0,,
2019-03-28,133.0,,
2019-03-29,132.5,,
2019-04-01,131.0,,
2019-04-02,133.0,,
2019-04-03,131.0,,
2019-04-04,131.5,,
2019-04-05,132.0,,
2019-04-08,132.5,,
2019-04-09,132.0,,
2019-04-10,130.0,,
2019-04-11,130.0,,
2019-04-12,131.5,,
2019-04-15,131.0,,
2019-04-16,132.5,,
2019-04-17,132.5,,
2019-04-18,132.0,,
2019-04-23,132.0,,
2019-04-24,131.0,,
2019-04-25,133.0,,
2019-04-26,134.0,,
2019-04-29,133.0,,
2019-04-30,133.0,,
2019-05-02,131.5,,
2019-05-03,131.5,,
2019-05-06,132.0,,
2019-05-07,132.0,,
2019-05-08,133.5,,
2019-05-09,132.0,,
2019-05-10,132.0,,
2019-05-13,132.5,,
2019-05-14,132.5,,
2019-05-15,133.0,,
2019-05-16,133.5,,
2019-05-17,133.0,132.36,128.6775
2019-05-20,133.0,132.36,128.6825
2019-05-21,133.0,132.36,128.69
2019-05-22,134.0,132.38,128.6975
2019-05-23,134.5,132.39,128.705
2019-05-24,135.0,132.45,128.7125
2019-05-27,135.0,132.49,128.7225
2019-05-28,135.0,132.53,128.7325
2019-05-29,135.0,132.6,128.7325
2019-05-31,135.0,132.64,128.73
