Date,High,Low,Close,Open,Volume
2020-01-02,1.324,1.31,1.322,1.31,714714
2020-01-03,1.328,1.314,1.324,1.322,283637
2020-01-07,1.328,1.3,1.32,1.324,1000065
2020-01-08,1.318,1.3,1.312,1.318,551997
2020-01-09,1.318,1.3,1.312,1.314,798148
2020-01-10,1.314,1.3,1.312,1.312,329823
2020-01-13,1.312,1.3,1.31,1.312,380692
2020-01-14,1.324,1.302,1.316,1.304,1101743
2020-01-15,1.322,1.3,1.314,1.31,588340
2020-01-16,1.32,1.296,1.306,1.314,595554
2020-01-17,1.31,1.282,1.306,1.31,1451441
2020-01-20,1.314,1.27,1.304,1.3,456958
2020-01-21,1.308,1.274,1.292,1.304,625854
2020-01-22,1.302,1.272,1.28,1.292,768950
2020-01-23,1.28,1.242,1.27,1.28,532175
2020-01-24,1.292,1.258,1.274,1.272,1734568
2020-01-27,1.292,1.244,1.256,1.276,460759
2020-01-28,1.308,1.246,1.3,1.25,5668196
2020-01-29,1.334,1.3,1.33,1.314,6117015
2020-01-30,1.332,1.306,1.33,1.328,602592
2020-01-31,1.384,1.322,1.372,1.324,7819576
2020-02-03,1.382,1.352,1.378,1.374,2394405
2020-02-04,1.45,1.374,1.42,1.38,5340258
2020-02-05,1.446,1.408,1.44,1.432,6246271
2020-02-06,1.49,1.4,1.44,1.446,4370675
2020-02-07,1.468,1.436,1.448,1.438,6980649
2020-02-10,1.488,1.43,1.46,1.452,4769400
2020-02-11,1.478,1.448,1.468,1.448,5936702
2020-02-12,1.474,1.456,1.468,1.468,1091865
2020-02-13,1.478,1.3,1.456,1.478,1272603
2020-02-14,1.464,1.44,1.46,1.456,2355624
2020-02-17,1.462,1.44,1.45,1.45,4940385
2020-02-18,1.464,1.412,1.458,1.45,1914796
2020-02-19,1.5,1.452,1.484,1.468,2056461
2020-02-20,1.484,1.46,1.47,1.476,1165124
2020-02-21,1.48,1.46,1.46,1.47,766670
2020-02-24,1.456,1.43,1.442,1.44,1755398
2020-02-25,1.478,1.434,1.458,1.438,1268829
2020-02-26,1.47,1.35,1.43,1.47,4821857
2020-02-27,1.43,1.374,1.39,1.43,1647883
2020-02-28,1.378,1.32,1.378,1.35,1235206
2020-03-02,1.45,1.376,1.4,1.382,1620547
2020-03-03,1.42,1.352,1.4,1.352,750626
2020-03-04,1.448,1.36,1.392,1.398,1779929
2020-03-05,1.43,1.384,1.396,1.418,707173
2020-03-06,1.388,1.36,1.386,1.36,1472939
2020-03-09,1.35,1.298,1.326,1.338,1600782
2020-03-10,1.348,1.28,1.306,1.326,2094988
2020-03-11,1.306,1.218,1.232,1.306,1628106
2020-03-12,1.2,1.072,1.096,1.198,2722934
2020-03-13,1.216,1.082,1.132,1.102,2064107
2020-03-16,1.11,1.032,1.09,1.11,3482553
2020-03-17,1.2,1.052,1.128,1.198,1133334
2020-03-18,1.19,1.096,1.112,1.128,1758999
2020-03-19,1.168,1.086,1.166,1.1,1051481
2020-03-20,1.192,1.128,1.16,1.17,502830
2020-03-23,1.148,1.104,1.128,1.142,407257
2020-03-24,1.174,1.13,1.156,1.13,919513
