Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,7.95,7.52,7.85,7.95,61483
2018-06-07,7.92,7.55,7.7,7.85,46857
2018-06-08,8.13,7.51,7.62,7.73,230736
2018-06-11,7.61,7.26,7.57,7.61,109197
2018-06-12,7.66,7.27,7.4,7.57,110570
2018-06-13,7.39,7.0,7.23,7.39,212951
2018-06-14,7.89,7.07,7.5,7.11,283766
2018-06-15,7.89,7.43,7.5,7.65,134951
2018-06-18,7.64,7.0,7.18,7.5,119153
2018-06-19,7.44,7.0,7.25,7.16,112578
2018-06-20,7.99,7.31,7.4,7.35,210647
2018-06-21,8.07,7.51,7.75,7.99,167941
2018-06-25,8.34,7.75,7.86,7.75,165916
2018-06-26,8.23,7.46,8.09,7.9,199017
2018-06-27,8.23,7.9,7.9,8.1,173274
2018-06-28,8.0,7.73,7.88,7.91,102138
2018-06-29,8.09,7.85,7.97,8.01,107594
2018-07-02,7.96,7.78,7.8,7.96,93126
2018-07-03,8.69,7.86,8.38,8.09,261783
2018-07-04,8.37,7.9,8.18,8.37,115593
2018-07-05,8.39,7.83,7.9,8.19,103974
2018-07-06,7.98,7.64,7.67,7.92,210025
2018-07-09,7.8,7.3,7.43,7.8,163090
2018-07-10,7.66,7.31,7.42,7.43,83601
2018-07-11,7.4,7.28,7.4,7.4,88282
2018-07-12,7.4,7.26,7.32,7.4,104656
2018-07-13,7.49,7.18,7.38,7.33,160040
2018-07-16,7.44,7.17,7.31,7.4,59454
2018-07-17,8.18,7.2,7.48,7.33,167238
2018-07-18,7.78,7.37,7.45,7.44,64721
2018-07-19,7.7,7.3,7.3,7.37,131448
2018-07-20,7.52,7.3,7.3,7.3,101762
2018-07-23,7.48,7.2,7.29,7.42,140411
2018-07-24,7.35,7.06,7.2,7.35,194163
2018-07-25,7.44,7.2,7.4,7.22,153897
2018-07-26,7.47,7.1,7.15,7.4,112148
2018-07-27,7.39,7.0,7.39,7.18,167615
2018-07-30,7.56,7.33,7.49,7.42,95659
2018-07-31,8.19,7.33,7.78,7.48,179202
2018-08-01,7.77,7.46,7.73,7.55,161989
2018-08-02,7.73,7.46,7.64,7.73,111251
2018-08-03,8.47,7.64,7.9,7.64,140308
2018-08-06,7.95,7.46,7.6,7.95,240338
2018-08-07,7.59,7.05,7.21,7.59,285428
2018-08-08,7.74,7.25,7.4,7.47,195482
2018-08-09,8.0,7.35,7.99,7.42,325635
2018-08-10,8.38,7.85,8.26,8.02,381629
2018-08-13,9.2,8.33,8.73,8.33,447233
2018-08-14,8.97,8.25,8.34,8.97,310686
2018-08-15,8.4,7.91,8.34,8.33,190202
2018-08-16,9.07,8.42,8.93,8.53,750267
2018-08-17,9.55,8.8,9.02,9.01,582914
2018-08-20,9.05,8.57,8.64,9.04,163076
2018-08-21,8.59,8.2,8.37,8.59,315435
2018-08-22,8.49,8.31,8.45,8.38,89676
2018-08-23,8.69,8.11,8.48,8.42,141042
2018-08-24,8.7,7.5,8.3,8.64,244759
