Date,High,Low,Close,Open,Volume
2020-01-02,0.555,0.532,0.543,0.532,251134
2020-01-03,0.559,0.53,0.548,0.549,377538
2020-01-06,0.57,0.546,0.57,0.546,130153
2020-01-07,0.6,0.552,0.6,0.569,633144
2020-01-08,0.61,0.564,0.588,0.6,416871
2020-01-09,0.589,0.572,0.579,0.589,58777
2020-01-10,0.6,0.572,0.575,0.576,395771
2020-01-13,0.598,0.576,0.59,0.588,252083
2020-01-14,0.64,0.58,0.631,0.599,778114
2020-01-15,0.66,0.605,0.618,0.631,690088
2020-01-16,0.638,0.6,0.628,0.609,256338
2020-01-17,0.629,0.61,0.622,0.629,308481
2020-01-20,0.621,0.602,0.602,0.621,272444
2020-01-21,0.779,0.587,0.7,0.6,3915770
2020-01-22,0.702,0.656,0.67,0.702,709263
2020-01-23,0.685,0.62,0.63,0.674,946622
2020-01-24,0.663,0.62,0.628,0.626,927138
2020-01-27,0.654,0.581,0.594,0.654,402315
2020-01-28,0.609,0.58,0.598,0.593,345544
2020-01-29,0.598,0.581,0.582,0.598,379756
2020-01-30,0.591,0.58,0.58,0.581,394372
2020-01-31,0.581,0.533,0.551,0.581,766703
2020-02-03,0.569,0.552,0.552,0.552,265545
2020-02-04,0.6,0.556,0.579,0.58,298732
2020-02-05,0.574,0.561,0.571,0.574,174206
2020-02-06,0.571,0.551,0.551,0.571,154258
2020-02-07,0.567,0.552,0.559,0.552,152809
2020-02-10,0.565,0.512,0.535,0.565,2028176
2020-02-11,0.55,0.531,0.535,0.534,103128
2020-02-12,0.58,0.55,0.565,0.55,784288
2020-02-13,0.58,0.542,0.57,0.578,929934
2020-02-14,0.585,0.563,0.58,0.58,441276
2020-02-17,0.609,0.564,0.599,0.603,642856
2020-02-18,0.574,0.5,0.557,0.539,2241847
2020-02-19,0.556,0.54,0.549,0.556,1356625
2020-02-20,0.55,0.539,0.54,0.548,1951177
2020-02-21,0.56,0.538,0.54,0.56,836162
2020-02-24,0.545,0.51,0.539,0.544,1049189
2020-02-25,0.538,0.502,0.536,0.502,625276
2020-02-26,0.541,0.505,0.518,0.539,1052224
2020-02-27,0.534,0.468,0.489,0.519,2132661
2020-02-28,0.49,0.451,0.47,0.4705,1057084
2020-03-02,0.52,0.47,0.49,0.48,1381057
2020-03-03,0.4995,0.48,0.4875,0.49,351721
2020-03-04,0.5,0.47,0.4795,0.4875,659339
2020-03-05,0.48,0.4525,0.456,0.4795,680826
2020-03-06,0.47,0.4,0.4255,0.4525,589985
2020-03-09,0.4205,0.35,0.3845,0.4085,1233917
2020-03-10,0.4,0.37,0.3995,0.3835,902171
2020-03-11,0.42,0.3695,0.3955,0.391,373306
2020-03-12,0.3795,0.3095,0.334,0.3795,1424366
2020-03-13,0.35,0.3265,0.332,0.3265,1973415
2020-03-16,0.339,0.27,0.2995,0.332,1049179
2020-03-17,0.3,0.2705,0.276,0.3,934258
2020-03-18,0.28,0.27,0.28,0.28,936323
2020-03-19,0.3,0.272,0.298,0.28,1244875
2020-03-20,0.3275,0.28,0.285,0.309,1847199
2020-03-23,0.31,0.27,0.275,0.31,1186523
2020-03-24,0.2985,0.2715,0.2845,0.286,487964
2020-03-25,0.3095,0.283,0.291,0.29,1238432
2020-03-26,0.29,0.2825,0.286,0.29,400568
2020-03-27,0.34,0.284,0.2985,0.2945,705856
2020-03-30,0.31,0.2865,0.296,0.299,660640
2020-03-31,0.37,0.3075,0.3285,0.308,1947370
2020-04-01,0.358,0.32,0.348,0.334,1248084
2020-04-02,0.37,0.322,0.322,0.37,1104927
2020-04-03,0.356,0.3,0.3,0.35,2486407
2020-04-06,0.33,0.301,0.315,0.306,1139923
2020-04-07,0.328,0.277,0.302,0.328,3958775
2020-04-08,0.313,0.286,0.303,0.313,1232330
2020-04-09,0.303,0.303,0.303,0.303,0
2020-04-14,0.319,0.29,0.307,0.319,1751725
2020-04-15,0.318,0.301,0.31,0.318,494585
2020-04-16,0.33,0.306,0.32,0.318,1181968
2020-04-17,0.328,0.312,0.321,0.328,706232
2020-04-20,0.329,0.315,0.316,0.322,687331
2020-04-21,0.325,0.314,0.315,0.325,311832
2020-04-22,0.33,0.315,0.325,0.324,441876
2020-04-23,0.33,0.319,0.324,0.329,536120
2020-04-24,0.33,0.316,0.325,0.324,681578
2020-04-27,0.34,0.313,0.333,0.319,758955
2020-04-28,0.35,0.32,0.349,0.33,1352922
2020-04-29,0.394,0.337,0.357,0.349,944516
2020-04-30,0.387,0.357,0.372,0.387,1587546
2020-05-01,0.384,0.366,0.379,0.378,1061073
2020-05-04,0.398,0.381,0.389,0.389,1307236
2020-05-05,0.42,0.389,0.415,0.389,985847
2020-05-06,0.481,0.422,0.443,0.423,2371946
2020-05-07,0.487,0.45,0.487,0.478,1436565
2020-05-11,0.51,0.46,0.493,0.487,1905000
2020-05-12,0.499,0.456,0.48,0.499,1239459
2020-05-13,0.479,0.405,0.47,0.462,942442
2020-05-14,0.47,0.434,0.45,0.47,627746
2020-05-15,0.45,0.421,0.439,0.45,927907
2020-05-18,0.449,0.432,0.44,0.449,499501
2020-05-19,0.44,0.421,0.439,0.433,906349
2020-05-20,0.437,0.41,0.433,0.421,1044363
2020-05-25,0.439,0.412,0.439,0.412,709481
2020-05-26,0.44,0.421,0.435,0.439,601176
2020-05-27,0.438,0.423,0.423,0.423,279505
2020-05-28,0.449,0.42,0.439,0.437,601337
2020-05-29,0.449,0.43,0.43,0.448,679423
