Date,High,Low,Close,Open,Volume
2020-01-03,81.7,77.9,78.3,81.7,61690
2020-01-07,78.0,76.0,77.2,78.0,37680
2020-01-08,78.3,76.4,78.2,77.0,23931
2020-01-09,79.0,77.1,77.7,78.7,24773
2020-01-10,78.0,77.0,77.4,77.7,17828
2020-01-13,77.4,74.5,75.0,77.0,49417
2020-01-14,75.5,73.2,74.7,75.0,33270
2020-01-15,75.7,74.7,75.5,74.7,20532
2020-01-16,75.9,73.5,74.8,75.9,31470
2020-01-17,75.3,74.0,74.3,74.7,23299
2020-01-20,75.8,74.5,75.8,74.5,44701
2020-01-21,75.2,74.0,74.9,75.2,20429
2020-01-22,75.1,72.8,73.2,75.1,30183
2020-01-23,73.6,70.9,71.7,73.2,29360
2020-01-24,72.5,71.5,72.0,71.7,24257
2020-01-27,71.9,70.5,71.7,71.6,26689
2020-01-28,72.5,70.6,72.0,70.6,29664
2020-01-29,72.4,71.0,72.1,72.0,25380
2020-01-30,72.6,71.2,71.6,72.1,12664
2020-01-31,72.0,71.5,71.7,72.0,30974
2020-02-03,71.9,70.6,71.1,71.9,14280
2020-02-04,72.0,71.3,71.7,72.0,12326
2020-02-05,73.6,71.9,72.1,71.9,51147
2020-02-06,76.0,68.0,75.0,72.2,175471
2020-02-07,76.9,74.9,75.8,75.1,174703
2020-02-10,77.0,75.5,76.5,76.4,40656
2020-02-11,77.2,75.8,77.0,77.1,32520
2020-02-12,77.3,76.2,77.3,76.3,44859
2020-02-13,78.0,76.5,77.7,77.3,55385
2020-02-14,78.6,76.6,78.4,77.8,32099
2020-02-17,80.7,78.5,79.8,78.5,55626
2020-02-18,80.6,79.0,79.5,80.1,65070
2020-02-19,79.0,76.4,76.6,79.0,39535
2020-02-20,81.2,76.7,80.7,76.8,71256
2020-02-21,80.8,78.5,78.7,80.8,29587
2020-02-24,76.7,73.0,73.1,76.1,64868
2020-02-25,73.8,71.1,71.4,73.1,36979
2020-02-26,71.4,66.8,70.5,71.4,75715
2020-02-27,69.6,65.7,67.5,69.1,55379
2020-02-28,68.6,64.0,68.1,65.0,73864
2020-03-02,70.1,66.3,67.5,68.1,49438
2020-03-03,71.7,67.0,67.2,70.0,41281
2020-03-04,69.0,66.8,68.1,67.8,62603
2020-03-05,68.9,65.0,66.1,67.9,105274
2020-03-06,66.8,64.8,65.4,66.0,166132
2020-03-09,64.0,60.6,62.2,62.6,49319
2020-03-10,67.6,61.6,62.0,63.1,46375
2020-03-11,63.0,59.2,59.7,61.9,51947
2020-03-12,57.5,49.9,50.5,55.4,80743
2020-03-13,56.9,47.6,50.6,50.1,66513
2020-03-16,47.85,42.95,46.35,45.6,55403
2020-03-17,47.45,41.0,42.2,46.3,113927
2020-03-18,42.25,38.75,38.75,41.8,69131
2020-03-19,42.15,39.35,40.8,39.35,76762
2020-03-20,43.3,39.45,42.5,41.45,142981
2020-03-23,41.75,39.4,40.2,41.0,29281
2020-03-24,43.0,40.1,42.7,41.05,33994
