Date,Closing price,50,200
2018-06-04,102.6,,
2018-06-05,102.4,,
2018-06-07,107.0,,
2018-06-08,108.0,,
2018-06-11,108.0,,
2018-06-12,108.2,,
2018-06-13,107.4,,
2018-06-14,108.0,,
2018-06-15,104.0,,
2018-06-18,104.6,,
2018-06-19,102.2,,
2018-06-20,100.8,,
2018-06-21,99.5,,
2018-06-25,100.8,,
2018-06-26,102.0,,
2018-06-27,101.4,,
2018-06-28,102.0,,
2018-06-29,95.0,,
2018-07-02,96.3,,
2018-07-03,96.5,,
2018-07-04,96.9,,
2018-07-05,96.5,,
2018-07-06,95.4,,
2018-07-09,96.2,,
2018-07-10,97.8,,
2018-07-11,95.9,,
2018-07-12,96.7,,
2018-07-13,97.7,,
2018-07-16,97.8,,
2018-07-17,95.9,,
2018-07-18,95.5,,
2018-07-19,94.4,,
2018-07-20,94.8,,
2018-07-23,95.5,,
2018-07-24,95.0,,
2018-07-25,96.0,,
2018-07-26,94.6,,
2018-07-27,94.7,,
2018-07-30,94.9,,
2018-07-31,94.9,,
2018-08-01,93.3,,
2018-08-02,93.3,,
2018-08-03,93.5,,
2018-08-06,91.7,,
2018-08-07,93.0,,
2018-08-08,93.5,,
2018-08-09,94.7,,
2018-08-10,96.7,,
2018-08-13,95.9,,
2018-08-14,97.0,,
2018-08-15,95.6,,
2018-08-16,96.5,,
2018-08-17,96.2,,
2018-08-20,96.1,,
2018-08-21,97.6,,
2018-08-22,96.5,,
2018-08-23,97.5,,
2018-08-24,97.4,,
2018-08-27,96.3,,
2018-08-28,95.7,,
2018-08-29,96.5,,
2018-08-30,94.6,,
2018-08-31,93.5,,
2018-09-03,96.1,,
2018-09-04,94.7,,
2018-09-05,94.5,,
2018-09-06,96.0,,
2018-09-07,99.0,,
2018-09-10,99.6,,
2018-09-11,97.6,,
2018-09-12,98.6,,
2018-09-13,99.9,,
2018-09-14,100.0,,
2018-09-17,103.2,,
2018-09-18,114.0,,
2018-09-19,112.0,,
2018-09-20,115.0,,
2018-09-21,115.4,,
2018-09-24,112.8,,
2018-09-25,112.0,,
2018-09-26,113.0,,
2018-09-27,113.8,,
2018-09-28,114.6,,
2018-10-01,115.4,,
2018-10-02,114.6,,
2018-10-03,113.6,,
2018-10-04,112.2,,
2018-10-05,112.0,,
2018-10-08,109.4,,
2018-10-09,106.8,,
2018-10-10,105.0,,
2018-10-11,99.4,,
2018-10-12,99.0,,
2018-10-15,97.7,,
2018-10-16,101.4,,
2018-10-17,98.9,,
2018-10-18,95.0,,
2018-10-19,95.7,,
2018-10-22,94.0,,
2018-10-23,91.8,,
2018-10-24,90.6,,
2018-10-25,89.9,,
2018-10-26,87.0,,
2018-10-29,87.7,,
2018-10-30,87.5,,
2018-10-31,89.1,,
2018-11-01,90.4,,
2018-11-02,91.5,,
2018-11-05,92.1,,
2018-11-06,90.5,,
2018-11-07,90.1,,
2018-11-08,91.9,,
2018-11-09,93.6,,
2018-11-12,93.3,,
2018-11-13,91.2,,
2018-11-14,89.6,,
2018-11-15,86.4,,
2018-11-16,85.1,,
2018-11-19,84.0,,
2018-11-20,82.0,,
2018-11-21,82.1,,
2018-11-22,88.0,,
2018-11-23,95.1,,
2018-11-26,98.0,,
2018-11-27,97.5,,
2018-11-28,96.2,,
2018-11-29,99.8,,
2018-11-30,98.0,,
2018-12-03,99.4,,
2018-12-04,108.4,,
2018-12-05,107.0,,
2018-12-06,102.2,,
2018-12-07,104.0,,
2018-12-10,105.4,,
2018-12-11,107.4,,
2018-12-12,108.6,,
2018-12-13,108.2,,
2018-12-14,108.0,,
2018-12-17,105.0,,
2018-12-18,111.8,,
2018-12-19,109.6,,
2018-12-20,106.6,,
2018-12-21,105.0,,
2018-12-27,69.0,,
2018-12-28,66.9,,
2019-01-02,65.4,,
2019-01-03,63.3,,
2019-01-04,62.8,,
2019-01-07,60.9,,
2019-01-08,59.7,,
2019-01-09,63.8,,
2019-01-10,62.5,,
2019-01-11,68.6,,
2019-01-14,66.0,,
