Date,High,Low,Close,Open,Volume
2020-01-02,10.0,9.7,9.7,9.76,23023
2020-01-03,10.0,9.62,9.7,9.7,37586
2020-01-06,9.9,9.7,9.7,9.9,9450
2020-01-07,10.25,9.7,10.0,9.96,116582
2020-01-08,10.0,9.32,10.0,10.0,22121
2020-01-09,10.05,9.7,9.7,10.05,40665
2020-01-10,9.64,9.32,9.34,9.32,49192
2020-01-13,9.34,9.0,9.34,9.34,40072
2020-01-14,9.72,9.2,9.62,9.2,27099
2020-01-15,9.7,9.0,9.48,9.62,59626
2020-01-16,10.35,9.36,10.3,9.36,49226
2020-01-17,10.5,10.0,10.5,10.35,55142
2020-01-20,10.5,9.76,10.05,10.5,15346
2020-01-21,10.5,10.1,10.4,10.5,10576
2020-01-22,10.4,9.94,10.35,10.4,18752
2020-01-23,10.45,10.05,10.4,10.05,16919
2020-01-24,11.5,10.4,11.0,10.45,37011
2020-01-27,11.0,10.0,10.95,11.0,29814
2020-01-28,10.95,10.3,10.5,10.9,25077
2020-01-29,10.95,10.5,10.9,10.5,7415
2020-01-30,10.9,10.0,10.8,10.0,9141
2020-01-31,10.9,10.0,10.9,10.0,14294
2020-02-03,11.0,10.7,10.7,10.95,24454
2020-02-04,11.0,10.7,11.0,10.75,24928
2020-02-05,11.05,10.8,11.05,11.0,40418
2020-02-06,11.3,10.8,11.2,11.15,88693
2020-02-07,11.2,10.85,11.15,11.2,7746
2020-02-10,11.15,10.9,11.0,11.15,25799
2020-02-11,11.0,10.95,10.95,11.0,55696
2020-02-12,12.8,11.5,12.7,11.5,1054010
2020-02-13,14.5,12.5,14.5,12.5,1046380
2020-02-14,16.2,14.5,15.1,14.95,2522567
2020-02-17,15.2,14.6,14.95,15.2,62152
2020-02-18,15.1,14.2,14.25,14.95,33423
2020-02-19,14.2,13.25,14.05,14.0,73291
2020-02-20,14.2,13.8,14.1,14.2,30333
2020-02-21,15.0,13.85,14.0,14.1,109260
2020-02-24,13.85,13.0,13.5,13.5,32240
2020-02-25,14.0,12.75,13.0,13.5,58063
2020-02-26,13.6,12.1,13.55,12.6,60710
2020-02-27,13.25,12.3,12.75,13.25,33265
2020-02-28,13.8,12.0,13.15,12.0,98532
2020-03-02,14.0,13.0,13.55,13.65,51037
2020-03-03,14.5,13.7,14.0,14.0,93637
