Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-06,52.0,47.5,52.0,47.6,149383
2018-06-07,61.2,51.4,56.6,51.8,179166
2018-06-08,59.0,54.6,57.8,57.0,85612
2018-06-11,65.0,58.4,64.8,58.4,199153
2018-06-12,69.6,57.0,64.4,65.0,298917
2018-06-13,63.8,58.0,59.0,61.8,159294
2018-06-14,58.2,55.0,55.2,58.2,138536
2018-06-15,54.8,51.6,53.0,54.8,161993
2018-06-18,54.6,52.0,53.6,52.0,45527
2018-06-19,59.0,53.6,57.8,53.8,93911
2018-06-20,65.0,60.0,65.0,60.0,126720
2018-06-21,66.0,61.2,64.2,65.0,97553
2018-06-22,64.0,61.0,63.0,62.6,46256
2018-06-25,63.0,60.0,60.8,62.4,40350
2018-06-26,60.0,57.0,58.4,59.8,63673
2018-06-27,62.0,56.8,61.0,58.8,31436
2018-06-28,61.4,58.8,60.0,61.2,20451
2018-06-29,61.6,59.4,61.0,60.0,25941
2018-07-02,63.2,60.4,61.0,63.2,13741
2018-07-03,62.8,61.0,61.4,62.8,8799
2018-07-04,62.0,60.0,61.2,62.0,12841
2018-07-05,61.2,58.8,58.8,60.4,16311
2018-07-06,61.0,59.0,60.0,59.0,22392
2018-07-09,59.8,58.8,59.0,59.6,21888
2018-07-10,58.8,56.0,57.2,58.6,52707
2018-07-11,58.4,57.0,57.4,58.0,21190
2018-07-12,58.2,56.6,57.4,58.0,10270
2018-07-13,61.6,57.2,60.2,57.4,22301
2018-07-16,63.6,60.0,63.6,60.4,48067
2018-07-17,65.6,61.6,62.6,64.2,33395
2018-07-18,64.4,61.6,62.4,61.6,14510
2018-07-19,63.6,61.8,62.4,61.8,12758
2018-07-20,64.6,62.2,63.0,62.2,16200
2018-07-23,63.2,61.8,63.0,63.0,8490
2018-07-24,64.0,62.4,64.0,62.8,20763
2018-07-25,66.4,63.8,66.4,64.0,77274
2018-07-26,68.2,67.0,68.2,67.0,38680
2018-07-27,70.2,68.8,69.0,68.8,56106
2018-07-30,85.2,71.2,81.0,71.2,166823
2018-07-31,88.0,74.8,77.4,81.8,204481
2018-08-01,84.0,75.2,81.0,75.2,96002
2018-08-02,83.0,79.2,80.0,82.0,71274
2018-08-03,83.0,80.0,81.0,82.0,103516
2018-08-06,86.0,81.0,84.8,81.0,120228
2018-08-07,87.4,85.0,87.0,86.2,110721
2018-08-08,91.6,87.8,88.8,88.2,156775
2018-08-09,88.6,81.0,81.8,88.6,117152
2018-08-10,85.0,75.2,84.4,81.2,170412
2018-08-13,87.6,81.8,82.6,84.6,85805
2018-08-14,84.8,82.0,83.2,82.8,69580
2018-08-15,84.4,81.8,83.0,83.6,21611
2018-08-16,84.6,81.4,83.0,82.8,38271
2018-08-17,85.0,83.2,83.8,83.2,17897
