Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,103.5,103.0,103.0,103.46,32832
2018-06-07,103.3,102.5,103.0,103.0,4487
2018-06-08,103.3,102.56,102.56,102.6,3370
2018-06-11,102.96,102.54,102.64,102.56,40596
2018-06-12,102.6,102.48,102.5,102.54,16045
2018-06-13,103.0,102.3,102.6,102.48,5004
2018-06-14,102.6,102.0,102.0,102.6,5161
2018-06-15,102.6,102.0,102.0,102.6,3600
2018-06-18,102.88,102.2,102.3,102.2,13880
2018-06-19,103.28,102.88,103.28,102.88,14621
2018-06-20,103.52,103.28,103.3,103.3,71357
2018-06-21,103.3,103.28,103.28,103.3,5679
2018-06-25,103.3,103.2,103.28,103.2,23727
2018-06-26,103.3,103.28,103.28,103.28,15875
2018-06-27,103.3,103.28,103.3,103.28,15961
2018-06-28,103.3,103.0,103.3,103.28,28084
2018-06-29,103.28,102.2,102.22,103.28,11410
2018-07-02,103.38,102.5,103.38,102.5,65107
2018-07-03,104.24,103.0,104.24,103.2,18911
2018-07-04,105.0,103.5,104.02,104.24,27798
2018-07-05,105.0,104.2,104.26,104.96,4521
2018-07-06,106.0,104.22,106.0,104.22,1762
2018-07-09,110.28,106.0,107.5,106.0,8316
2018-07-10,107.98,106.24,107.0,107.5,6806
2018-07-11,108.0,105.0,107.3,107.52,5733
2018-07-12,106.98,105.0,105.44,106.98,5357
2018-07-13,107.0,105.22,105.28,105.96,5229
2018-07-16,107.98,105.1,105.1,107.98,3587
2018-07-17,108.0,105.2,107.42,108.0,2209
2018-07-18,107.5,105.02,105.02,107.48,10847
2018-07-19,107.4,105.06,105.96,106.0,2021
2018-07-20,107.44,102.0,105.0,107.44,14607
2018-07-23,106.5,105.1,105.2,105.1,6049
2018-07-24,106.0,105.12,106.0,105.5,4443
2018-07-25,106.0,105.0,105.0,106.0,7653
2018-07-26,106.0,105.0,105.76,105.0,10762
2018-07-27,106.0,105.54,105.8,105.78,18912
2018-07-30,105.8,105.0,105.0,105.5,18544
2018-07-31,105.72,105.0,105.3,105.5,20481
2018-08-01,105.5,105.0,105.0,105.4,72416
2018-08-02,105.4,105.0,105.38,105.0,14848
2018-08-03,105.38,105.0,105.22,105.3,13560
2018-08-06,105.2,105.0,105.0,105.0,113149
2018-08-07,105.62,104.6,105.0,105.0,73490
2018-08-08,107.0,105.5,106.02,105.5,67538
2018-08-09,106.5,105.6,106.48,105.6,151825
