Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,84.45,79.05,81.15,79.15,1319223
2018-06-07,84.8,81.05,81.95,84.4,1027753
2018-06-08,78.55,71.0,71.0,78.55,3719864
2018-06-11,71.0,66.85,66.9,71.0,2681113
2018-06-12,68.05,66.2,66.95,67.8,1613165
2018-06-13,67.6,65.3,66.0,67.55,1076983
2018-06-14,70.0,65.6,70.0,66.0,1138220
2018-06-15,70.95,68.65,70.95,70.15,577757
2018-06-18,71.15,68.95,70.0,70.35,466991
2018-06-19,71.55,69.15,71.4,70.0,439775
2018-06-20,72.0,71.05,71.9,72.0,427648
2018-06-21,71.7,68.7,70.7,71.7,843029
2018-06-25,71.0,68.75,70.8,70.5,452503
2018-06-26,71.9,70.2,70.7,71.85,289119
2018-06-27,71.0,69.3,70.25,70.95,436410
2018-06-28,71.0,69.5,70.7,70.2,288621
2018-06-29,71.45,69.6,71.3,71.0,282985
2018-07-02,72.25,70.8,71.8,71.2,258263
2018-07-03,72.45,70.05,70.65,72.45,305645
2018-07-04,71.15,69.1,70.55,71.15,221918
2018-07-05,71.2,70.05,71.0,70.75,242662
2018-07-06,71.0,69.4,71.0,71.0,332228
2018-07-09,72.35,71.0,72.0,71.0,263931
2018-07-10,72.95,71.6,72.05,72.0,240609
2018-07-11,71.95,70.45,71.05,71.95,226897
2018-07-12,71.9,70.45,71.7,71.4,192824
2018-07-13,76.6,72.1,72.3,76.0,779476
2018-07-16,72.9,71.55,71.85,72.5,208773
2018-07-17,72.6,71.6,71.6,72.05,209594
2018-07-18,73.5,71.65,72.55,72.2,241568
2018-07-19,73.5,72.55,73.1,73.0,134047
2018-07-20,73.85,72.3,72.85,73.85,159088
2018-07-23,74.0,72.3,73.9,73.0,229290
2018-07-24,74.45,73.35,73.65,73.95,277878
2018-07-25,74.9,73.75,74.0,73.8,302079
2018-07-26,75.2,74.0,75.15,74.5,307541
2018-07-27,76.35,74.25,74.6,75.5,286837
2018-07-30,76.9,74.8,76.7,75.05,242538
2018-07-31,78.2,76.45,77.45,76.7,385340
2018-08-01,78.0,75.5,76.65,77.55,344783
2018-08-02,76.85,74.15,75.4,76.6,406899
2018-08-03,78.0,75.85,78.0,76.05,392559
2018-08-06,78.5,76.7,77.7,78.2,342892
2018-08-07,79.4,77.35,79.15,78.15,283128
2018-08-08,79.95,78.6,79.75,79.15,237270
2018-08-09,80.9,79.5,80.55,80.0,243393
2018-08-10,81.0,79.5,80.45,80.4,313816
2018-08-13,80.55,78.4,79.0,80.4,258478
2018-08-14,79.95,78.25,78.7,79.55,213167
2018-08-15,79.9,76.1,76.95,79.9,518681
2018-08-16,78.1,76.85,77.35,77.6,311221
2018-08-17,78.7,77.25,78.1,78.0,230157
2018-08-20,78.95,78.0,78.85,78.7,222404
2018-08-21,78.85,76.85,77.9,78.85,353893
2018-08-22,79.5,77.9,79.15,77.9,282483
