Date,High,Low,Close,Open,Volume
2020-01-02,1.47,1.33,1.385,1.42,38468
2020-01-03,1.465,1.375,1.45,1.385,15115
2020-01-07,1.45,1.42,1.45,1.45,2050
2020-01-08,1.455,1.38,1.41,1.455,16301
2020-01-09,1.41,1.355,1.41,1.41,24509
2020-01-10,1.42,1.34,1.42,1.34,1694
2020-01-13,1.41,1.34,1.37,1.41,21188
2020-01-14,1.51,1.37,1.46,1.37,40703
2020-01-15,1.935,1.46,1.575,1.46,79863
2020-01-16,1.895,1.62,1.755,1.62,67117
2020-01-17,2.65,1.76,2.46,1.76,366641
2020-01-20,2.57,1.88,2.11,2.47,218303
2020-01-21,2.26,2.12,2.15,2.15,73715
2020-01-22,2.64,2.15,2.64,2.15,134963
2020-01-23,2.64,2.35,2.5,2.64,118220
2020-01-24,2.49,2.19,2.21,2.49,57003
2020-01-27,2.34,2.21,2.27,2.22,9390
2020-01-28,2.33,2.03,2.1,2.33,53374
2020-01-29,2.32,2.1,2.11,2.2,82943
2020-01-30,2.17,2.04,2.05,2.11,21826
2020-01-31,2.08,1.99,2.01,2.05,86499
2020-02-03,2.02,1.81,1.81,2.01,84430
2020-02-04,1.845,1.715,1.775,1.845,74014
2020-02-05,1.965,1.73,1.86,1.775,74505
2020-02-06,1.96,1.73,1.96,1.8,14648
2020-02-07,2.15,1.81,1.87,1.9,35287
2020-02-10,1.94,1.77,1.865,1.87,8393
2020-02-11,2.03,1.88,2.03,1.88,33270
2020-02-12,2.02,1.935,1.995,2.02,38440
2020-02-13,2.02,1.95,1.97,2.01,7262
2020-02-14,2.1,1.97,2.02,1.975,24385
2020-02-17,2.05,1.95,2.04,1.975,69427
2020-02-18,2.04,1.92,1.95,2.04,43751
2020-02-19,1.95,1.745,1.855,1.95,76433
2020-02-20,1.855,1.78,1.8,1.855,8096
2020-02-21,2.45,1.8,2.03,1.8,191068
2020-02-24,2.03,1.755,1.975,2.03,74971
2020-02-25,2.28,1.9,1.91,2.27,25700
2020-02-26,1.91,1.495,1.81,1.91,76780
2020-02-27,1.955,1.7,1.7,1.83,22135
2020-02-28,1.7,1.515,1.59,1.7,31367
2020-03-02,2.35,1.525,2.03,1.585,172388
2020-03-03,2.55,2.01,2.12,2.3,98402
2020-03-04,2.13,2.04,2.08,2.1,8153
2020-03-05,2.19,2.01,2.1,2.02,26455
2020-03-06,2.1,1.85,1.92,2.1,84757
2020-03-09,1.88,1.62,1.87,1.88,26430
2020-03-10,1.87,1.78,1.78,1.87,13656
2020-03-11,1.82,1.57,1.82,1.57,22564
2020-03-12,1.82,1.535,1.6,1.82,29318
2020-03-13,1.55,1.475,1.5,1.535,41361
2020-03-16,1.55,1.135,1.205,1.55,19276
2020-03-17,1.365,1.0,1.25,1.2,257954
2020-03-18,1.3,1.055,1.22,1.3,3949
2020-03-19,1.195,1.005,1.04,1.195,30821
2020-03-20,1.16,0.884,0.97,1.04,71335
2020-03-23,0.95,0.716,0.794,0.95,65209
2020-03-24,0.854,0.764,0.77,0.852,117407
2020-03-25,0.886,0.756,0.796,0.758,86049
2020-03-26,0.968,0.796,0.91,0.796,49321
2020-03-27,1.065,0.916,0.934,0.916,43504
2020-03-30,1.02,0.91,0.96,0.934,29602
2020-03-31,1.415,0.95,1.03,1.0,103908
2020-04-01,1.2,1.0,1.0,1.1,31403
2020-04-02,0.996,0.854,0.97,0.996,26836
2020-04-03,1.0,0.952,0.962,0.98,8500
2020-04-06,1.185,0.962,0.994,1.185,33310
2020-04-07,1.095,0.942,1.0,0.942,37319
2020-04-08,1.0,0.94,0.958,1.0,25993
2020-04-09,1.95,0.898,1.025,1.175,436343
2020-04-14,1.4,1.06,1.065,1.4,111904
2020-04-15,1.13,0.934,1.0,1.13,24126
2020-04-16,1.045,0.906,0.998,1.045,20965
2020-04-17,0.99,0.932,0.97,0.952,28997
2020-04-20,1.14,0.946,1.0,0.97,37090
2020-04-21,1.01,0.934,0.988,1.01,31191
2020-04-22,1.0,0.9,0.962,1.0,66958
2020-04-23,1.04,0.928,0.954,1.04,15977
2020-04-24,1.08,0.948,0.984,1.045,27830
2020-04-27,1.045,0.988,1.0,0.988,20600
2020-04-28,1.1,0.922,0.952,1.0,38361
2020-04-29,1.02,0.924,0.974,0.954,27858
2020-04-30,0.982,0.974,0.974,0.982,4206
2020-05-04,0.974,0.95,0.952,0.974,5863
2020-05-05,0.994,0.956,0.988,0.99,8001
2020-05-06,1.11,0.99,1.0,0.99,24838
2020-05-07,1.195,1.005,1.14,1.125,68062
2020-05-08,1.19,1.025,1.08,1.14,15256
2020-05-11,1.13,1.055,1.07,1.095,12171
2020-05-12,1.295,1.07,1.08,1.295,3070
2020-05-13,1.22,1.08,1.13,1.08,4808
2020-05-14,1.25,1.065,1.065,1.25,4120
2020-05-15,1.065,1.02,1.055,1.065,20374
2020-05-18,1.195,1.0,1.0,1.045,9464
2020-05-19,1.0,0.962,0.97,1.0,84573
2020-05-20,1.145,0.982,1.06,1.145,5352
2020-05-22,0.996,0.97,0.996,0.98,3077
2020-05-25,1.1,0.97,1.05,1.0,15680
2020-05-26,1.065,0.962,1.045,1.02,37819
2020-05-27,1.06,1.035,1.035,1.06,1864
2020-05-28,1.035,0.924,1.0,1.035,4630
2020-05-29,1.02,0.952,0.952,1.0,1110
2020-06-01,1.095,0.966,1.05,1.095,23442
2020-06-02,1.1,1.02,1.07,1.05,22964
2020-06-03,1.075,1.0,1.065,1.07,32267
2020-06-04,3.35,1.01,2.72,1.095,4279638
2020-06-05,3.01,2.08,2.1,2.84,1319340
2020-06-08,2.23,2.01,2.16,2.19,163872
2020-06-09,2.39,2.1,2.18,2.19,99770
2020-06-10,2.19,2.09,2.17,2.19,38051
2020-06-11,2.18,2.1,2.12,2.11,125309
2020-06-12,2.2,1.935,1.935,2.06,61377
2020-06-15,1.98,1.82,1.965,1.935,17031
2020-06-16,1.995,1.885,1.94,1.965,13333
2020-06-17,1.95,1.8,1.8,1.805,35635
2020-06-18,1.885,1.5,1.625,1.8,89319
2020-06-22,1.805,1.36,1.4,1.61,183545
2020-06-23,1.39,1.3,1.355,1.39,42235
