Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,3.78,3.76,3.78,3.76,1400
2018-06-07,3.68,3.48,3.48,3.48,11820
2018-06-08,4.48,3.56,4.48,3.56,8050
2018-06-11,4.3,3.6,3.6,4.3,15810
2018-06-12,3.8,3.56,3.58,3.74,13299
2018-06-13,3.76,2.84,3.0,3.58,6115
2018-06-14,3.76,3.0,3.12,3.0,10742
2018-06-15,3.56,3.04,3.28,3.48,22833
2018-06-18,3.5,3.08,3.5,3.28,6680
2018-06-19,3.5,3.02,3.48,3.5,7112
2018-06-20,3.48,3.48,3.48,3.48,0
2018-06-21,4.08,3.02,4.08,3.02,330
2018-06-25,4.04,4.04,4.04,4.04,100
2018-06-26,4.02,3.24,3.98,3.24,2385
2018-06-27,3.8,3.68,3.68,3.68,1876
2018-06-28,3.68,3.5,3.5,3.68,2244
2018-06-29,3.5,3.5,3.5,3.5,185
2018-07-02,3.38,3.22,3.38,3.22,1795
2018-07-03,4.54,3.3,3.3,4.54,339
2018-07-04,4.12,3.36,3.36,4.12,9683
2018-07-05,3.5,3.5,3.5,3.5,200
2018-07-06,4.08,3.08,3.14,3.5,22345
2018-07-09,3.14,3.14,3.14,3.14,0
2018-07-10,4.12,3.2,4.1,3.96,16514
2018-07-11,3.76,3.26,3.76,3.3,7367
2018-07-12,3.7,3.3,3.7,3.3,1264
2018-07-13,4.1,4.0,4.0,4.1,3435
2018-07-16,4.0,4.0,4.0,4.0,0
2018-07-17,4.3,4.1,4.3,4.1,1850
2018-07-18,4.0,3.84,4.0,4.0,13451
2018-07-19,4.08,3.9,3.9,4.0,4659
2018-07-20,3.9,3.9,3.9,3.9,0
2018-07-23,4.48,3.62,3.76,3.62,774
2018-07-24,4.4,3.82,3.82,4.4,2962
2018-07-25,4.36,3.6,3.7,4.36,8719
2018-07-26,4.16,3.98,3.98,4.16,950
2018-07-27,4.28,3.8,4.28,3.8,20241
2018-07-30,4.28,4.28,4.28,4.28,0
2018-07-31,4.2,4.2,4.2,4.2,500
2018-08-01,4.2,4.2,4.2,4.2,17
2018-08-02,4.2,4.2,4.2,4.2,5387
2018-08-03,4.2,4.2,4.2,4.2,0
2018-08-06,3.66,3.18,3.66,3.32,19459
2018-08-07,4.0,3.98,4.0,3.98,2000
2018-08-08,4.28,3.38,4.28,3.4,10616
2018-08-09,4.3,4.1,4.28,4.1,1444
2018-08-10,4.3,3.74,4.0,4.3,10817
2018-08-13,4.3,3.52,3.98,3.8,4405
2018-08-14,3.88,3.72,3.78,3.72,3800
2018-08-15,3.78,3.32,3.78,3.34,11931
2018-08-16,3.68,3.6,3.68,3.68,5500
2018-08-17,4.22,4.0,4.22,4.0,450
2018-08-20,4.22,4.22,4.22,4.22,0
2018-08-21,4.18,4.0,4.0,4.18,430
2018-08-22,4.18,4.0,4.18,4.0,725
2018-08-23,3.66,3.66,3.66,3.66,63
2018-08-24,4.18,3.62,4.0,3.62,4006
2018-08-27,4.0,3.68,3.68,3.76,449
2018-08-28,4.6,3.7,3.7,3.98,6697
2018-08-29,3.7,3.7,3.7,3.7,0
2018-08-30,4.3,3.6,3.6,3.6,1160
2018-08-31,3.52,3.5,3.52,3.5,850
2018-09-03,4.2,3.5,3.5,3.6,4830
2018-09-04,4.12,4.1,4.12,4.1,1577
2018-09-05,4.4,3.52,3.52,4.36,3457
2018-09-06,3.52,3.52,3.52,3.52,917
2018-09-07,4.38,3.7,3.7,4.38,4458
2018-09-10,5.2,3.26,3.5,3.5,19143
2018-09-11,3.62,3.6,3.6,3.62,695
2018-09-12,3.6,3.6,3.6,3.6,2166
2018-09-13,3.6,3.6,3.6,3.6,0
2018-09-14,4.5,3.5,3.52,3.5,6764
2018-09-17,4.5,4.0,4.0,4.48,7296
2018-09-18,4.3,4.0,4.3,4.0,1100
2018-09-19,4.3,4.3,4.3,4.3,700
2018-09-20,3.94,3.52,3.9,3.52,1254
2018-09-21,4.18,3.6,4.18,3.6,1948
2018-09-24,3.4,3.4,3.4,3.4,800
2018-09-25,4.0,3.5,4.0,3.5,15155
2018-09-26,3.98,3.8,3.8,3.98,623
2018-09-27,3.98,3.52,3.98,3.8,3125
2018-09-28,3.98,3.98,3.98,3.98,0
2018-10-01,4.0,3.76,4.0,3.76,5036
2018-10-02,4.0,3.78,3.78,4.0,6959
2018-10-03,4.2,3.76,4.2,3.76,45667
2018-10-04,4.4,4.3,4.4,4.3,3600
2018-10-05,4.1,4.1,4.1,4.1,488
2018-10-08,4.4,4.1,4.2,4.1,6995
2018-10-09,4.2,3.9,3.9,4.2,15647
2018-10-10,4.18,3.94,4.18,3.94,4000
2018-10-11,4.4,3.4,4.4,4.0,600
2018-10-12,4.48,4.4,4.4,4.48,1333
2018-10-15,4.48,4.4,4.48,4.4,1000
2018-10-16,4.38,4.38,4.38,4.38,1947
2018-10-17,4.38,4.38,4.38,4.38,0
2018-10-18,3.98,3.5,3.8,3.52,5000
2018-10-19,3.62,3.4,3.4,3.62,3869
2018-10-22,3.4,3.4,3.4,3.4,0
2018-10-23,3.4,3.24,3.24,3.4,1423
2018-10-24,3.24,3.24,3.24,3.24,0
2018-10-25,3.32,3.32,3.32,3.32,155
2018-10-26,3.4,3.3,3.4,3.32,3790
2018-10-29,3.4,3.4,3.4,3.4,0
2018-10-30,3.84,3.0,3.84,3.2,2100
2018-10-31,4.24,3.5,3.5,3.98,971
2018-11-01,4.26,3.0,4.2,3.0,3670
2018-11-02,4.2,4.2,4.2,4.2,85
2018-11-05,4.2,4.2,4.2,4.2,0
2018-11-06,4.2,4.08,4.2,4.08,779
2018-11-07,3.46,3.46,3.46,3.46,500
2018-11-08,4.16,4.0,4.0,4.0,4000
2018-11-09,4.02,3.8,3.8,4.02,3717
2018-11-12,3.42,3.4,3.4,3.42,5600
2018-11-13,3.3,3.16,3.16,3.3,4972
2018-11-14,3.2,3.18,3.18,3.2,8508
2018-11-15,3.18,3.18,3.18,3.18,0
2018-11-16,3.16,3.0,3.16,3.16,4020
2018-11-19,3.3,3.18,3.3,3.18,2715
2018-11-20,3.3,3.3,3.3,3.3,0
2018-11-21,3.0,2.98,2.98,3.0,6600
2018-11-22,3.1,2.8,2.82,2.98,9328
2018-11-23,3.06,2.8,3.06,2.82,5722
2018-11-26,2.98,2.7,2.8,2.98,9439
2018-11-27,2.8,2.8,2.8,2.8,500
2018-11-28,2.8,2.5,2.8,2.72,8557
2018-11-29,2.8,2.8,2.8,2.8,0
2018-11-30,2.8,2.8,2.8,2.8,0
2018-12-03,2.96,2.5,2.5,2.96,11195
2018-12-04,3.1,2.12,2.58,2.5,6489
2018-12-05,2.32,2.3,2.32,2.3,2173
2018-12-06,2.88,2.3,2.32,2.88,7661
2018-12-07,3.04,2.28,2.34,3.04,2571
2018-12-10,2.22,2.22,2.22,2.22,1000
2018-12-11,2.62,2.2,2.2,2.6,8810
2018-12-12,3.0,2.12,3.0,2.38,5259
2018-12-13,4.4,3.0,3.4,3.0,15620
2018-12-14,3.94,2.9,3.1,3.94,27335
2018-12-17,4.0,3.7,3.8,3.7,26607
2018-12-18,3.96,3.4,3.96,3.8,5654
2018-12-19,3.98,3.4,3.98,3.96,3358
2018-12-20,3.98,3.98,3.98,3.98,0
2018-12-21,3.98,3.98,3.98,3.98,0
2018-12-27,3.9,2.26,3.7,3.02,27296
2018-12-28,3.6,3.1,3.6,3.1,5496
2019-01-02,3.6,3.6,3.6,3.6,29
2019-01-03,3.6,3.6,3.6,3.6,0
2019-01-04,3.66,3.0,3.66,3.0,671
2019-01-07,3.62,3.1,3.62,3.12,11483
2019-01-08,3.62,3.62,3.62,3.62,0
2019-01-09,3.34,3.32,3.32,3.34,1707
2019-01-10,3.38,2.82,3.34,2.82,2678
2019-01-11,3.2,3.1,3.1,3.2,1000
2019-01-14,3.14,3.1,3.14,3.1,6707
2019-01-15,3.14,3.14,3.14,3.14,0
2019-01-16,3.44,3.06,3.44,3.06,2100
2019-01-17,3.48,3.0,3.02,3.48,21697
2019-01-18,3.34,3.12,3.34,3.12,1300
2019-01-21,3.16,3.04,3.16,3.06,5000
2019-01-22,3.36,2.7,2.96,3.36,9276
2019-01-23,3.12,2.9,2.98,3.0,15298
2019-01-24,2.9,2.72,2.72,2.9,3700
2019-01-25,4.0,2.98,3.0,2.98,38499
2019-01-28,3.0,2.7,3.0,3.0,16000
2019-01-29,3.02,3.0,3.02,3.0,3644
2019-01-30,3.5,3.0,3.5,3.02,29240
2019-01-31,3.2,2.96,3.0,3.02,16637
2019-02-01,3.02,2.92,2.92,3.0,10088
2019-02-04,3.0,2.94,2.98,2.94,5894
2019-02-05,3.04,3.04,3.04,3.04,2366
2019-02-06,3.4,3.2,3.4,3.2,2185
2019-02-07,3.16,3.04,3.16,3.1,6250
2019-02-08,3.14,3.0,3.14,3.0,4914
2019-02-11,3.08,2.76,2.9,2.76,5200
2019-02-12,3.4,2.9,2.9,3.1,14415
2019-02-13,2.9,2.72,2.72,2.9,3000
2019-02-14,2.72,2.72,2.72,2.72,0
2019-02-15,2.8,2.5,2.72,2.8,14000
2019-02-18,2.92,2.54,2.92,2.6,12278
2019-02-19,3.0,2.6,3.0,2.8,4632
2019-02-20,3.2,2.42,2.96,3.2,62284
2019-02-21,2.98,2.8,2.88,2.8,1600
2019-02-22,3.04,2.18,2.9,3.0,93600
2019-02-25,2.94,2.46,2.58,2.94,24678
2019-02-26,2.58,2.58,2.58,2.58,0
2019-02-27,2.86,2.6,2.86,2.7,20102
2019-02-28,2.86,2.22,2.5,2.86,27015
2019-03-01,2.88,2.54,2.88,2.54,1100
2019-03-04,2.88,2.7,2.7,2.88,1764
2019-03-05,2.7,2.7,2.7,2.7,0
2019-03-06,2.9,2.54,2.62,2.7,13314
2019-03-07,2.8,2.78,2.8,2.78,2273
2019-03-08,3.2,2.5,2.88,2.8,49368
2019-03-11,3.18,2.64,3.06,2.8,11115
2019-03-12,3.06,3.06,3.06,3.06,58
2019-03-13,3.98,3.0,3.58,3.06,112800
2019-03-14,3.5,2.94,3.04,3.0,81610
2019-03-15,3.3,3.0,3.04,3.04,48199
2019-03-18,3.02,2.84,2.9,3.0,23019
2019-03-19,3.0,2.84,2.84,2.9,15316
2019-03-20,3.16,2.98,2.98,3.16,2247
2019-03-21,3.18,2.84,3.18,2.84,7988
2019-03-22,3.18,2.4,2.62,3.18,4680
2019-03-25,2.8,2.52,2.8,2.7,5652
2019-03-26,3.36,2.8,3.36,2.8,30298
2019-03-27,3.36,2.64,2.66,3.36,32771
2019-03-28,2.98,2.68,2.98,2.68,5207
2019-03-29,3.0,2.62,2.86,3.0,10110
2019-04-01,2.86,2.6,2.6,2.86,7392
2019-04-02,3.1,2.78,2.78,3.08,18362
2019-04-03,4.3,2.92,3.22,2.92,298384
2019-04-04,3.48,2.9,3.42,3.48,45819
2019-04-05,3.4,3.0,3.06,3.4,12892
2019-04-08,3.18,2.94,3.0,3.18,16213
2019-04-09,3.22,2.94,3.22,3.0,21945
2019-04-10,3.4,2.96,2.96,3.0,10972
2019-04-11,3.38,3.0,3.3,3.0,6169
2019-04-12,3.38,3.04,3.38,3.06,7071
2019-04-15,3.38,3.0,3.0,3.38,650
2019-04-16,3.28,2.96,2.96,3.28,13066
2019-04-17,4.0,3.24,4.0,3.26,25219
2019-04-18,4.0,3.14,3.5,4.0,10786
2019-04-23,3.86,2.0,3.26,3.5,10423
2019-04-24,3.6,2.72,3.6,2.72,17137
2019-04-25,3.62,3.02,3.46,3.62,11464
2019-04-26,3.46,3.18,3.18,3.46,6385
2019-04-29,3.42,3.02,3.4,3.18,8900
2019-04-30,3.12,3.02,3.02,3.08,6006
2019-05-02,3.12,3.02,3.02,3.1,6891
2019-05-03,3.2,3.02,3.1,3.2,3170
2019-05-06,3.42,3.0,3.0,3.24,1800
2019-05-07,3.02,2.52,2.6,3.02,28903
2019-05-08,2.6,2.6,2.6,2.6,0
2019-05-09,3.16,2.72,3.16,2.72,4186
2019-05-10,3.2,3.0,3.0,3.16,9442
2019-05-13,3.0,3.0,3.0,3.0,0
2019-05-14,3.0,2.72,3.0,2.72,4411
2019-05-15,3.2,2.76,2.76,3.2,1236
2019-05-16,3.18,2.98,3.18,2.98,3426
2019-05-17,3.18,3.18,3.18,3.18,0
2019-05-20,3.22,3.0,3.22,3.1,8400
2019-05-21,3.24,3.22,3.22,3.24,10536
2019-05-22,3.22,3.22,3.22,3.22,0
2019-05-23,3.22,2.78,3.14,3.22,10360
2019-05-24,3.22,3.2,3.2,3.22,1663
2019-05-27,3.24,3.2,3.2,3.24,510
2019-05-28,3.2,3.2,3.2,3.2,0
2019-05-29,2.82,2.82,2.82,2.82,500
2019-05-31,3.2,3.0,3.2,3.02,2600
2019-06-03,3.2,3.1,3.1,3.1,11800
2019-06-04,3.0,2.82,3.0,3.0,4248
2019-06-05,3.08,2.8,3.08,2.84,7390
