Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2017-12-13,0.264,0.264,0.264,0.264,0
2018-06-05,0.45,0.406,0.44,0.45,77010
2018-06-07,0.44,0.398,0.43,0.44,120969
2018-06-08,0.45,0.43,0.448,0.43,283133
2018-06-11,0.47,0.39,0.416,0.448,136948
2018-06-12,0.454,0.394,0.4,0.432,238684
2018-06-13,0.45,0.384,0.43,0.384,68168
2018-06-14,0.44,0.394,0.43,0.394,17284
2018-06-15,0.446,0.4,0.446,0.406,20967
2018-06-18,0.458,0.404,0.404,0.456,63655
2018-06-19,0.448,0.404,0.416,0.404,80344
2018-06-20,0.418,0.334,0.336,0.418,219598
2018-06-21,0.49,0.35,0.45,0.35,315191
2018-06-25,0.44,0.416,0.44,0.44,123955
2018-06-26,0.44,0.41,0.41,0.44,55880
2018-06-27,0.428,0.41,0.424,0.41,28423
2018-06-28,0.43,0.424,0.424,0.43,8563
2018-06-29,0.42,0.398,0.42,0.42,20033
2018-07-02,0.418,0.386,0.414,0.386,35254
2018-07-03,0.45,0.4,0.4,0.45,44652
2018-07-04,0.4,0.35,0.38,0.388,53112
2018-07-05,0.376,0.35,0.37,0.376,146543
2018-07-06,0.37,0.35,0.37,0.37,30200
2018-07-09,0.402,0.32,0.4,0.32,18240
2018-07-10,0.4,0.32,0.4,0.388,359616
2018-07-11,0.402,0.344,0.39,0.402,57421
2018-07-12,0.39,0.354,0.388,0.39,60707
2018-07-13,0.38,0.356,0.356,0.38,36800
2018-07-16,0.394,0.354,0.354,0.37,22538
2018-07-17,0.4,0.354,0.354,0.386,37328
2018-07-18,0.4,0.354,0.386,0.354,20583
2018-07-19,0.398,0.398,0.398,0.398,10000
2018-07-20,0.4,0.366,0.366,0.4,7761
2018-07-23,0.384,0.366,0.384,0.384,51256
2018-07-24,0.384,0.348,0.36,0.384,112838
2018-07-25,0.388,0.36,0.388,0.362,25408
2018-07-26,0.38,0.368,0.378,0.38,17332
2018-07-27,0.39,0.352,0.362,0.352,17021
2018-07-30,0.398,0.362,0.398,0.362,54553
2018-07-31,0.398,0.362,0.398,0.398,33450
2018-08-01,0.4,0.36,0.4,0.398,69119
2018-08-02,0.41,0.38,0.4,0.4,9486
2018-08-03,0.398,0.364,0.39,0.38,49204
