Date,Closing price,50,200
2018-06-04,323.1,,
2018-06-05,322.55,,
2018-06-07,323.0,,
2018-06-08,324.75,,
2018-06-11,324.05,,
2018-06-12,325.5,,
2018-06-13,325.0,,
2018-06-14,324.0,,
2018-06-15,324.0,,
2018-06-18,325.05,,
2018-06-19,326.9,,
2018-06-20,329.2,,
2018-06-21,329.45,,
2018-06-25,330.85,,
2018-06-26,331.95,,
2018-06-27,331.5,,
2018-06-28,326.1,,
2018-06-29,327.9,,
2018-07-02,330.0,,
2018-07-03,326.0,,
2018-07-04,327.0,,
2018-07-05,326.0,,
2018-07-06,325.9,,
2018-07-09,328.5,,
2018-07-10,327.95,,
2018-07-11,327.5,,
2018-07-12,329.0,,
2018-07-13,329.85,,
2018-07-16,328.95,,
2018-07-17,332.4,,
2018-07-18,333.0,,
2018-07-19,334.9,,
2018-07-20,333.5,,
2018-07-23,334.4,,
2018-07-24,334.1,,
2018-07-25,334.0,,
2018-07-26,332.2,,
2018-07-27,334.05,,
2018-07-30,338.0,,
2018-07-31,340.0,,
2018-08-01,341.7,,
2018-08-02,339.8,,
2018-08-03,339.5,,
2018-08-06,339.55,,
2018-08-07,338.9,,
2018-08-08,339.7,,
2018-08-09,337.0,,
2018-08-10,338.45,,
2018-08-13,338.25,,
2018-08-14,338.5,,
2018-08-15,339.45,,
2018-08-16,339.15,,
2018-08-17,339.15,,
2018-08-20,339.1,,
2018-08-21,339.1,,
2018-08-22,339.5,,
2018-08-23,340.95,,
2018-08-24,341.9,,
2018-08-27,338.5,,
2018-08-28,335.0,,
2018-08-29,335.0,,
2018-08-30,332.0,,
2018-08-31,328.0,,
2018-09-03,330.1,,
2018-09-04,327.0,,
2018-09-05,331.85,,
2018-09-06,331.55,,
2018-09-07,330.45,,
2018-09-10,330.0,,
2018-09-11,329.0,,
2018-09-12,329.9,,
2018-09-13,330.0,,
2018-09-14,331.0,,
2018-09-17,329.5,,
2018-09-18,326.1,,
2018-09-19,327.0,,
2018-09-20,329.5,,
2018-09-21,332.45,,
2018-09-24,331.95,,
2018-09-25,332.5,,
2018-09-26,332.0,,
2018-09-27,324.95,,
2018-09-28,324.0,,
2018-10-01,324.0,,
2018-10-02,325.0,,
2018-10-03,323.0,,
2018-10-04,324.45,,
2018-10-05,322.4,,
2018-10-08,311.8,,
2018-10-09,311.85,,
2018-10-10,313.0,,
2018-10-11,311.5,,
2018-10-12,308.0,,
2018-10-15,304.0,,
2018-10-16,310.0,,
2018-10-17,309.9,,
2018-10-18,307.1,,
2018-10-19,309.0,,
2018-10-22,308.1,,
2018-10-23,304.95,,
2018-10-24,301.0,,
2018-10-25,299.35,,
2018-10-26,300.0,,
2018-10-29,300.0,,
2018-10-30,299.8,,
2018-10-31,300.8,,
2018-11-01,301.0,,
2018-11-02,301.0,,
2018-11-05,300.0,,
2018-11-06,300.7,,
2018-11-07,300.1,,
2018-11-08,300.0,,
2018-11-09,300.0,,
2018-11-12,299.25,,
2018-11-13,298.5,,
2018-11-14,299.45,,
2018-11-15,298.0,,
2018-11-16,299.0,,
2018-11-19,299.0,,
2018-11-20,296.5,,
2018-11-21,298.9,,
2018-11-22,298.9,,
2018-11-23,298.9,,
2018-11-26,299.0,,
2018-11-27,298.95,,
2018-11-28,298.95,,
2018-11-29,300.0,,
2018-11-30,300.0,,
2018-12-03,300.0,,
2018-12-04,300.0,,
2018-12-05,300.0,,
2018-12-06,298.95,,
2018-12-07,300.0,,
2018-12-10,299.75,,
2018-12-11,299.95,,
2018-12-12,301.95,,
2018-12-13,300.0,,
2018-12-14,301.0,,
2018-12-17,299.8,,
2018-12-18,298.6,,
2018-12-19,299.0,,
2018-12-20,298.5,,
2018-12-21,298.5,,
2018-12-27,293.0,,
2018-12-28,294.0,,
2019-01-02,295.35,,
2019-01-03,296.35,,
2019-01-04,299.6,,
2019-01-07,299.95,,
2019-01-08,299.9,,
2019-01-09,300.0,,
2019-01-10,299.55,,
2019-01-11,300.0,,
2019-01-14,300.0,,
2019-01-15,301.45,,
2019-01-16,304.85,,
2019-01-17,307.95,,
2019-01-18,308.0,,
2019-01-21,308.0,,
2019-01-22,311.0,,
2019-01-23,311.0,,
2019-01-24,313.0,,
2019-01-25,314.5,,
2019-01-28,314.5,,
2019-01-29,317.0,,
2019-01-30,316.6,,
2019-01-31,316.85,,
2019-02-01,315.0,,
2019-02-04,318.25,,
2019-02-05,319.5,,
2019-02-06,319.3,,
2019-02-07,318.85,,
2019-02-08,319.45,,
2019-02-11,321.9,,
2019-02-12,320.0,,
2019-02-13,324.05,,
2019-02-14,327.0,,
2019-02-15,328.0,,
2019-02-18,332.5,,
2019-02-19,337.95,,
2019-02-20,338.9,,
2019-02-21,338.35,,
2019-02-22,337.35,,
2019-02-25,335.95,,
2019-02-26,338.95,,
2019-02-27,336.75,,
2019-02-28,339.0,,
2019-03-01,339.85,,
2019-03-04,336.1,,
2019-03-05,337.6,,
2019-03-06,338.5,,
2019-03-07,338.45,,
2019-03-08,339.95,,
2019-03-11,339.0,,
2019-03-12,339.35,,
2019-03-13,338.9,,
2019-03-14,338.0,,
2019-03-15,338.85,,
2019-03-18,339.05,,
2019-03-19,338.5,,
2019-03-20,341.85,,
2019-03-21,341.45,,
2019-03-22,341.0,,
2019-03-25,342.0,,
2019-03-26,342.0,,
2019-03-27,339.5,,
2019-03-28,334.0,,
2019-03-29,332.05,,
2019-04-01,334.0,,
2019-04-02,335.0,,
2019-04-03,334.0,,
2019-04-04,335.0,,
2019-04-05,335.0,,
2019-04-08,336.0,,
2019-04-09,337.0,,
2019-04-10,333.0,,
2019-04-11,330.0,,
2019-04-12,330.0,,
2019-04-15,333.0,,
2019-04-16,332.0,,
2019-04-17,336.0,,
2019-04-18,337.0,,
2019-04-23,338.0,,
2019-04-24,333.0,,
2019-04-25,332.0,,
2019-04-26,331.0,,
2019-04-29,330.0,,
2019-04-30,330.0,,
2019-05-02,330.0,,
2019-05-03,330.0,,
2019-05-06,329.0,,
2019-05-07,332.0,,
2019-05-08,331.0,,
2019-05-09,330.0,,
2019-05-10,331.0,,
2019-05-13,330.0,,
2019-05-14,330.0,,
2019-05-15,330.0,,
2019-05-16,331.0,,
2019-05-17,334.0,334.82800000000003,321.1219999999998
2019-05-20,335.0,334.75800000000004,321.0884999999998
2019-05-21,334.0,334.66900000000004,321.0594999999998
2019-05-22,333.0,334.53,321.0269999999998
2019-05-23,331.0,334.37,320.98424999999975
2019-05-24,330.0,334.18300000000005,320.9397499999998
2019-05-27,331.0,334.025,320.8962499999998
2019-05-28,334.0,333.945,320.8812499999998
2019-05-29,331.0,333.788,320.8439999999998
2019-05-31,333.0,333.667,320.81774999999976
