Date,High,Low,Close,Open,Volume
2020-01-02,4.295,4.03,4.185,4.1,202931
2020-01-03,4.56,4.185,4.5,4.19,168134
2020-01-07,5.41,4.5,5.37,4.51,916169
2020-01-08,5.6,5.02,5.56,5.41,787076
2020-01-09,5.7,5.2,5.2,5.59,341263
2020-01-10,5.31,4.83,5.22,5.22,441363
2020-01-13,5.21,4.99,5.0,5.21,194147
2020-01-14,5.15,4.9,5.0,5.11,142263
2020-01-15,4.995,4.73,4.795,4.995,198932
2020-01-16,4.79,4.505,4.7,4.79,193272
2020-01-17,4.895,4.56,4.72,4.615,147249
2020-01-20,4.75,4.45,4.58,4.715,203801
2020-01-21,4.58,4.455,4.55,4.575,262988
2020-01-22,4.55,4.465,4.535,4.545,100365
2020-01-23,4.625,4.455,4.46,4.58,119648
2020-01-24,4.785,4.47,4.61,4.495,430643
2020-01-27,4.665,4.475,4.585,4.615,147166
2020-01-28,4.775,4.57,4.65,4.59,119320
2020-01-29,5.25,4.5,4.58,4.615,597888
2020-01-30,4.5,4.03,4.17,4.5,978367
2020-01-31,4.185,4.02,4.04,4.17,311625
2020-02-03,4.03,3.9,3.99,4.005,189265
2020-02-04,4.1,3.865,3.9,4.0,319075
2020-02-05,3.985,3.89,3.89,3.895,239072
2020-02-06,3.965,3.9,3.93,3.9,152100
2020-02-07,3.94,3.86,3.93,3.93,81575
2020-02-10,3.94,3.89,3.9,3.935,86614
2020-02-11,3.945,3.855,3.885,3.92,131185
2020-02-12,3.885,3.76,3.845,3.885,152004
2020-02-13,3.845,3.76,3.8,3.845,300055
2020-02-14,3.765,3.6,3.625,3.755,436941
2020-02-17,3.61,3.48,3.59,3.505,538510
2020-02-18,3.645,3.585,3.6,3.585,216357
2020-02-19,3.675,3.55,3.635,3.645,182088
2020-02-20,3.605,3.5,3.585,3.565,185344
2020-02-21,3.58,3.5,3.515,3.505,195046
2020-02-24,3.515,3.34,3.36,3.515,206677
2020-02-25,3.5,3.365,3.465,3.365,131053
2020-02-26,3.795,3.21,3.645,3.465,357465
2020-02-27,3.7,3.45,3.5,3.7,219475
2020-02-28,3.38,3.17,3.23,3.38,347171
2020-03-02,3.31,3.155,3.245,3.155,225249
2020-03-03,3.6,3.205,3.545,3.305,294077
2020-03-04,3.9,3.55,3.89,3.55,200399
2020-03-05,4.2,3.705,3.79,3.905,263468
2020-03-06,3.79,3.5,3.715,3.77,202315
2020-03-09,3.7,3.33,3.35,3.49,162260
2020-03-10,3.53,3.275,3.275,3.355,113776
2020-03-11,3.395,3.245,3.28,3.355,185092
2020-03-12,3.235,2.755,2.87,3.235,471250
2020-03-13,3.14,2.625,2.995,2.865,343330
2020-03-16,2.955,2.535,2.845,2.895,208642
2020-03-17,3.0,2.725,2.85,2.83,183057
2020-03-18,2.99,2.75,2.88,2.8,160077
2020-03-19,3.05,2.83,2.91,2.88,98642
2020-03-20,3.2,3.01,3.15,3.165,234828
2020-03-23,3.315,2.95,3.01,3.15,227291
2020-03-24,3.225,3.0,3.08,3.225,147697
2020-03-25,3.14,2.95,3.02,3.135,208811
2020-03-26,3.0,2.85,2.935,2.98,204946
2020-03-27,3.14,2.805,3.04,3.045,382955
2020-03-30,3.145,2.95,3.03,3.04,199162
2020-03-31,3.14,3.0,3.14,3.03,110289
2020-04-01,3.2,3.0,3.2,3.13,148133
2020-04-02,3.37,3.05,3.2,3.19,250549
2020-04-03,3.3,2.985,3.21,3.19,327687
2020-04-06,3.4,3.21,3.385,3.21,152567
2020-04-07,3.4,3.21,3.3,3.39,169891
2020-04-08,3.29,3.18,3.28,3.29,124929
2020-04-09,3.28,3.19,3.2,3.275,176469
2020-04-14,3.945,3.13,3.9,3.2,1118857
2020-04-15,4.1,3.55,3.7,4.0,507594
2020-04-16,4.095,3.59,3.85,3.75,569964
