Date,Closing price,50,200
2018-06-04,385.0,,
2018-06-06,397.0,,
2018-06-07,394.2,,
2018-06-08,397.0,,
2018-06-11,395.4,,
2018-06-12,399.2,,
2018-06-13,416.6,,
2018-06-14,419.2,,
2018-06-15,421.0,,
2018-06-18,415.8,,
2018-06-19,414.2,,
2018-06-20,424.0,,
2018-06-21,413.6,,
2018-06-22,416.8,,
2018-06-25,414.2,,
2018-06-26,405.4,,
2018-06-27,403.4,,
2018-06-28,407.6,,
2018-06-29,407.4,,
2018-07-02,407.0,,
2018-07-03,410.0,,
2018-07-04,407.0,,
2018-07-05,395.6,,
2018-07-06,396.6,,
2018-07-09,393.8,,
2018-07-10,399.8,,
2018-07-11,392.8,,
2018-07-12,393.0,,
2018-07-13,396.0,,
2018-07-16,395.4,,
2018-07-17,408.6,,
2018-07-18,402.0,,
2018-07-19,409.0,,
2018-07-20,407.6,,
2018-07-23,409.2,,
2018-07-24,412.0,,
2018-07-25,410.8,,
2018-07-26,422.6,,
2018-07-27,418.8,,
2018-07-30,415.4,,
2018-07-31,419.6,,
2018-08-01,421.2,,
2018-08-02,418.2,,
2018-08-03,406.0,,
2018-08-06,408.4,,
2018-08-07,388.6,,
2018-08-08,389.4,,
2018-08-09,382.2,,
2018-08-10,378.0,,
2018-08-13,353.2,,
2018-08-14,351.8,,
2018-08-15,349.0,,
2018-08-16,350.0,,
2018-08-17,337.8,,
2018-08-20,333.2,,
2018-08-21,341.0,,
2018-08-22,341.0,,
2018-08-23,342.6,,
2018-08-24,344.0,,
2018-08-27,346.0,,
2018-08-28,343.6,,
2018-08-29,340.2,,
2018-08-30,342.6,,
2018-08-31,338.8,,
2018-09-03,339.0,,
2018-09-04,334.2,,
2018-09-05,337.0,,
2018-09-06,337.0,,
2018-09-07,334.8,,
2018-09-10,334.0,,
2018-09-11,326.8,,
2018-09-12,329.6,,
2018-09-13,327.6,,
2018-09-14,331.8,,
2018-09-17,334.8,,
2018-09-18,321.8,,
2018-09-19,322.8,,
2018-09-20,327.0,,
2018-09-21,328.0,,
2018-09-24,322.2,,
2018-09-25,320.6,,
2018-09-26,321.0,,
2018-09-27,320.4,,
2018-09-28,318.0,,
2018-10-01,329.8,,
2018-10-02,335.8,,
2018-10-03,335.0,,
2018-10-04,320.2,,
2018-10-05,316.0,,
2018-10-08,301.6,,
