Date,High,Low,Close,Open,Volume
2020-01-02,1.78,1.72,1.73,1.75,136817
2020-01-03,1.75,1.72,1.75,1.73,598601
2020-01-06,1.765,1.725,1.755,1.755,79376
2020-01-07,1.75,1.725,1.75,1.725,27436
2020-01-08,1.75,1.725,1.74,1.745,152273
2020-01-09,1.745,1.735,1.74,1.735,245103
2020-01-10,1.75,1.74,1.75,1.745,89946
2020-01-13,1.76,1.74,1.74,1.75,245286
2020-01-14,1.75,1.74,1.74,1.74,233790
2020-01-15,1.75,1.74,1.74,1.745,30568
2020-01-16,1.75,1.74,1.74,1.74,45602
2020-01-17,1.765,1.74,1.74,1.74,258933
2020-01-20,1.76,1.74,1.76,1.74,22451
2020-01-21,1.76,1.74,1.75,1.76,97959
2020-01-22,1.78,1.745,1.78,1.745,266899
2020-01-23,1.78,1.76,1.765,1.78,11988
2020-01-24,1.78,1.755,1.765,1.755,58918
2020-01-27,1.79,1.75,1.75,1.775,143941
2020-01-28,1.82,1.75,1.77,1.78,3254424
2020-01-29,1.83,1.775,1.795,1.83,172308
2020-01-30,1.81,1.77,1.8,1.81,48015
2020-01-31,1.8,1.765,1.785,1.8,78769
2020-02-03,1.785,1.73,1.73,1.785,57528
2020-02-04,1.77,1.725,1.77,1.73,428627
2020-02-05,1.775,1.74,1.775,1.745,149354
2020-02-06,1.755,1.755,1.755,1.755,195683
2020-02-07,1.785,1.755,1.77,1.785,257428
2020-02-10,1.74,1.74,1.74,1.74,2234
2020-02-11,1.765,1.74,1.765,1.745,71739
2020-02-12,1.765,1.73,1.75,1.745,154430
2020-02-13,1.75,1.735,1.735,1.75,21871
2020-02-14,1.74,1.73,1.73,1.74,81218
2020-02-17,1.765,1.73,1.73,1.76,129799
2020-02-18,1.73,1.73,1.73,1.73,4411
2020-02-19,1.755,1.73,1.745,1.75,19820
2020-02-20,1.735,1.7,1.71,1.735,575868
2020-02-21,1.7,1.7,1.7,1.7,229695
2020-02-24,1.715,1.69,1.69,1.705,116302
2020-02-25,1.71,1.655,1.705,1.695,151835
2020-02-26,1.705,1.68,1.695,1.705,114500
2020-02-27,1.74,1.655,1.655,1.72,80089
2020-02-28,1.65,1.6,1.61,1.65,77706
2020-03-02,1.66,1.6,1.65,1.6,38988
2020-03-03,1.64,1.64,1.64,1.64,4020
2020-03-04,1.685,1.685,1.685,1.685,3305
2020-03-05,1.685,1.625,1.625,1.685,33271
2020-03-06,1.605,1.605,1.605,1.605,14840
2020-03-09,1.69,1.54,1.64,1.6,311139
2020-03-10,1.635,1.63,1.635,1.635,84967
2020-03-11,1.67,1.615,1.615,1.64,102684
2020-03-12,1.585,1.445,1.455,1.555,257241
2020-03-13,1.555,1.505,1.525,1.505,52403
2020-03-16,1.46,1.43,1.455,1.43,22960
2020-03-17,1.505,1.46,1.46,1.5,33170
2020-03-18,1.46,1.46,1.46,1.46,4199
2020-03-19,1.5,1.45,1.47,1.46,58100
2020-03-20,1.5,1.5,1.5,1.5,5510
2020-03-23,1.45,1.45,1.45,1.45,5916
2020-03-24,1.525,1.45,1.525,1.45,26100
2020-03-25,1.565,1.485,1.495,1.53,183931
2020-03-26,1.49,1.49,1.49,1.49,15
2020-03-27,1.495,1.495,1.495,1.495,61000
2020-03-30,1.525,1.48,1.525,1.48,18612
2020-03-31,1.63,1.545,1.63,1.545,209678
2020-04-01,1.65,1.63,1.63,1.65,32057
2020-04-02,1.62,1.57,1.62,1.62,136351
2020-04-03,1.6,1.6,1.6,1.6,27056
2020-04-06,1.63,1.6,1.61,1.6,24130
2020-04-07,1.62,1.61,1.61,1.62,25000
2020-04-08,1.61,1.6,1.6,1.61,19000
2020-04-09,1.6,1.6,1.6,1.6,0
2020-04-14,1.61,1.55,1.55,1.61,55108
2020-04-15,1.55,1.55,1.55,1.55,70000
