Date,High,Low,Close,Open,Volume
2020-01-02,124.0,120.5,124.0,122.0,2820
2020-01-03,123.0,121.0,121.5,123.0,2184
2020-01-07,122.0,120.5,121.5,121.5,2938
2020-01-08,122.5,121.0,122.5,122.0,2837
2020-01-09,125.0,120.5,122.5,120.5,5102
2020-01-10,124.5,122.5,123.0,123.0,236
2020-01-13,124.5,123.0,123.5,123.0,235
2020-01-14,123.5,122.0,123.0,123.5,3712
2020-01-15,124.0,123.0,124.0,123.0,627
2020-01-16,124.5,122.0,122.0,123.5,1147
2020-01-17,124.5,122.0,124.5,122.0,3096
2020-01-20,122.5,120.0,120.0,122.5,15859
2020-01-21,120.0,118.0,120.0,119.5,14910
2020-01-22,120.0,116.0,116.0,120.0,13973
2020-01-23,117.5,116.0,116.0,116.5,3493
2020-01-24,118.5,116.0,118.5,116.5,4844
2020-01-27,118.5,117.0,117.5,118.5,2478
2020-01-28,119.5,118.0,118.0,118.0,109
2020-01-29,119.5,118.0,118.0,119.5,348
2020-01-30,119.5,118.0,119.5,118.0,2234
2020-01-31,118.5,118.0,118.5,118.5,135
2020-02-03,120.5,117.5,119.0,117.5,2032
2020-02-04,121.0,119.0,119.0,119.0,1794
2020-02-05,122.0,120.5,120.5,121.5,2458
2020-02-06,123.0,121.5,122.0,122.0,6089
2020-02-07,122.0,118.5,119.0,122.0,13642
2020-02-10,120.5,118.5,120.5,119.0,2955
2020-02-11,121.0,119.0,120.0,121.0,2982
2020-02-12,155.0,119.0,145.5,119.0,35197
2020-02-13,146.0,144.0,146.0,145.5,45576
2020-02-14,148.5,146.0,148.5,147.0,36304
2020-02-17,149.0,148.0,148.0,148.0,10812
2020-02-18,148.5,147.5,147.5,148.5,12146
2020-02-19,148.0,146.5,146.5,148.0,16428
2020-02-20,147.5,146.5,147.5,147.0,4872
2020-02-21,148.5,146.5,147.5,146.5,10896
2020-02-24,147.5,145.0,147.5,147.5,15477
2020-02-25,147.5,147.0,147.5,147.0,11284
2020-02-26,147.5,145.0,146.5,147.5,10314
2020-02-27,148.0,146.5,147.0,148.0,15564
2020-02-28,147.5,145.5,145.5,147.0,20276
2020-03-02,146.5,142.0,144.5,145.5,28590
2020-03-03,146.5,144.5,146.0,145.5,1446
2020-03-04,145.5,144.5,145.5,145.0,4689
2020-03-05,146.5,144.0,145.0,145.5,9970
2020-03-06,146.0,145.0,145.5,145.0,354
2020-03-09,144.0,142.0,143.5,144.0,10133
2020-03-10,144.0,143.0,143.0,143.5,8340
2020-03-11,143.5,141.0,142.0,143.0,5403
2020-03-12,141.0,132.0,136.0,141.0,20620
2020-03-13,137.0,128.0,137.0,136.0,11970
2020-03-16,137.0,126.0,129.0,136.0,14625
2020-03-17,135.0,125.5,130.0,130.5,3927
2020-03-18,129.0,120.0,127.0,127.0,13628
