Date,High,Low,Close,Open,Volume
2020-01-02,73.5,72.0,73.1,72.6,3612
2020-01-03,72.3,72.2,72.2,72.3,700
2020-01-06,73.0,71.8,72.5,72.2,4043
2020-01-07,73.4,72.0,72.2,72.5,887
2020-01-08,73.3,72.0,73.0,72.2,1023
2020-01-09,73.4,72.2,73.3,72.3,790
2020-01-10,75.6,72.3,73.6,73.4,4640
2020-01-13,75.6,73.6,74.7,75.6,1396
2020-01-14,76.0,73.6,75.8,74.7,2085
2020-01-15,76.3,72.0,76.3,74.8,3663
2020-01-16,77.3,75.8,75.8,76.2,2787
2020-01-17,77.0,73.1,73.7,75.6,4618
2020-01-20,74.4,72.2,72.9,74.0,5879
2020-01-21,73.4,72.2,72.3,72.2,668
2020-01-22,73.7,72.0,73.7,72.5,6375
2020-01-23,73.9,72.5,72.9,73.7,2100
2020-01-24,74.5,72.9,73.3,72.9,3662
2020-01-27,73.9,72.8,72.8,73.3,770
2020-01-28,73.2,72.0,73.2,73.1,1900
2020-01-29,72.9,71.3,72.0,72.2,1191
2020-01-30,72.0,71.2,71.3,71.8,3408
2020-01-31,73.0,71.3,71.5,71.3,3004
2020-02-03,72.6,71.0,72.4,72.6,1964
2020-02-04,73.4,72.0,73.0,73.4,2753
2020-02-05,72.6,70.9,72.0,72.2,1429
2020-02-06,73.1,69.2,73.1,71.9,7039
2020-02-07,73.0,71.5,71.6,72.0,3335
2020-02-10,73.1,70.0,71.2,72.7,3234
2020-02-11,73.1,70.3,71.7,70.3,3457
2020-02-12,77.1,71.8,74.6,71.8,6207
2020-02-13,74.0,72.1,73.8,73.6,1652
2020-02-14,73.8,72.5,73.6,72.8,1334
2020-02-17,74.0,72.5,73.4,72.9,7140
2020-02-18,87.0,75.6,86.0,75.6,41505
2020-02-19,103.2,87.0,88.0,90.1,85454
2020-02-20,90.0,84.0,87.2,90.0,27812
2020-02-21,87.0,83.1,83.6,85.9,6849
2020-02-24,84.6,80.0,82.0,82.1,8313
2020-02-25,83.8,80.0,81.9,82.1,2125
2020-02-26,80.1,76.4,80.1,80.1,12722
2020-02-27,81.0,75.5,75.5,80.0,5328
2020-02-28,80.9,75.5,78.6,75.5,5076
2020-03-02,78.7,76.0,76.0,78.7,2627
2020-03-03,78.7,76.0,76.5,77.4,3008
2020-03-04,80.1,76.6,78.0,76.6,2127
2020-03-05,79.8,78.0,79.0,78.7,2374
2020-03-06,80.0,76.5,76.7,79.8,6521
2020-03-09,75.5,71.0,71.3,75.5,3757
2020-03-10,73.0,72.0,72.0,73.0,1915
2020-03-11,74.1,71.4,72.8,71.4,2000
2020-03-12,71.4,62.0,62.0,71.4,7236
2020-03-13,73.0,62.0,66.5,65.3,2852
2020-03-16,66.4,62.0,62.9,66.4,2709
2020-03-17,65.8,63.0,65.8,65.0,1672
2020-03-18,72.9,63.2,63.2,65.7,3217
2020-03-19,65.8,63.4,63.4,65.8,406
2020-03-20,69.8,63.2,66.9,64.0,2182
2020-03-23,63.7,55.9,57.0,63.0,18477
2020-03-24,60.6,57.3,60.0,59.3,5633
2020-03-25,62.8,58.8,60.0,58.8,3527
2020-03-26,65.0,61.0,61.6,61.1,4439
2020-03-27,65.5,61.4,62.4,61.4,4587
2020-03-30,65.8,62.4,65.8,64.8,1215
2020-03-31,66.0,63.0,63.0,65.7,3458
2020-04-01,65.8,62.6,65.8,62.8,2123
2020-04-02,66.2,63.0,64.6,65.8,1381
2020-04-03,63.2,62.0,63.2,63.2,1603
2020-04-06,63.8,60.0,61.4,61.8,2382
2020-04-07,63.0,60.4,63.0,63.0,3063
2020-04-08,63.6,60.4,62.4,63.6,1282
2020-04-09,62.4,62.4,62.4,62.4,0
2020-04-14,63.6,60.8,63.0,62.0,3978
2020-04-15,63.8,61.6,62.0,61.8,3158
2020-04-16,63.4,62.0,62.8,63.4,1010
2020-04-17,65.8,61.8,64.8,62.8,2143
2020-04-20,68.2,65.0,66.6,66.0,2951
2020-04-21,64.4,61.4,62.8,64.2,2680
2020-04-22,66.4,62.6,64.6,62.6,1361
2020-04-23,65.6,63.0,65.2,64.6,1072
2020-04-24,66.0,62.4,64.6,62.6,1493
2020-04-27,66.8,65.0,66.6,66.6,703
2020-04-28,67.0,62.0,66.0,65.2,5604
2020-04-29,67.0,64.8,66.8,65.8,4815
2020-04-30,69.0,64.0,64.0,66.8,9008
2020-05-01,68.2,64.2,67.4,64.8,4583
2020-05-04,67.0,64.6,64.8,67.0,1064
2020-05-05,66.0,64.8,66.0,66.0,734
2020-05-06,66.0,64.6,65.2,64.6,190
2020-05-07,66.8,64.8,64.8,66.0,1112
2020-05-11,66.8,64.2,65.8,64.6,4296
2020-05-12,65.8,64.2,64.4,64.2,866
2020-05-13,65.6,64.2,64.4,64.2,1349
2020-05-14,65.2,64.0,65.2,64.0,404
2020-05-15,66.0,64.2,64.2,66.0,785
2020-05-18,65.8,64.4,64.4,64.6,3651
2020-05-19,65.6,64.4,64.4,64.4,1165
2020-05-20,65.0,64.0,64.2,64.2,2143
2020-05-25,65.2,64.0,64.4,64.2,1148
2020-05-26,65.2,62.0,64.4,64.2,3067
2020-05-27,66.2,65.0,66.2,65.0,2135
2020-05-28,68.4,65.2,67.8,67.0,4704
2020-05-29,68.0,65.0,67.8,68.0,4489
2020-06-02,68.0,66.0,67.4,66.2,2815
2020-06-03,68.2,66.2,68.0,66.4,4501
2020-06-04,69.0,66.6,68.8,66.6,2910
2020-06-08,74.2,68.8,71.4,69.6,8678
2020-06-09,72.6,68.2,70.2,70.4,3738
2020-06-10,71.4,68.4,68.4,71.0,3037
2020-06-11,70.2,67.8,69.2,68.4,2135
2020-06-12,70.0,66.6,69.0,67.8,2792
2020-06-15,69.2,67.2,69.0,67.4,2195
2020-06-16,70.0,68.2,68.6,69.0,1077
2020-06-17,71.2,68.4,69.8,70.6,1754
2020-06-18,69.8,68.6,69.6,69.8,1863
2020-06-19,69.8,69.6,69.8,69.8,687
2020-06-22,70.0,68.8,68.8,69.0,2009
2020-06-23,70.4,68.8,70.0,68.8,1652
2020-06-24,70.4,68.8,69.0,69.0,936
2020-06-25,70.0,68.8,68.8,68.8,2042
2020-06-26,69.8,68.6,69.8,68.6,3287
2020-06-29,70.2,68.8,69.0,70.2,2284
2020-06-30,70.2,68.6,68.8,68.6,1321
2020-07-01,72.0,68.2,72.0,68.8,6435
