Date,High,Low,Close,Open,Volume
2020-01-02,75.0,68.6,70.6,71.6,4165
2020-01-03,72.8,69.6,69.8,72.6,1559
2020-01-07,70.0,68.6,69.6,70.0,1598
2020-01-08,69.0,67.0,69.0,68.6,1005
2020-01-09,70.0,68.0,70.0,68.2,3486
2020-01-10,71.8,69.0,71.8,70.0,472
2020-01-13,71.6,69.6,71.4,71.6,519
2020-01-14,71.4,69.0,70.8,70.0,2140
2020-01-15,72.2,70.0,72.2,70.8,1588
2020-01-16,70.2,68.0,69.0,70.2,1405
2020-01-17,68.2,68.0,68.0,68.2,502
2020-01-20,69.6,66.8,69.4,69.6,2164
2020-01-21,70.0,69.4,69.4,69.4,3212
2020-01-22,69.4,69.2,69.4,69.4,962
2020-01-23,69.8,69.4,69.8,69.4,4141
2020-01-24,69.8,66.0,68.0,69.8,2598
2020-01-27,69.6,66.0,66.0,68.0,841
2020-01-28,67.0,66.0,67.0,67.0,11451
2020-01-29,67.0,66.0,67.0,67.0,672
2020-01-30,66.8,65.2,66.8,65.2,174
2020-01-31,67.0,65.2,67.0,66.8,8270
2020-02-03,67.0,65.4,65.4,67.0,650
2020-02-04,67.0,65.4,65.4,67.0,255
2020-02-05,64.0,62.4,64.0,64.0,2432
2020-02-06,64.0,62.4,64.0,62.4,1759
2020-02-07,65.8,62.4,64.0,65.8,1078
2020-02-10,64.0,62.2,63.0,62.2,1656
2020-02-11,62.4,60.4,62.4,62.4,1548
2020-02-12,60.8,58.2,60.0,60.4,4535
2020-02-13,63.4,58.4,63.4,60.0,3363
2020-02-14,64.8,59.0,61.0,64.8,1568
2020-02-17,60.2,58.4,60.2,59.8,1233
2020-02-18,60.0,57.4,58.6,58.4,1765
2020-02-19,63.4,60.8,60.8,63.4,7151
2020-02-20,62.4,61.0,62.0,61.0,2783
2020-02-21,64.6,61.0,61.4,62.8,2551
2020-02-24,62.0,57.0,60.8,61.4,3500
2020-02-25,60.0,58.2,60.0,59.0,1520
2020-02-26,60.0,57.0,59.2,60.0,4881
2020-02-27,58.2,55.0,55.6,57.8,1220
2020-02-28,54.0,50.4,51.4,54.0,7804
2020-03-02,52.0,49.9,50.0,51.8,7419
2020-03-03,54.0,51.2,53.6,51.2,3214
2020-03-04,53.0,53.0,53.0,53.0,485
2020-03-05,53.8,52.0,52.0,53.8,806
2020-03-06,52.2,48.6,52.0,50.8,1340
2020-03-09,52.0,45.3,48.7,52.0,6886
2020-03-10,50.8,46.8,48.2,47.3,2279
2020-03-11,50.0,46.8,47.9,46.8,7320
2020-03-12,46.4,40.1,41.5,46.4,5734
2020-03-13,45.0,40.4,43.6,40.4,7742
2020-03-16,42.0,38.1,41.4,41.2,7336
2020-03-17,39.0,36.5,38.9,39.0,10582
2020-03-18,37.9,37.0,37.9,37.9,3912
2020-03-19,50.4,37.0,45.3,37.0,11907
2020-03-20,46.0,44.0,45.5,45.0,2890
2020-03-23,45.5,39.1,40.1,45.5,8526
2020-03-24,42.7,40.1,40.9,40.8,1342
2020-03-25,43.0,41.1,43.0,41.1,1892
2020-03-26,43.0,40.5,41.8,43.0,3180
2020-03-27,46.0,41.6,42.4,41.8,1535
2020-03-30,44.1,41.8,41.9,43.5,683
2020-03-31,44.9,43.1,44.9,43.1,1446
2020-04-01,50.0,43.2,49.4,44.9,9298
