Date,High,Low,Close,Open,Volume
2020-01-02,2.8,2.66,2.72,2.8,84087
2020-01-03,2.7,2.53,2.7,2.7,25611
2020-01-07,2.75,2.57,2.75,2.7,30557
2020-01-08,2.73,2.62,2.67,2.63,27580
2020-01-09,2.73,2.67,2.71,2.7,8375
2020-01-10,2.7,2.65,2.65,2.7,6585
2020-01-13,2.65,2.54,2.56,2.65,34320
2020-01-14,2.56,2.53,2.53,2.56,2047
2020-01-15,2.53,2.51,2.53,2.53,13663
2020-01-16,2.6,2.51,2.51,2.59,9889
2020-01-17,2.6,2.6,2.6,2.6,100
2020-01-20,2.59,2.46,2.59,2.59,4661
2020-01-21,2.6,2.4,2.53,2.6,66486
2020-01-22,2.55,2.5,2.55,2.5,3790
2020-01-23,2.54,2.38,2.44,2.54,32515
2020-01-24,2.54,2.4,2.45,2.41,7800
2020-01-27,2.52,2.47,2.47,2.52,300
2020-01-28,2.52,2.48,2.52,2.5,4310
2020-01-29,2.51,2.4,2.41,2.42,33464
2020-01-30,2.43,2.4,2.4,2.43,22707
2020-01-31,2.5,2.39,2.47,2.39,15861
2020-02-03,2.6,2.42,2.45,2.42,54100
2020-02-04,2.56,2.56,2.56,2.56,1020
2020-02-05,2.56,2.5,2.56,2.55,3510
2020-02-06,2.56,2.5,2.56,2.55,2140
2020-02-07,2.55,2.55,2.55,2.55,150
2020-02-10,2.82,2.5,2.67,2.55,32208
2020-02-11,2.67,2.5,2.57,2.67,42771
2020-02-12,2.59,2.47,2.52,2.59,20510
2020-02-13,2.55,2.4,2.47,2.55,34940
2020-02-14,2.49,2.4,2.47,2.46,37244
2020-02-17,2.48,2.35,2.39,2.38,50456
2020-02-18,2.38,2.23,2.38,2.36,81357
2020-02-19,2.49,2.38,2.38,2.49,12850
2020-02-20,2.44,2.4,2.43,2.44,10304
2020-02-21,2.49,2.3,2.37,2.36,73652
2020-02-24,2.32,2.12,2.25,2.32,64676
2020-02-25,2.48,2.28,2.4,2.28,13356
2020-02-26,2.4,2.25,2.4,2.3,48770
2020-02-27,2.9,2.3,2.32,2.4,302565
2020-02-28,2.36,2.02,2.29,2.32,107464
2020-03-02,2.32,2.04,2.14,2.1,38644
2020-03-03,2.23,2.15,2.19,2.2,23619
2020-03-04,2.74,2.19,2.29,2.19,141933
2020-03-05,2.4,2.21,2.3,2.36,130193
2020-03-06,2.39,2.2,2.24,2.21,101516
2020-03-09,2.1,1.905,1.97,1.905,35398
2020-03-10,2.2,1.905,2.0,1.915,42199
2020-03-11,2.16,1.9,1.9,1.9,17224
2020-03-12,1.805,1.64,1.66,1.8,31552
2020-03-13,1.835,1.565,1.595,1.66,23717
2020-03-16,1.6,1.405,1.6,1.595,55426
2020-03-17,1.65,1.41,1.65,1.595,18582
2020-03-18,1.785,1.62,1.665,1.62,17588
2020-03-19,1.72,1.405,1.555,1.71,50263
2020-03-20,1.78,1.6,1.6,1.78,21555
2020-03-23,1.6,1.415,1.6,1.57,39669
2020-03-24,1.715,1.6,1.69,1.6,3800
2020-03-25,1.9,1.705,1.855,1.71,17921
2020-03-26,1.98,1.705,1.8,1.8,27593
2020-03-27,1.81,1.76,1.76,1.81,37000
2020-03-30,1.85,1.71,1.8,1.77,42042
2020-03-31,1.8,1.78,1.78,1.8,17263
2020-04-01,1.8,1.755,1.8,1.8,4817
2020-04-02,1.8,1.705,1.705,1.8,10314
2020-04-03,1.795,1.7,1.795,1.795,18986
2020-04-06,1.8,1.73,1.73,1.8,1959
2020-04-07,1.8,1.525,1.8,1.73,26361
2020-04-08,1.81,1.75,1.75,1.775,27635
2020-04-09,1.79,1.665,1.71,1.79,115856
2020-04-14,1.75,1.695,1.71,1.7,10799
2020-04-15,1.7,1.68,1.7,1.7,32286
2020-04-16,1.795,1.725,1.755,1.725,54143
2020-04-17,1.78,1.66,1.7,1.78,56588
2020-04-20,1.675,1.56,1.57,1.655,62014
2020-04-21,1.6,1.48,1.56,1.55,74835
2020-04-22,1.56,1.5,1.56,1.5,500
2020-04-23,1.41,1.005,1.055,1.41,624684
2020-04-24,1.095,1.055,1.08,1.055,172180
2020-04-27,1.1,1.005,1.04,1.09,84132
2020-04-28,1.085,1.03,1.04,1.085,24186
2020-04-29,1.06,1.005,1.015,1.045,29035
2020-04-30,1.05,1.0,1.0,1.02,46070
2020-05-04,1.02,1.0,1.015,1.005,35642
2020-05-05,1.02,1.0,1.02,1.015,10605
2020-05-06,1.05,1.005,1.05,1.045,26577
2020-05-07,1.06,1.005,1.05,1.005,65622
2020-05-08,1.03,1.0,1.02,1.03,50000
2020-05-11,1.035,1.0,1.035,1.01,44318
2020-05-12,1.04,1.015,1.04,1.035,13129
2020-05-13,1.025,1.01,1.01,1.025,39000
2020-05-14,1.01,0.952,1.01,0.99,26213
2020-05-15,0.998,0.956,0.996,0.956,22392
2020-05-18,1.01,0.94,0.95,1.01,43801
2020-05-19,0.998,0.95,0.95,0.998,12450
2020-05-20,1.0,0.96,0.982,1.0,4830
2020-05-22,0.988,0.94,0.97,0.94,8050
2020-05-25,1.16,0.96,1.1,0.96,146531
2020-05-26,1.1,1.03,1.075,1.1,41531
2020-05-27,1.075,1.04,1.04,1.075,13628
2020-05-28,1.4,1.065,1.1,1.15,536534
2020-05-29,1.48,1.195,1.42,1.21,752692
2020-06-01,1.57,1.225,1.48,1.415,213679
2020-06-02,1.84,1.49,1.75,1.55,267398
2020-06-03,1.77,1.65,1.75,1.75,198571
2020-06-04,1.8,1.42,1.47,1.8,178614
2020-06-05,1.785,1.46,1.635,1.47,211263
2020-06-08,1.71,1.635,1.635,1.65,124989
2020-06-09,1.67,1.6,1.67,1.63,77115
2020-06-10,1.74,1.67,1.67,1.705,35384
2020-06-11,1.765,1.5,1.585,1.695,105015
2020-06-12,1.595,1.42,1.46,1.595,54601
2020-06-15,1.505,1.415,1.505,1.5,99058
2020-06-16,1.995,1.53,1.785,1.53,178682
2020-06-17,2.99,1.79,2.2,1.79,271607
2020-06-18,2.87,1.92,1.96,2.3,311211
2020-06-22,2.1,1.81,1.915,1.96,170556
2020-06-23,1.905,1.79,1.855,1.905,18704
2020-06-24,1.855,1.75,1.81,1.85,91927
2020-06-25,1.845,1.61,1.845,1.79,87206
2020-06-26,1.845,1.755,1.82,1.845,44656
2020-06-29,1.83,1.71,1.765,1.82,66841
2020-06-30,1.78,1.68,1.71,1.765,75635
2020-07-01,1.75,1.66,1.67,1.745,52756
2020-07-02,1.67,1.56,1.63,1.67,128661
2020-07-03,2.4,1.605,1.79,1.65,147897
2020-07-06,2.19,1.8,1.91,1.825,177668
2020-07-07,1.96,1.8,1.93,1.925,107953
2020-07-08,1.62,1.31,1.615,1.41,4468305
2020-07-09,1.7,1.43,1.455,1.62,1468412
2020-07-10,1.475,1.285,1.385,1.455,2305575
2020-07-13,1.515,1.39,1.5,1.39,1275711
2020-07-14,1.5,1.375,1.42,1.5,707337
