Date,High,Low,Close,Open,Volume
2020-01-02,4.16,4.07,4.09,4.16,32253
2020-01-03,4.13,4.03,4.08,4.09,34269
2020-01-07,4.2,4.1,4.15,4.15,30710
2020-01-08,4.2,4.11,4.13,4.14,36013
2020-01-09,4.2,4.14,4.2,4.15,28226
2020-01-10,4.38,4.2,4.35,4.2,36319
2020-01-13,4.4,4.33,4.35,4.38,20037
2020-01-14,4.4,4.31,4.4,4.35,32454
2020-01-15,4.58,4.4,4.55,4.41,29150
2020-01-16,4.88,4.58,4.8,4.58,42972
2020-01-17,4.9,4.54,4.7,4.85,57375
2020-01-20,4.8,4.68,4.69,4.72,20055
2020-01-21,4.69,4.51,4.54,4.69,21911
2020-01-22,4.75,4.54,4.6,4.54,10741
2020-01-23,4.69,4.5,4.65,4.59,19134
2020-01-24,4.7,4.6,4.61,4.7,7844
2020-01-27,4.65,4.41,4.43,4.65,21831
2020-01-28,4.64,4.46,4.56,4.46,10832
2020-01-29,4.68,4.56,4.59,4.6,6119
2020-01-30,4.65,4.5,4.55,4.56,8600
2020-01-31,4.6,4.5,4.59,4.53,17770
2020-02-03,4.6,4.47,4.58,4.6,20878
2020-02-04,4.68,4.54,4.65,4.58,13314
2020-02-05,4.89,4.65,4.76,4.67,30531
2020-02-06,4.84,4.78,4.81,4.8,55387
2020-02-07,5.2,4.86,4.9,4.93,64940
2020-02-10,4.96,4.74,4.96,4.91,72263
2020-02-11,5.04,4.96,4.96,4.99,22534
2020-02-12,5.04,4.94,4.99,4.96,26367
2020-02-13,5.0,4.87,4.88,5.0,21221
2020-02-14,4.99,4.88,4.89,4.91,14054
2020-02-17,4.98,4.89,4.96,4.89,18532
2020-02-18,5.0,4.86,4.88,5.0,13550
2020-02-19,4.95,4.9,4.95,4.9,7789
2020-02-20,5.04,4.97,4.99,4.99,11500
2020-02-21,5.04,4.97,5.02,4.99,21074
2020-02-24,4.97,4.45,4.64,4.97,85055
2020-02-25,4.6,4.5,4.52,4.6,67489
2020-02-26,4.69,4.3,4.56,4.5,75671
2020-02-27,4.56,4.41,4.42,4.56,11390
2020-02-28,4.73,4.27,4.55,4.27,52146
2020-03-02,4.95,4.55,4.79,4.55,52583
2020-03-03,4.97,4.85,4.85,4.86,20865
2020-03-04,4.89,4.7,4.82,4.86,13474
2020-03-05,4.89,4.72,4.76,4.75,7984
2020-03-06,4.7,4.52,4.69,4.7,29352
2020-03-09,4.5,4.3,4.4,4.5,31137
2020-03-10,4.52,4.36,4.37,4.4,27709
2020-03-11,4.41,4.2,4.2,4.37,36118
2020-03-12,4.1,3.67,3.8,4.1,47225
2020-03-13,4.05,3.7,3.83,3.7,33479
2020-03-16,3.68,3.42,3.48,3.68,44651
2020-03-17,3.65,3.31,3.43,3.48,16728
2020-03-18,3.62,3.3,3.3,3.49,18363
2020-03-19,3.65,3.3,3.43,3.3,17072
2020-03-20,4.0,3.5,3.69,3.5,18151
2020-03-23,3.72,3.4,3.6,3.7,24474
2020-03-24,4.05,3.61,3.72,3.72,16606
2020-03-25,3.99,3.8,3.84,3.99,25801
2020-03-26,3.97,3.74,3.8,3.84,13071
2020-03-27,3.95,3.73,3.73,3.95,12104
2020-03-30,3.88,3.73,3.83,3.87,10766
2020-03-31,4.13,3.89,4.04,3.9,16077
2020-04-01,4.07,3.91,4.07,4.0,3991
2020-04-02,4.23,4.1,4.11,4.23,6122
2020-04-03,4.66,4.23,4.35,4.23,26712
2020-04-06,4.83,4.5,4.66,4.53,34757
2020-04-07,4.88,4.6,4.79,4.88,17161
2020-04-08,4.77,4.66,4.72,4.7,12172
2020-04-09,4.88,4.7,4.7,4.73,11616
2020-04-14,4.8,4.61,4.64,4.77,7240
2020-04-15,4.78,4.23,4.53,4.75,14607
2020-04-16,4.58,4.28,4.35,4.4,27310
2020-04-17,4.58,4.35,4.51,4.35,10836
2020-04-20,4.54,4.39,4.39,4.51,6597
2020-04-21,4.32,4.16,4.21,4.32,8078
2020-04-22,4.32,4.18,4.25,4.18,5607
