Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,56.25,55.65,55.75,55.95,125733
2018-06-07,56.2,55.0,55.0,55.75,230836
2018-06-08,55.7,54.95,55.55,54.95,130620
2018-06-11,55.65,55.3,55.5,55.5,73889
2018-06-12,55.55,54.95,55.0,55.5,106701
2018-06-13,55.35,54.95,55.0,55.0,93132
2018-06-14,55.05,53.6,54.95,54.9,375881
2018-06-15,55.5,54.65,54.8,54.9,199841
2018-06-18,55.2,54.55,55.05,54.85,89046
2018-06-19,55.1,54.45,55.0,54.9,116331
2018-06-20,55.35,54.8,54.9,55.2,75724
2018-06-21,54.85,53.85,54.05,54.85,176317
2018-06-25,53.9,53.05,53.4,53.9,274770
2018-06-26,53.35,52.8,53.15,53.15,219350
2018-06-27,53.65,52.75,53.2,53.1,168177
2018-06-28,53.65,52.85,53.35,53.15,89553
2018-06-29,54.0,53.25,53.75,53.35,130175
2018-07-02,53.75,53.05,53.15,53.75,129369
2018-07-03,53.6,52.8,53.05,53.2,222815
2018-07-04,53.35,53.05,53.15,53.25,70297
2018-07-05,54.0,53.2,54.0,53.2,133033
2018-07-06,55.05,54.1,54.55,54.1,146385
2018-07-09,55.0,54.65,54.8,54.65,113465
2018-07-10,54.8,53.8,54.6,54.75,183736
2018-07-11,54.5,53.9,54.1,54.5,178514
2018-07-12,54.4,53.55,54.3,54.05,195966
2018-07-13,54.85,54.0,54.45,54.3,187888
2018-07-16,55.15,54.45,55.1,54.5,245210
2018-07-17,55.45,54.5,55.0,55.05,130247
2018-07-18,55.3,54.55,54.9,54.8,107690
2018-07-19,54.95,54.3,54.75,54.85,331141
2018-07-20,55.15,54.5,55.05,54.8,122007
2018-07-23,55.25,54.65,54.9,55.05,66560
2018-07-24,55.7,54.55,55.15,54.7,263357
2018-07-25,55.6,55.0,55.35,55.0,157376
2018-07-26,56.8,55.4,56.45,55.45,188420
2018-07-27,56.55,56.1,56.4,56.5,85712
2018-07-30,56.3,55.85,56.15,56.25,57614
2018-07-31,56.5,56.1,56.15,56.15,107044
2018-08-01,56.45,56.15,56.4,56.15,105860
2018-08-02,56.9,56.0,56.6,56.55,123249
2018-08-03,56.85,56.45,56.6,56.65,94446
2018-08-06,56.75,56.2,56.35,56.5,91320
2018-08-07,56.55,56.2,56.45,56.3,98009
2018-08-08,56.7,56.05,56.65,56.5,97146
2018-08-09,56.85,56.45,56.85,56.85,82742
2018-08-10,56.8,56.3,56.6,56.8,97354
2018-08-13,56.55,56.3,56.45,56.35,81256
2018-08-14,56.6,55.75,56.25,56.35,661386
2018-08-15,56.7,56.05,56.25,56.15,83696
2018-08-16,56.9,56.2,56.85,56.25,111180
2018-08-17,57.15,56.55,57.1,56.55,110472
2018-08-20,57.5,56.55,57.45,57.15,113968
2018-08-21,57.95,57.35,57.75,57.45,134124
2018-08-22,58.3,57.65,57.95,57.7,143940
2018-08-23,58.15,57.75,58.05,57.9,98296
2018-08-24,58.15,57.6,57.9,58.1,165104
2018-08-27,58.35,57.55,58.2,57.95,261706
2018-08-28,58.65,58.15,58.6,58.45,136592
2018-08-29,58.8,58.15,58.75,58.65,141361
2018-08-30,58.8,58.25,58.6,58.8,139198
2018-08-31,58.6,57.9,58.4,58.4,171095
2018-09-03,58.8,57.8,58.0,58.55,153302
2018-09-04,59.0,57.55,58.1,58.85,276547
2018-09-05,58.45,57.5,57.6,58.45,162934
2018-09-06,57.9,57.35,57.6,57.6,133047
2018-09-07,57.85,56.75,56.95,57.6,223445
2018-09-10,57.4,56.8,57.05,56.9,86451
2018-09-11,57.4,56.4,56.75,57.25,139686
2018-09-12,57.6,56.85,57.4,56.85,132282
2018-09-13,57.9,57.4,57.55,57.65,804955
2018-09-14,58.4,57.45,58.35,57.45,204367
2018-09-17,58.8,58.2,58.2,58.65,278446
