Date,High,Low,Close,Open,Volume
2020-01-02,454.8,441.2,447.8,441.2,44777
2020-01-03,453.8,448.4,453.0,450.0,54205
2020-01-07,461.8,448.0,452.6,454.0,91519
2020-01-08,451.0,440.4,441.6,444.0,49315
2020-01-09,440.8,429.4,431.8,440.8,96886
2020-01-10,435.8,428.8,433.0,432.4,84784
2020-01-13,439.0,430.6,432.6,435.2,37257
2020-01-14,435.8,421.8,424.2,432.6,43720
2020-01-15,425.0,418.8,420.2,425.0,30714
2020-01-16,423.2,418.0,421.0,418.2,74532
2020-01-17,422.2,412.8,418.4,418.0,151689
2020-01-20,422.0,414.6,416.6,418.8,48709
2020-01-21,417.4,412.6,416.4,416.2,16393
2020-01-22,415.6,409.0,413.0,414.6,85573
2020-01-23,412.2,404.0,407.0,410.4,36831
2020-01-24,410.4,403.0,403.0,408.8,43202
2020-01-27,402.8,384.0,384.0,400.2,82863
2020-01-28,386.8,378.0,385.2,383.0,89317
2020-01-29,390.6,380.8,381.2,387.4,68702
2020-01-30,381.0,374.6,378.6,380.8,76083
2020-01-31,380.8,374.6,376.0,374.6,46419
2020-02-03,375.8,368.2,375.6,375.2,64717
2020-02-04,385.0,371.2,381.2,371.2,60054
2020-02-05,385.0,372.2,379.0,383.0,71739
2020-02-06,388.2,379.2,388.2,379.4,60166
2020-02-07,386.8,368.2,369.0,386.0,132651
2020-02-10,368.0,356.6,362.2,368.0,92751
2020-02-11,374.6,360.4,374.0,365.0,94255
2020-02-12,384.4,369.8,380.0,374.6,80175
2020-02-13,378.8,370.8,374.6,378.0,70323
2020-02-14,379.6,375.6,376.8,376.6,62237
2020-02-17,378.8,373.0,373.2,376.6,32703
2020-02-18,371.2,360.0,360.0,371.2,107873
2020-02-19,364.0,351.2,357.4,362.6,120488
2020-02-20,361.2,355.8,359.4,359.8,96149
2020-02-21,357.4,349.2,350.2,355.8,99390
2020-02-24,346.2,323.2,329.6,346.2,144871
2020-02-25,333.6,313.4,315.8,330.0,161127
2020-02-26,318.4,303.0,316.4,315.0,106726
2020-02-27,312.0,290.0,299.0,312.0,148665
2020-02-28,299.6,285.2,298.4,285.2,202368
2020-03-02,308.8,294.2,298.2,306.0,66900
2020-03-03,308.4,299.8,303.0,304.0,80321
2020-03-04,306.8,295.0,301.8,300.2,85718
2020-03-05,307.4,289.0,289.0,307.0,138334
2020-03-06,292.0,272.4,276.4,292.0,128179
2020-03-09,235.0,201.0,203.0,235.0,351078
2020-03-10,216.4,191.4,195.6,216.4,248364
2020-03-11,201.0,175.0,176.3,201.0,240420
2020-03-12,167.7,152.1,153.8,165.0,188261
2020-03-13,178.0,151.9,153.8,156.2,271245
2020-03-16,151.7,135.1,144.1,151.5,329876
2020-03-17,145.8,130.7,141.6,141.7,196232
2020-03-18,142.0,121.0,123.8,142.0,207578
2020-03-19,129.6,112.0,120.0,129.6,337203
2020-03-20,139.8,125.1,135.0,127.1,609457
2020-03-23,132.1,120.7,122.0,131.1,222641
2020-03-24,139.9,121.0,123.1,139.1,219529
2020-03-25,134.3,123.1,127.5,131.0,265880
2020-03-26,133.9,123.0,132.9,128.3,215181
2020-03-27,135.4,125.4,126.0,135.4,107699
2020-03-30,126.6,115.7,124.0,126.0,236784
2020-03-31,136.0,127.0,129.7,128.1,304254
2020-04-01,134.0,125.0,133.2,128.9,121480
2020-04-02,168.0,135.9,161.5,136.1,276804
2020-04-03,159.0,148.1,155.8,158.0,231575
2020-04-06,174.9,158.2,160.0,174.9,226643
2020-04-07,184.0,165.2,172.4,168.5,295361
2020-04-08,178.9,166.5,170.9,178.0,195931
2020-04-09,170.9,170.9,170.9,170.9,0
2020-04-14,181.8,163.6,166.4,181.8,227039
2020-04-15,167.1,153.0,154.0,166.4,220706
2020-04-16,155.8,144.0,144.4,154.1,248489
2020-04-17,153.1,145.2,145.2,152.0,227075
2020-04-20,148.5,138.4,142.6,148.5,219706
2020-04-21,139.8,130.0,139.0,138.1,203606
2020-04-22,142.3,133.1,138.9,135.1,171428
2020-04-23,158.9,142.2,156.5,142.2,267319
2020-04-24,157.1,148.0,152.2,157.0,171587
2020-04-27,153.6,146.8,150.3,153.1,158575
2020-04-28,151.7,146.5,147.1,150.0,187347
2020-04-29,162.6,146.5,162.6,147.4,307558
2020-04-30,172.0,157.1,160.3,165.7,299020
2020-05-04,152.9,142.2,147.0,150.3,209307
2020-05-05,158.7,149.4,155.4,150.0,247438
2020-05-06,154.7,142.1,144.1,154.7,356197
2020-05-07,151.0,144.1,150.9,145.1,285931
2020-05-08,150.9,150.9,150.9,150.9,0
2020-05-11,156.9,147.0,149.8,152.8,217269
2020-05-12,151.6,146.5,150.0,150.1,144336
2020-05-13,149.1,141.1,142.5,148.8,223540
2020-05-14,141.3,132.1,138.2,141.0,233372
2020-05-15,142.8,135.2,142.0,141.6,189317
2020-05-18,160.0,144.9,160.0,144.9,381945
2020-05-19,164.7,147.6,150.5,162.6,289170
2020-05-20,152.2,146.0,152.0,151.6,174360
2020-05-22,152.0,152.0,152.0,152.0,0
2020-05-25,152.5,148.0,151.9,152.5,101329
2020-05-26,155.0,152.0,153.2,153.5,207487
2020-05-27,163.0,153.0,154.2,160.9,402093
2020-05-28,159.0,153.4,154.2,154.2,225575
2020-05-29,155.0,143.1,146.1,154.4,464735
2020-06-01,146.1,146.1,146.1,146.1,0
2020-06-02,155.8,148.3,154.0,149.1,273078
2020-06-03,167.1,156.7,163.0,156.7,395488
2020-06-04,166.0,155.9,163.5,163.3,182492
2020-06-05,163.5,163.5,163.5,163.5,0
2020-06-08,197.3,169.2,187.6,170.0,630415
2020-06-09,201.0,178.0,189.8,200.0,362543
2020-06-10,193.0,172.9,176.2,191.0,311212
2020-06-11,172.6,162.4,162.8,172.6,289058
2020-06-12,163.9,154.2,159.4,158.6,287465
2020-06-15,158.7,150.7,156.9,154.3,187166
