Date,High,Low,Close,Open,Volume
2020-01-03,33.5,31.8,33.3,31.8,30787
2020-01-07,33.1,31.9,32.7,33.0,21215
2020-01-08,32.9,32.1,32.9,32.7,5083
2020-01-09,33.3,32.5,32.8,32.9,12277
2020-01-10,33.3,32.5,33.0,32.7,8664
2020-01-13,34.2,33.0,33.2,33.0,6517
2020-01-14,33.7,31.9,33.0,33.2,24948
2020-01-15,33.5,32.0,33.0,33.0,6716
2020-01-16,33.8,33.0,33.7,33.0,11344
2020-01-17,33.9,32.6,33.5,33.9,10174
2020-01-20,33.8,33.5,33.5,33.5,8817
2020-01-21,33.3,32.1,32.5,33.3,31119
2020-01-22,33.2,32.4,32.5,32.5,18863
2020-01-23,33.3,31.0,31.7,32.2,31593
2020-01-24,32.6,31.1,32.1,31.7,19164
2020-01-27,32.8,31.2,31.5,32.0,5392
2020-01-28,32.6,31.2,32.3,31.3,4727
2020-01-29,32.3,31.6,31.7,32.3,13383
2020-01-30,31.9,31.0,31.6,31.8,9451
2020-01-31,31.7,31.0,31.7,31.2,17474
2020-02-03,31.1,30.1,30.6,30.9,47594
2020-02-04,31.3,30.5,31.1,30.7,14216
2020-02-05,31.5,30.3,30.3,31.0,12816
2020-02-06,32.0,30.9,32.0,30.9,17570
2020-02-07,31.3,28.9,29.7,31.3,62318
2020-02-10,30.7,28.9,30.3,30.0,42885
2020-02-11,30.9,29.7,30.9,30.0,21660
2020-02-12,30.8,29.8,30.0,30.4,10292
2020-02-13,30.5,29.6,30.3,30.4,22083
2020-02-14,30.5,29.5,29.8,30.4,10558
2020-02-17,30.0,29.1,29.5,29.8,41137
2020-02-18,29.2,28.5,29.0,28.8,5882
2020-02-19,29.1,28.3,28.9,29.0,19466
2020-02-20,29.8,28.4,29.4,28.9,5744
2020-02-21,29.4,28.4,29.0,29.4,18446
2020-02-24,28.8,27.5,27.8,28.2,9091
2020-02-25,28.0,27.3,27.5,27.8,19162
2020-02-26,27.9,26.3,27.9,27.5,20451
2020-02-27,27.6,26.4,26.4,27.6,16188
2020-02-28,26.1,24.6,25.5,26.0,30892
2020-03-02,26.0,25.0,25.6,25.3,21627
2020-03-03,27.1,26.1,26.5,26.5,30893
2020-03-04,27.6,26.2,27.5,26.6,17958
2020-03-05,27.5,25.7,26.4,27.5,12731
2020-03-06,25.7,24.6,25.4,25.7,10458
2020-03-09,25.0,23.5,24.5,24.2,9226
2020-03-10,25.5,24.1,24.7,24.5,13130
2020-03-11,24.9,23.4,23.4,24.1,11014
2020-03-12,22.2,20.2,20.2,22.2,17834
2020-03-13,23.0,19.5,22.3,20.2,35092
2020-03-16,22.2,19.0,19.25,22.2,22438
2020-03-17,20.0,18.0,18.5,18.9,19505
2020-03-18,18.6,17.55,18.0,18.5,19048
2020-03-19,19.35,17.55,17.6,18.05,8495
2020-03-20,20.5,18.05,20.2,18.05,37382
2020-03-23,19.6,18.0,18.55,19.6,21006
2020-03-24,19.95,18.55,19.95,18.55,18995
2020-03-25,20.2,18.7,19.15,19.5,30817
2020-03-26,20.7,18.1,19.0,19.2,36538
2020-03-27,19.15,18.1,18.55,18.6,41773
2020-03-30,19.0,18.1,18.7,18.15,22577
2020-03-31,19.8,18.0,18.95,19.0,52666
2020-04-01,19.25,18.0,19.1,18.0,9964
2020-04-02,19.2,18.5,19.0,18.5,1384
2020-04-03,19.5,18.5,19.5,19.0,12647
2020-04-06,20.2,19.2,19.8,19.5,6060
2020-04-07,22.4,19.95,21.7,19.95,19575
2020-04-08,22.1,20.0,20.8,21.3,22431
2020-04-09,21.8,21.2,21.8,21.2,9235
2020-04-14,22.6,20.7,22.3,21.8,16410
2020-04-15,22.7,20.6,21.1,22.1,8724
2020-04-16,21.0,20.6,20.6,20.9,1511
2020-04-17,21.7,20.7,21.7,20.7,15832
2020-04-20,21.6,20.1,20.8,21.4,17364
2020-04-21,20.7,19.9,19.9,20.7,9405
2020-04-22,21.7,20.2,21.0,20.2,12271
2020-04-23,21.7,20.6,21.1,21.0,14633
2020-04-24,21.3,19.85,20.1,20.4,30326
2020-04-27,21.2,20.2,20.3,20.2,20734
2020-04-28,20.8,20.0,20.5,20.4,6704
2020-04-29,21.0,20.5,20.6,20.5,7300
2020-04-30,21.3,20.8,20.8,21.3,3455
2020-05-04,20.5,19.6,20.1,20.5,21420
2020-05-05,20.7,20.1,20.4,20.1,1477
2020-05-06,20.5,19.75,19.9,20.5,4707
2020-05-07,20.7,19.65,20.7,19.65,20277
2020-05-08,25.4,22.0,23.5,22.0,68976
2020-05-11,24.1,22.5,23.0,23.8,10453
2020-05-12,23.0,22.5,22.8,23.0,6651
2020-05-13,22.5,22.0,22.1,22.5,2174
2020-05-14,22.5,21.2,21.2,21.6,31140
2020-05-15,22.4,21.4,21.5,21.4,16126
2020-05-18,22.3,21.3,21.6,21.3,17294
2020-05-19,21.6,20.9,21.6,21.2,15852
2020-05-20,23.8,21.2,21.2,21.8,19968
2020-05-22,23.1,21.0,22.4,21.2,19173
2020-05-25,23.0,21.2,21.5,22.8,49365
2020-05-26,21.9,21.5,21.8,21.5,7286
2020-05-27,22.6,21.6,22.2,21.6,6621
2020-05-28,22.8,22.1,22.4,22.8,1131
2020-05-29,22.5,21.3,21.4,22.4,16461
2020-06-01,22.5,21.4,21.5,21.6,28277
2020-06-02,22.0,21.6,21.6,21.9,3361
2020-06-03,23.7,21.5,23.0,21.5,23642
2020-06-04,24.6,23.0,23.0,23.4,22634
2020-06-05,23.3,22.8,22.8,23.0,5946
2020-06-08,24.4,23.0,23.5,23.0,13869
2020-06-09,23.5,22.4,22.4,23.5,6683
2020-06-10,22.8,21.6,22.1,22.8,4735
2020-06-11,24.9,21.2,23.3,21.6,40137
2020-06-12,24.2,22.5,23.9,23.8,5882
2020-06-15,25.1,22.5,25.1,23.9,22298
2020-06-16,25.3,23.3,24.6,24.5,57639
2020-06-17,25.2,23.4,24.0,24.7,16827
2020-06-18,24.3,23.7,24.1,24.0,6171
