Date,High,Low,Close,Open,Volume
2020-01-02,11.85,11.1,11.85,11.7,17410
2020-01-03,11.7,11.45,11.7,11.5,9561
2020-01-06,12.2,11.45,11.45,12.15,14355
2020-01-07,11.45,11.3,11.45,11.45,15471
2020-01-08,11.75,11.5,11.5,11.5,9774
2020-01-09,11.9,11.5,11.65,11.55,7259
2020-01-10,12.0,11.75,11.95,12.0,16130
2020-01-13,16.5,11.95,15.5,12.0,88762
2020-01-14,17.5,15.0,16.1,16.2,127198
2020-01-15,17.1,15.65,16.55,17.0,57273
2020-01-16,16.9,15.4,16.3,16.7,19328
2020-01-17,16.95,15.7,16.45,16.95,22870
2020-01-20,16.45,15.95,16.0,16.45,12226
2020-01-21,16.85,15.9,16.05,16.1,35257
2020-01-22,17.0,15.9,16.3,16.2,24156
2020-01-23,16.3,15.35,15.35,16.3,23807
2020-01-24,16.4,15.2,16.1,15.2,16088
2020-01-27,16.25,14.5,15.95,15.5,13879
2020-01-28,15.95,14.4,15.7,15.95,11036
2020-01-29,15.7,14.55,15.65,14.55,5996
2020-01-30,15.6,14.2,14.8,14.75,19936
2020-01-31,16.0,13.8,14.15,14.75,12478
2020-02-03,14.6,13.35,14.0,13.9,18933
2020-02-04,15.5,14.0,14.9,14.0,6981
2020-02-05,14.9,14.1,14.45,14.5,7740
2020-02-06,14.95,14.25,14.85,14.25,3340
2020-02-07,14.0,13.2,14.0,14.0,46584
2020-02-10,14.0,12.15,13.25,12.15,29182
2020-02-11,14.85,12.95,14.75,12.95,11373
2020-02-12,14.65,13.05,13.9,14.65,10060
2020-02-13,14.45,13.5,14.15,14.0,4966
2020-02-14,15.75,14.15,14.4,14.2,29188
2020-02-17,15.25,13.45,14.85,14.3,8106
2020-02-18,14.9,14.1,14.8,14.9,17815
2020-02-19,14.9,14.0,14.2,14.0,6911
2020-02-20,15.4,14.15,14.7,14.2,22994
2020-02-21,15.1,14.25,14.8,15.1,5149
2020-02-24,15.05,13.5,13.85,14.8,15627
2020-02-25,14.0,12.1,12.9,14.0,37206
2020-02-26,12.85,11.1,11.75,12.5,13483
2020-02-27,12.2,9.5,10.75,12.2,38786
2020-02-28,12.9,10.0,12.9,10.45,18747
2020-03-02,12.9,11.0,11.95,12.9,15792
2020-03-03,11.95,11.4,11.6,11.95,5895
2020-03-04,11.75,11.0,11.5,11.6,5256
2020-03-05,11.55,10.8,11.15,11.45,15532
2020-03-06,10.9,9.5,10.5,10.7,31265
2020-03-09,11.0,8.0,10.45,9.0,21747
2020-03-10,10.45,9.5,10.0,10.45,10378
2020-03-11,10.0,9.52,9.52,10.0,3535
2020-03-12,9.42,7.0,7.26,9.42,50785
2020-03-13,9.0,7.5,7.52,9.0,17172
2020-03-16,8.42,6.66,7.24,8.26,9688
2020-03-17,8.0,6.8,7.4,7.2,12342
2020-03-18,8.9,7.4,8.32,7.4,32281
2020-03-19,8.74,7.78,8.0,8.74,9679
2020-03-20,8.78,7.98,8.0,8.1,6652
2020-03-23,8.8,7.88,7.88,8.0,6048
2020-03-24,10.0,8.0,9.0,8.3,19627
2020-03-25,9.78,8.72,8.9,9.0,12603
2020-03-26,8.98,8.4,8.7,8.9,17068
2020-03-27,9.4,8.3,9.28,9.4,2991
2020-03-30,8.92,8.2,8.3,8.92,29728
2020-03-31,9.28,8.7,8.88,8.7,6344
2020-04-01,9.4,8.48,9.26,9.0,12448
2020-04-02,10.25,9.2,9.28,9.2,17931
2020-04-03,10.9,9.7,10.2,9.96,17493
2020-04-06,11.0,10.0,10.4,10.0,17504
2020-04-07,11.25,10.0,10.65,10.45,15173
2020-04-08,10.95,10.2,10.85,10.65,3097
2020-04-09,10.85,10.85,10.85,10.85,0
2020-04-14,11.6,10.45,11.15,11.05,16995
2020-04-15,11.5,10.25,10.3,11.5,32954
2020-04-16,10.9,9.62,10.7,10.8,15479
2020-04-17,11.5,10.35,11.5,10.5,43327
2020-04-20,13.0,11.0,12.75,11.5,21394
2020-04-21,12.75,10.6,12.0,12.75,16640
2020-04-22,12.0,11.05,12.0,11.9,3914
2020-04-23,12.5,10.8,12.1,12.0,7050
2020-04-24,13.45,11.9,12.4,11.9,10770
2020-04-27,13.5,11.5,12.3,13.5,35508
2020-04-28,13.05,11.4,11.6,13.05,4111
2020-04-29,12.4,11.0,12.0,11.3,24518
2020-04-30,12.25,10.5,12.25,11.75,17426
2020-05-04,12.1,11.8,12.0,12.1,4729
2020-05-05,12.15,11.6,12.1,11.6,3987
2020-05-06,13.0,10.5,11.0,11.9,13886
2020-05-07,12.8,11.5,11.85,12.25,32936
2020-05-08,12.45,11.5,11.7,12.0,7149
2020-05-11,12.4,11.65,12.0,11.65,16262
2020-05-12,12.4,12.3,12.3,12.4,2598
2020-05-13,12.3,11.55,11.95,12.3,2119
2020-05-14,12.3,11.35,11.95,12.3,1112
2020-05-15,12.2,10.65,11.95,12.2,20152
2020-05-18,12.3,11.75,12.05,11.95,9372
2020-05-19,13.85,12.0,12.25,12.4,58322
2020-05-20,14.0,12.3,13.15,12.3,28270
2020-05-22,13.0,11.55,12.9,13.0,17703
2020-05-25,13.0,11.3,11.3,12.95,18467
2020-05-26,12.75,11.7,12.3,12.7,13703
2020-05-27,12.5,12.4,12.5,12.5,6120
2020-05-28,12.65,12.0,12.0,12.65,5208
2020-05-29,12.75,11.75,12.4,12.75,4979
2020-06-02,12.6,12.1,12.6,12.1,3407
2020-06-03,12.65,11.85,12.35,12.65,6986
2020-06-04,12.7,12.0,12.7,12.3,10048
2020-06-05,12.65,12.0,12.4,12.0,19778
2020-06-08,12.85,12.4,12.75,12.8,13443
2020-06-09,12.75,12.4,12.4,12.75,16548
2020-06-10,14.0,12.1,13.0,12.1,31271
2020-06-11,13.0,12.7,12.7,12.7,19656
2020-06-12,13.5,12.3,13.0,12.3,24783
2020-06-15,13.3,12.5,13.3,13.0,10641
2020-06-16,14.0,13.5,13.65,13.5,7717
2020-06-17,15.5,14.0,14.8,14.0,39399
2020-06-18,15.8,12.5,14.5,14.9,27171
2020-06-19,15.15,15.0,15.0,15.0,14823
2020-06-22,15.4,13.75,14.6,15.0,15943
2020-06-23,15.5,14.45,15.0,15.5,20061
2020-06-24,16.0,15.0,15.95,15.0,8165
2020-06-25,16.2,15.35,15.9,16.0,14433
2020-06-26,15.8,14.0,14.9,14.05,5631
2020-06-29,14.9,13.4,14.0,14.9,20157
2020-06-30,14.25,13.2,13.5,14.25,7743
2020-07-01,14.15,13.5,14.1,14.15,4738
2020-07-02,14.1,13.8,14.1,14.0,4362
2020-07-03,14.15,13.5,13.95,14.15,4382
2020-07-06,14.1,13.05,13.95,13.5,6865
2020-07-07,13.9,12.5,12.65,13.65,31681
2020-07-08,13.8,12.5,13.8,12.7,13451
2020-07-09,13.6,12.8,13.2,13.6,10551
2020-07-10,13.2,12.8,12.85,13.2,5933
2020-07-13,13.55,12.7,13.3,13.0,10307
2020-07-14,13.1,12.8,12.8,13.1,9474
2020-07-15,13.4,12.75,13.0,13.4,4190
2020-07-16,13.1,12.5,13.1,12.5,12101
2020-07-17,13.7,12.65,13.45,12.65,9135
2020-07-20,13.65,12.85,13.15,13.2,9013
2020-07-21,13.4,12.65,12.9,12.65,5959
2020-07-22,13.2,12.7,12.95,13.2,3995
2020-07-23,13.35,12.65,13.35,12.95,15465
2020-07-24,13.35,12.65,13.1,13.35,15866
2020-07-27,13.05,12.5,12.9,12.95,5236
2020-07-28,12.95,12.45,12.8,12.65,5655
2020-07-29,12.8,12.3,12.8,12.5,11026
2020-07-30,12.9,12.5,12.5,12.9,6391
2020-07-31,12.65,12.4,12.65,12.45,3327
2020-08-03,12.85,12.05,12.85,12.1,11728
2020-08-04,12.85,12.25,12.7,12.85,2143
2020-08-05,12.75,12.5,12.75,12.75,1875
2020-08-06,12.5,12.5,12.5,12.5,2176
2020-08-07,12.7,12.5,12.7,12.7,5518
2020-08-10,12.85,12.65,12.85,12.85,8174
2020-08-11,13.15,12.65,12.95,12.85,3915
2020-08-12,12.95,12.55,12.7,12.6,3128
2020-08-13,13.05,12.5,13.0,12.5,3362
2020-08-14,13.1,12.7,13.0,13.05,17742
2020-08-17,12.8,12.1,12.1,12.75,19062
2020-08-18,12.85,11.75,12.85,12.0,18707
2020-08-19,12.95,12.35,12.7,12.85,18275
2020-08-20,12.8,12.1,12.75,12.45,4963
2020-08-21,12.7,11.95,11.95,12.5,14737
2020-08-24,12.65,11.9,12.2,12.65,2596
2020-08-25,13.85,12.2,12.85,12.3,75997
2020-08-26,13.75,12.1,12.25,13.75,17206
2020-08-27,13.1,12.35,12.5,13.1,6361
2020-08-28,12.95,12.3,12.45,12.95,3889
2020-08-31,13.85,12.2,12.8,12.45,11551
2020-09-01,12.8,12.15,12.55,12.8,10437
2020-09-02,12.8,12.4,12.7,12.8,3526
2020-09-03,12.8,12.4,12.6,12.8,1174
2020-09-04,12.5,12.2,12.5,12.2,9654
2020-09-07,12.55,12.2,12.4,12.2,3975
2020-09-08,12.4,12.2,12.35,12.2,1720
2020-09-09,12.4,12.2,12.25,12.4,9099
2020-09-10,12.45,12.2,12.4,12.2,885
2020-09-11,12.5,12.25,12.35,12.5,2430
2020-09-14,12.35,11.55,12.3,12.3,3541
