Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-05-09,0.515,0.515,0.515,0.515,0
2018-06-05,0.398,0.398,0.398,0.398,260
2018-06-07,0.39,0.35,0.35,0.39,11852
2018-06-08,0.396,0.396,0.396,0.396,7800
2018-06-11,0.378,0.36,0.378,0.36,13000
2018-06-12,0.378,0.378,0.378,0.378,0
2018-06-13,0.37,0.314,0.322,0.314,27600
2018-06-14,0.322,0.322,0.322,0.322,0
2018-06-15,0.314,0.314,0.314,0.314,250
2018-06-18,0.392,0.36,0.36,0.392,4408
2018-06-19,0.36,0.36,0.36,0.36,0
2018-06-20,0.31,0.31,0.31,0.31,19790
2018-06-21,0.314,0.31,0.31,0.314,20290
2018-06-25,0.344,0.344,0.344,0.344,1500
2018-06-26,0.344,0.344,0.344,0.344,0
2018-06-27,0.344,0.344,0.344,0.344,0
2018-06-28,0.338,0.338,0.338,0.338,499
2018-06-29,0.32,0.32,0.32,0.32,20000
2018-07-02,0.32,0.32,0.32,0.32,0
2018-07-03,0.32,0.32,0.32,0.32,0
2018-07-04,0.32,0.32,0.32,0.32,0
2018-07-05,0.32,0.32,0.32,0.32,0
2018-07-06,0.35,0.344,0.35,0.348,35500
2018-07-09,0.35,0.35,0.35,0.35,86
2018-07-10,0.35,0.202,0.35,0.202,101
2018-07-11,0.27,0.262,0.27,0.262,1110
2018-07-12,0.27,0.27,0.27,0.27,0
2018-07-13,0.41,0.282,0.4,0.282,52665
2018-07-16,0.392,0.29,0.3,0.392,29020
2018-07-17,0.39,0.39,0.39,0.39,11100
2018-07-18,0.378,0.282,0.378,0.282,5100
2018-07-19,0.376,0.268,0.35,0.268,31315
2018-07-20,0.35,0.3,0.35,0.3,1151
2018-07-23,0.32,0.292,0.32,0.292,11500
2018-07-24,0.39,0.296,0.39,0.296,1795
2018-07-25,0.392,0.3,0.392,0.3,29500
2018-07-26,0.392,0.392,0.392,0.392,0
2018-07-27,0.45,0.35,0.45,0.392,203050
2018-07-30,0.458,0.45,0.45,0.45,40209
2018-07-31,0.45,0.45,0.45,0.45,0
2018-08-01,0.45,0.45,0.45,0.45,0
2018-08-02,0.45,0.45,0.45,0.45,0
2018-08-03,0.45,0.45,0.45,0.45,1901
2018-08-06,0.47,0.4,0.4,0.4,21350
2018-08-07,0.41,0.41,0.41,0.41,10000
2018-08-08,0.41,0.41,0.41,0.41,2000
2018-08-09,0.45,0.45,0.45,0.45,1000
2018-08-10,0.468,0.284,0.45,0.284,36000
2018-08-13,0.45,0.31,0.448,0.45,31020
2018-08-14,0.444,0.318,0.444,0.318,40711
2018-08-15,1.0,0.324,0.52,0.324,864933
2018-08-16,0.55,0.41,0.45,0.55,194760
2018-08-17,0.46,0.45,0.46,0.45,13412
2018-08-20,0.5,0.402,0.5,0.46,51005
2018-08-21,0.595,0.42,0.595,0.52,100843
2018-08-22,0.54,0.456,0.52,0.5,73155
2018-08-23,0.545,0.464,0.54,0.53,12510
2018-08-24,0.5,0.464,0.468,0.5,118675
2018-08-27,0.488,0.412,0.466,0.412,20210
2018-08-28,0.496,0.47,0.496,0.47,10950
2018-08-29,0.62,0.48,0.59,0.52,44022
2018-08-30,0.82,0.54,0.69,0.54,292510
2018-08-31,0.67,0.5,0.61,0.67,85673
2018-09-03,0.595,0.52,0.595,0.585,22347
2018-09-04,0.645,0.535,0.55,0.645,14200
2018-09-05,0.75,0.55,0.75,0.55,109017
2018-09-06,0.77,0.59,0.59,0.75,82308
2018-09-07,0.74,0.595,0.65,0.595,89125
2018-09-10,0.7,0.55,0.65,0.65,62529
2018-09-11,0.85,0.7,0.85,0.7,182806
2018-09-12,1.1,0.76,1.0,0.85,206227
2018-09-13,1.5,1.0,1.45,1.15,445771
2018-09-14,1.4,1.0,1.2,1.38,131562
2018-09-17,1.2,1.0,1.12,1.15,138825
2018-09-18,1.35,0.935,1.1,1.12,87636
2018-09-19,1.3,0.975,1.05,1.3,23214
2018-09-20,1.01,1.0,1.0,1.01,5835
2018-09-21,0.98,0.915,0.915,0.94,31400
2018-09-24,0.86,0.8,0.8,0.86,11575
2018-09-25,0.8,0.64,0.78,0.8,108794
2018-09-26,1.0,0.795,1.0,0.795,63159
2018-09-27,1.0,0.8,0.99,1.0,45912
2018-09-28,0.96,0.795,0.96,0.835,28813
2018-10-01,1.0,0.805,0.865,0.96,66585
2018-10-02,0.865,0.85,0.86,0.865,5753
2018-10-03,0.86,0.86,0.86,0.86,5500
2018-10-04,0.915,0.81,0.825,0.81,10220
2018-10-05,0.9,0.8,0.8,0.805,21098
2018-10-08,0.95,0.5,0.795,0.8,109534
2018-10-09,0.96,0.795,0.81,0.93,36150
2018-10-10,1.38,0.855,1.01,0.855,564125
2018-10-11,1.35,1.01,1.12,1.12,214587
2018-10-12,1.6,1.13,1.25,1.13,484866
2018-10-15,1.5,1.18,1.34,1.25,97777
2018-10-16,1.9,1.0,1.25,1.34,840406
2018-10-17,1.24,1.0,1.14,1.23,333008
2018-10-18,1.19,1.0,1.0,1.14,206878
2018-10-19,1.04,0.94,1.03,1.04,65305
2018-10-22,1.18,1.02,1.15,1.03,28915
2018-10-23,1.14,0.95,1.02,1.04,37704
2018-10-24,1.03,0.98,1.02,1.03,10428
2018-10-25,1.12,1.0,1.05,1.12,2570
2018-10-26,1.14,0.805,0.925,1.05,165481
2018-10-29,0.985,0.855,0.905,0.975,102555
2018-10-30,0.905,0.85,0.88,0.905,26172
2018-10-31,1.0,0.88,0.95,0.88,45398
2018-11-01,1.0,0.845,0.9,0.95,31062
2018-11-02,0.93,0.92,0.93,0.92,7260
2018-11-05,0.93,0.875,0.88,0.93,53066
2018-11-06,0.885,0.86,0.86,0.885,4000
2018-11-07,0.925,0.88,0.9,0.88,7116
2018-11-08,0.89,0.6,0.735,0.825,77013
2018-11-09,0.7,0.65,0.67,0.7,39310
2018-11-12,0.71,0.685,0.71,0.685,18663
2018-11-13,0.705,0.625,0.655,0.705,26840
2018-11-14,0.645,0.55,0.6,0.645,135308
2018-11-15,0.69,0.59,0.675,0.595,41875
2018-11-16,0.595,0.525,0.53,0.595,97053
2018-11-19,0.56,0.51,0.54,0.53,30596
2018-11-20,0.54,0.5,0.5,0.54,49805
2018-11-21,0.56,0.5,0.5,0.56,4278
2018-11-22,0.56,0.515,0.515,0.56,10400
2018-11-23,0.535,0.52,0.535,0.52,27003
