Date,Closing price,50,200
2018-06-04,17.3,,
2018-06-05,17.0,,
2018-06-07,16.8,,
2018-06-08,16.15,,
2018-06-11,17.1,,
2018-06-12,17.0,,
2018-06-13,16.3,,
2018-06-14,16.2,,
2018-06-15,16.5,,
2018-06-18,15.9,,
2018-06-19,16.25,,
2018-06-20,16.95,,
2018-06-21,16.6,,
2018-06-25,16.95,,
2018-06-26,17.1,,
2018-06-27,17.1,,
2018-06-28,17.1,,
2018-06-29,17.8,,
2018-07-02,18.05,,
2018-07-03,17.95,,
2018-07-04,18.0,,
2018-07-05,17.9,,
2018-07-06,17.65,,
2018-07-09,17.9,,
2018-07-10,18.25,,
2018-07-11,18.4,,
2018-07-12,18.25,,
2018-07-13,18.4,,
2018-07-16,18.6,,
2018-07-17,18.6,,
2018-07-18,18.55,,
2018-07-19,18.35,,
2018-07-20,18.55,,
2018-07-23,18.55,,
2018-07-24,18.45,,
2018-07-25,18.4,,
2018-07-26,18.5,,
2018-07-27,18.45,,
2018-07-30,18.45,,
2018-07-31,18.45,,
2018-08-01,18.35,,
2018-08-02,18.25,,
2018-08-03,18.25,,
2018-08-06,18.25,,
2018-08-07,18.4,,
2018-08-08,17.85,,
2018-08-09,17.85,,
2018-08-10,17.55,,
2018-08-13,17.4,,
2018-08-14,17.25,,
2018-08-15,18.3,,
2018-08-16,17.4,,
2018-08-17,17.85,,
2018-08-20,17.85,,
2018-08-21,17.8,,
2018-08-22,17.8,,
2018-08-23,17.7,,
2018-08-24,17.25,,
2018-08-27,17.75,,
2018-08-28,17.5,,
2018-08-29,17.75,,
2018-08-30,17.0,,
2018-08-31,17.2,,
2018-09-03,16.9,,
2018-09-04,17.55,,
2018-09-05,16.9,,
2018-09-06,17.35,,
2018-09-07,17.45,,
2018-09-10,17.25,,
2018-09-11,17.15,,
2018-09-12,17.0,,
2018-09-13,17.2,,
2018-09-14,17.45,,
2018-09-17,17.0,,
2018-09-18,17.3,,
2018-09-19,17.25,,
2018-09-20,17.5,,
2018-09-21,17.2,,
2018-09-24,17.45,,
2018-09-25,18.05,,
2018-09-26,17.25,,
2018-09-27,17.75,,
2018-09-28,17.55,,
2018-10-01,17.65,,
2018-10-02,17.85,,
2018-10-03,17.7,,
2018-10-04,17.7,,
2018-10-05,17.9,,
2018-10-08,18.25,,
2018-10-09,17.4,,
2018-10-10,17.7,,
2018-10-11,17.35,,
2018-10-12,17.55,,
2018-10-15,18.0,,
2018-10-16,17.85,,
2018-10-17,17.8,,
2018-10-18,17.5,,
2018-10-19,17.9,,
2018-10-22,17.55,,
2018-10-23,17.95,,
2018-10-24,17.95,,
2018-10-25,17.9,,
2018-10-26,17.75,,
2018-10-29,17.85,,
2018-10-30,18.1,,
2018-10-31,18.2,,
2018-11-01,18.0,,
2018-11-02,18.5,,
2018-11-05,18.25,,
2018-11-06,17.7,,
2018-11-07,18.45,,
2018-11-08,18.45,,
2018-11-09,18.0,,
2018-11-12,18.0,,
2018-11-13,18.0,,
2018-11-14,17.95,,
2018-11-15,17.9,,
2018-11-16,17.85,,
2018-11-19,18.0,,
2018-11-20,18.0,,
2018-11-21,17.25,,
2018-11-22,17.9,,
2018-11-23,18.3,,
2018-11-26,18.05,,
2018-11-27,18.15,,
2018-11-28,18.05,,
2018-11-29,18.05,,
2018-11-30,17.9,,
2018-12-03,18.1,,
2018-12-04,18.0,,
2018-12-05,18.0,,
2018-12-06,17.95,,
2018-12-07,17.95,,
2018-12-10,17.9,,
2018-12-11,18.0,,
2018-12-12,17.9,,
2018-12-13,17.9,,
2018-12-14,17.75,,
2018-12-17,17.9,,
2018-12-18,18.0,,
2018-12-19,17.8,,
2018-12-20,17.8,,
2018-12-21,17.75,,
2018-12-27,17.75,,
2018-12-28,17.4,,
2019-01-02,16.6,,
2019-01-03,16.9,,
2019-01-04,17.15,,
2019-01-07,17.45,,
2019-01-08,16.6,,
2019-01-09,17.5,,
2019-01-10,17.45,,
2019-01-11,17.4,,
2019-01-14,17.85,,
2019-01-15,18.0,,
2019-01-16,17.9,,
2019-01-17,18.2,,
2019-01-18,18.2,,
2019-01-21,18.3,,
2019-01-22,18.05,,
2019-01-23,18.0,,
2019-01-24,17.95,,
2019-01-25,18.3,,
2019-01-28,18.55,,
2019-01-29,18.5,,
2019-01-30,18.5,,
2019-01-31,18.55,,
2019-02-01,18.7,,
2019-02-04,18.9,,
2019-02-05,18.8,,
2019-02-06,19.0,,
2019-02-07,19.3,,
2019-02-08,19.3,,
2019-02-11,19.3,,
2019-02-12,19.5,,
2019-02-13,19.85,,
2019-02-14,19.6,,
2019-02-15,19.85,,
2019-02-18,19.6,,
2019-02-19,20.3,,
2019-02-20,20.2,,
2019-02-21,20.3,,
2019-02-22,19.75,,
2019-02-25,20.2,,
2019-02-26,19.9,,
2019-02-27,20.3,,
2019-02-28,20.2,,
2019-03-01,20.0,,
2019-03-04,20.0,,
2019-03-05,20.0,,
2019-03-06,19.95,,
2019-03-07,19.85,,
2019-03-08,19.85,,
2019-03-11,19.8,,
2019-03-12,20.0,,
2019-03-13,19.75,,
2019-03-14,19.8,,
2019-03-15,19.95,,
2019-03-18,19.9,,
2019-03-19,20.9,,
2019-03-20,21.3,,
2019-03-21,21.4,,
2019-03-22,20.7,,
2019-03-25,20.3,,
2019-03-26,20.7,,
2019-03-27,20.0,,
2019-03-28,20.9,,
2019-03-29,20.6,,
2019-04-01,21.0,,
2019-04-02,20.9,,
2019-04-03,21.1,,
2019-04-04,20.9,,
2019-04-05,21.3,,
2019-04-08,21.2,,
2019-04-09,21.15,,
2019-04-10,21.4,,
2019-04-11,21.4,,
2019-04-12,21.7,,
2019-04-15,22.0,,
2019-04-16,22.3,,
2019-04-17,21.5,,
2019-04-18,21.8,,
