Date,High,Low,Close,Open,Volume
2020-01-02,0.97,0.852,0.882,0.97,15744
2020-01-03,0.98,0.774,0.972,0.96,53841
2020-01-07,0.98,0.838,0.972,0.966,33101
2020-01-08,0.972,0.8,0.948,0.972,33904
2020-01-09,0.946,0.822,0.86,0.906,65530
2020-01-10,0.86,0.828,0.85,0.86,34864
2020-01-13,0.864,0.85,0.85,0.85,18543
2020-01-14,0.85,0.812,0.85,0.848,13066
2020-01-15,0.83,0.78,0.782,0.81,14745
2020-01-16,0.908,0.808,0.808,0.84,27227
2020-01-17,0.85,0.794,0.85,0.808,16200
2020-01-20,0.85,0.794,0.794,0.85,4313
2020-01-21,0.792,0.74,0.792,0.79,5240
2020-01-22,0.83,0.792,0.83,0.792,5019
2020-01-23,0.84,0.612,0.75,0.83,37341
2020-01-24,0.8,0.682,0.75,0.75,11000
2020-01-27,0.838,0.75,0.76,0.774,12034
2020-01-28,0.92,0.824,0.9,0.824,60189
2020-01-29,0.9,0.7,0.878,0.9,21288
2020-01-30,0.98,0.802,0.832,0.9,99222
2020-01-31,0.876,0.802,0.876,0.802,3769
2020-02-03,0.876,0.75,0.838,0.876,13645
2020-02-04,0.6,0.534,0.572,0.58,1584331
2020-02-05,0.598,0.572,0.58,0.598,484955
2020-02-06,0.61,0.56,0.572,0.61,117637
2020-02-07,0.592,0.566,0.566,0.592,209367
2020-02-10,0.586,0.568,0.586,0.586,177204
2020-02-11,0.608,0.56,0.588,0.598,345569
2020-02-12,1.355,0.6,1.3,0.61,19600044
2020-02-13,1.7,1.125,1.22,1.285,10475428
2020-02-14,1.21,0.98,1.01,1.21,4494373
2020-02-17,1.045,0.842,0.92,1.01,1343351
2020-02-18,0.998,0.84,0.906,0.97,737301
2020-02-19,0.894,0.674,0.72,0.894,988405
2020-02-20,1.28,0.72,0.88,0.72,3991816
2020-02-21,1.045,0.78,0.826,0.898,1894614
2020-02-24,1.0,0.77,0.844,0.826,1661525
2020-02-25,0.94,0.79,0.8,0.94,686549
2020-02-26,0.85,0.708,0.8,0.81,548125
2020-02-27,0.97,0.818,0.898,0.818,1484562
2020-02-28,0.896,0.75,0.778,0.896,664598
2020-03-02,0.9,0.792,0.87,0.792,516762
2020-03-03,0.99,0.842,0.87,0.99,884651
2020-03-04,0.946,0.8,0.826,0.89,452019
2020-03-05,0.868,0.79,0.796,0.836,168095
2020-03-06,0.798,0.752,0.78,0.79,101669
2020-03-09,0.78,0.63,0.69,0.78,259209
2020-03-10,0.802,0.602,0.65,0.69,277698
2020-03-11,0.808,0.652,0.702,0.706,796047
2020-03-12,0.77,0.6,0.658,0.7,197893
2020-03-13,0.778,0.654,0.71,0.654,113018
2020-03-16,0.708,0.562,0.63,0.708,103389
2020-03-17,0.7,0.54,0.666,0.54,49608
2020-03-18,0.76,0.668,0.754,0.7,548511
2020-03-19,0.75,0.62,0.73,0.75,165532
2020-03-20,0.75,0.628,0.728,0.706,313383
2020-03-23,0.88,0.67,0.72,0.75,82807
2020-03-24,0.8,0.72,0.73,0.8,84244
2020-03-25,0.796,0.73,0.77,0.77,127290
2020-03-26,0.75,0.69,0.71,0.72,108609
2020-03-27,0.768,0.652,0.69,0.71,90912
2020-03-30,0.76,0.704,0.704,0.704,66195
2020-03-31,0.79,0.702,0.75,0.79,119008
2020-04-01,0.85,0.71,0.8,0.74,562661
2020-04-02,1.48,0.836,1.33,0.846,5828991
2020-04-03,1.445,1.0,1.13,1.445,1914963
2020-04-06,1.25,0.898,0.91,1.195,1530641
2020-04-07,1.275,0.95,1.08,0.95,1706708
2020-04-08,1.18,1.025,1.08,1.08,475543
2020-04-09,1.125,1.03,1.03,1.105,176486
2020-04-14,1.1,0.89,0.89,1.03,768594
2020-04-15,0.96,0.85,0.876,0.9,347608
2020-04-16,0.91,0.88,0.88,0.91,54226
2020-04-17,0.998,0.88,0.92,0.88,151628
2020-04-20,1.18,0.852,0.974,0.916,780405
2020-04-21,0.97,0.88,0.922,0.97,321759
2020-04-22,0.922,0.858,0.874,0.922,108573
2020-04-23,0.954,0.878,0.884,0.938,79792
2020-04-24,1.065,0.88,0.922,0.89,469351
2020-04-27,1.025,0.8,0.862,0.954,509463
2020-04-28,0.898,0.822,0.868,0.898,143699
2020-04-29,0.868,0.83,0.836,0.868,123166
2020-04-30,0.85,0.802,0.804,0.84,84979
2020-05-04,0.82,0.69,0.74,0.82,204086
2020-05-05,0.798,0.704,0.778,0.798,72123
2020-05-06,0.798,0.77,0.77,0.778,28151
2020-05-07,0.972,0.79,0.838,0.798,588168
2020-05-08,0.832,0.774,0.814,0.822,138823
2020-05-11,0.854,0.77,0.854,0.812,56845
2020-05-12,0.848,0.792,0.828,0.848,108398
2020-05-13,0.828,0.76,0.774,0.828,140712
2020-05-14,0.846,0.78,0.846,0.788,63362
2020-05-15,0.904,0.79,0.8,0.846,319062
2020-05-18,0.97,0.83,0.83,0.88,631637
2020-05-19,1.16,0.854,0.974,0.908,2058473
2020-05-20,0.94,0.85,0.92,0.91,584540
2020-05-22,0.95,0.852,0.9,0.918,324841
2020-05-25,0.964,0.87,0.89,0.9,455543
2020-05-26,0.95,0.81,0.872,0.89,262000
2020-05-27,0.9,0.826,0.874,0.872,125802
2020-05-28,0.924,0.85,0.858,0.924,92387
2020-05-29,0.918,0.84,0.868,0.858,157601
2020-06-01,0.89,0.85,0.852,0.868,234900
2020-06-02,0.93,0.856,0.91,0.856,190157
2020-06-03,0.92,0.89,0.89,0.92,107639
2020-06-04,1.05,0.89,0.93,0.89,576590
2020-06-05,1.145,0.912,0.978,0.93,478191
2020-06-08,1.075,0.962,1.035,0.978,120688
2020-06-09,1.145,1.035,1.11,1.145,128963
2020-06-10,1.145,1.03,1.08,1.11,200206
2020-06-11,1.73,1.085,1.595,1.085,3806702
2020-06-12,2.25,1.255,1.47,1.595,3751449
2020-06-15,1.96,1.3,1.84,1.515,2408196
2020-06-16,1.955,1.55,1.59,1.865,1291441
2020-06-17,1.745,1.41,1.525,1.6,680660
2020-06-18,1.595,1.41,1.51,1.555,227124
2020-06-22,1.64,1.25,1.315,1.53,508531
2020-06-23,1.36,1.2,1.265,1.32,425133
2020-06-24,1.23,1.13,1.13,1.225,199699
2020-06-25,1.39,1.035,1.31,1.135,288806
2020-06-26,1.35,1.2,1.225,1.31,174098
2020-06-29,1.3,1.195,1.23,1.235,129991
2020-06-30,1.27,1.125,1.235,1.23,117410
2020-07-01,1.265,1.17,1.25,1.235,34074
2020-07-02,1.29,1.14,1.17,1.25,147009
2020-07-03,1.245,1.1,1.125,1.175,197679
2020-07-06,1.19,1.11,1.19,1.11,116312
2020-07-07,1.2,1.1,1.135,1.1,104871
2020-07-08,1.135,1.06,1.08,1.135,91084
2020-07-09,1.14,1.095,1.095,1.14,68221
2020-07-10,1.12,1.05,1.12,1.095,27112
2020-07-13,1.3,1.12,1.215,1.12,129240
2020-07-14,1.22,1.13,1.195,1.2,60718
2020-07-15,1.195,1.105,1.155,1.195,81555
2020-07-16,1.175,1.11,1.12,1.11,62804
2020-07-17,1.17,1.12,1.14,1.12,25073
2020-07-20,1.185,1.075,1.13,1.14,116993
2020-07-21,1.13,1.07,1.09,1.13,31995
2020-07-22,1.09,1.07,1.08,1.07,15604
2020-07-23,1.11,1.01,1.03,1.08,94649
2020-07-24,1.085,1.03,1.06,1.03,60669
2020-07-27,1.12,1.06,1.09,1.09,32912
2020-07-28,1.12,1.05,1.07,1.1,84316
2020-07-29,1.16,1.035,1.045,1.16,63456
2020-07-30,1.11,1.055,1.11,1.055,38149
2020-07-31,1.11,1.05,1.085,1.11,50692
2020-08-03,1.125,1.09,1.1,1.09,54214
2020-08-04,1.2,1.1,1.1,1.12,50254
2020-08-05,1.18,1.1,1.115,1.1,47758
2020-08-06,1.2,1.055,1.145,1.2,88408
2020-08-07,1.17,1.11,1.14,1.145,82197
2020-08-10,1.24,1.1,1.185,1.14,137340
2020-08-11,1.24,1.13,1.19,1.235,123514
2020-08-12,1.3,1.15,1.19,1.18,71744
2020-08-13,1.215,1.13,1.19,1.19,136205
2020-08-14,1.24,1.195,1.195,1.215,34849
2020-08-17,1.28,1.165,1.275,1.2,54617
2020-08-18,1.265,1.185,1.245,1.265,96714
2020-08-19,1.26,1.155,1.2,1.245,69036
2020-08-20,1.23,1.12,1.13,1.2,109902
2020-08-21,1.165,1.06,1.085,1.165,90306
2020-08-24,1.11,1.085,1.1,1.085,34964
2020-08-25,1.19,1.06,1.115,1.1,49449
2020-08-26,1.185,1.11,1.165,1.18,55266
2020-08-27,1.255,1.18,1.22,1.18,340124
2020-08-28,1.42,1.1,1.12,1.275,426436
2020-08-31,1.195,1.1,1.105,1.12,494169
2020-09-01,1.1,1.015,1.075,1.1,151686
2020-09-02,1.05,0.992,1.0,1.015,201217
2020-09-03,1.01,0.906,0.924,1.01,223130
2020-09-04,0.98,0.9,0.9,0.98,102914
2020-09-07,0.88,0.82,0.826,0.88,252796
2020-09-08,1.55,0.828,0.988,0.828,3157035
2020-09-09,1.35,0.998,1.25,1.0,2865516
2020-09-10,1.335,1.145,1.21,1.3,435577
2020-09-11,1.28,1.15,1.265,1.25,490460
