Date,High,Low,Close,Open,Volume
2020-01-02,6.6,6.32,6.48,6.32,4584
2020-01-03,6.58,6.34,6.48,6.5,13645
2020-01-07,6.48,6.3,6.32,6.42,46491
2020-01-08,6.5,6.14,6.48,6.42,25440
2020-01-09,6.5,6.4,6.44,6.5,24665
2020-01-10,6.58,6.3,6.44,6.44,9362
2020-01-13,6.6,6.42,6.58,6.52,27594
2020-01-14,6.6,6.4,6.44,6.6,19553
2020-01-15,6.56,6.42,6.52,6.42,7140
2020-01-16,6.74,6.46,6.58,6.54,19784
2020-01-17,6.8,6.48,6.48,6.68,18208
2020-01-20,6.5,6.3,6.48,6.48,25855
2020-01-21,7.18,6.5,7.06,6.5,100654
2020-01-22,7.02,6.76,7.02,7.0,44944
2020-01-23,7.2,6.72,7.06,7.08,56327
2020-01-24,7.9,7.08,7.4,7.1,79046
2020-01-27,7.4,6.94,7.1,7.4,33431
2020-01-28,7.4,7.14,7.34,7.14,25635
2020-01-29,7.4,7.22,7.38,7.36,13059
2020-01-30,7.38,6.9,7.2,7.38,17078
2020-01-31,7.14,6.9,7.08,7.1,15070
2020-02-03,7.08,6.8,6.96,7.08,21829
2020-02-04,7.04,6.86,6.9,6.96,20214
2020-02-05,7.1,6.76,7.1,6.9,12979
2020-02-06,7.1,6.8,7.1,7.02,66363
2020-02-07,7.3,6.9,7.1,7.1,19424
2020-02-10,7.4,7.0,7.24,7.1,34936
2020-02-11,7.24,7.06,7.06,7.24,19703
2020-02-12,7.22,6.7,7.04,7.06,43115
2020-02-13,7.6,7.04,7.2,7.5,117067
2020-02-14,7.36,7.1,7.3,7.36,68804
2020-02-17,7.48,7.14,7.28,7.44,32951
2020-02-18,7.46,7.24,7.36,7.28,44600
2020-02-19,7.44,7.36,7.42,7.36,52174
2020-02-20,7.6,7.42,7.52,7.44,47358
2020-02-21,7.6,7.28,7.46,7.58,26740
2020-02-24,7.28,6.6,7.18,7.28,87378
2020-02-25,7.06,6.54,6.78,7.06,79863
2020-02-26,6.74,6.3,6.74,6.68,59866
2020-02-27,6.98,6.2,6.3,6.66,37828
2020-02-28,6.08,4.57,5.7,5.98,138910
2020-03-02,6.1,5.6,6.04,5.6,76672
2020-03-03,6.88,6.04,6.42,6.04,45030
2020-03-04,6.84,6.5,6.5,6.5,21312
2020-03-05,6.68,6.22,6.36,6.5,8800
2020-03-06,6.4,5.9,6.3,6.36,65255
2020-03-09,6.12,5.2,5.76,6.0,81373
2020-03-10,6.0,5.52,5.8,5.62,36136
2020-03-11,5.98,5.74,5.76,5.98,23071
2020-03-12,5.6,4.76,5.08,5.6,100626
2020-03-13,5.94,4.8,5.5,5.0,59123
2020-03-16,5.42,4.14,5.42,5.0,236489
2020-03-17,5.74,4.3,5.6,5.58,66771
2020-03-18,5.6,4.91,5.2,5.6,40641
2020-03-19,5.5,4.97,5.08,5.3,20788
2020-03-20,5.46,4.85,5.0,5.1,49127
2020-03-23,4.8,4.33,4.62,4.8,57493
2020-03-24,5.1,4.44,4.52,4.8,47125
2020-03-25,5.18,4.41,4.6,5.18,10299
2020-03-26,5.1,4.25,4.99,4.5,24251
2020-03-27,4.99,4.75,4.91,4.97,35199
2020-03-30,5.5,4.85,5.02,4.91,8026
2020-03-31,5.7,4.91,5.2,5.0,69697
2020-04-01,5.48,4.85,5.2,5.06,9460
2020-04-02,5.18,4.87,5.08,5.1,24662
2020-04-03,5.04,4.85,5.04,4.9,13566
2020-04-06,5.28,4.74,5.1,5.0,10148
2020-04-07,5.68,4.91,5.4,5.0,38733
2020-04-08,5.5,5.12,5.14,5.5,4084
2020-04-09,5.74,5.16,5.3,5.16,5101
2020-04-14,5.48,5.0,5.02,5.3,34575
2020-04-15,5.3,4.9,5.3,4.9,6125
2020-04-16,5.3,5.0,5.24,5.28,11215
2020-04-17,5.1,4.85,5.1,5.1,40311
2020-04-20,5.3,4.83,4.98,5.0,3703
2020-04-21,5.3,4.84,5.24,4.98,9525
2020-04-22,5.24,4.85,5.14,5.0,7610
2020-04-23,5.18,4.91,5.0,5.18,4657
2020-04-24,5.0,4.6,4.74,5.0,17694
2020-04-27,5.0,4.6,4.82,4.6,17909
2020-04-28,5.0,4.61,5.0,4.96,16222
2020-04-29,5.02,4.71,5.0,5.0,23697
2020-04-30,5.5,4.97,4.97,5.14,1722
2020-05-04,4.97,4.75,4.94,4.75,15143
2020-05-05,4.86,4.66,4.86,4.73,10310
2020-05-06,4.96,4.72,4.72,4.86,17197
2020-05-07,5.16,4.75,4.8,5.16,10150
