Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-18,590.0,590.0,590.0,590.0,264
2018-10-15,550.0,550.0,550.0,550.0,200
2018-11-12,570.0,570.0,570.0,570.0,98
2019-02-18,570.0,570.0,570.0,570.0,8
2019-04-08,570.0,570.0,570.0,570.0,0
2019-04-09,570.0,570.0,570.0,570.0,0
2019-04-10,570.0,570.0,570.0,570.0,0
2019-04-11,570.0,570.0,570.0,570.0,0
2019-04-12,570.0,570.0,570.0,570.0,0
2019-04-15,570.0,570.0,570.0,570.0,0
2019-04-16,570.0,570.0,570.0,570.0,0
2019-04-17,570.0,570.0,570.0,570.0,0
2019-04-18,570.0,570.0,570.0,570.0,0
2019-04-23,570.0,570.0,570.0,570.0,0
2019-04-24,570.0,570.0,570.0,570.0,0
2019-04-25,570.0,570.0,570.0,570.0,0
2019-04-26,570.0,570.0,570.0,570.0,0
2019-04-29,570.0,570.0,570.0,570.0,0
2019-04-30,570.0,570.0,570.0,570.0,0
2019-05-02,570.0,570.0,570.0,570.0,0
2019-05-03,570.0,570.0,570.0,570.0,0
2019-05-06,570.0,570.0,570.0,570.0,0
2019-05-07,570.0,570.0,570.0,570.0,0
2019-05-08,570.0,570.0,570.0,570.0,0
2019-05-09,570.0,570.0,570.0,570.0,0
2019-05-10,570.0,570.0,570.0,570.0,0
2019-05-13,570.0,570.0,570.0,570.0,0
2019-05-14,570.0,570.0,570.0,570.0,0
2019-05-15,570.0,570.0,570.0,570.0,0
2019-05-16,570.0,570.0,570.0,570.0,0
2019-05-17,570.0,570.0,570.0,570.0,0
2019-05-20,570.0,570.0,570.0,570.0,0
2019-05-21,570.0,570.0,570.0,570.0,0
2019-05-22,570.0,570.0,570.0,570.0,0
2019-05-23,570.0,570.0,570.0,570.0,0
2019-05-24,570.0,570.0,570.0,570.0,0
2019-05-27,570.0,570.0,570.0,570.0,0
2019-05-28,570.0,570.0,570.0,570.0,0
2019-05-29,570.0,570.0,570.0,570.0,0
2019-05-31,570.0,570.0,570.0,570.0,0
2019-06-03,570.0,570.0,570.0,570.0,0
2019-06-04,570.0,570.0,570.0,570.0,0
2019-06-05,570.0,570.0,570.0,570.0,0
