Date,High,Low,Close,Open,Volume
2020-01-02,2.78,2.55,2.55,2.63,4823
2020-01-03,2.6,2.52,2.55,2.6,2423
2020-01-07,2.56,2.51,2.55,2.56,1307
2020-01-08,2.51,2.5,2.5,2.51,1376
2020-01-09,2.59,2.51,2.51,2.55,874
2020-01-10,2.55,2.49,2.55,2.5,4252
2020-01-13,2.55,2.49,2.5,2.5,1632
2020-01-14,2.53,2.49,2.5,2.5,1988
2020-01-15,2.55,2.5,2.5,2.55,1877
2020-01-16,2.54,2.49,2.5,2.51,1420
2020-01-17,2.51,2.49,2.51,2.49,1262
2020-01-20,2.57,2.51,2.55,2.55,756
2020-01-21,2.55,2.49,2.5,2.52,15082
2020-01-22,2.5,2.47,2.5,2.5,5739
2020-01-23,2.5,2.47,2.5,2.5,407
2020-01-24,2.5,2.46,2.46,2.49,995
2020-01-27,2.49,2.4,2.44,2.46,2766
2020-01-28,2.45,2.35,2.44,2.45,1677
2020-01-29,2.44,2.35,2.44,2.44,2738
2020-01-30,2.45,2.3,2.43,2.45,2110
2020-01-31,2.43,2.4,2.43,2.4,599
2020-02-03,2.5,2.4,2.42,2.44,9022
2020-02-04,2.5,2.4,2.49,2.4,3430
2020-02-05,2.5,2.44,2.49,2.5,1473
2020-02-06,2.5,2.45,2.45,2.5,6415
2020-02-07,2.5,2.36,2.49,2.5,747
2020-02-10,2.5,2.31,2.47,2.5,2844
2020-02-11,2.47,2.4,2.45,2.47,812
2020-02-12,2.49,2.43,2.49,2.47,1849
2020-02-13,2.49,2.4,2.49,2.45,917
2020-02-14,2.49,2.4,2.45,2.49,2309
2020-02-17,2.49,2.45,2.49,2.49,2300
2020-02-18,2.49,2.45,2.45,2.49,375
2020-02-19,2.5,2.45,2.5,2.49,14980
2020-02-20,2.5,2.41,2.48,2.5,1113
2020-02-21,2.49,2.4,2.49,2.4,432
2020-02-24,2.49,2.36,2.41,2.49,2140
2020-02-25,2.41,2.04,2.15,2.41,19398
2020-02-26,2.1,1.95,2.05,2.1,9432
2020-02-27,2.38,2.0,2.0,2.15,17262
2020-02-28,1.9998,1.56,1.98,1.56,6030
2020-03-02,1.9,1.6002,1.8496,1.9,4130
2020-03-03,1.88,1.7,1.7998,1.88,10899
